Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.05973255634307861,0.3411235809326172,0.03944142907857895,0.028899669647216797,0.2785630226135254,-0.009220525622367859,0.07741028070449829,0.1538432240486145,-0.02548987790942192,0.02187591791152954,0.06129002571105957,-0.03811418637633324,-0.06241971254348755,0.038861751556396484,-0.05096772685647011,0.06640911102294922,0.012776315212249756,0.0036741383373737335,0.07007807493209839,-0.12720510363578796,-0.02660219743847847,0.06467241048812866,-0.21664941310882568,-0.05514362081885338,0.05431783199310303,-0.29473575949668884,-0.0773671418428421,0.0,0.0,0.0,0.008045196533203125,-0.1460026502609253,-0.024887915700674057,0.008103609085083008,-0.24921372532844543,-0.053434986621141434,0.0022187232971191406,-0.33760538697242737,-0.07419371604919434,-0.059288203716278076,0.018072962760925293,-0.009598884731531143,-0.05505633354187012,-0.11576712131500244,-0.03291879966855049,-0.05126357078552246,-0.2039797306060791,-0.05787770077586174,-0.05550551414489746,-0.27943241596221924,-0.0752902626991272,-0.11985141038894653,0.0592423677444458,-0.02462855353951454,-0.1160808801651001,-0.038266390562057495,-0.0467984639108181,-0.11135423183441162,-0.10576298832893372,-0.05807052180171013,-0.11209529638290405,-0.16614997386932373,-0.0655597597360611
2,-0.057742297649383545,0.3557978868484497,0.032419390976428986,0.028460264205932617,0.28038787841796875,-0.017136581242084503,0.08077555894851685,0.14980220794677734,-0.03187454864382744,0.022455871105194092,0.05519378185272217,-0.043068964034318924,-0.06189262866973877,0.024748027324676514,-0.053916085511446,0.0654861330986023,0.009741485118865967,0.003815794363617897,0.06911522150039673,-0.1310599446296692,-0.026282239705324173,0.06268024444580078,-0.21992290019989014,-0.054439593106508255,0.05265527963638306,-0.29830825328826904,-0.07667180895805359,0.0,0.0,0.0,0.0078849196434021,-0.14729776978492737,-0.025283966213464737,0.005814492702484131,-0.250611275434494,-0.054607752710580826,0.0006009936332702637,-0.3410261869430542,-0.07679958641529083,-0.058948516845703125,0.021271228790283203,-0.011039279401302338,-0.05464279651641846,-0.11513197422027588,-0.037306103855371475,-0.052056849002838135,-0.20530346035957336,-0.06484977900981903,-0.054481565952301025,-0.28280600905418396,-0.08410240709781647,-0.11895507574081421,0.06419312953948975,-0.027758102864027023,-0.1198393702507019,-0.03832000494003296,-0.05356750264763832,-0.11681902408599854,-0.10833740234375,-0.06848916411399841,-0.11710977554321289,-0.1716342568397522,-0.07894882559776306
3,-0.08328694105148315,0.3533019423484802,0.038736630231142044,0.003270566463470459,0.28389787673950195,-0.027818739414215088,0.06299901008605957,0.16703563928604126,-0.05319007486104965,-0.0001462697982788086,0.06464362144470215,-0.07154102623462677,-0.08480477333068848,0.021497726440429688,-0.08809143304824829,0.06926482915878296,0.01594477891921997,-0.0032812952995300293,0.08441126346588135,-0.1249939501285553,-0.03850714862346649,0.08249074220657349,-0.21422383189201355,-0.07090744376182556,0.0786542296409607,-0.294889897108078,-0.09605443477630615,0.0,0.0,0.0,0.021802306175231934,-0.14923810958862305,-0.028183363378047943,0.02830219268798828,-0.24937477707862854,-0.05873294919729233,0.032662808895111084,-0.33768224716186523,-0.08238822966814041,-0.06337559223175049,0.014393806457519531,-0.005418036133050919,-0.049034178256988525,-0.12132418155670166,-0.03388717770576477,-0.037139058113098145,-0.20947253704071045,-0.05988156050443649,-0.02893197536468506,-0.2855265438556671,-0.07859395444393158,-0.13008683919906616,0.0507279634475708,-0.018152732402086258,-0.1226949393749237,-0.05239057540893555,-0.044459909200668335,-0.11214137077331543,-0.11878710985183716,-0.057863324880599976,-0.10381609201431274,-0.18093234300613403,-0.067478246986866
4,-0.09283405542373657,0.3672323226928711,0.02140151336789131,0.006989181041717529,0.29649585485458374,-0.025297343730926514,0.07354909181594849,0.16470354795455933,-0.03871141001582146,0.0313950777053833,0.058777451515197754,-0.05050390958786011,-0.053723275661468506,0.03205209970474243,-0.06128646433353424,0.06527304649353027,0.01751267910003662,0.0057954564690589905,0.0827065110206604,-0.11894083023071289,-0.022307749837636948,0.08510684967041016,-0.2046695053577423,-0.050640203058719635,0.08120942115783691,-0.28162384033203125,-0.07383210211992264,0.0,0.0,0.0,0.02032393217086792,-0.14509081840515137,-0.022794492542743683,0.028400123119354248,-0.2425544559955597,-0.04933039844036102,0.029090821743011475,-0.32656198740005493,-0.07008468359708786,-0.0610809326171875,0.01485663652420044,-0.013854235410690308,-0.044524550437927246,-0.12010478973388672,-0.035677406936883926,-0.034583866596221924,-0.20488709211349487,-0.05816424638032913,-0.0324060320854187,-0.27936115860939026,-0.0752684697508812,-0.1235954761505127,0.05237376689910889,-0.03418561816215515,-0.11230659484863281,-0.05062219500541687,-0.053375497460365295,-0.1050758957862854,-0.11863550543785095,-0.06371291726827621,-0.10602307319641113,-0.18198156356811523,-0.07253861427307129
5,-0.07225185632705688,0.3656617999076843,0.022157985717058182,0.02358633279800415,0.28515470027923584,-0.024046631529927254,0.07748746871948242,0.146190345287323,-0.036773890256881714,0.019484341144561768,0.04455077648162842,-0.046921126544475555,-0.07550442218780518,0.02439841628074646,-0.056212738156318665,0.06558477878570557,0.014362871646881104,0.005078628659248352,0.07515883445739746,-0.13135164976119995,-0.01997196488082409,0.07025319337844849,-0.21977436542510986,-0.04605645686388016,0.06126511096954346,-0.2986426055431366,-0.06751079857349396,0.0,0.0,0.0,0.009607851505279541,-0.15248900651931763,-0.020088570192456245,0.00806516408920288,-0.2550176978111267,-0.04601074010133743,0.0022428035736083984,-0.344560831785202,-0.0667974054813385,-0.061048150062561035,0.016807109117507935,-0.01286826841533184,-0.05693024396896362,-0.12409627437591553,-0.03370825946331024,-0.054267048835754395,-0.21365898847579956,-0.058508045971393585,-0.05942434072494507,-0.2941523492336273,-0.0772218406200409,-0.12284547090530396,0.053213655948638916,-0.03159291297197342,-0.12223616242408752,-0.0557064414024353,-0.05101568251848221,-0.12112736701965332,-0.12617042660713196,-0.06268969178199768,-0.12631458044052124,-0.1923121213912964,-0.07243306934833527
6,-0.09361696243286133,0.36478567123413086,0.02494255267083645,0.006158173084259033,0.29261255264282227,-0.020168304443359375,0.0694991946220398,0.15997695922851562,-0.03361950442194939,0.029526948928833008,0.05902588367462158,-0.04593003913760185,-0.05466073751449585,0.03749638795852661,-0.05802471563220024,0.0639144778251648,0.016864120960235596,0.006402350962162018,0.08185118436813354,-0.12336757779121399,-0.022466283291578293,0.08381086587905884,-0.20961636304855347,-0.05069345608353615,0.08188474178314209,-0.2859088182449341,-0.07355491816997528,0.0,0.0,0.0,0.022424042224884033,-0.14641717076301575,-0.024489324539899826,0.026892423629760742,-0.24665194749832153,-0.05254482105374336,0.02634274959564209,-0.33487561345100403,-0.07455204427242279,-0.06031376123428345,0.015199422836303711,-0.013834595680236816,-0.04582560062408447,-0.11922669410705566,-0.03588705509901047,-0.03847301006317139,-0.20600491762161255,-0.05989128723740578,-0.036671578884124756,-0.28356972336769104,-0.07872070372104645,-0.12175047397613525,0.05108451843261719,-0.033886026591062546,-0.11146903038024902,-0.051073819398880005,-0.052317481487989426,-0.1046258807182312,-0.11931988596916199,-0.06245488300919533,-0.10450255870819092,-0.18188488483428955,-0.07206332683563232
7,-0.08925056457519531,0.36713606119155884,0.02490280196070671,0.0036821961402893066,0.29599177837371826,-0.023018553853034973,0.07094252109527588,0.16443860530853271,-0.0365934893488884,0.03960525989532471,0.05729055404663086,-0.04711047559976578,-0.04132968187332153,0.0177423357963562,-0.056354768574237823,0.06202214956283569,0.015688300132751465,0.0036443565040826797,0.08074742555618286,-0.1247592568397522,-0.023669596761465073,0.08252668380737305,-0.21245387196540833,-0.051020920276641846,0.08045017719268799,-0.29061946272850037,-0.07333972305059433,0.0,0.0,0.0,0.021290898323059082,-0.14766401052474976,-0.021812789142131805,0.029884696006774902,-0.24829697608947754,-0.048138655722141266,0.0323108434677124,-0.335979700088501,-0.0687742829322815,-0.05838453769683838,0.01617676019668579,-0.011166371405124664,-0.04103571176528931,-0.11978840827941895,-0.03344301879405975,-0.029004454612731934,-0.20749065279960632,-0.05691947042942047,-0.02550441026687622,-0.28417760133743286,-0.07447811216115952,-0.11711293458938599,0.05500805377960205,-0.028528660535812378,-0.10872107744216919,-0.04668191075325012,-0.05113036185503006,-0.10043215751647949,-0.11625730991363525,-0.0640525370836258,-0.09841275215148926,-0.1803286373615265,-0.07379882037639618
