Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.02548772096633911,0.3904566168785095,0.04320814087986946,0.0918729305267334,0.324055016040802,0.052754104137420654,0.17167788743972778,0.20880287885665894,0.03718223050236702,0.23796534538269043,0.13758164644241333,0.006026837974786758,0.266859769821167,0.05006915330886841,-0.025471221655607224,0.03579115867614746,-0.0032056570053100586,0.045206498354673386,0.03644216060638428,-0.17611342668533325,-0.015859585255384445,0.12896299362182617,-0.21218889951705933,-0.06483601033687592,0.21650588512420654,-0.1952497363090515,-0.09048447012901306,0.0,0.0,0.0,-0.01711815595626831,-0.210178405046463,-0.06309789419174194,0.10630500316619873,-0.2458476722240448,-0.11305879056453705,0.20425379276275635,-0.20211026072502136,-0.13676106929779053,-0.03665679693222046,0.02371278405189514,-0.04887766018509865,-0.054957062005996704,-0.16608387231826782,-0.0939321368932724,0.06219899654388428,-0.2102101445198059,-0.12230329215526581,0.15410149097442627,-0.1931944489479065,-0.13400143384933472,-0.06406864523887634,0.07261186838150024,-0.09890131652355194,-0.07320496439933777,-0.07208994030952454,-0.13752834498882294,-0.00028139352798461914,-0.1357734203338623,-0.15724627673625946,0.07014334201812744,-0.1530880331993103,-0.164794921875
2,-0.04570508003234863,0.4082319438457489,0.02972954884171486,0.08392030000686646,0.32839247584342957,0.0455024279654026,0.1700776219367981,0.20567378401756287,0.034966081380844116,0.23023706674575806,0.12885507941246033,0.007341751828789711,0.25264739990234375,0.040566474199295044,-0.021411694586277008,0.03886532783508301,-0.006588667631149292,0.04798024892807007,0.03772842884063721,-0.1749952733516693,-0.007773250341415405,0.12605899572372437,-0.2127549946308136,-0.05578981339931488,0.21049785614013672,-0.2015133798122406,-0.0825132206082344,0.0,0.0,0.0,-0.015333116054534912,-0.20726749300956726,-0.05574018508195877,0.10258865356445312,-0.24931687116622925,-0.1043618693947792,0.19836312532424927,-0.22002491354942322,-0.13079947233200073,-0.037775903940200806,0.027446746826171875,-0.05225997418165207,-0.04809623956680298,-0.1649206280708313,-0.09606506675481796,0.06857740879058838,-0.21136268973350525,-0.12550413608551025,0.16150999069213867,-0.19760623574256897,-0.13985127210617065,-0.06481176614761353,0.0774514377117157,-0.10516417771577835,-0.06795653700828552,-0.06884130835533142,-0.14420977234840393,0.007058441638946533,-0.1331401765346527,-0.16424861550331116,0.07944798469543457,-0.15182876586914062,-0.17339244484901428
3,-0.048459261655807495,0.40979233384132385,0.03485936298966408,0.08811730146408081,0.32493457198143005,0.05446605384349823,0.17183417081832886,0.19813033938407898,0.047143660485744476,0.23344683647155762,0.12212702631950378,0.023202888667583466,0.25768816471099854,0.03984108567237854,-0.0008410140872001648,0.03947573900222778,-0.010506868362426758,0.048243407160043716,0.03220897912979126,-0.18395039439201355,-0.010578569024801254,0.12294012308120728,-0.22288239002227783,-0.06027425825595856,0.20930206775665283,-0.21097299456596375,-0.08807958662509918,0.0,0.0,0.0,-0.015175044536590576,-0.20923754572868347,-0.0587649941444397,0.10326486825942993,-0.2454301416873932,-0.1076563224196434,0.1982032060623169,-0.2142479121685028,-0.1342286765575409,-0.03614267706871033,0.029305607080459595,-0.05185133218765259,-0.04614436626434326,-0.16299322247505188,-0.09744257479906082,0.06679821014404297,-0.20791691541671753,-0.12880566716194153,0.15693408250808716,-0.1937789022922516,-0.1448071002960205,-0.05961102247238159,0.07828930020332336,-0.10394225269556046,-0.060096800327301025,-0.06355956196784973,-0.14663651585578918,0.009866595268249512,-0.13134536147117615,-0.17213785648345947,0.07877606153488159,-0.15785476565361023,-0.18549802899360657
4,-0.048042476177215576,0.4110865592956543,0.04124010354280472,0.0869036316871643,0.32811081409454346,0.06099587678909302,0.17216598987579346,0.20724284648895264,0.050387609750032425,0.23682332038879395,0.1346178650856018,0.02271248959004879,0.2683171033859253,0.056115150451660156,-0.005304940044879913,0.0415533185005188,-0.008665591478347778,0.0494891032576561,0.0395771861076355,-0.185502827167511,-0.009609468281269073,0.13341224193572998,-0.2161102592945099,-0.05791924148797989,0.21965336799621582,-0.19916021823883057,-0.08493019640445709,0.0,0.0,0.0,-0.004737257957458496,-0.21552124619483948,-0.05767415463924408,0.11688011884689331,-0.2469838559627533,-0.103737011551857,0.210879385471344,-0.21151956915855408,-0.12885841727256775,-0.03710830211639404,0.028262346982955933,-0.05279987305402756,-0.035063236951828,-0.17119693756103516,-0.09812363982200623,0.08376437425613403,-0.21044614911079407,-0.12672854959964752,0.1757834553718567,-0.1913716197013855,-0.14092981815338135,-0.06096148490905762,0.07682263851165771,-0.10568293929100037,-0.04982948303222656,-0.07042872905731201,-0.1469181925058365,0.025116682052612305,-0.13162344694137573,-0.1683119833469391,0.0958370566368103,-0.14942216873168945,-0.1786525398492813
5,0.008840471506118774,0.40456622838974,-0.007327806204557419,0.145928293466568,0.2901765704154968,0.049498192965984344,0.2150813639163971,0.1676207184791565,0.0593816377222538,0.2742052972316742,0.09081512689590454,0.04556138813495636,0.3220463693141937,0.019871830940246582,0.031725261360406876,0.034523338079452515,-0.009142637252807617,0.05845010653138161,0.08273079991340637,-0.16969335079193115,0.025373149663209915,0.18219861388206482,-0.20804190635681152,-0.006071686744689941,0.26422157883644104,-0.20263594388961792,-0.02349212020635605,0.0,0.0,0.0,0.06751808524131775,-0.1954929530620575,-0.04272368550300598,0.1867336928844452,-0.22283360362052917,-0.07579191029071808,0.27274414896965027,-0.19408011436462402,-0.0904877632856369,-0.01282036304473877,0.020569682121276855,-0.059539198875427246,0.052319616079330444,-0.16529634594917297,-0.08897611498832703,0.16952815651893616,-0.20199406147003174,-0.10572187602519989,0.25691935420036316,-0.18604815006256104,-0.11141656339168549,0.0005169808864593506,0.05431938171386719,-0.1169426441192627,0.05017402768135071,-0.09948325157165527,-0.13444887101650238,0.12614968419075012,-0.15656137466430664,-0.13831235468387604,0.19480636715888977,-0.16859912872314453,-0.13736025989055634
6,0.01604318618774414,0.40000879764556885,-0.0071552107110619545,0.15490859746932983,0.29712432622909546,0.044878747314214706,0.2234012484550476,0.17060744762420654,0.049483466893434525,0.28391510248184204,0.09163486957550049,0.03206145018339157,0.3330952525138855,0.021615445613861084,0.015218021348118782,0.0317225456237793,-0.008867800235748291,0.05522322282195091,0.0872231125831604,-0.16599351167678833,0.02281993441283703,0.19184130430221558,-0.20774322748184204,-0.010607577860355377,0.28065669536590576,-0.20262038707733154,-0.02917804941534996,0.0,0.0,0.0,0.06872844696044922,-0.19682133197784424,-0.03270208090543747,0.1898193359375,-0.2382790446281433,-0.060594696551561356,0.2796037197113037,-0.21606159210205078,-0.0741596519947052,-0.0084151029586792,0.01987016201019287,-0.056349556893110275,0.05679905414581299,-0.17099007964134216,-0.07920505106449127,0.1727716326713562,-0.2144603133201599,-0.08889783173799515,0.25723516941070557,-0.19916927814483643,-0.09159316122531891,0.014077067375183105,0.049587249755859375,-0.11114967614412308,0.07376468181610107,-0.10086840391159058,-0.12527784705162048,0.15517616271972656,-0.15158173441886902,-0.12292466312646866,0.2226617932319641,-0.15805304050445557,-0.1171695664525032
7,0.009660601615905762,0.39800065755844116,-0.0077853393740952015,0.1457071304321289,0.2978750467300415,0.03992002457380295,0.21189731359481812,0.17324018478393555,0.04282793402671814,0.2703779339790344,0.09549599885940552,0.023483339697122574,0.3186795711517334,0.021770954132080078,0.004424513317644596,0.03336668014526367,-0.008638322353363037,0.054592233151197433,0.07866793870925903,-0.16797631978988647,0.01933414302766323,0.17917400598526,-0.20821458101272583,-0.016300838440656662,0.2640559673309326,-0.20079362392425537,-0.035823311656713486,0.0,0.0,0.0,0.05145937204360962,-0.19451653957366943,-0.03352474421262741,0.17054057121276855,-0.2375161051750183,-0.06304578483104706,0.26015186309814453,-0.2139820158481598,-0.07766500115394592,-0.01494741439819336,0.020204544067382812,-0.05687809735536575,0.038830697536468506,-0.17006367444992065,-0.08180084824562073,0.15191209316253662,-0.214280366897583,-0.09265613555908203,0.23389452695846558,-0.19875895977020264,-0.09552454203367233,-0.0024738311767578125,0.04911857843399048,-0.11262625455856323,0.05155479907989502,-0.10070246458053589,-0.13059118390083313,0.12979602813720703,-0.15227502584457397,-0.1301283836364746,0.1933571696281433,-0.15846967697143555,-0.12486041337251663
