Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.003665447235107422,0.3557489514350891,0.017688598483800888,0.08788496255874634,0.2725391983985901,0.016790319234132767,0.15448498725891113,0.15612614154815674,0.00013743340969085693,0.2160664200782776,0.06990647315979004,-0.028628908097743988,0.2775050401687622,-0.012301325798034668,-0.05636115372180939,0.032592833042144775,0.03014320135116577,0.03703262284398079,0.11485695838928223,-0.05670541524887085,-0.018860451877117157,0.19129997491836548,-0.06967514753341675,-0.0628853514790535,0.2585221529006958,-0.05917924642562866,-0.08538861572742462,0.0,0.0,0.0,0.032441556453704834,-0.1600896418094635,-0.030324384570121765,0.0724869966506958,-0.26510727405548096,-0.050635263323783875,0.10373866558074951,-0.34645918011665344,-0.06195195019245148,-0.03444737195968628,0.006284654140472412,-0.04688313603401184,-0.04364517331123352,-0.16056275367736816,-0.08078109472990036,-0.03599327802658081,-0.27995312213897705,-0.09677237272262573,-0.026784241199493408,-0.376028835773468,-0.10519789159297943,-0.062487244606018066,0.04206877946853638,-0.09609591960906982,-0.08731269836425781,-0.07587277889251709,-0.12904223799705505,-0.10121685266494751,-0.1652216911315918,-0.13441157341003418,-0.11211442947387695,-0.23907500505447388,-0.13437284529209137
2,-0.006599247455596924,0.36336350440979004,0.01304768119007349,0.09064066410064697,0.27360403537750244,0.018666930496692657,0.1539628505706787,0.15118408203125,0.007306891027837992,0.21195495128631592,0.06208759546279907,-0.016401857137680054,0.276458203792572,-0.01936173439025879,-0.03976454585790634,0.03389257192611694,0.0285378098487854,0.03880143538117409,0.11561781167984009,-0.05771607160568237,-0.016170084476470947,0.19155257940292358,-0.07145145535469055,-0.06350784003734589,0.2556745409965515,-0.062091171741485596,-0.08865046501159668,0.0,0.0,0.0,0.02770477533340454,-0.16739508509635925,-0.02890661358833313,0.06811726093292236,-0.27465933561325073,-0.05278541520237923,0.10417139530181885,-0.3550581634044647,-0.06849762797355652,-0.03516128659248352,0.007697045803070068,-0.04790849611163139,-0.04542931914329529,-0.16732001304626465,-0.0803237110376358,-0.03715410828590393,-0.28656357526779175,-0.10139540582895279,-0.02411574125289917,-0.3830960988998413,-0.11513710767030716,-0.06096524000167847,0.04187649488449097,-0.09709705412387848,-0.08460849523544312,-0.07678991556167603,-0.12670457363128662,-0.0985826849937439,-0.16491997241973877,-0.13224351406097412,-0.10915166139602661,-0.23765802383422852,-0.13471581041812897
3,-0.008347868919372559,0.37156254053115845,0.007284932769834995,0.08727049827575684,0.2782215476036072,0.01634649559855461,0.15118414163589478,0.1505635380744934,0.007931265980005264,0.21033984422683716,0.05896204710006714,-0.013691266998648643,0.2716118097305298,-0.023391246795654297,-0.03466219827532768,0.03395301103591919,0.028782546520233154,0.03982511907815933,0.1141168475151062,-0.05910980701446533,-0.014228316023945808,0.18998724222183228,-0.07132545113563538,-0.06196187436580658,0.25180602073669434,-0.06003451347351074,-0.08704493939876556,0.0,0.0,0.0,0.021876513957977295,-0.166050523519516,-0.026521112769842148,0.05850797891616821,-0.2726207375526428,-0.050931669771671295,0.08955264091491699,-0.3516782820224762,-0.06816034764051437,-0.035238683223724365,0.007022440433502197,-0.04908495396375656,-0.04975622892379761,-0.1654316782951355,-0.07790066301822662,-0.04412078857421875,-0.28180059790611267,-0.09841202199459076,-0.03449559211730957,-0.375745564699173,-0.11304810643196106,-0.06058686971664429,0.0392833948135376,-0.09953441470861435,-0.0853046178817749,-0.08033418655395508,-0.12495357543230057,-0.10099685192108154,-0.16655892133712769,-0.12889881432056427,-0.11424845457077026,-0.23780983686447144,-0.131327286362648
4,-0.004929572343826294,0.38221728801727295,0.003778873011469841,0.09201425313949585,0.2884412407875061,0.00036614667624235153,0.15644872188568115,0.15822768211364746,-0.010631747543811798,0.21472477912902832,0.0662689208984375,-0.033765196800231934,0.2732309103012085,-0.015218615531921387,-0.05567901208996773,0.03707021474838257,0.026937365531921387,0.03361426666378975,0.11981743574142456,-0.05876830220222473,-0.025483513250947,0.19923126697540283,-0.07209008932113647,-0.07748197019100189,0.26457536220550537,-0.06397294998168945,-0.10481900721788406,0.0,0.0,0.0,0.02254045009613037,-0.1599990427494049,-0.029925717040896416,0.05947321653366089,-0.26596328616142273,-0.0548463799059391,0.08973884582519531,-0.34769266843795776,-0.0704370066523552,-0.03652527928352356,0.010045111179351807,-0.04499921202659607,-0.05351066589355469,-0.15332406759262085,-0.0783793032169342,-0.05212467908859253,-0.2685661315917969,-0.09709278494119644,-0.048298537731170654,-0.36181533336639404,-0.1071457639336586,-0.06658872961997986,0.04765892028808594,-0.09317585080862045,-0.09762686491012573,-0.06608596444129944,-0.12298821657896042,-0.1185721755027771,-0.15036654472351074,-0.12750989198684692,-0.13495555520057678,-0.22175776958465576,-0.12724845111370087
5,-0.008454442024230957,0.36406028270721436,0.01345072127878666,0.08394438028335571,0.2771259546279907,-0.009692175313830376,0.1525605320930481,0.1531461477279663,-0.026473402976989746,0.20252597332000732,0.05671083927154541,-0.05144702270627022,0.23757320642471313,-0.029468238353729248,-0.0758834034204483,0.05475586652755737,0.028162121772766113,0.020747318863868713,0.11532449722290039,-0.054515331983566284,-0.0312512032687664,0.17604130506515503,-0.0780373215675354,-0.07375530898571014,0.2274821400642395,-0.08050623536109924,-0.09534864127635956,0.0,0.0,0.0,0.026243627071380615,-0.1423296332359314,-0.02555452287197113,0.04592031240463257,-0.2378876507282257,-0.043846432119607925,0.05537205934524536,-0.32543784379959106,-0.05569201335310936,-0.0598071813583374,0.005220174789428711,-0.032449230551719666,-0.06966686248779297,-0.14151009917259216,-0.0638476312160492,-0.07060056924819946,-0.2360447347164154,-0.0788041353225708,-0.07079121470451355,-0.3188917636871338,-0.08676031231880188,-0.12381112575531006,0.03944599628448486,-0.06940561532974243,-0.17733466625213623,-0.06464946269989014,-0.09919390082359314,-0.20943549275398254,-0.13808715343475342,-0.10299800336360931,-0.23454493284225464,-0.20572656393051147,-0.1026260107755661
6,-0.0032918453216552734,0.3556368350982666,0.012208730913698673,0.08890646696090698,0.2687985301017761,-0.01521709281951189,0.1590898036956787,0.148659348487854,-0.03268088027834892,0.21064794063568115,0.04926156997680664,-0.055436912924051285,0.24438410997390747,-0.035895973443984985,-0.0773194283246994,0.05605250597000122,0.02891308069229126,0.016626663506031036,0.1184813380241394,-0.05076327919960022,-0.030298147350549698,0.17752772569656372,-0.08001309633255005,-0.06942077726125717,0.2280726432800293,-0.08692705631256104,-0.09008193761110306,0.0,0.0,0.0,0.028795361518859863,-0.13749545812606812,-0.02547599747776985,0.04822647571563721,-0.23365867137908936,-0.046381156891584396,0.06041806936264038,-0.3222011625766754,-0.060486193746328354,-0.06117403507232666,0.0020955801010131836,-0.02753780037164688,-0.0651826560497284,-0.14260748028755188,-0.06082620844244957,-0.06428900361061096,-0.2366522252559662,-0.08017699420452118,-0.06122434139251709,-0.315944641828537,-0.09104881435632706,-0.1260068416595459,0.03360700607299805,-0.0590660385787487,-0.18067744374275208,-0.06691408157348633,-0.09083330631256104,-0.21254533529281616,-0.13990214467048645,-0.0986643061041832,-0.235038161277771,-0.2063247561454773,-0.10117091238498688
7,-0.004752516746520996,0.3509677052497864,0.013409704901278019,0.08650171756744385,0.2653108239173889,-0.013984444551169872,0.15741342306137085,0.1493016481399536,-0.032570380717515945,0.2074681520462036,0.050275206565856934,-0.0563305988907814,0.23827069997787476,-0.035920798778533936,-0.07897119969129562,0.05653524398803711,0.029559969902038574,0.016405407339334488,0.12131649255752563,-0.05216747522354126,-0.0312640517950058,0.17739135026931763,-0.0816870629787445,-0.06994827836751938,0.2249172329902649,-0.0867648720741272,-0.0896923765540123,0.0,0.0,0.0,0.029229402542114258,-0.13766053318977356,-0.025927145034074783,0.045931458473205566,-0.2340773642063141,-0.04655275493860245,0.05490845441818237,-0.32286256551742554,-0.06004990637302399,-0.06159934401512146,0.0008918046951293945,-0.027238115668296814,-0.06591126322746277,-0.14422976970672607,-0.06142852455377579,-0.06628519296646118,-0.23796525597572327,-0.08108029514551163,-0.06471753120422363,-0.3162167966365814,-0.09173367917537689,-0.12719875574111938,0.03079807758331299,-0.05821952968835831,-0.1827777624130249,-0.06862124800682068,-0.0906616747379303,-0.2151525914669037,-0.1409052610397339,-0.09874685853719711,-0.23790359497070312,-0.20697396993637085,-0.10111238062381744
