Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.14255428314208984,0.2750663757324219,0.06307023763656616,0.20738530158996582,0.1754414439201355,0.004560202360153198,0.20029765367507935,0.020270586013793945,-0.016849353909492493,0.16035395860671997,-0.09571489691734314,-0.03652416914701462,0.08972162008285522,-0.14454281330108643,-0.055205099284648895,0.05742073059082031,-0.05895960330963135,-3.6954879760742188e-06,-0.05066961050033569,-0.18788480758666992,-0.052090421319007874,-0.12110790610313416,-0.26149171590805054,-0.07787535339593887,-0.18335628509521484,-0.32244277000427246,-0.09399008005857468,0.0,0.0,0.0,-0.02679947018623352,-0.05513444542884827,-0.0992620512843132,0.05410975217819214,0.03315049409866333,-0.11740093678236008,0.1131141185760498,0.09648609161376953,-0.10399436205625534,-0.04320216178894043,0.06589311361312866,-0.005812935531139374,-0.035624682903289795,0.03438377380371094,-0.10292645543813705,0.049003660678863525,0.11652135848999023,-0.08518659323453903,0.09954822063446045,0.1689281463623047,-0.04478943347930908,-0.08130940794944763,0.1367405652999878,-0.016405761241912842,-0.07424178719520569,0.09871315956115723,-0.07957913726568222,-0.0048487186431884766,0.14893311262130737,-0.06368360668420792,0.03974241018295288,0.18482065200805664,-0.03355041891336441
2,0.13979488611221313,0.27566611766815186,0.06373798102140427,0.21127241849899292,0.17268383502960205,0.006028708070516586,0.20738089084625244,0.021611690521240234,-0.018017373979091644,0.16327649354934692,-0.09045091271400452,-0.040712110698223114,0.09663921594619751,-0.13798969984054565,-0.061973199248313904,0.059083521366119385,-0.06094640493392944,0.001550927758216858,-0.05242323875427246,-0.18828034400939941,-0.05277015268802643,-0.12248259782791138,-0.260102778673172,-0.07974278926849365,-0.18937253952026367,-0.318007230758667,-0.09638096392154694,0.0,0.0,0.0,-0.02225738763809204,-0.06242629885673523,-0.10162289440631866,0.06485074758529663,0.024805545806884766,-0.12089493870735168,0.11657112836837769,0.08730077743530273,-0.107338085770607,-0.04492706060409546,0.06811130046844482,-0.007196418941020966,-0.0322549045085907,0.03814387321472168,-0.10677094757556915,0.0581856369972229,0.12008780241012573,-0.08700864017009735,0.10231268405914307,0.16951805353164673,-0.044140979647636414,-0.08459228277206421,0.1402389407157898,-0.018647797405719757,-0.074053555727005,0.09639602899551392,-0.0791781097650528,-0.0024077892303466797,0.1466962695121765,-0.05725660175085068,0.03289926052093506,0.18341213464736938,-0.022853240370750427
3,0.17454886436462402,0.2656431794166565,0.05883578956127167,0.23570799827575684,0.15927255153656006,0.003912497311830521,0.20915460586547852,0.007945001125335693,-0.014833226799964905,0.1582273244857788,-0.10219818353652954,-0.03213999420404434,0.08600223064422607,-0.1461121141910553,-0.047670722007751465,0.05475872755050659,-0.06696474552154541,0.0009466856718063354,-0.06736397743225098,-0.18133562803268433,-0.05036748945713043,-0.14398175477981567,-0.24574404954910278,-0.07650089263916016,-0.2115490734577179,-0.298909068107605,-0.09267862141132355,0.0,0.0,0.0,-0.017871737480163574,-0.05138993263244629,-0.10148529708385468,0.07910740375518799,0.028515994548797607,-0.12074832618236542,0.14386534690856934,0.0866207480430603,-0.10660192370414734,-0.03884470462799072,0.07148993015289307,-0.006657592952251434,-0.023480772972106934,0.04765230417251587,-0.1044502854347229,0.07188355922698975,0.11891919374465942,-0.08924612402915955,0.1243698000907898,0.16455042362213135,-0.04954339563846588,-0.06818360090255737,0.14679747819900513,-0.017705261707305908,-0.055210649967193604,0.10876494646072388,-0.07991892099380493,0.019004106521606445,0.15312433242797852,-0.06482689827680588,0.06094139814376831,0.1859000325202942,-0.03507363796234131
4,0.1412215232849121,0.28529924154281616,0.0559740774333477,0.2076054811477661,0.17469483613967896,-0.004161641001701355,0.2041250467300415,0.020821809768676758,-0.026623927056789398,0.16597038507461548,-0.10321581363677979,-0.04764311760663986,0.08793491125106812,-0.14562773704528809,-0.06873506307601929,0.05523711442947388,-0.06170743703842163,-0.0011608228087425232,-0.058578699827194214,-0.18321937322616577,-0.049246154725551605,-0.1354728639125824,-0.25030583143234253,-0.07536692917346954,-0.20804980397224426,-0.30388060212135315,-0.09297464787960052,0.0,0.0,0.0,-0.045451968908309937,-0.04859042167663574,-0.09610019624233246,0.038532644510269165,0.031185448169708252,-0.11835256218910217,0.09835195541381836,0.09216248989105225,-0.10844969749450684,-0.042315155267715454,0.06907081604003906,-0.004648201167583466,-0.05995705723762512,0.04456371068954468,-0.09659157693386078,0.03252357244491577,0.11532247066497803,-0.0821731835603714,0.08948665857315063,0.16254419088363647,-0.04558214545249939,-0.07808217406272888,0.14268279075622559,-0.014389120042324066,-0.0844513475894928,0.11342614889144897,-0.07466225326061249,-0.01337820291519165,0.15837359428405762,-0.06097570061683655,0.03371337056159973,0.19027554988861084,-0.03311245143413544
5,0.1824425756931305,0.26287662982940674,0.047275424003601074,0.2442568838596344,0.14376163482666016,0.0038805827498435974,0.2158658802509308,-0.0011848211288452148,-0.00852430984377861,0.15254470705986023,-0.09289747476577759,-0.021206650882959366,0.08514663577079773,-0.1390169858932495,-0.03234582766890526,0.04838627576828003,-0.061543554067611694,0.0058531612157821655,-0.0777258574962616,-0.17609131336212158,-0.040524568408727646,-0.15461057424545288,-0.24470186233520508,-0.06491728127002716,-0.217537522315979,-0.3023233711719513,-0.08049613237380981,0.0,0.0,0.0,-0.03364679217338562,-0.08364427089691162,-0.09132300317287445,0.0686926543712616,-0.0036925673484802246,-0.10896676778793335,0.13556888699531555,0.06350666284561157,-0.09637230634689331,-0.0380341112613678,0.07010263204574585,-0.01114431768655777,-0.04995805025100708,-0.0010151863098144531,-0.1014976054430008,0.0515541136264801,0.07035857439041138,-0.0833284854888916,0.10831829905509949,0.1287018060684204,-0.04388589784502983,-0.07467302680015564,0.15171265602111816,-0.025619912892580032,-0.09605327248573303,0.07615041732788086,-0.08402198553085327,-0.02137807011604309,0.10437911748886108,-0.06593522429466248,0.028142213821411133,0.14188742637634277,-0.03579513356089592
6,0.18195867538452148,0.2602778673171997,0.04818354919552803,0.24095439910888672,0.14419269561767578,-0.0031287819147109985,0.2151336669921875,-3.4868717193603516e-05,-0.02218681201338768,0.15112090110778809,-0.08791491389274597,-0.04245980456471443,0.08697468042373657,-0.1397992968559265,-0.06151200458407402,0.045820772647857666,-0.058625876903533936,0.003247298300266266,-0.07837903499603271,-0.17573457956314087,-0.04673058167099953,-0.1513766050338745,-0.24149537086486816,-0.07144597172737122,-0.21768654882907867,-0.2948788106441498,-0.08649784326553345,0.0,0.0,0.0,-0.027751833200454712,-0.08219373226165771,-0.10079354047775269,0.07260864973068237,0.00018799304962158203,-0.1202719509601593,0.1310354471206665,0.06762522459030151,-0.10576260089874268,-0.036247193813323975,0.06988120079040527,-0.00930706411600113,-0.04856979846954346,0.00017470121383666992,-0.10747352242469788,0.048640310764312744,0.07658398151397705,-0.08776088058948517,0.09854751825332642,0.13451433181762695,-0.044053200632333755,-0.07192707061767578,0.15092456340789795,-0.022289451211690903,-0.09587037563323975,0.07901692390441895,-0.08314788341522217,-0.026159316301345825,0.10758960247039795,-0.06343384087085724,0.01677626371383667,0.1426813006401062,-0.03054184839129448
7,0.18246445059776306,0.25973135232925415,0.050374969840049744,0.24048438668251038,0.14686447381973267,-0.0017393790185451508,0.21545270085334778,0.00455862283706665,-0.022226236760616302,0.15404197573661804,-0.08547329902648926,-0.04371335357427597,0.08555468916893005,-0.13538631796836853,-0.06402714550495148,0.04600176215171814,-0.05864530801773071,0.0032011941075325012,-0.07805061340332031,-0.17416605353355408,-0.047077104449272156,-0.15159031748771667,-0.23931312561035156,-0.07188418507575989,-0.21856045722961426,-0.2916271686553955,-0.08681345731019974,0.0,0.0,0.0,-0.026425987482070923,-0.08249294757843018,-0.10094676166772842,0.07392868399620056,0.0012617111206054688,-0.12009317427873611,0.13357868790626526,0.06949996948242188,-0.1052824929356575,-0.036839425563812256,0.07001537084579468,-0.009178295731544495,-0.04959407448768616,0.0004321932792663574,-0.10749415308237076,0.04825285077095032,0.07677674293518066,-0.0875716283917427,0.10052523016929626,0.13471102714538574,-0.04369845241308212,-0.07285219430923462,0.1503733992576599,-0.02200346440076828,-0.0951089859008789,0.07725191116333008,-0.08307895809412003,-0.023766040802001953,0.10750693082809448,-0.06277798861265182,0.020807713270187378,0.1438896656036377,-0.029274314641952515
