Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.09706294536590576,0.3454708456993103,0.016237754374742508,0.16972148418426514,0.23112636804580688,-0.02741231955587864,0.19266271591186523,0.06777042150497437,-0.04715048521757126,0.14375805854797363,-0.0421997606754303,-0.07168331742286682,0.04303550720214844,-0.03849866986274719,-0.08589915186166763,0.06571197509765625,-0.03318682312965393,0.008631930686533451,0.04997521638870239,-0.11912468075752258,-0.06145913898944855,0.08418059349060059,-0.02218496799468994,-0.0969451516866684,0.11271834373474121,0.0476168692111969,-0.10323115438222885,0.0,0.0,0.0,-0.024007976055145264,-0.08328700065612793,-0.0888746827840805,0.036855101585388184,0.028059780597686768,-0.11908961832523346,0.07976150512695312,0.09967651963233948,-0.11279113590717316,-0.06163439154624939,0.04613003134727478,-0.020787043496966362,-0.0699245035648346,-0.007882386445999146,-0.11050328612327576,0.006717503070831299,0.09926721453666687,-0.12162348628044128,0.05425453186035156,0.17286568880081177,-0.09766300022602081,-0.11427578330039978,0.09407779574394226,-0.04431481659412384,-0.19626253843307495,0.0007093846797943115,-0.08273237198591232,-0.2529441714286804,-0.059858351945877075,-0.08917296677827835,-0.30840975046157837,-0.12705722451210022,-0.08290410786867142
2,0.09644418954849243,0.3452877402305603,0.00856767687946558,0.1690654158592224,0.22917240858078003,-0.03464734926819801,0.19347727298736572,0.07306119799613953,-0.05323797091841698,0.1431121826171875,-0.03849741816520691,-0.07617464661598206,0.04524141550064087,-0.047532737255096436,-0.08879280090332031,0.06853771209716797,-0.03417760133743286,0.005888450890779495,0.054756104946136475,-0.10572883486747742,-0.06564001739025116,0.0937873125076294,-0.0033855140209198,-0.10175049304962158,0.12338835000991821,0.07309964299201965,-0.10613703727722168,0.0,0.0,0.0,-0.021260201930999756,-0.07431310415267944,-0.09133808314800262,0.04471933841705322,0.04853999614715576,-0.12070509791374207,0.08836549520492554,0.13322240114212036,-0.10995659232139587,-0.061692774295806885,0.046281397342681885,-0.01823873072862625,-0.06835660338401794,0.002324730157852173,-0.10761933028697968,0.008794307708740234,0.10628646612167358,-0.1178094744682312,0.05534332990646362,0.18037092685699463,-0.09014520049095154,-0.11711466312408447,0.09762755036354065,-0.03890080377459526,-0.1992451548576355,0.0029928386211395264,-0.07796086370944977,-0.2541382312774658,-0.056021809577941895,-0.08392980694770813,-0.3078438937664032,-0.11723971366882324,-0.07389400899410248
3,0.08656537532806396,0.33834385871887207,0.00411588279530406,0.1619676947593689,0.23129606246948242,-0.03625812008976936,0.18769502639770508,0.07323509454727173,-0.05400381609797478,0.14286446571350098,-0.043121784925460815,-0.07766129076480865,0.04596811532974243,-0.04752779006958008,-0.0918663889169693,0.07041090726852417,-0.030019015073776245,0.008544797077775002,0.060326218605041504,-0.10582125186920166,-0.05830371379852295,0.09236288070678711,-0.0167064368724823,-0.09050779789686203,0.1185450553894043,0.051456570625305176,-0.09340932220220566,0.0,0.0,0.0,-0.012250840663909912,-0.08495354652404785,-0.08919799327850342,0.047288477420806885,0.03218889236450195,-0.11669182777404785,0.0860450267791748,0.11113670468330383,-0.1040278896689415,-0.06324058771133423,0.040535300970077515,-0.020677778869867325,-0.06265050172805786,-0.02072480320930481,-0.10947482287883759,0.01052403450012207,0.08821719884872437,-0.1155090183019638,0.052304744720458984,0.16663193702697754,-0.08449040353298187,-0.1205136775970459,0.08643698692321777,-0.04402519017457962,-0.19555926322937012,-0.007315218448638916,-0.0812298059463501,-0.2460450530052185,-0.06684327125549316,-0.08438669145107269,-0.29528847336769104,-0.1323091685771942,-0.07244537770748138
4,0.09872764348983765,0.33750250935554504,-0.0038370932452380657,0.1756545901298523,0.23772862553596497,-0.05330831557512283,0.19192028045654297,0.05951699614524841,-0.06581471115350723,0.12809205055236816,-0.0642833411693573,-0.08077575266361237,0.02397310733795166,-0.04743620753288269,-0.08456549793481827,0.06955575942993164,-0.032430559396743774,0.003210105001926422,0.045540690422058105,-0.1114102303981781,-0.05578937381505966,0.0808597207069397,-0.01998770236968994,-0.08211465924978256,0.10557413101196289,0.041105687618255615,-0.08380648493766785,0.0,0.0,0.0,-0.0319819450378418,-0.07468399405479431,-0.08553363382816315,0.0346982479095459,0.04042631387710571,-0.11153925210237503,0.07762736082077026,0.10806581377983093,-0.09915550798177719,-0.06260234117507935,0.04495564103126526,-0.01702490821480751,-0.0843268632888794,-0.009609013795852661,-0.10464754700660706,-0.0017601251602172852,0.0898590087890625,-0.11599615216255188,0.05014830827713013,0.16112884879112244,-0.08977273106575012,-0.12086236476898193,0.09279114007949829,-0.03744906932115555,-0.20471230149269104,0.006280332803726196,-0.07810501009225845,-0.2657490074634552,-0.052666038274765015,-0.09043337404727936,-0.32605889439582825,-0.11663833260536194,-0.08634617924690247
5,0.09246498346328735,0.33643320202827454,0.0005312308785505593,0.15839558839797974,0.24240753054618835,-0.04104011878371239,0.16162270307540894,0.08736631274223328,-0.05392742156982422,0.08128505945205688,-0.008051306009292603,-0.07041651010513306,-0.017949283123016357,-0.00932350754737854,-0.07640733569860458,0.07205992937088013,-0.024521201848983765,0.007921033538877964,0.05545467138290405,-0.09817132353782654,-0.05502528324723244,0.069644033908844,-0.013202935457229614,-0.08747081458568573,0.08545368909835815,0.054727703332901,-0.09114111959934235,0.0,0.0,0.0,-0.0363316535949707,-0.07879975438117981,-0.07898486405611038,7.277727127075195e-05,0.006425440311431885,-0.11013059318065643,0.026118457317352295,0.062096983194351196,-0.10423258692026138,-0.06403833627700806,0.040137648582458496,-0.020326917991042137,-0.08839893341064453,0.00725129246711731,-0.10716485977172852,-0.014922082424163818,0.10302171111106873,-0.12311942130327225,0.031562209129333496,0.17127421498298645,-0.1007249653339386,-0.12344014644622803,0.08418461680412292,-0.042664721608161926,-0.21014147996902466,-0.0017997026443481445,-0.08024497330188751,-0.27277153730392456,-0.05729076266288757,-0.08442118018865585,-0.33325105905532837,-0.11649876832962036,-0.07500787824392319
6,0.0852399468421936,0.3289394974708557,0.002641077619045973,0.15511810779571533,0.23340165615081787,-0.04108715429902077,0.16235285997390747,0.08130288124084473,-0.0544499009847641,0.08676612377166748,-0.015261948108673096,-0.07000010460615158,-0.01017153263092041,-0.01425623893737793,-0.07440205663442612,0.07224756479263306,-0.026309072971343994,0.004967433400452137,0.05171877145767212,-0.1026926040649414,-0.0517004169523716,0.062919020652771,-0.013943642377853394,-0.0799705907702446,0.08186596632003784,0.05474346876144409,-0.08427473902702332,0.0,0.0,0.0,-0.03846430778503418,-0.08094543218612671,-0.07578932493925095,0.002659738063812256,0.01479041576385498,-0.10285447537899017,0.03825020790100098,0.07711118459701538,-0.09544169902801514,-0.06466567516326904,0.04131457209587097,-0.016907140612602234,-0.08829128742218018,0.002080947160720825,-0.09772065281867981,-0.01899278163909912,0.09626573324203491,-0.11100467294454575,0.026597797870635986,0.1648319959640503,-0.08943480998277664,-0.12359529733657837,0.08564573526382446,-0.03626793622970581,-0.20807704329490662,0.001705557107925415,-0.07435663044452667,-0.26942411065101624,-0.05271106958389282,-0.08284836262464523,-0.3279326260089874,-0.11107990145683289,-0.07729596644639969
7,0.08637571334838867,0.3266976773738861,0.0019835219718515873,0.1543990969657898,0.23042801022529602,-0.04115302115678787,0.15962320566177368,0.07893291115760803,-0.05391785129904747,0.08366703987121582,-0.015505224466323853,-0.06898507475852966,-0.013539493083953857,-0.01607125997543335,-0.0725637674331665,0.07045787572860718,-0.02671605348587036,0.005291244015097618,0.05121767520904541,-0.10158750414848328,-0.05089762061834335,0.06168317794799805,-0.011719763278961182,-0.07772082835435867,0.07946199178695679,0.05469444394111633,-0.08104001730680466,0.0,0.0,0.0,-0.03621339797973633,-0.0799933671951294,-0.07628045231103897,0.001627504825592041,0.014031141996383667,-0.10319486260414124,0.034243643283843994,0.07353177666664124,-0.0955866277217865,-0.0640978217124939,0.04117393493652344,-0.017326395958662033,-0.08843773603439331,0.0024080872535705566,-0.0990077555179596,-0.01934206485748291,0.09740439057350159,-0.11266744136810303,0.026825129985809326,0.16605791449546814,-0.09112883359193802,-0.12215733528137207,0.08523431420326233,-0.03706669062376022,-0.20610961318016052,0.0019102096557617188,-0.07599815726280212,-0.26806843280792236,-0.05264243483543396,-0.08550846576690674,-0.32691827416419983,-0.11096492409706116,-0.08060336858034134
