Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.005694091320037842,0.3543928265571594,0.06762377172708511,0.08302932977676392,0.2667090892791748,0.008788689970970154,0.09534907341003418,0.10635769367218018,-0.0152139812707901,0.021788716316223145,-0.0050386786460876465,-0.0369337797164917,-0.058813661336898804,-0.07238200306892395,-0.0555490180850029,0.08811032772064209,-0.0048757195472717285,0.006785329431295395,0.12956970930099487,-0.17843285202980042,-0.04800538718700409,0.1515921950340271,-0.28285372257232666,-0.0797969251871109,0.16776776313781738,-0.37515029311180115,-0.09862750768661499,0.0,0.0,0.0,-0.006866633892059326,-0.1859821081161499,-0.06211809813976288,-0.009309470653533936,-0.30576130747795105,-0.09625433385372162,-0.01815742254257202,-0.41073721647262573,-0.1118006557226181,-0.08067256212234497,0.04760664701461792,-0.011824652552604675,-0.11355236172676086,-0.0662723183631897,-0.10572025179862976,-0.050989747047424316,0.027416527271270752,-0.11253109574317932,-0.009643077850341797,0.10179692506790161,-0.08975863456726074,-0.14473509788513184,0.12297642230987549,-0.026526086032390594,-0.13713085651397705,0.06497722864151001,-0.10858027637004852,-0.07925677299499512,0.12856990098953247,-0.10706573724746704,-0.045181870460510254,0.18306922912597656,-0.08575549721717834
2,-0.0015310049057006836,0.3598218560218811,0.0668548047542572,0.08425438404083252,0.26374274492263794,0.013781353831291199,0.10379678010940552,0.10010689496994019,-0.009596787393093109,0.03728228807449341,-0.013709545135498047,-0.033147551119327545,-0.04778370261192322,-0.07589608430862427,-0.052875712513923645,0.09030663967132568,-0.003906667232513428,0.010743025690317154,0.13379418849945068,-0.1869722604751587,-0.04153519868850708,0.15526121854782104,-0.2928680181503296,-0.06978500634431839,0.16806530952453613,-0.38537609577178955,-0.08659704774618149,0.0,0.0,0.0,-0.0045462846755981445,-0.1967276930809021,-0.0642593577504158,-0.005833804607391357,-0.3202230632305145,-0.099126897752285,-0.01506131887435913,-0.4290483891963959,-0.11488958448171616,-0.08043324947357178,0.04257160425186157,-0.015150196850299835,-0.10859975218772888,-0.07543104887008667,-0.10896160453557968,-0.04369550943374634,0.021440982818603516,-0.11537475138902664,-0.002497375011444092,0.09777343273162842,-0.09210262447595596,-0.1421622931957245,0.11328858137130737,-0.03322941064834595,-0.12588822841644287,0.05590707063674927,-0.112708680331707,-0.06848776340484619,0.11993992328643799,-0.11235185712575912,-0.03717869520187378,0.17455893754959106,-0.09255004674196243
3,0.008481323719024658,0.3767867088317871,0.055889569222927094,0.09404009580612183,0.27774548530578613,0.00508151575922966,0.1136292815208435,0.11791390180587769,-0.01573801040649414,0.05242890119552612,0.00768047571182251,-0.03915504366159439,-0.0340704619884491,-0.05079615116119385,-0.05936812609434128,0.08968031406402588,-0.008327782154083252,0.014153741300106049,0.1322559118270874,-0.1815585196018219,-0.03834205120801926,0.15093809366226196,-0.2883293032646179,-0.06968063861131668,0.15945637226104736,-0.38241899013519287,-0.08877157419919968,0.0,0.0,0.0,-0.012196063995361328,-0.18892288208007812,-0.06411971151828766,-0.02071511745452881,-0.31039923429489136,-0.09985316544771194,-0.03541398048400879,-0.4143456220626831,-0.11541909724473953,-0.07741612195968628,0.050634026527404785,-0.019930511713027954,-0.11109232902526855,-0.05665481090545654,-0.11592493206262589,-0.042920440435409546,0.03963875770568848,-0.12324587255716324,0.0026386380195617676,0.11511820554733276,-0.09886669367551804,-0.13560014963150024,0.1292353868484497,-0.04301432520151138,-0.1299821138381958,0.06957155466079712,-0.1225414052605629,-0.07301414012908936,0.13274431228637695,-0.12006550282239914,-0.03783291578292847,0.18705826997756958,-0.09794893115758896
4,-0.03457146883010864,0.3782755732536316,0.04543636366724968,0.06037259101867676,0.2928311228752136,-0.005567103624343872,0.0946798324584961,0.1351216435432434,-0.022346798330545425,0.047092318534851074,0.016383647918701172,-0.04061364755034447,-0.021023333072662354,-0.059106409549713135,-0.054817963391542435,0.08638608455657959,0.004147469997406006,0.009441837668418884,0.14299380779266357,-0.17024514079093933,-0.0421190969645977,0.17281436920166016,-0.2706758975982666,-0.07115267217159271,0.19124823808670044,-0.3591143488883972,-0.08687140047550201,0.0,0.0,0.0,0.017381489276885986,-0.1939793825149536,-0.05962890014052391,0.0312919020652771,-0.3109741508960724,-0.0888175368309021,0.03409099578857422,-0.41091832518577576,-0.09882883727550507,-0.07936424016952515,0.037426650524139404,-0.01628478243947029,-0.09556764364242554,-0.08016246557235718,-0.10687431693077087,-0.041140735149383545,0.026049494743347168,-0.1094634085893631,-0.005708754062652588,0.10569614171981812,-0.08263218402862549,-0.14219576120376587,0.10298234224319458,-0.036009881645441055,-0.11953434348106384,0.057793378829956055,-0.11253997683525085,-0.07089823484420776,0.12798506021499634,-0.10987627506256104,-0.04440110921859741,0.18012362718582153,-0.08767913281917572
5,-0.0038883090019226074,0.3884040117263794,0.05434083193540573,0.07920479774475098,0.29026544094085693,-0.006906967610120773,0.10018366575241089,0.12615925073623657,-0.03423947095870972,0.026259303092956543,0.005624294281005859,-0.06289254873991013,-0.06496509909629822,-0.06500577926635742,-0.08722668141126633,0.0924881100654602,-0.015203535556793213,0.011679723858833313,0.1474485993385315,-0.18429595232009888,-0.044639505445957184,0.17746394872665405,-0.2897742986679077,-0.07736564427614212,0.1974756121635437,-0.38147422671318054,-0.09519534558057785,0.0,0.0,0.0,-0.03752404451370239,-0.19314098358154297,-0.07889579981565475,-0.06435224413871765,-0.32038065791130066,-0.12527191638946533,-0.09225955605506897,-0.4281388521194458,-0.14338499307632446,-0.08122667670249939,0.058091700077056885,-0.017639778554439545,-0.08571943640708923,-0.023134589195251465,-0.13331538438796997,-0.0226936936378479,0.08943367004394531,-0.1450808048248291,0.0097847580909729,0.1720474362373352,-0.11506936699151993,-0.14487886428833008,0.1355222463607788,-0.037534937262535095,-0.12250512838363647,0.06563538312911987,-0.1254993975162506,-0.07034572958946228,0.14791542291641235,-0.1161189004778862,-0.04900473356246948,0.21487927436828613,-0.08394784480333328
6,0.005790054798126221,0.3897717595100403,0.048646144568920135,0.08941781520843506,0.28874456882476807,-0.013057883828878403,0.11080574989318848,0.1249118447303772,-0.04018794372677803,0.032872140407562256,0.007096350193023682,-0.06886249780654907,-0.0629749596118927,-0.05911439657211304,-0.09319610893726349,0.09257757663726807,-0.014724552631378174,0.010694332420825958,0.14956063032150269,-0.18317395448684692,-0.04683366045355797,0.1812228560447693,-0.2855404317378998,-0.0808485895395279,0.20145070552825928,-0.3739171326160431,-0.09851224720478058,0.0,0.0,0.0,-0.03993678092956543,-0.19505620002746582,-0.0762467086315155,-0.0626743733882904,-0.3168577253818512,-0.1191292554140091,-0.08860749006271362,-0.420854389667511,-0.13422559201717377,-0.07898157835006714,0.057888805866241455,-0.017474081367254257,-0.07709044218063354,-0.027050763368606567,-0.130342036485672,-0.010396122932434082,0.08434134721755981,-0.13916021585464478,0.019884228706359863,0.16496402025222778,-0.10739070177078247,-0.14058712124824524,0.13708055019378662,-0.03753121569752693,-0.10968109965324402,0.0647692084312439,-0.12221500277519226,-0.05704456567764282,0.14523375034332275,-0.10923829674720764,-0.039565980434417725,0.21201229095458984,-0.07457493245601654
7,-0.0017269253730773926,0.3944157361984253,0.04201086238026619,0.08376061916351318,0.291281521320343,-0.01897978037595749,0.10690188407897949,0.12635266780853271,-0.043430354446172714,0.029207885265350342,0.007197678089141846,-0.06981697678565979,-0.06757014989852905,-0.057437360286712646,-0.09195257723331451,0.09350627660751343,-0.01587754487991333,0.01063472032546997,0.14659619331359863,-0.1868751049041748,-0.044763606041669846,0.17511343955993652,-0.2905343174934387,-0.07779331505298615,0.193206787109375,-0.37941843271255493,-0.09491056203842163,0.0,0.0,0.0,-0.042816162109375,-0.1933266520500183,-0.07415331900119781,-0.06828725337982178,-0.3146997392177582,-0.1174541562795639,-0.09536769986152649,-0.41816282272338867,-0.13287562131881714,-0.07968714833259583,0.05968582630157471,-0.01774543896317482,-0.084075927734375,-0.02231818437576294,-0.1302289068698883,-0.01806694269180298,0.08755242824554443,-0.1409536600112915,0.01370304822921753,0.16651278734207153,-0.11024610698223114,-0.14280596375465393,0.14018583297729492,-0.037952858954668045,-0.11720645427703857,0.06968492269515991,-0.12305134534835815,-0.06435590982437134,0.14899015426635742,-0.11133483052253723,-0.044180482625961304,0.21431082487106323,-0.07735992968082428
