Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.08988937735557556,0.2885911464691162,0.0540478453040123,0.031667351722717285,0.2755180597305298,-0.027042604982852936,0.14622458815574646,0.19565188884735107,-0.06609873473644257,0.2467394769191742,0.12213486433029175,-0.09740141034126282,0.3383370339870453,0.09223043918609619,-0.12505711615085602,0.08636680245399475,0.0013556480407714844,-0.00954078882932663,0.10045835375785828,-0.13967859745025635,-0.05725770443677902,0.10772266983985901,-0.23848170042037964,-0.07794101536273956,0.10614219307899475,-0.3204142451286316,-0.09244191646575928,0.0,0.0,0.0,0.02508622407913208,-0.07389143109321594,-0.06405127048492432,0.009711503982543945,0.04250866174697876,-0.06093209981918335,-0.0008989572525024414,0.06882143020629883,-0.04074011743068695,-0.082145094871521,0.01672661304473877,-0.0016369745135307312,-0.06786307692527771,-0.012544333934783936,-0.07436782121658325,-0.06700840592384338,0.09019351005554199,-0.04628525674343109,-0.07065829634666443,0.0952560305595398,-0.0084780752658844,-0.1647595465183258,0.043978750705718994,-0.010937564074993134,-0.1515391767024994,0.00703275203704834,-0.055335551500320435,-0.13662725687026978,0.0803842544555664,-0.02908848226070404,-0.14284256100654602,0.09559893608093262,0.0010066963732242584
2,-0.09536993503570557,0.2970529794692993,0.053762342780828476,0.030651003122329712,0.27613139152526855,-0.0247839093208313,0.14427274465560913,0.19151651859283447,-0.06257696449756622,0.2437637448310852,0.1179816722869873,-0.09301438927650452,0.3377017378807068,0.08741247653961182,-0.12046295404434204,0.08132606744766235,-0.001008450984954834,-0.008074861019849777,0.09627377986907959,-0.14449691772460938,-0.05625312775373459,0.09741562604904175,-0.24174261093139648,-0.08086623251438141,0.09617310762405396,-0.3232135474681854,-0.09919224679470062,0.0,0.0,0.0,0.01586654782295227,-0.08388489484786987,-0.07421648502349854,0.003766477108001709,0.031005918979644775,-0.08025550842285156,-0.0006574392318725586,0.07732683420181274,-0.06388182938098907,-0.08211225271224976,0.018815279006958008,-0.001995384693145752,-0.07322943210601807,-0.01880967617034912,-0.08393360674381256,-0.073616623878479,0.08698594570159912,-0.061623163521289825,-0.07260915637016296,0.10578030347824097,-0.024087607860565186,-0.16460859775543213,0.04569786787033081,-0.010622888803482056,-0.1519632637500763,0.0019989609718322754,-0.061058588325977325,-0.13817575573921204,0.08013379573822021,-0.03739222139120102,-0.13915959000587463,0.10293692350387573,-0.007128164172172546
3,-0.09587162733078003,0.3042915463447571,0.04720684140920639,0.03341543674468994,0.28100377321243286,-0.018490787595510483,0.1502366065979004,0.19130921363830566,-0.04863554611802101,0.2439500093460083,0.11400806903839111,-0.07414273917675018,0.3367682099342346,0.09148979187011719,-0.0981936901807785,0.07948821783065796,-0.0011498332023620605,-0.002051115036010742,0.09510147571563721,-0.1485958695411682,-0.04462575539946556,0.09612530469894409,-0.24277392029762268,-0.06772583723068237,0.09592312574386597,-0.3246898651123047,-0.08651338517665863,0.0,0.0,0.0,0.019227683544158936,-0.09099933505058289,-0.07639898359775543,0.008641690015792847,0.02116948366165161,-0.08867575228214264,0.00018426775932312012,0.07551383972167969,-0.07615995407104492,-0.081612229347229,0.021060287952423096,-0.005913540720939636,-0.07024061679840088,-0.01969212293624878,-0.08808103203773499,-0.07299509644508362,0.0842638611793518,-0.07159914076328278,-0.07782751321792603,0.11021935939788818,-0.03758678957819939,-0.16657453775405884,0.049165964126586914,-0.016832757741212845,-0.15329143404960632,0.005064666271209717,-0.06698553264141083,-0.1401005983352661,0.08140552043914795,-0.04697934165596962,-0.14019110798835754,0.10638320446014404,-0.019633356481790543
4,-0.06280562281608582,0.3140413463115692,0.05085769295692444,0.06731528043746948,0.2794932425022125,-0.0062744878232479095,0.17491444945335388,0.1812829077243805,-0.03301713988184929,0.265872985124588,0.10791262984275818,-0.056402552872896194,0.3541721999645233,0.08329758048057556,-0.07864442467689514,0.08424973487854004,-0.005409210920333862,0.002144463360309601,0.0930924117565155,-0.15999001264572144,-0.04022557660937309,0.0976075530052185,-0.25444450974464417,-0.06436900794506073,0.0944330096244812,-0.3385273218154907,-0.08352571725845337,0.0,0.0,0.0,0.033422380685806274,-0.08998379111289978,-0.0723552256822586,0.03390130400657654,0.026911050081253052,-0.08480854332447052,0.016466975212097168,0.07738450169563293,-0.07449279725551605,-0.0823063850402832,0.026027768850326538,-0.008556362241506577,-0.05323114991188049,-0.018390536308288574,-0.08857804536819458,-0.04647061228752136,0.08813855051994324,-0.07106980681419373,-0.058689624071121216,0.11408552527427673,-0.037554945796728134,-0.16593971848487854,0.06235429644584656,-0.02094407007098198,-0.14156004786491394,0.014293134212493896,-0.07110145688056946,-0.11959585547447205,0.08793774247169495,-0.04828472062945366,-0.1263127624988556,0.11520162224769592,-0.01898026093840599
5,-0.09338387846946716,0.32594966888427734,0.060729365795850754,0.040686726570129395,0.29778045415878296,-0.02613801881670952,0.15748828649520874,0.207675039768219,-0.07218766212463379,0.2564425468444824,0.12289732694625854,-0.11131647229194641,0.3422495126724243,0.06703728437423706,-0.14581118524074554,0.08818250894546509,-0.006422936916351318,-0.010016817599534988,0.10158014297485352,-0.15995565056800842,-0.06785506010055542,0.10758256912231445,-0.2657029628753662,-0.09324543178081512,0.10543930530548096,-0.3539455533027649,-0.10877123475074768,0.0,0.0,0.0,0.020258665084838867,-0.07046365737915039,-0.07552681863307953,0.013279080390930176,0.060802996158599854,-0.0718478262424469,0.003721773624420166,0.08861923217773438,-0.0476827509701252,-0.08751693367958069,0.020629167556762695,-0.002398323267698288,-0.0730125904083252,-0.018787384033203125,-0.08438093960285187,-0.0665266215801239,0.09398579597473145,-0.05069993808865547,-0.07112926244735718,0.09753435850143433,-0.006200771778821945,-0.1745908260345459,0.0484929084777832,-0.012962829321622849,-0.15902966260910034,0.004223644733428955,-0.059689443558454514,-0.1381675899028778,0.08500492572784424,-0.026497427374124527,-0.1443781852722168,0.10461080074310303,0.010655440390110016
6,-0.096371591091156,0.3406760096549988,0.04767819121479988,0.0379101037979126,0.3110654950141907,-0.045274704694747925,0.1536577343940735,0.21374088525772095,-0.08726177364587784,0.25191640853881836,0.12123870849609375,-0.11973746865987778,0.34655648469924927,0.06694984436035156,-0.14552578330039978,0.08858507871627808,-0.004128158092498779,-0.012338109314441681,0.09928053617477417,-0.15568584203720093,-0.06555425375699997,0.09944647550582886,-0.25969967246055603,-0.08689088374376297,0.09605103731155396,-0.3486606776714325,-0.10007473081350327,0.0,0.0,0.0,0.02250617742538452,-0.0772668719291687,-0.07635445147752762,0.010675668716430664,0.056029319763183594,-0.07378114759922028,0.005216121673583984,0.085690438747406,-0.04842975735664368,-0.08872771263122559,0.018886864185333252,-0.001712348312139511,-0.07269608974456787,-0.01643449068069458,-0.09311691671609879,-0.0719132125377655,0.10370951890945435,-0.06583345681428909,-0.07276630401611328,0.10565406084060669,-0.021766915917396545,-0.17972278594970703,0.04609990119934082,-0.011347893625497818,-0.16338437795639038,0.0060634613037109375,-0.06807490438222885,-0.14427921175956726,0.09514188766479492,-0.041292451322078705,-0.1478431224822998,0.11584043502807617,-0.0063651204109191895
7,-0.09699735045433044,0.34292078018188477,0.047692421823740005,0.037387967109680176,0.3112727999687195,-0.04330267384648323,0.15180999040603638,0.21278917789459229,-0.08512008190155029,0.24930793046951294,0.11981254816055298,-0.11815419793128967,0.34409743547439575,0.06385350227355957,-0.14430828392505646,0.08911937475204468,-0.0047879815101623535,-0.011026009917259216,0.09904283285140991,-0.1585545539855957,-0.0651751309633255,0.09876406192779541,-0.2629917562007904,-0.08627645671367645,0.09487289190292358,-0.3517647385597229,-0.09886379539966583,0.0,0.0,0.0,0.02183818817138672,-0.07923692464828491,-0.07881784439086914,0.011121928691864014,0.05514103174209595,-0.07685741782188416,0.005749762058258057,0.08517318964004517,-0.05117185041308403,-0.08881783485412598,0.01897662878036499,-0.002914227545261383,-0.07345515489578247,-0.01696634292602539,-0.0971507728099823,-0.07138669490814209,0.10446977615356445,-0.0706215649843216,-0.07240235805511475,0.10656982660293579,-0.02617611363530159,-0.17984819412231445,0.045440614223480225,-0.01341644674539566,-0.16408395767211914,0.006069839000701904,-0.07161462306976318,-0.14371415972709656,0.09553509950637817,-0.04525924101471901,-0.14715343713760376,0.11604166030883789,-0.010276231914758682
