Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.07245796918869019,0.12777471542358398,0.27522385120391846,0.1460619568824768,0.14970043301582336,0.11903484165668488,0.14588582515716553,0.18699923157691956,0.025972843170166016,0.10754412412643433,0.2350575029850006,-0.02897709608078003,0.041416049003601074,0.2725251019001007,-0.08178108930587769,0.1120346188545227,0.006165891885757446,-0.048539161682128906,0.10333305597305298,0.14779964089393616,-0.14055687189102173,0.11474645137786865,0.3002496659755707,-0.17392104864120483,0.11568373441696167,0.41178926825523376,-0.19173648953437805,0.0,0.0,0.0,-0.04952782392501831,0.17617866396903992,-0.08615174889564514,-0.05199307203292847,0.343351274728775,-0.10164615511894226,-0.0490955114364624,0.45801398158073425,-0.11442390084266663,-0.09247484803199768,0.0401444137096405,0.04954509437084198,-0.13076606392860413,0.21655043959617615,-0.03208407759666443,-0.11611652374267578,0.3415539562702179,-0.03131565451622009,-0.09963873028755188,0.4198808968067169,-0.02990049123764038,-0.15693330764770508,0.1030125617980957,0.09190112352371216,-0.16505396366119385,0.24804595112800598,0.023146986961364746,-0.12256333231925964,0.324201375246048,0.02306494116783142,-0.08275705575942993,0.35993292927742004,0.028058260679244995
2,0.040856778621673584,0.22590401768684387,0.2165798544883728,0.12309855222702026,0.2339906394481659,0.0760917216539383,0.12247753143310547,0.21669992804527283,-0.007436856627464294,0.035338521003723145,0.24729326367378235,-0.060960978269577026,-0.06056708097457886,0.2666904032230377,-0.11167079210281372,0.10319942235946655,0.014081388711929321,-0.03187435865402222,0.13913005590438843,0.1155572235584259,-0.1327243447303772,0.1520329713821411,0.21822258830070496,-0.19417133927345276,0.14928096532821655,0.3176696002483368,-0.22727733850479126,0.0,0.0,0.0,-0.05158916115760803,0.1855800449848175,-0.11651363968849182,-0.06955179572105408,0.3379838168621063,-0.16366946697235107,-0.0697086751461029,0.47010424733161926,-0.18034613132476807,-0.08484652638435364,0.036479800939559937,0.029911011457443237,-0.0888938307762146,0.24720314145088196,-0.07164672017097473,-0.035347431898117065,0.36725547909736633,-0.0769120454788208,0.0044762492179870605,0.4490039646625519,-0.06160286068916321,-0.14480137825012207,0.09837296605110168,0.051693543791770935,-0.12750151753425598,0.2460756003856659,-0.025245577096939087,-0.0727681815624237,0.3266390264034271,-0.01990319788455963,-0.03532102704048157,0.3671868145465851,0.0015498548746109009
3,0.00866246223449707,0.11629649996757507,0.22741691768169403,0.09891504049301147,0.13385531306266785,0.12302478402853012,0.10247993469238281,0.16949179768562317,0.045387446880340576,0.037460505962371826,0.23593899607658386,-0.008229479193687439,-0.021572649478912354,0.2862960994243622,-0.05745573341846466,0.10117971897125244,0.020993173122406006,-0.026364430785179138,0.11435753107070923,0.20083144307136536,-0.1145050972700119,0.1021730899810791,0.3403032720088959,-0.1578919142484665,0.08681231737136841,0.4421212375164032,-0.17577512562274933,0.0,0.0,0.0,-0.009692847728729248,0.2408982813358307,-0.07235278189182281,-0.024480104446411133,0.3589191138744354,-0.07744909822940826,-0.0250319242477417,0.43136653304100037,-0.07337425649166107,-0.09625956416130066,0.015412598848342896,0.029866546392440796,-0.10331684350967407,0.24088367819786072,-0.011118918657302856,-0.08088088035583496,0.2629028260707855,0.0164252370595932,-0.0644957423210144,0.24701449275016785,0.039022862911224365,-0.1841135025024414,0.05405375361442566,0.05094918608665466,-0.17108416557312012,0.20801934599876404,0.029411792755126953,-0.13227427005767822,0.22349998354911804,0.05921056866645813,-0.10855287313461304,0.2063176929950714,0.088730588555336
4,-0.017048895359039307,0.21118956804275513,0.17878328263759613,0.05421632528305054,0.24929523468017578,0.06857676059007645,0.09556347131729126,0.2797459363937378,-0.021663829684257507,0.04711037874221802,0.3237391710281372,-0.09878000617027283,-0.012688040733337402,0.3299999237060547,-0.1744178831577301,0.0930945873260498,0.04342067241668701,-0.010241985321044922,0.13168495893478394,0.09255772829055786,-0.14026078581809998,0.14150655269622803,0.13705715537071228,-0.23393812775611877,0.13878226280212402,0.18833404779434204,-0.28854212164878845,0.0,0.0,0.0,0.004848182201385498,0.2008364200592041,-0.1348639726638794,0.0072983503341674805,0.3637439012527466,-0.1794554889202118,0.01714271306991577,0.4643373489379883,-0.1902666687965393,-0.08627188205718994,0.02471253275871277,0.0010601133108139038,-0.07627826929092407,0.2326769232749939,-0.10558667778968811,-0.05244988203048706,0.332267165184021,-0.09088104963302612,-0.037528395652770996,0.37316739559173584,-0.06093446910381317,-0.16004639863967896,0.07813137769699097,-0.00769399106502533,-0.1434134542942047,0.22421878576278687,-0.0776265561580658,-0.11171075701713562,0.2944451570510864,-0.058875709772109985,-0.09213677048683167,0.31480473279953003,-0.02827143669128418
5,-0.04440796375274658,0.18976792693138123,0.18771342933177948,0.049857378005981445,0.2252427041530609,0.0858982503414154,0.10268568992614746,0.25984224677085876,-0.0049339234828948975,0.07423603534698486,0.2983039915561676,-0.08433374762535095,0.031181275844573975,0.3188684284687042,-0.16105517745018005,0.10856831073760986,0.032984018325805664,-0.008778274059295654,0.1352999210357666,0.18536517024040222,-0.13777241110801697,0.13308829069137573,0.3169023096561432,-0.21953576803207397,0.11952799558639526,0.41459324955940247,-0.25894591212272644,0.0,0.0,0.0,-0.023399949073791504,0.21510788798332214,-0.1347293257713318,-0.04239153861999512,0.37551525235176086,-0.1694774627685547,-0.06676238775253296,0.47667381167411804,-0.16628801822662354,-0.10342821478843689,0.028272539377212524,0.0023758262395858765,-0.09703648090362549,0.23365876078605652,-0.1031050980091095,-0.050363123416900635,0.31154975295066833,-0.09067565202713013,-0.018748223781585693,0.33236852288246155,-0.05487769842147827,-0.18629178404808044,0.07831048965454102,-0.0021229088306427,-0.1684948205947876,0.2183673083782196,-0.059449970722198486,-0.13004785776138306,0.2696547210216522,-0.03759351372718811,-0.10406970977783203,0.27202537655830383,-0.002068564295768738
6,-0.058573782444000244,0.20912349224090576,0.17689169943332672,0.03676027059555054,0.24237287044525146,0.06921730935573578,0.094981849193573,0.2693856954574585,-0.02088126540184021,0.0806494951248169,0.30123627185821533,-0.0991232693195343,0.03414803743362427,0.3199958801269531,-0.1715981662273407,0.11017322540283203,0.03198745846748352,-0.009810343384742737,0.1423778533935547,0.18466192483901978,-0.14745500683784485,0.13590002059936523,0.3198543190956116,-0.23151075839996338,0.11999905109405518,0.4185008406639099,-0.2689836025238037,0.0,0.0,0.0,-0.036064207553863525,0.21285635232925415,-0.1410069763660431,-0.054166555404663086,0.37222927808761597,-0.17197108268737793,-0.07841700315475464,0.4695153832435608,-0.16304489970207214,-0.10532701015472412,0.02626699209213257,-0.0003470778465270996,-0.1124584972858429,0.24565142393112183,-0.11102017760276794,-0.0719035267829895,0.34104490280151367,-0.09318497776985168,-0.04468435049057007,0.3689722418785095,-0.0505572110414505,-0.18600952625274658,0.07689157128334045,-0.009822145104408264,-0.1789846420288086,0.22337478399276733,-0.07182715833187103,-0.14610493183135986,0.27616846561431885,-0.052103206515312195,-0.12181484699249268,0.2755817174911499,-0.015567854046821594
7,-0.05175060033798218,0.1943521499633789,0.1782100945711136,0.03152203559875488,0.23191165924072266,0.07797574996948242,0.08606672286987305,0.2699594497680664,-0.012983590364456177,0.08275097608566284,0.31942218542099,-0.09393973648548126,0.04617208242416382,0.35285210609436035,-0.16957910358905792,0.11314660310745239,0.032169193029403687,-0.0056693702936172485,0.13479042053222656,0.18514060974121094,-0.14196480810642242,0.12491589784622192,0.31715965270996094,-0.22775264084339142,0.1081191897392273,0.41730940341949463,-0.26667362451553345,0.0,0.0,0.0,-0.046528160572052,0.2083796262741089,-0.13161979615688324,-0.0735822319984436,0.3468588590621948,-0.16283972561359406,-0.10190525650978088,0.42718827724456787,-0.15841282904148102,-0.10487827658653259,0.024245083332061768,-0.0034451037645339966,-0.11604133248329163,0.2452409267425537,-0.09855394065380096,-0.08167129755020142,0.3219826817512512,-0.07713069021701813,-0.053652405738830566,0.3347228169441223,-0.03755521774291992,-0.18509966135025024,0.07447868585586548,-0.01682111620903015,-0.17786192893981934,0.2226608395576477,-0.0657777339220047,-0.14360183477401733,0.2700648307800293,-0.04019981622695923,-0.11231151223182678,0.26797008514404297,-0.0027108490467071533
