Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.1319606602191925,0.37191396951675415,0.003934995271265507,0.25248855352401733,0.23871570825576782,0.04233890771865845,0.28908008337020874,0.0919104814529419,0.034945808351039886,0.34415072202682495,-0.006287038326263428,0.0026160702109336853,0.3586816191673279,-0.09550473093986511,-0.028139743953943253,0.02734231948852539,-0.014363408088684082,0.057872626930475235,0.11357718706130981,-0.19580192863941193,-0.004610768053680658,0.2413696050643921,-0.219046488404274,-0.06609503924846649,0.3256103992462158,-0.17640286684036255,-0.0989430844783783,0.0,0.0,0.0,0.11035776138305664,-0.21904627978801727,-0.059844907373189926,0.26466548442840576,-0.22579804062843323,-0.11061442643404007,0.3469902276992798,-0.16130715608596802,-0.13609597086906433,0.008153289556503296,0.018273204565048218,-0.061121221631765366,0.0990457534790039,-0.20170028507709503,-0.10794761031866074,0.2496437430381775,-0.2025492638349533,-0.12040871381759644,0.32569068670272827,-0.13871139287948608,-0.11873626708984375,0.05540311336517334,0.04327660799026489,-0.12142761796712875,0.13931462168693542,-0.13123074173927307,-0.14933297038078308,0.24429821968078613,-0.14578011631965637,-0.1407703012228012,0.30658620595932007,-0.10178202390670776,-0.12810035049915314
2,0.12182962894439697,0.3949563503265381,0.0026144066359847784,0.24949955940246582,0.2456074357032776,0.03447142243385315,0.2897754907608032,0.09248751401901245,0.02466159500181675,0.3393208384513855,-0.0067557692527771,-0.00850741472095251,0.35363948345184326,-0.09606927633285522,-0.03888784348964691,0.03049290180206299,-0.013636589050292969,0.05324988067150116,0.11056014895439148,-0.19196189939975739,-0.009341760538518429,0.2376829981803894,-0.21728022396564484,-0.06862309575080872,0.3261069059371948,-0.1772809475660324,-0.09858375787734985,0.0,0.0,0.0,0.11414635181427002,-0.21382397413253784,-0.05805443972349167,0.2610694169998169,-0.21563367545604706,-0.10397384315729141,0.33914119005203247,-0.15240773558616638,-0.12460298091173172,0.006156414747238159,0.020429342985153198,-0.05730469524860382,0.0992724597454071,-0.19442634284496307,-0.10375601798295975,0.2425905466079712,-0.19372323155403137,-0.11224375665187836,0.31691664457321167,-0.133156418800354,-0.10594294220209122,0.05134528875350952,0.047573626041412354,-0.1144610270857811,0.131911963224411,-0.12319517135620117,-0.14186838269233704,0.2350999116897583,-0.14140549302101135,-0.13108737766742706,0.3003200888633728,-0.10388317704200745,-0.11434754729270935
3,0.13089892268180847,0.39979076385498047,-0.0028791374061256647,0.25157803297042847,0.2517160177230835,0.024882590398192406,0.2968156933784485,0.09845876693725586,0.015588751994073391,0.34775590896606445,-0.004579991102218628,-0.014800376258790493,0.3543536067008972,-0.09540486335754395,-0.0409466028213501,0.029750555753707886,-0.011287152767181396,0.04831898212432861,0.11168044805526733,-0.19139215350151062,-0.013888041488826275,0.24299663305282593,-0.21693283319473267,-0.07484720647335052,0.3355950713157654,-0.17810140550136566,-0.10546550154685974,0.0,0.0,0.0,0.11352640390396118,-0.21419908106327057,-0.05613810569047928,0.262482225894928,-0.22120371460914612,-0.10382029414176941,0.34477096796035767,-0.1601864993572235,-0.1262713372707367,0.007449924945831299,0.01969960331916809,-0.05248844996094704,0.10255032777786255,-0.19432294368743896,-0.09672090411186218,0.24543803930282593,-0.19731494784355164,-0.10875426977872849,0.3214150667190552,-0.13792157173156738,-0.10537832230329514,0.052240580320358276,0.04625201225280762,-0.10506586730480194,0.13767826557159424,-0.12227129936218262,-0.130463108420372,0.240528404712677,-0.13806521892547607,-0.12109782546758652,0.3055074214935303,-0.09810507297515869,-0.10547472536563873
4,0.10847434401512146,0.4030122458934784,0.0004897023318335414,0.23715633153915405,0.25352010130882263,0.03607357293367386,0.2848259210586548,0.10239508748054504,0.028287487104535103,0.33753520250320435,0.004044055938720703,-0.003989318385720253,0.35616952180862427,-0.0910315215587616,-0.033588118851184845,0.03587871789932251,-0.013768553733825684,0.05533280968666077,0.1092042326927185,-0.1996883749961853,-0.00605022395029664,0.23935753107070923,-0.21966324746608734,-0.063371941447258,0.329622745513916,-0.17830373346805573,-0.09215915203094482,0.0,0.0,0.0,0.10637617111206055,-0.21548224985599518,-0.053038090467453,0.25622814893722534,-0.21854011714458466,-0.09521745145320892,0.3368399143218994,-0.1601024568080902,-0.11589940637350082,0.0008777976036071777,0.02198883891105652,-0.06008823215961456,0.09058013558387756,-0.20368321239948273,-0.10576645284891129,0.23758941888809204,-0.2022707313299179,-0.11360777914524078,0.3147734999656677,-0.14140984416007996,-0.1085192859172821,0.041169703006744385,0.050145864486694336,-0.11969964951276779,0.12198129296302795,-0.1285811960697174,-0.14898698031902313,0.22778034210205078,-0.14213430881500244,-0.1388806402683258,0.29303717613220215,-0.09937688708305359,-0.12357322871685028
5,0.09716635942459106,0.42191413044929504,0.012545992620289326,0.24546796083450317,0.2638218104839325,0.04459933564066887,0.29136741161346436,0.10733315348625183,0.036516934633255005,0.3443180322647095,0.006087630987167358,0.005250088404864073,0.3748531937599182,-0.08667364716529846,-0.022987499833106995,0.030149519443511963,-0.012042969465255737,0.05471964180469513,0.14524221420288086,-0.18648120760917664,-0.006218980066478252,0.2821922302246094,-0.20162923634052277,-0.06328706443309784,0.37316006422042847,-0.16348254680633545,-0.09509926289319992,0.0,0.0,0.0,0.13911765813827515,-0.20606562495231628,-0.05605623871088028,0.29771924018859863,-0.2087552845478058,-0.09709292650222778,0.3858298063278198,-0.15199047327041626,-0.11823210120201111,0.011233627796173096,0.020597785711288452,-0.058937251567840576,0.13414454460144043,-0.19476701319217682,-0.10556845366954803,0.2871958017349243,-0.19323158264160156,-0.11613406240940094,0.36897099018096924,-0.1350802779197693,-0.11487656831741333,0.0636933445930481,0.048367470502853394,-0.11803676187992096,0.1668524146080017,-0.12044686079025269,-0.14646869897842407,0.272297203540802,-0.1298222839832306,-0.13886933028697968,0.33780449628829956,-0.0874156653881073,-0.12762269377708435
6,0.09827578067779541,0.4247887134552002,0.0011793117737397552,0.23875021934509277,0.27017682790756226,0.03358998894691467,0.29433882236480713,0.11064565181732178,0.025595013052225113,0.3563407063484192,0.003486335277557373,-0.005610326305031776,0.38651424646377563,-0.08676767349243164,-0.03326307237148285,0.029133260250091553,-0.010351985692977905,0.053942132741212845,0.14263123273849487,-0.18674863874912262,-0.00973654817789793,0.28166335821151733,-0.19979147613048553,-0.07165750861167908,0.37474334239959717,-0.15788018703460693,-0.1046680212020874,0.0,0.0,0.0,0.14810723066329956,-0.2100284993648529,-0.059793632477521896,0.30498385429382324,-0.20087233185768127,-0.1083742082118988,0.3888424038887024,-0.13642585277557373,-0.1313941925764084,0.011217176914215088,0.021267980337142944,-0.05789773166179657,0.13900786638259888,-0.18928219377994537,-0.10630440711975098,0.2885567545890808,-0.17715898156166077,-0.1188184916973114,0.36596614122390747,-0.11363047361373901,-0.11558589339256287,0.06116509437561035,0.051574647426605225,-0.11579326540231705,0.1674097776412964,-0.11272138357162476,-0.14317891001701355,0.2741026282310486,-0.11612671613693237,-0.1336168348789215,0.3402813673019409,-0.07120293378829956,-0.11845933645963669
7,0.1016586422920227,0.4239324927330017,0.0014407041016966105,0.240309476852417,0.26487642526626587,0.03351741284132004,0.29563719034194946,0.1050216555595398,0.024308588355779648,0.3541385531425476,-0.00037491321563720703,-0.008025966584682465,0.3833352327346802,-0.0924958884716034,-0.036650702357292175,0.03030058741569519,-0.012135207653045654,0.05377973988652229,0.142306387424469,-0.18915718793869019,-0.009758380241692066,0.27957290410995483,-0.20334944128990173,-0.07113803923130035,0.3711441159248352,-0.16217473149299622,-0.10383328795433044,0.0,0.0,0.0,0.14647185802459717,-0.21205800771713257,-0.061061032116413116,0.30254071950912476,-0.20347148180007935,-0.11027908325195312,0.38587820529937744,-0.140423983335495,-0.1333019733428955,0.010667026042938232,0.021782904863357544,-0.05765550956130028,0.134688138961792,-0.19093936681747437,-0.10653521865606308,0.2845437526702881,-0.18098235130310059,-0.11923833936452866,0.3633338212966919,-0.11906278133392334,-0.11600541323423386,0.06004899740219116,0.051836222410202026,-0.1153608113527298,0.16312003135681152,-0.1123410165309906,-0.14368806779384613,0.27104711532592773,-0.12150591611862183,-0.135665163397789,0.3395100235939026,-0.0818733274936676,-0.12147404998540878
