Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.06800168752670288,0.28925585746765137,0.044887568801641464,0.01338350772857666,0.24706923961639404,-0.013435784727334976,0.06816995143890381,0.12429940700531006,-0.03606163710355759,0.03754568099975586,0.025276660919189453,-0.054404787719249725,-0.026942908763885498,-0.04011434316635132,-0.06773125380277634,0.060362815856933594,0.0028342008590698242,0.0007952414453029633,0.051102519035339355,-0.13465315103530884,-0.03818165510892868,0.03310537338256836,-0.23114508390426636,-0.06439658254384995,0.011572599411010742,-0.3141031563282013,-0.0818503201007843,0.0,0.0,0.0,0.02958446741104126,-0.1596236228942871,-0.0413704589009285,0.06500577926635742,-0.2545110583305359,-0.06127466261386871,0.08779513835906982,-0.3302895128726959,-0.06882379204034805,-0.06152695417404175,0.024253427982330322,-0.008025038987398148,-0.0425487756729126,-0.08978676795959473,-0.08032454550266266,-0.019614875316619873,-0.009326398372650146,-0.08206623792648315,-0.01497340202331543,0.057553231716156006,-0.061609357595443726,-0.11588537693023682,0.06995034217834473,-0.02037406712770462,-0.07301697134971619,0.015253007411956787,-0.08606979250907898,-0.049128711223602295,0.07898193597793579,-0.08377590775489807,-0.05069255828857422,0.13275903463363647,-0.0664752945303917
2,-0.07454925775527954,0.3096626400947571,0.04480338469147682,0.00873875617980957,0.25138330459594727,-0.012505963444709778,0.06528604030609131,0.1312861442565918,-0.037321534007787704,0.0353890061378479,0.03071814775466919,-0.05950331315398216,-0.029277443885803223,-0.040645718574523926,-0.0769558995962143,0.06252795457839966,-0.0016040205955505371,0.002988915890455246,0.05062586069107056,-0.14123043417930603,-0.037237297743558884,0.032530128955841064,-0.23907238245010376,-0.06540200114250183,0.01397782564163208,-0.32264211773872375,-0.08387593924999237,0.0,0.0,0.0,0.02127605676651001,-0.161647230386734,-0.042046647518873215,0.04854375123977661,-0.2537343502044678,-0.06267304718494415,0.06452536582946777,-0.3257068395614624,-0.0711228996515274,-0.06259512901306152,0.028197646141052246,-0.010796260088682175,-0.05289727449417114,-0.079204261302948,-0.08448341488838196,-0.02568233013153076,-0.00019419193267822266,-0.08986842632293701,-0.018071234226226807,0.06709510087966919,-0.07165662944316864,-0.11869603395462036,0.07707047462463379,-0.025781791657209396,-0.08441361784934998,0.009714782238006592,-0.08978968858718872,-0.054972946643829346,0.07150876522064209,-0.08788281679153442,-0.050670087337493896,0.1283571720123291,-0.07147099077701569
3,-0.09374475479125977,0.31882959604263306,0.03032662905752659,-0.0186118483543396,0.2612820267677307,-0.033095236867666245,0.03138059377670288,0.13799512386322021,-0.05612519755959511,0.005284249782562256,0.0305635929107666,-0.07567824423313141,-0.057714223861694336,-0.051264047622680664,-0.08967587351799011,0.06188148260116577,0.0030855536460876465,7.450580596923828e-09,0.042708635330200195,-0.13429147005081177,-0.041394446045160294,0.017815768718719482,-0.2283775806427002,-0.07057204842567444,-0.008366107940673828,-0.31116166710853577,-0.08972099423408508,0.0,0.0,0.0,0.02984374761581421,-0.1632351279258728,-0.046994615346193314,0.057821035385131836,-0.24886173009872437,-0.07119877636432648,0.0755576491355896,-0.3224026560783386,-0.07923941314220428,-0.06673890352249146,0.027416467666625977,-0.009532034397125244,-0.07032221555709839,-0.07444977760314941,-0.09366238117218018,-0.051019251346588135,0.02074068784713745,-0.10241444408893585,-0.04140663146972656,0.08983820676803589,-0.08196993172168732,-0.1255556344985962,0.07772284746170044,-0.02313585951924324,-0.10469120740890503,0.023129642009735107,-0.09559664130210876,-0.08405497670173645,0.0969584584236145,-0.09550189971923828,-0.07934597134590149,0.15012198686599731,-0.07774543762207031
4,-0.060734838247299194,0.32648777961730957,0.04744768887758255,0.02824103832244873,0.25910037755966187,-0.0029125958681106567,0.0835610032081604,0.12939095497131348,-0.02459750697016716,0.05279839038848877,0.02948826551437378,-0.04529860243201256,-0.010655999183654785,-0.034246861934661865,-0.061185073107481,0.06412112712860107,-0.001206040382385254,0.007991250604391098,0.05064690113067627,-0.14331984519958496,-0.03325188532471657,0.02837449312210083,-0.23921102285385132,-0.06397581100463867,0.005278229713439941,-0.32405325770378113,-0.0857926458120346,0.0,0.0,0.0,0.021080732345581055,-0.16934284567832947,-0.04222020134329796,0.05129539966583252,-0.2614230811595917,-0.06423202157020569,0.0685531497001648,-0.3334631621837616,-0.07591165602207184,-0.062345415353775024,0.02774810791015625,-0.015572499483823776,-0.038553059101104736,-0.0880727469921112,-0.08596554398536682,-0.00829005241394043,-0.008559465408325195,-0.09304414689540863,-0.0022046566009521484,0.060869038105010986,-0.07943397760391235,-0.11226853728294373,0.07675838470458984,-0.03568090870976448,-0.05801841616630554,0.019589126110076904,-0.09664326906204224,-0.027338802814483643,0.08102774620056152,-0.09827734529972076,-0.025516927242279053,0.13627344369888306,-0.0874728113412857
5,-0.031656354665756226,0.3663800358772278,0.04604005813598633,0.06824928522109985,0.31432467699050903,-0.01498260349035263,0.13999658823013306,0.15104305744171143,-0.03748833388090134,0.12467288970947266,0.020036160945892334,-0.059250608086586,0.037452518939971924,-0.042610108852386475,-0.0738210454583168,0.07658565044403076,0.006980240345001221,0.006068788468837738,0.06702959537506104,-0.16081571578979492,-0.03907979279756546,0.046724557876586914,-0.26786303520202637,-0.06862366944551468,0.01978933811187744,-0.35898715257644653,-0.08920729905366898,0.0,0.0,0.0,0.01724165678024292,-0.19585171341896057,-0.05604737251996994,0.06286770105361938,-0.31522348523139954,-0.08562833815813065,0.09051322937011719,-0.40421372652053833,-0.09937050193548203,-0.07443591952323914,0.021892905235290527,-0.014449063688516617,-0.03154638409614563,-0.13158047199249268,-0.10204867273569107,0.012791842222213745,-0.032761603593826294,-0.10283603519201279,0.023720264434814453,0.052049458026885986,-0.07901593297719955,-0.12718135118484497,0.07028692960739136,-0.03473583608865738,-0.03632551431655884,0.014271318912506104,-0.11596759408712387,-0.0005230307579040527,0.09618496894836426,-0.12145175784826279,-0.006075829267501831,0.16302061080932617,-0.10758686810731888
6,-0.03957530856132507,0.3842989206314087,0.05476556718349457,0.06602779030799866,0.31996893882751465,-0.002590049058198929,0.1328732669353485,0.14996880292892456,-0.026781491935253143,0.12044045329093933,0.01673644781112671,-0.0518559068441391,0.035274237394332886,-0.04491245746612549,-0.06972582638263702,0.07376769185066223,0.00569993257522583,0.006155610084533691,0.058760493993759155,-0.17524224519729614,-0.0369269996881485,0.04141184687614441,-0.28643807768821716,-0.05974304676055908,0.018856137990951538,-0.3789704740047455,-0.07606449723243713,0.0,0.0,0.0,0.014972954988479614,-0.19847071170806885,-0.05697159469127655,0.05860498547554016,-0.30698874592781067,-0.07932297885417938,0.08799102902412415,-0.39809468388557434,-0.08795282244682312,-0.07536047697067261,0.02143716812133789,-0.013517558574676514,-0.027232706546783447,-0.1348091959953308,-0.09986817836761475,0.025953322649002075,-0.017727911472320557,-0.09210990369319916,0.0417313277721405,0.07756030559539795,-0.0627337172627449,-0.12914744019508362,0.06817305088043213,-0.032749950885772705,-0.03570321202278137,0.011435389518737793,-0.11149264872074127,0.00522807240486145,0.09510260820388794,-0.11519725620746613,0.0017209947109222412,0.16403794288635254,-0.10069608688354492
7,-0.03747019171714783,0.3883247375488281,0.0593738853931427,0.07033944129943848,0.31842201948165894,0.00448044016957283,0.1349746584892273,0.14356577396392822,-0.01938382163643837,0.12301218509674072,0.009674608707427979,-0.04455645754933357,0.037164509296417236,-0.049765944480895996,-0.06283719837665558,0.07583510875701904,0.006071746349334717,0.007716145366430283,0.06286215782165527,-0.17847135663032532,-0.035955000668764114,0.04489421844482422,-0.2894754111766815,-0.06041382625699043,0.02171146869659424,-0.3828694522380829,-0.07889050245285034,0.0,0.0,0.0,0.01600193977355957,-0.20026487112045288,-0.05703995004296303,0.06185781955718994,-0.30830100178718567,-0.08122535049915314,0.0928533673286438,-0.4007618725299835,-0.09280373156070709,-0.07643866539001465,0.021320998668670654,-0.014279168099164963,-0.02281653881072998,-0.13668292760849,-0.09704641997814178,0.031010746955871582,-0.023374497890472412,-0.0892057865858078,0.04604923725128174,0.06911158561706543,-0.06238621100783348,-0.128501296043396,0.06925708055496216,-0.03441772982478142,-0.0307578444480896,0.00842905044555664,-0.10910513997077942,0.009657084941864014,0.08981645107269287,-0.11170481145381927,0.00430673360824585,0.1578626036643982,-0.09850305318832397
