Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.08234667778015137,0.3128066062927246,0.01930069550871849,0.02481067180633545,0.25951552391052246,-0.01812734827399254,0.1272488832473755,0.13819050788879395,-0.03235635906457901,0.09656655788421631,0.03272747993469238,-0.045123763382434845,0.005607485771179199,-0.0006787776947021484,-0.04754571616649628,0.08305513858795166,0.007444620132446289,0.009034743532538414,0.11970776319503784,-0.08066576719284058,-0.04166995733976364,0.1032819151878357,0.019549399614334106,-0.067217156291008,0.08423447608947754,0.0609932541847229,-0.07850489020347595,0.0,0.0,0.0,0.03642457723617554,-0.08521726727485657,-0.0491519421339035,0.03058534860610962,0.03265941143035889,-0.05828248709440231,0.011057436466217041,0.05775946378707886,-0.052801989018917084,-0.08174794912338257,0.013955354690551758,-0.01742956042289734,-0.057273924350738525,-0.05019712448120117,-0.0756685882806778,-0.045271873474121094,0.06570374965667725,-0.05575898289680481,-0.05943220853805542,0.09231430292129517,-0.02782517671585083,-0.16905823349952698,0.03966948390007019,-0.03703664615750313,-0.13344138860702515,-0.013086915016174316,-0.06910264492034912,-0.1146240234375,0.06788182258605957,-0.03944405913352966,-0.1274891495704651,0.09485423564910889,-0.008977647870779037
2,-0.08498871326446533,0.3121017515659332,0.02067222259938717,0.0243033766746521,0.2559564411640167,-0.019995205104351044,0.1265864372253418,0.13870272040367126,-0.037130698561668396,0.09032809734344482,0.038068681955337524,-0.05231974273920059,-0.0011724233627319336,0.00914868712425232,-0.05548907816410065,0.08287781476974487,0.005415022373199463,0.008382154628634453,0.12099874019622803,-0.0838327407836914,-0.04257684201002121,0.10574477910995483,0.023369401693344116,-0.06467406451702118,0.08466726541519165,0.056331515312194824,-0.07458588480949402,0.0,0.0,0.0,0.03766375780105591,-0.0900622308254242,-0.052672527730464935,0.03306400775909424,0.03267893195152283,-0.060155726969242096,0.011412084102630615,0.05368974804878235,-0.05268476903438568,-0.08203047513961792,0.014710932970046997,-0.01689494401216507,-0.05955231189727783,-0.05097639560699463,-0.07917294651269913,-0.04487413167953491,0.06776434183120728,-0.05664271116256714,-0.059903740882873535,0.0890059769153595,-0.026168953627347946,-0.17245030403137207,0.03959381580352783,-0.03592463210225105,-0.13809800148010254,-0.010671049356460571,-0.06894326210021973,-0.11839079856872559,0.07076874375343323,-0.03703800216317177,-0.1322622299194336,0.09352931380271912,-0.004847448319196701
3,-0.08513599634170532,0.31872397661209106,0.020605146884918213,0.023774385452270508,0.259513795375824,-0.021212957799434662,0.1252058744430542,0.13971877098083496,-0.038922686129808426,0.0851210355758667,0.04187256097793579,-0.054345984011888504,-0.009820103645324707,0.01703968644142151,-0.05747065320611,0.08334618806838989,0.004555881023406982,0.0077403848990798,0.12040543556213379,-0.08370804786682129,-0.04326942190527916,0.10547399520874023,0.02498200535774231,-0.06618167459964752,0.08453905582427979,0.058670222759246826,-0.07659579813480377,0.0,0.0,0.0,0.03657364845275879,-0.08912205696105957,-0.05046554282307625,0.03299355506896973,0.0338384211063385,-0.057484496384859085,0.011762082576751709,0.05293858051300049,-0.050323713570833206,-0.08213859796524048,0.01566869020462036,-0.01641705259680748,-0.05959892272949219,-0.05020308494567871,-0.0756252259016037,-0.04326057434082031,0.06800094246864319,-0.052727241069078445,-0.05795550346374512,0.08774310350418091,-0.02294127270579338,-0.17209488153457642,0.04193532466888428,-0.03534412011504173,-0.13691207766532898,-0.006862521171569824,-0.06601713597774506,-0.11628416180610657,0.07404422760009766,-0.03365069627761841,-0.12966281175613403,0.09596943855285645,-0.001615891233086586
4,-0.06320613622665405,0.33224549889564514,0.028658507391810417,0.04028052091598511,0.26710835099220276,-0.01169213093817234,0.13640916347503662,0.13494864106178284,-0.030109884217381477,0.09215641021728516,0.03431364893913269,-0.046218328177928925,-0.015182852745056152,0.019054442644119263,-0.050793834030628204,0.08522546291351318,0.0013015568256378174,0.00984310545027256,0.1211203932762146,-0.08751934766769409,-0.04181697219610214,0.10846519470214844,0.02776739001274109,-0.06495504081249237,0.08969825506210327,0.05856838822364807,-0.0761692225933075,0.0,0.0,0.0,0.03771156072616577,-0.08749791979789734,-0.05461326241493225,0.0376744270324707,0.04415068030357361,-0.0629655197262764,0.01474618911743164,0.0594959557056427,-0.05609631538391113,-0.08396610617637634,0.020481616258621216,-0.01761707104742527,-0.05910903215408325,-0.04430988430976868,-0.07994106411933899,-0.03600424528121948,0.0794014036655426,-0.05751596391201019,-0.049962639808654785,0.0987863838672638,-0.027310827746987343,-0.17328083515167236,0.05225279927253723,-0.03730972111225128,-0.1377147138118744,0.0003428459167480469,-0.06917876750230789,-0.10875195264816284,0.08565351366996765,-0.035996660590171814,-0.11970895528793335,0.11288973689079285,-0.003333432599902153
5,-0.03131014108657837,0.2965380847454071,0.018178511410951614,0.06316322088241577,0.21773824095726013,-0.007590224966406822,0.11985588073730469,0.08197060227394104,-0.020616769790649414,0.05267941951751709,-0.012085944414138794,-0.03595476970076561,-0.03856891393661499,-0.01744866371154785,-0.04036650061607361,0.07793962955474854,-0.011650025844573975,0.014145394787192345,0.09669762849807739,-0.1154341995716095,-0.030396755784749985,0.09818112850189209,-0.01707521080970764,-0.05182287469506264,0.08938688039779663,0.024579763412475586,-0.06316734850406647,0.0,0.0,0.0,0.016056358814239502,-0.09979322552680969,-0.04593128338456154,0.029941201210021973,0.009479731321334839,-0.052160073071718216,0.020520806312561035,0.04050824046134949,-0.04630274698138237,-0.07233554124832153,0.02963230013847351,-0.021568268537521362,-0.05438882112503052,-0.04354807734489441,-0.06863319873809814,-0.024202466011047363,0.053608059883117676,-0.047022540122270584,-0.030588269233703613,0.08033040165901184,-0.022198401391506195,-0.14282894134521484,0.06914755702018738,-0.04596160724759102,-0.1021808385848999,0.026053160429000854,-0.06786966323852539,-0.07778739929199219,0.0901854932308197,-0.04124073684215546,-0.0925869345664978,0.11210599541664124,-0.01729213073849678
6,-0.026306569576263428,0.2884189486503601,0.02571212127804756,0.06362640857696533,0.21403610706329346,-0.004804642871022224,0.12384253740310669,0.08790385723114014,-0.019977563992142677,0.06552594900131226,0.0034109950065612793,-0.03502867370843887,-0.01570868492126465,-0.01643681526184082,-0.038569435477256775,0.0752633810043335,-0.009222656488418579,0.012041249312460423,0.09244996309280396,-0.10830497741699219,-0.037988804280757904,0.09755682945251465,-0.010495901107788086,-0.06128654628992081,0.08474934101104736,0.028416335582733154,-0.07290217280387878,0.0,0.0,0.0,0.017637789249420166,-0.09630692005157471,-0.05028761178255081,0.034891366958618164,0.010672390460968018,-0.057646483182907104,0.022440195083618164,0.035911232233047485,-0.05220557004213333,-0.06986922025680542,0.02772662043571472,-0.01976289413869381,-0.05045956373214722,-0.03676116466522217,-0.07356501370668411,-0.01952493190765381,0.0614224374294281,-0.0536118820309639,-0.030151009559631348,0.07906383275985718,-0.029569106176495552,-0.13907188177108765,0.06733161211013794,-0.04201093316078186,-0.10003381967544556,0.03687703609466553,-0.07268142700195312,-0.07402068376541138,0.10398060083389282,-0.04938076436519623,-0.08935773372650146,0.1195363998413086,-0.026516837999224663
7,-0.03055649995803833,0.28123587369918823,0.022867852821946144,0.05833232402801514,0.21033412218093872,-0.008363071829080582,0.11826759576797485,0.08555185794830322,-0.021299047395586967,0.06264519691467285,0.001090407371520996,-0.033294983208179474,-0.017582416534423828,-0.014816224575042725,-0.03393152356147766,0.07294398546218872,-0.008615583181381226,0.011187039315700531,0.08850967884063721,-0.10466927289962769,-0.036896467208862305,0.09278059005737305,-0.00893816351890564,-0.05832665413618088,0.08123606443405151,0.026577651500701904,-0.068768709897995,0.0,0.0,0.0,0.014920592308044434,-0.09715312719345093,-0.0497870072722435,0.030212700366973877,0.008840322494506836,-0.05604363977909088,0.020096778869628906,0.03463783860206604,-0.048893459141254425,-0.06892073154449463,0.02779179811477661,-0.019044185057282448,-0.05500626564025879,-0.03507620096206665,-0.07301889359951019,-0.02595597505569458,0.06118839979171753,-0.05307314544916153,-0.033561766147613525,0.07835233211517334,-0.02803018130362034,-0.13917621970176697,0.0675058364868164,-0.040500037372112274,-0.10749787092208862,0.03477752208709717,-0.07057945430278778,-0.08200615644454956,0.10037338733673096,-0.046841710805892944,-0.09364795684814453,0.11572539806365967,-0.023331234231591225
