Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.03248476982116699,0.33252400159835815,0.0022287811152637005,0.10415124893188477,0.25393104553222656,-0.03464062139391899,0.20259827375411987,0.10951471328735352,-0.04834197089076042,0.24727559089660645,-0.01825118064880371,-0.06687550246715546,0.2824680209159851,-0.1140984296798706,-0.08291327953338623,0.08786028623580933,-0.01177513599395752,0.008927621878683567,0.09246009588241577,-0.13458648324012756,-0.045206040143966675,0.10046720504760742,-0.17984449863433838,-0.0729958564043045,0.10812890529632568,-0.16716980934143066,-0.08159589767456055,0.0,0.0,0.0,0.01599675416946411,-0.11379453539848328,-0.08025004714727402,0.030478835105895996,0.008334934711456299,-0.09272897988557816,0.03608590364456177,0.09616214036941528,-0.07404045015573502,-0.08159953355789185,0.030988752841949463,-0.019249659031629562,-0.06664210557937622,-0.055903881788253784,-0.10636043548583984,-0.03999835252761841,0.06518971920013428,-0.0815517008304596,-0.03388875722885132,0.13971620798110962,-0.03588923439383507,-0.17136326432228088,0.07637172937393188,-0.04105658084154129,-0.14804139733314514,0.0013785362243652344,-0.09565744549036026,-0.11516183614730835,0.07881557941436768,-0.07080686837434769,-0.10835462808609009,0.1294569969177246,-0.03471680358052254
2,-0.033865392208099365,0.3303897976875305,-0.0022518152836710215,0.10106486082077026,0.26036131381988525,-0.04613792151212692,0.2056102156639099,0.11547309160232544,-0.06078580766916275,0.2472437620162964,-0.014309287071228027,-0.07854682952165604,0.2867588996887207,-0.11084228754043579,-0.09399042278528214,0.08899998664855957,-0.010782420635223389,0.005602537654340267,0.09326696395874023,-0.13015711307525635,-0.04951663315296173,0.0995526909828186,-0.17877399921417236,-0.07895830273628235,0.1073407530784607,-0.16581201553344727,-0.08783910423517227,0.0,0.0,0.0,0.014977633953094482,-0.12050256133079529,-0.08434587717056274,0.027062296867370605,-5.894899368286133e-05,-0.10026231408119202,0.03393542766571045,0.09616637229919434,-0.07976680994033813,-0.08254849910736084,0.02928072214126587,-0.0167042538523674,-0.06943854689598083,-0.05784475803375244,-0.11184853315353394,-0.04666578769683838,0.0672265887260437,-0.09213930368423462,-0.039698779582977295,0.14642518758773804,-0.0449717715382576,-0.17467838525772095,0.07499009370803833,-0.035753294825553894,-0.14993423223495483,-0.0031023621559143066,-0.09929448366165161,-0.11958235502243042,0.07929956912994385,-0.07810009270906448,-0.11164051294326782,0.13588231801986694,-0.04065112769603729
3,-0.018632471561431885,0.33027559518814087,0.0036526937037706375,0.11245006322860718,0.25460928678512573,-0.043777067214250565,0.2130834460258484,0.10619306564331055,-0.06149296462535858,0.25202351808547974,-0.021714627742767334,-0.08159344643354416,0.2846285104751587,-0.12008729577064514,-0.09968974441289902,0.08584517240524292,-0.012029945850372314,0.0053751482628285885,0.08801454305648804,-0.1275358498096466,-0.05263635516166687,0.09743458032608032,-0.17966830730438232,-0.08669186383485794,0.10576939582824707,-0.16955113410949707,-0.09858731925487518,0.0,0.0,0.0,0.014580190181732178,-0.11747169494628906,-0.08522794395685196,0.0313984751701355,-0.004960358142852783,-0.10540743172168732,0.03832751512527466,0.09135884046554565,-0.0891880989074707,-0.07818213105201721,0.03049635887145996,-0.016255760565400124,-0.06502968072891235,-0.055166661739349365,-0.10950874537229538,-0.035153090953826904,0.06395083665847778,-0.09266654402017593,-0.02436971664428711,0.14824938774108887,-0.049068331718444824,-0.16429513692855835,0.07811695337295532,-0.03557427600026131,-0.1419156789779663,0.008316338062286377,-0.10026125609874725,-0.10377758741378784,0.0866624116897583,-0.08257156610488892,-0.09022054076194763,0.14693093299865723,-0.04800690338015556
4,-0.01995950937271118,0.33217179775238037,0.006116411183029413,0.11308479309082031,0.2616841793060303,-0.04318959638476372,0.21623146533966064,0.10813075304031372,-0.060986168682575226,0.25963926315307617,-0.022758662700653076,-0.08020056784152985,0.2973719835281372,-0.12100756168365479,-0.09746173024177551,0.09165394306182861,-0.013192296028137207,0.0038119410164654255,0.09033870697021484,-0.12984532117843628,-0.05107523128390312,0.09806746244430542,-0.18300801515579224,-0.08082093298435211,0.10755515098571777,-0.17371070384979248,-0.09023737907409668,0.0,0.0,0.0,0.011615574359893799,-0.12185066938400269,-0.08401025086641312,0.03491705656051636,-0.0032606124877929688,-0.10030322521924973,0.047302961349487305,0.09450352191925049,-0.08044490218162537,-0.08301067352294922,0.03171384334564209,-0.014668753370642662,-0.06986141204833984,-0.055269837379455566,-0.1086476594209671,-0.03605842590332031,0.06936269998550415,-0.09015209227800369,-0.023327499628067017,0.1522996425628662,-0.04455689713358879,-0.17250606417655945,0.08001363277435303,-0.03214474767446518,-0.14719471335411072,0.006690323352813721,-0.09688553214073181,-0.10937729477882385,0.08898454904556274,-0.07797763496637344,-0.09733259677886963,0.14812064170837402,-0.04235285148024559
5,-0.026571571826934814,0.3161916732788086,0.005226769484579563,0.09495973587036133,0.24392014741897583,-0.03010079264640808,0.1827392578125,0.11927080154418945,-0.046235401183366776,0.22353404760360718,0.0020114779472351074,-0.06671098619699478,0.2747357487678528,-0.08112633228302002,-0.08485955744981766,0.08047103881835938,-0.012096524238586426,0.00412334781140089,0.06658369302749634,-0.12957578897476196,-0.049677710980176926,0.05737590789794922,-0.1483164131641388,-0.07897279411554337,0.05113333463668823,-0.10930430889129639,-0.08680836856365204,0.0,0.0,0.0,-0.0074346065521240234,-0.09146815538406372,-0.07523584365844727,0.00422060489654541,0.02282625436782837,-0.09063492715358734,0.018248379230499268,0.11010432243347168,-0.07584594935178757,-0.07482290267944336,0.02749687433242798,-0.013251802884042263,-0.08851736783981323,-0.04528540372848511,-0.08670516312122345,-0.06397181749343872,0.06067049503326416,-0.06782735884189606,-0.04330778121948242,0.1321784257888794,-0.02978052943944931,-0.15604066848754883,0.06905347108840942,-0.029523558914661407,-0.16686701774597168,-0.004698365926742554,-0.07306724041700363,-0.13569584488868713,0.05782508850097656,-0.05177796632051468,-0.11240488290786743,0.10643738508224487,-0.019346188753843307
6,-0.03362774848937988,0.30814987421035767,0.0014950253535062075,0.09478271007537842,0.24108076095581055,-0.034731775522232056,0.1893465518951416,0.11452615261077881,-0.048513013869524,0.22211474180221558,-0.0032903552055358887,-0.06562645733356476,0.27236104011535645,-0.08581727743148804,-0.08016683161258698,0.08304309844970703,-0.011862874031066895,0.004716420080512762,0.0703498125076294,-0.1281939148902893,-0.045671552419662476,0.05766206979751587,-0.15128761529922485,-0.0738326832652092,0.05275070667266846,-0.11580079793930054,-0.08219730108976364,0.0,0.0,0.0,-0.01204061508178711,-0.09783419966697693,-0.07124406099319458,-0.0010073184967041016,0.012150347232818604,-0.08751334249973297,0.01777338981628418,0.10038888454437256,-0.07466868311166763,-0.07461589574813843,0.026684463024139404,-0.014147108420729637,-0.09061098098754883,-0.04760351777076721,-0.08851972967386246,-0.06704992055892944,0.05800127983093262,-0.07346604764461517,-0.045041680335998535,0.13123589754104614,-0.03811318799853325,-0.1544259786605835,0.06676781177520752,-0.031019404530525208,-0.16877076029777527,-0.010499298572540283,-0.07775963097810745,-0.14167141914367676,0.05064547061920166,-0.05995921790599823,-0.11906880140304565,0.09901481866836548,-0.03044559806585312
7,-0.03607165813446045,0.3052215576171875,0.0028832850512117147,0.09175992012023926,0.24150270223617554,-0.03591831028461456,0.18763196468353271,0.11593067646026611,-0.05084511265158653,0.21988976001739502,-0.002542555332183838,-0.06805820763111115,0.26801103353500366,-0.08501207828521729,-0.08253022283315659,0.0829843282699585,-0.01072460412979126,0.0035207117907702923,0.06895989179611206,-0.12455877661705017,-0.04809268191456795,0.059112548828125,-0.14891266822814941,-0.07719988375902176,0.05615556240081787,-0.11609339714050293,-0.08626639097929001,0.0,0.0,0.0,-0.010224580764770508,-0.09697574377059937,-0.07268492132425308,-0.0003892183303833008,0.01405191421508789,-0.08928162604570389,0.01812189817428589,0.1010211706161499,-0.07607762515544891,-0.07410001754760742,0.02556586265563965,-0.013061785139143467,-0.09008872509002686,-0.047061771154403687,-0.0895591527223587,-0.06786274909973145,0.0593256950378418,-0.07434188574552536,-0.0456463098526001,0.13038712739944458,-0.03827016055583954,-0.1537216305732727,0.06437647342681885,-0.028889499604701996,-0.16714686155319214,-0.008705496788024902,-0.07774309068918228,-0.14144665002822876,0.05592989921569824,-0.060114577412605286,-0.1196432113647461,0.10304665565490723,-0.0302278995513916
