Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.024179279804229736,0.3632850646972656,0.0631721243262291,0.058230698108673096,0.30510735511779785,-0.011018790304660797,0.09711343050003052,0.18713045120239258,-0.03541215509176254,0.020032405853271484,0.09684765338897705,-0.04662016034126282,-0.06530135869979858,0.05335533618927002,-0.061358578503131866,0.07983201742172241,0.005991220474243164,-0.002613358199596405,0.12755608558654785,-0.14336246252059937,-0.0350642055273056,0.1568526029586792,-0.2362883985042572,-0.0651678591966629,0.17878812551498413,-0.32474929094314575,-0.08838264644145966,0.0,0.0,0.0,0.01567363739013672,-0.16973412036895752,-0.027523167431354523,0.02045309543609619,-0.2764880657196045,-0.060710348188877106,0.02615499496459961,-0.3743845820426941,-0.08304829895496368,-0.07013645768165588,0.030537903308868408,-0.0034378618001937866,-0.07688945531845093,-0.1218627393245697,-0.05736325681209564,-0.08029800653457642,-0.22800695896148682,-0.10349567234516144,-0.07818764448165894,-0.32820385694503784,-0.1325332671403885,-0.13653194904327393,0.09623497724533081,-0.010467857122421265,-0.14477920532226562,0.008898258209228516,-0.07221582531929016,-0.12454977631568909,0.06374216079711914,-0.07967028021812439,-0.1033390462398529,0.12593555450439453,-0.07766997814178467
2,-0.017814695835113525,0.38050687313079834,0.0507548525929451,0.06570994853973389,0.3146834969520569,-0.016247019171714783,0.10399919748306274,0.18836426734924316,-0.028794489800930023,0.02093607187271118,0.09971791505813599,-0.02774876356124878,-0.07106775045394897,0.060495853424072266,-0.027480654418468475,0.08182162046432495,0.007958650588989258,-0.001034427434206009,0.13342487812042236,-0.14649569988250732,-0.02351139485836029,0.16183340549468994,-0.23977243900299072,-0.04211098700761795,0.1808028221130371,-0.32713353633880615,-0.056283481419086456,0.0,0.0,0.0,0.01897585391998291,-0.1766752302646637,-0.016457736492156982,0.022665977478027344,-0.28324174880981445,-0.03773649036884308,0.025274932384490967,-0.3779391944408417,-0.051210835576057434,-0.07276204228401184,0.02709299325942993,-0.005820602178573608,-0.08175802230834961,-0.12684404850006104,-0.05365701764822006,-0.08296704292297363,-0.23435243964195251,-0.09957244247198105,-0.08436772227287292,-0.33675554394721985,-0.12801209092140198,-0.13840395212173462,0.09287792444229126,-0.01507517695426941,-0.1440717875957489,0.005215108394622803,-0.07022059708833694,-0.11409705877304077,0.06658530235290527,-0.07619629055261612,-0.09228137135505676,0.14180827140808105,-0.07341690361499786
3,-0.0004125237464904785,0.3874918818473816,0.0488470122218132,0.07714885473251343,0.30659544467926025,-0.0042518191039562225,0.11460906267166138,0.1814172863960266,-0.02237134426832199,0.030530929565429688,0.09919923543930054,-0.03409568965435028,-0.06313100457191467,0.06801736354827881,-0.0489305704832077,0.08498954772949219,0.0029908418655395508,0.007279038429260254,0.13279205560684204,-0.1432064175605774,-0.019436918199062347,0.16269326210021973,-0.23624417185783386,-0.04222702234983444,0.18179136514663696,-0.31763434410095215,-0.06002940237522125,0.0,0.0,0.0,0.01139819622039795,-0.16860774159431458,-0.017236828804016113,0.015605390071868896,-0.27244749665260315,-0.044372595846652985,0.018804550170898438,-0.3613612949848175,-0.06470359861850739,-0.07032555341720581,0.038655877113342285,-0.013035774230957031,-0.09539666771888733,-0.10396397113800049,-0.057469211518764496,-0.10593116283416748,-0.21340417861938477,-0.11007050424814224,-0.1138109564781189,-0.310804158449173,-0.14744406938552856,-0.1320750117301941,0.10858923196792603,-0.028424017131328583,-0.12573719024658203,0.04607170820236206,-0.08736460655927658,-0.08294036984443665,0.08703285455703735,-0.10826986283063889,-0.04660862684249878,0.13438868522644043,-0.11818968504667282
4,-0.03060150146484375,0.3806682825088501,0.06404837965965271,0.053774893283843994,0.3107541799545288,0.007620174437761307,0.08666431903839111,0.209445059299469,-0.016268335282802582,0.011286616325378418,0.14027613401412964,-0.032875217497348785,-0.08136492967605591,0.09956836700439453,-0.05200321972370148,0.08387994766235352,0.02037334442138672,0.006475958973169327,0.15908271074295044,-0.11597955226898193,-0.025926373898983,0.20652180910110474,-0.20262855291366577,-0.05105332285165787,0.24093490839004517,-0.2846946120262146,-0.07014737278223038,0.0,0.0,0.0,0.025244951248168945,-0.1708652377128601,-0.02332150936126709,0.03991156816482544,-0.27415260672569275,-0.0500788688659668,0.04824626445770264,-0.36649858951568604,-0.06794973462820053,-0.07139933109283447,0.031780779361724854,-0.011892333626747131,-0.11483195424079895,-0.10107886791229248,-0.06135348230600357,-0.14136993885040283,-0.21014618873596191,-0.11167449504137039,-0.16546481847763062,-0.3086526691913605,-0.14523836970329285,-0.12992078065872192,0.0984618067741394,-0.026126720011234283,-0.12713509798049927,0.04592972993850708,-0.08238571137189865,-0.0905335545539856,0.09129530191421509,-0.09799733012914658,-0.06060469150543213,0.14095395803451538,-0.10372161120176315
5,-0.022460222244262695,0.36487632989883423,0.0459568090736866,0.05665731430053711,0.28643685579299927,0.0007037073373794556,0.09372687339782715,0.17257976531982422,-0.015618443489074707,0.021237671375274658,0.093014657497406,-0.02670145034790039,-0.06562072038650513,0.049193382263183594,-0.03901747614145279,0.0849345326423645,0.010352492332458496,0.007073935121297836,0.15137648582458496,-0.11405766010284424,-0.013917084783315659,0.193767249584198,-0.19025033712387085,-0.031718455255031586,0.2239363193511963,-0.26155757904052734,-0.04708428680896759,0.0,0.0,0.0,0.010173439979553223,-0.15564650297164917,-0.013888336718082428,0.009463846683502197,-0.24723711609840393,-0.038429394364356995,0.0027185678482055664,-0.3276906907558441,-0.0589417964220047,-0.06638044118881226,0.03410083055496216,-0.01160290464758873,-0.11230111122131348,-0.08662143349647522,-0.050493285059928894,-0.14449280500411987,-0.1800859272480011,-0.09599126130342484,-0.17463624477386475,-0.26059532165527344,-0.12935680150985718,-0.11698111891746521,0.09461432695388794,-0.025145702064037323,-0.09897524118423462,0.03447335958480835,-0.07120678573846817,-0.058036625385284424,0.06887686252593994,-0.08708090335130692,-0.02848416566848755,0.11217868328094482,-0.09673593193292618
6,-0.0075817108154296875,0.3586652874946594,0.054264917969703674,0.0693514347076416,0.28374332189559937,0.007297411561012268,0.0982312560081482,0.17316359281539917,-0.011937819421291351,0.025243043899536133,0.10059261322021484,-0.02503163367509842,-0.06283977627754211,0.05808442831039429,-0.039809949696063995,0.08182454109191895,0.009212315082550049,0.005283799022436142,0.14919108152389526,-0.11725258827209473,-0.017347268760204315,0.1899644136428833,-0.19228488206863403,-0.03547384589910507,0.21977144479751587,-0.2637154459953308,-0.050992973148822784,0.0,0.0,0.0,0.009081542491912842,-0.15399253368377686,-0.017371870577335358,0.011092960834503174,-0.2453221082687378,-0.0421774759888649,0.00756680965423584,-0.3259083926677704,-0.061724767088890076,-0.06390789151191711,0.0346531867980957,-0.00886475294828415,-0.1148378849029541,-0.09103119373321533,-0.05146320164203644,-0.14721369743347168,-0.1878412365913391,-0.09684502333402634,-0.17688822746276855,-0.26875919103622437,-0.12867945432662964,-0.11261886358261108,0.09665966033935547,-0.01909070461988449,-0.10633063316345215,0.028362035751342773,-0.06941768527030945,-0.06638026237487793,0.06085604429244995,-0.08522405475378036,-0.0356099009513855,0.1047019362449646,-0.09305211156606674
7,-0.007382988929748535,0.3554861545562744,0.05331944301724434,0.06972020864486694,0.2819969654083252,0.004967000335454941,0.09926801919937134,0.1747332215309143,-0.014768507331609726,0.027709901332855225,0.10378187894821167,-0.027989190071821213,-0.05700087547302246,0.06406599283218384,-0.04260442778468132,0.08145993947982788,0.009194910526275635,0.004172850400209427,0.1457388997077942,-0.11831152439117432,-0.019137907773256302,0.18686527013778687,-0.19316625595092773,-0.038240332156419754,0.21704310178756714,-0.26402634382247925,-0.053904298692941666,0.0,0.0,0.0,0.006586551666259766,-0.1545088291168213,-0.017384368926286697,0.006847202777862549,-0.2464665174484253,-0.04210926219820976,0.0014594197273254395,-0.3264657258987427,-0.06090732291340828,-0.06274408102035522,0.03326916694641113,-0.00790100172162056,-0.11414986848831177,-0.0903368592262268,-0.049168433994054794,-0.14516043663024902,-0.18619918823242188,-0.09316438436508179,-0.17349028587341309,-0.26564478874206543,-0.1238292008638382,-0.11130809783935547,0.09432321786880493,-0.017543915659189224,-0.10370677709579468,0.02638411521911621,-0.06644447147846222,-0.06141588091850281,0.059872329235076904,-0.08086559176445007,-0.028017044067382812,0.10488182306289673,-0.08724641799926758
