Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.1612088680267334,0.2473626732826233,0.07084796577692032,-0.07653361558914185,0.26733672618865967,-0.01309347152709961,0.015144824981689453,0.2281486988067627,-0.0653182864189148,0.04381370544433594,0.15912997722625732,-0.11159844696521759,-0.0011317729949951172,0.07537800073623657,-0.15725480020046234,0.07627880573272705,0.03205817937850952,-0.005538046360015869,0.16606903076171875,-0.06944906711578369,-0.06375601887702942,0.22825908660888672,-0.14893728494644165,-0.09774261713027954,0.2719377279281616,-0.21112948656082153,-0.11904983222484589,0.0,0.0,0.0,0.032659292221069336,-0.10494828224182129,-0.08850516378879547,-0.0101967453956604,-0.012907743453979492,-0.10984356701374054,-0.028474032878875732,0.05602139234542847,-0.09843114018440247,-0.0753280520439148,-0.00555342435836792,-0.0022582486271858215,-0.05981457233428955,-0.0721350908279419,-0.09273715317249298,-0.07952791452407837,0.023832201957702637,-0.07901713252067566,-0.09000593423843384,0.08814972639083862,-0.0418647900223732,-0.15186691284179688,0.009363949298858643,-0.010998919606208801,-0.13001945614814758,-0.042524099349975586,-0.07710255682468414,-0.1326097846031189,0.027838945388793945,-0.06216755509376526,-0.1372101902961731,0.07925152778625488,-0.031217917799949646
2,-0.1594654619693756,0.2809274196624756,0.06501219421625137,-0.06982040405273438,0.2782467007637024,-0.014818049967288971,0.017693638801574707,0.22881436347961426,-0.06418676674365997,0.04565054178237915,0.15713709592819214,-0.10954159498214722,0.009254276752471924,0.07420676946640015,-0.15359604358673096,0.0795755386352539,0.027224719524383545,-0.002025403082370758,0.17509180307388306,-0.07708770036697388,-0.05592750012874603,0.2384641170501709,-0.15473076701164246,-0.09099876880645752,0.28508085012435913,-0.22053202986717224,-0.11537182331085205,0.0,0.0,0.0,0.03979974985122681,-0.10432928800582886,-0.08359946310520172,0.003999054431915283,-0.01213991641998291,-0.10975617170333862,-0.01756495237350464,0.052960336208343506,-0.1057388186454773,-0.07926061749458313,-0.0010592937469482422,-0.005503617227077484,-0.05595022439956665,-0.06741076707839966,-0.08932130038738251,-0.07097393274307251,0.029877007007598877,-0.08030335605144501,-0.08513528108596802,0.08893287181854248,-0.05068445950746536,-0.15776383876800537,0.01836305856704712,-0.017681412398815155,-0.1261172592639923,-0.037989139556884766,-0.07546226680278778,-0.12509959936141968,0.030960261821746826,-0.06172560155391693,-0.13209626078605652,0.0780680775642395,-0.03597155958414078
3,-0.160564124584198,0.2924802303314209,0.05449995771050453,-0.06931406259536743,0.2791643738746643,-0.012065555900335312,0.016851603984832764,0.22450560331344604,-0.05119665339589119,0.036636531352996826,0.1534225344657898,-0.0881960391998291,0.0006996989250183105,0.07547664642333984,-0.12381488084793091,0.0750206708908081,0.02675527334213257,0.0020110905170440674,0.17360472679138184,-0.08224862813949585,-0.047549907118082047,0.23535501956939697,-0.15581277012825012,-0.08230675756931305,0.28249430656433105,-0.221347838640213,-0.10734906792640686,0.0,0.0,0.0,0.040737032890319824,-0.10987457633018494,-0.07928979396820068,0.0019123554229736328,-0.020991981029510498,-0.10932198166847229,-0.0236361026763916,0.04602628946304321,-0.11030691862106323,-0.07749491930007935,0.00011813640594482422,-0.008192125707864761,-0.054911911487579346,-0.07596594095230103,-0.08530102670192719,-0.07370775938034058,0.016064941883087158,-0.08078531920909882,-0.08784687519073486,0.07720023393630981,-0.05643213912844658,-0.1545642912387848,0.02229607105255127,-0.02179611101746559,-0.13085049390792847,-0.04074162244796753,-0.0718965083360672,-0.12849918007850647,0.02161240577697754,-0.05934032425284386,-0.13013693690299988,0.06895965337753296,-0.03647088631987572
4,-0.18199291825294495,0.290574848651886,0.0458819605410099,-0.08138549327850342,0.2779883146286011,-0.013520322740077972,0.013201534748077393,0.2220507264137268,-0.04852013289928436,0.036695659160614014,0.14090967178344727,-0.08343681693077087,-0.006807208061218262,0.061070144176483154,-0.11804535984992981,0.07208532094955444,0.0314907431602478,0.005671761929988861,0.1690846085548401,-0.06918340921401978,-0.042489394545555115,0.23034483194351196,-0.13646382093429565,-0.07690813392400742,0.2783780097961426,-0.19703686237335205,-0.10213698446750641,0.0,0.0,0.0,0.051003217697143555,-0.11029750108718872,-0.07747373729944229,0.010713458061218262,-0.02500784397125244,-0.10851660370826721,-0.020889759063720703,0.03717947006225586,-0.11112338304519653,-0.07717585563659668,-0.005915999412536621,-0.01159866526722908,-0.04157662391662598,-0.08848822116851807,-0.08886450529098511,-0.06459689140319824,0.004366576671600342,-0.08593255281448364,-0.08720648288726807,0.06781381368637085,-0.06307835876941681,-0.15899178385734558,0.00990748405456543,-0.02807774394750595,-0.1294931173324585,-0.05375504493713379,-0.08063963055610657,-0.12878873944282532,0.007877945899963379,-0.07096046209335327,-0.13673678040504456,0.05614131689071655,-0.05056031793355942
5,-0.1768692135810852,0.2150488793849945,0.05625612288713455,-0.0962170958518982,0.23238560557365417,-0.024225272238254547,-0.007292449474334717,0.1833173930644989,-0.06729990243911743,0.014590561389923096,0.09767428040504456,-0.1016521006822586,-0.015723705291748047,0.017147868871688843,-0.1351757049560547,0.06621474027633667,0.037556976079940796,-0.01357189565896988,0.1693210005760193,-0.05019614100456238,-0.06908966600894928,0.24160856008529663,-0.11707720160484314,-0.10498547554016113,0.29526758193969727,-0.17030778527259827,-0.12756866216659546,0.0,0.0,0.0,0.026578009128570557,-0.08951675891876221,-0.0845319926738739,-0.02398097515106201,-0.0070989131927490234,-0.10766200721263885,-0.052307724952697754,0.061378806829452515,-0.09869416058063507,-0.06715226173400879,-0.015827327966690063,0.0064516738057136536,-0.05425220727920532,-0.07810047268867493,-0.08157804608345032,-0.08258223533630371,0.012874364852905273,-0.0741487592458725,-0.10082179307937622,0.0796487033367157,-0.04123276472091675,-0.13511982560157776,-0.013101905584335327,0.007654603570699692,-0.11920920014381409,-0.06324124336242676,-0.06119416654109955,-0.13103225827217102,0.005975216627120972,-0.05310652405023575,-0.1416410207748413,0.06069883704185486,-0.025632739067077637
6,-0.18458712100982666,0.26092803478240967,0.0441623330116272,-0.08602869510650635,0.23773986101150513,-0.017538312822580338,-0.001622319221496582,0.18101483583450317,-0.050896186381578445,0.007820844650268555,0.09361422061920166,-0.08264507353305817,-0.02028125524520874,0.016900211572647095,-0.11289449036121368,0.07067805528640747,0.030472606420516968,0.0002585016191005707,0.1830291748046875,-0.058140695095062256,-0.04528247192502022,0.2497205138206482,-0.11486932635307312,-0.07656215131282806,0.30231136083602905,-0.16855403780937195,-0.09898082911968231,0.0,0.0,0.0,0.03594470024108887,-0.09143751859664917,-0.07777293026447296,-0.004918873310089111,-0.0156421959400177,-0.10645560920238495,-0.0330965518951416,0.04546403884887695,-0.10762809216976166,-0.0726633369922638,-0.009595602750778198,-0.0065309107303619385,-0.05060529708862305,-0.07360321283340454,-0.08599691092967987,-0.07273903489112854,0.012774378061294556,-0.085206538438797,-0.09082773327827454,0.07276636362075806,-0.06257680058479309,-0.1446656584739685,-0.001232445240020752,-0.017744600772857666,-0.11710596084594727,-0.057622313499450684,-0.07184876501560211,-0.12145334482192993,0.00436025857925415,-0.06389552354812622,-0.13056719303131104,0.05455458164215088,-0.0431235246360302
7,-0.19052249193191528,0.2528309226036072,0.04773254320025444,-0.0956321656703949,0.24064773321151733,-0.020663809031248093,-0.010317683219909668,0.18542981147766113,-0.05592840537428856,0.00010567903518676758,0.10000669956207275,-0.08745507895946503,-0.02296614646911621,0.024486899375915527,-0.11703671514987946,0.06809955835342407,0.03203907608985901,-0.0038917921483516693,0.1813591718673706,-0.052671879529953,-0.051971543580293655,0.24940139055252075,-0.10888111591339111,-0.08519919216632843,0.30386751890182495,-0.15991437435150146,-0.10841353237628937,0.0,0.0,0.0,0.03568142652511597,-0.0889851450920105,-0.08241152763366699,-0.012801885604858398,-0.014193326234817505,-0.11382076144218445,-0.044310569763183594,0.04828453063964844,-0.11476582288742065,-0.07035237550735474,-0.011547952890396118,-0.0025167763233184814,-0.052738726139068604,-0.06820586323738098,-0.0840519517660141,-0.0803678035736084,0.016176164150238037,-0.08626973628997803,-0.09891340136528015,0.07654190063476562,-0.0643627941608429,-0.1384945511817932,-0.004297524690628052,-0.010052211582660675,-0.11788883805274963,-0.05327773094177246,-0.06533005833625793,-0.12632185220718384,0.008215010166168213,-0.05982460454106331,-0.1340501606464386,0.0577237606048584,-0.03995513543486595
