Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.035105109214782715,0.3418881893157959,0.02294814959168434,0.09592503309249878,0.2855287790298462,-0.027151744812726974,0.21533334255218506,0.12177729606628418,-0.040901657193899155,0.24979960918426514,-0.025501370429992676,-0.05472608283162117,0.18616390228271484,-0.10925149917602539,-0.060925450176000595,0.08808678388595581,-0.010616928339004517,0.0019333306699991226,0.13166552782058716,-0.10892802476882935,-0.07822814583778381,0.1327909231185913,0.007127225399017334,-0.12172195315361023,0.12035304307937622,0.11282163858413696,-0.13297085464000702,0.0,0.0,0.0,0.06525051593780518,-0.08142924308776855,-0.09429013729095459,0.06422954797744751,0.06731295585632324,-0.11880195140838623,0.050330400466918945,0.18049728870391846,-0.10676036775112152,-0.08540982007980347,0.020510315895080566,-0.014213889837265015,-0.01641160249710083,-0.02630344033241272,-0.11229074001312256,-0.011169195175170898,0.12490338087081909,-0.10248494148254395,-0.01813584566116333,0.22482424974441528,-0.06355360150337219,-0.17558664083480835,0.049361467361450195,-0.0316375195980072,-0.09708619117736816,0.026092946529388428,-0.09956829249858856,-0.08063513040542603,0.14049237966537476,-0.08882564306259155,-0.07858222723007202,0.213936448097229,-0.05918161943554878
2,-0.04007232189178467,0.3547019362449646,0.019644899293780327,0.092471182346344,0.27817296981811523,-0.03080102428793907,0.20980948209762573,0.11905372142791748,-0.048491060733795166,0.24502509832382202,-0.026451587677001953,-0.06678647547960281,0.1731703281402588,-0.1053692102432251,-0.07941492646932602,0.08651375770568848,-0.007430732250213623,-3.563985228538513e-05,0.12740153074264526,-0.11445605754852295,-0.08002219349145889,0.12904655933380127,-0.0014609098434448242,-0.12543317675590515,0.1203959584236145,0.10607951879501343,-0.1367362141609192,0.0,0.0,0.0,0.05924272537231445,-0.0829043984413147,-0.08996996283531189,0.053375184535980225,0.06505322456359863,-0.11184650659561157,0.042421579360961914,0.1792750358581543,-0.09748093038797379,-0.0871659517288208,0.022248685359954834,-0.012307096272706985,-0.02290821075439453,-0.01590833067893982,-0.10119003802537918,-0.02186959981918335,0.12973850965499878,-0.08845263719558716,-0.025742650032043457,0.22526556253433228,-0.048385486006736755,-0.1786576211452484,0.05473482608795166,-0.028197307139635086,-0.10450464487075806,0.023873895406723022,-0.08303962647914886,-0.0900120735168457,0.1375686526298523,-0.0635821744799614,-0.08885985612869263,0.2122083306312561,-0.02850467339158058
3,0.008865654468536377,0.3479408919811249,0.014402148313820362,0.13309258222579956,0.2475915253162384,-0.034694306552410126,0.21966207027435303,0.07250741124153137,-0.05054543539881706,0.23031693696975708,-0.07534486055374146,-0.06818253546953201,0.1502593755722046,-0.1447506844997406,-0.07968690246343613,0.08231133222579956,-0.02552136778831482,0.002541649155318737,0.10054689645767212,-0.14707884192466736,-0.07919304817914963,0.12541526556015015,-0.04438480734825134,-0.12602151930332184,0.13812851905822754,0.057989805936813354,-0.1385316401720047,0.0,0.0,0.0,0.041717350482940674,-0.10665974020957947,-0.09545702487230301,0.06340336799621582,0.038765281438827515,-0.12027176469564438,0.07373249530792236,0.15349707007408142,-0.10725223273038864,-0.07951688766479492,0.036017149686813354,-0.015586291439831257,-0.022661447525024414,-0.03238216042518616,-0.11474073678255081,-0.0032135844230651855,0.11058154702186584,-0.10447528213262558,0.0068509578704833984,0.20991191267967224,-0.06297376751899719,-0.16084539890289307,0.07939150929450989,-0.03424195945262909,-0.09454488754272461,0.02193504571914673,-0.09885566681623459,-0.06968444585800171,0.12902387976646423,-0.08276531100273132,-0.058872729539871216,0.2094617784023285,-0.0486086867749691
4,0.012518823146820068,0.3528205156326294,-0.006806578952819109,0.13163334131240845,0.23928546905517578,-0.043603651225566864,0.21056514978408813,0.07995092868804932,-0.05656934902071953,0.2260093092918396,-0.059350043535232544,-0.07636919617652893,0.15619951486587524,-0.13343900442123413,-0.09170190244913101,0.07397317886352539,-0.023503273725509644,0.006845893803983927,0.10031086206436157,-0.13856929540634155,-0.06876086443662643,0.12414902448654175,-0.03868609666824341,-0.1180722713470459,0.13111448287963867,0.06319871544837952,-0.13187189400196075,0.0,0.0,0.0,0.050797462463378906,-0.10010260343551636,-0.08411216735839844,0.06984764337539673,0.031986117362976074,-0.1126323789358139,0.07546991109848022,0.1433722972869873,-0.10437055677175522,-0.0766250491142273,0.03133732080459595,-0.019919967278838158,-0.0037506520748138428,-0.038052916526794434,-0.10681341588497162,0.010977983474731445,0.10121166706085205,-0.10182897001504898,0.013036251068115234,0.20374518632888794,-0.06625579297542572,-0.15747809410095215,0.07225430011749268,-0.04274158179759979,-0.07672831416130066,0.01069486141204834,-0.09741035103797913,-0.04936683177947998,0.11141210794448853,-0.08180109411478043,-0.0430833101272583,0.19280743598937988,-0.0491132028400898
5,-0.01123899221420288,0.3440873324871063,0.011807910166680813,0.1155538558959961,0.2436945140361786,-0.02837655507028103,0.2062627673149109,0.09038087725639343,-0.04273844510316849,0.22250020503997803,-0.045956939458847046,-0.061268143355846405,0.1593042016029358,-0.11803916096687317,-0.0741669237613678,0.08282452821731567,-0.023994773626327515,0.006414957344532013,0.10562396049499512,-0.13810047507286072,-0.0688633993268013,0.1145254373550415,-0.027902811765670776,-0.11357928067445755,0.11523151397705078,0.07290557026863098,-0.12670780718326569,0.0,0.0,0.0,0.029022395610809326,-0.10567057132720947,-0.0876704603433609,0.04403108358383179,0.03179401159286499,-0.11409197002649307,0.05489152669906616,0.14163640141487122,-0.10506419092416763,-0.08027428388595581,0.03491199016571045,-0.017754878848791122,-0.03936278820037842,-0.03416556119918823,-0.10475549846887589,-0.016541242599487305,0.10177478194236755,-0.09474563598632812,-0.0040397047996521,0.19722989201545715,-0.05821283906698227,-0.16133877635002136,0.07908782362937927,-0.03842974454164505,-0.10852640867233276,0.0130024254322052,-0.09397826343774796,-0.07991456985473633,0.11755070090293884,-0.07487447559833527,-0.06989234685897827,0.19750162959098816,-0.04119555652141571
6,-0.02533668279647827,0.3283909857273102,0.005118199624121189,0.10401970148086548,0.23800936341285706,-0.03789868950843811,0.1916329264640808,0.08046421408653259,-0.04843913018703461,0.20132887363433838,-0.058109670877456665,-0.06197208911180496,0.14572155475616455,-0.1404876410961151,-0.06975078582763672,0.08290982246398926,-0.023625046014785767,0.0018052470404654741,0.09297710657119751,-0.1463140845298767,-0.07317055016756058,0.0998125672340393,-0.04095256328582764,-0.11616569012403488,0.10268551111221313,0.06354334950447083,-0.12661734223365784,0.0,0.0,0.0,0.024372398853302002,-0.10801741480827332,-0.08923008292913437,0.030953943729400635,0.031685054302215576,-0.11345759779214859,0.03745013475418091,0.14674660563468933,-0.10060286521911621,-0.08124440908432007,0.031085819005966187,-0.014242799952626228,-0.04492998123168945,-0.04438456892967224,-0.1065201461315155,-0.031272828578948975,0.09532526135444641,-0.09804362058639526,-0.021236538887023926,0.19588372111320496,-0.059056490659713745,-0.16534000635147095,0.07012870907783508,-0.031099019572138786,-0.11788541078567505,0.008135229349136353,-0.09307138621807098,-0.0957944393157959,0.11471614241600037,-0.07863141596317291,-0.08369147777557373,0.19593986868858337,-0.04570167884230614
7,-0.027736663818359375,0.3307202160358429,0.004960400052368641,0.10270655155181885,0.24351099133491516,-0.0382811576128006,0.19288700819015503,0.08473870158195496,-0.04788193106651306,0.20159012079238892,-0.053873807191848755,-0.06013018637895584,0.14831805229187012,-0.1354598104953766,-0.06657839566469193,0.08248764276504517,-0.022419065237045288,0.0023188800550997257,0.09698200225830078,-0.14443328976631165,-0.07411235570907593,0.1040223240852356,-0.04183438420295715,-0.11783350259065628,0.10703021287918091,0.06477835774421692,-0.12846820056438446,0.0,0.0,0.0,0.026555538177490234,-0.11020120978355408,-0.09093931317329407,0.03352636098861694,0.028576642274856567,-0.11537082493305206,0.04080021381378174,0.14482972025871277,-0.10213012248277664,-0.08178800344467163,0.03135758638381958,-0.015057940036058426,-0.042273104190826416,-0.04356187582015991,-0.11073613911867142,-0.02892887592315674,0.09737500548362732,-0.10162883996963501,-0.019496023654937744,0.19828256964683533,-0.06113985925912857,-0.1678791046142578,0.07160410284996033,-0.03257032483816147,-0.11578458547592163,0.006368041038513184,-0.09708240628242493,-0.09515625238418579,0.11304697394371033,-0.08175326883792877,-0.08561760187149048,0.19347098469734192,-0.04767001420259476
