Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.0830678939819336,0.36686497926712036,-0.0038798158057034016,0.031298279762268066,0.3070904612541199,-0.002458521630614996,0.11733138561248779,0.1891322135925293,-0.011233365163207054,0.19642382860183716,0.11074870824813843,-0.03577306866645813,0.24855494499206543,0.03787153959274292,-0.0564817376434803,0.031671106815338135,0.0060302019119262695,0.040345001965761185,0.08771318197250366,-0.10883286595344543,-0.01504955068230629,0.17767179012298584,-0.0739479660987854,-0.06189189851284027,0.24337023496627808,-0.011141717433929443,-0.08279462903738022,0.0,0.0,0.0,0.07212597131729126,-0.13579031825065613,-0.08055008202791214,0.17539876699447632,-0.06456762552261353,-0.13758248090744019,0.23088359832763672,0.026478320360183716,-0.1550290584564209,-0.039970576763153076,0.005639612674713135,-0.04906441271305084,0.055613934993743896,-0.12359756231307983,-0.12279071658849716,0.16441017389297485,-0.05221101641654968,-0.15518660843372345,0.21536976099014282,0.026727616786956787,-0.154129758477211,-0.0807080864906311,0.02757793664932251,-0.09893990308046341,-0.09043994545936584,-0.12043601274490356,-0.1379455029964447,-0.08393478393554688,-0.21735942363739014,-0.1566544622182846,-0.08612331748008728,-0.2947938144207001,-0.16311123967170715
2,-0.09389203786849976,0.3725903034210205,-0.01737765595316887,0.0385856032371521,0.2941265106201172,0.0020908229053020477,0.12519198656082153,0.18065530061721802,-0.0028178421780467033,0.20741569995880127,0.10271257162094116,-0.028199616819620132,0.2627412676811218,0.026490390300750732,-0.04962775111198425,0.025238513946533203,0.005933403968811035,0.050320371985435486,0.08813679218292236,-0.11657711863517761,-0.003311065025627613,0.17808258533477783,-0.07807427644729614,-0.052447058260440826,0.2412603497505188,-0.014581114053726196,-0.07609856128692627,0.0,0.0,0.0,0.08184146881103516,-0.14140993356704712,-0.07791727036237717,0.18536096811294556,-0.06562355160713196,-0.13429759442806244,0.2398931384086609,0.02615642547607422,-0.1526564210653305,-0.03370928764343262,0.004645287990570068,-0.05905205011367798,0.061520278453826904,-0.1291714906692505,-0.12406608462333679,0.16931873559951782,-0.06174466013908386,-0.15207348763942719,0.21916985511779785,0.014142155647277832,-0.15164825320243835,-0.07136690616607666,0.022491276264190674,-0.11878334730863571,-0.0773557722568512,-0.12449735403060913,-0.15344220399856567,-0.07170146703720093,-0.2271302044391632,-0.17067956924438477,-0.07792279124259949,-0.3100356161594391,-0.17759893834590912
3,-0.09810394048690796,0.3846639394760132,-0.017691612243652344,0.037559449672698975,0.3010607957839966,0.003873545676469803,0.1242106556892395,0.18405550718307495,-0.001327265053987503,0.20646625757217407,0.10991930961608887,-0.026914440095424652,0.2675918936729431,0.03361248970031738,-0.0475645437836647,0.02676546573638916,0.007121622562408447,0.050464145839214325,0.09616303443908691,-0.10655826330184937,0.0005177855491638184,0.18580663204193115,-0.062395691871643066,-0.04490398243069649,0.24698984622955322,0.0030888915061950684,-0.06656014174222946,0.0,0.0,0.0,0.08468842506408691,-0.1392298936843872,-0.07453818619251251,0.19139140844345093,-0.05929833650588989,-0.12754563987255096,0.24849116802215576,0.0360255241394043,-0.14391735196113586,-0.033389508724212646,0.005482375621795654,-0.058523260056972504,0.06611692905426025,-0.1278260350227356,-0.1227216050028801,0.17625945806503296,-0.05386584997177124,-0.14866574108600616,0.22767752408981323,0.02337154746055603,-0.14706657826900482,-0.0676773190498352,0.025072157382965088,-0.11712780594825745,-0.07320481538772583,-0.12097746133804321,-0.15112455189228058,-0.06577587127685547,-0.2188926339149475,-0.16618208587169647,-0.06968629360198975,-0.3026101589202881,-0.17168991267681122
4,-0.06702601909637451,0.3980628550052643,-0.012514155358076096,0.07486790418624878,0.30470356345176697,0.017570860683918,0.16644054651260376,0.1852266490459442,0.013794356025755405,0.24796521663665771,0.10668393969535828,-0.01152187678962946,0.31024169921875,0.031884342432022095,-0.033274777233600616,0.025487303733825684,-0.0005564987659454346,0.0565914623439312,0.11525267362594604,-0.1188758909702301,0.012243884615600109,0.21287328004837036,-0.07573983073234558,-0.027915706858038902,0.28500646352767944,-0.01564130187034607,-0.04916255176067352,0.0,0.0,0.0,0.11391013860702515,-0.1426868736743927,-0.0707954689860344,0.2238103151321411,-0.05826619267463684,-0.11908317357301712,0.2842446565628052,0.04112371802330017,-0.1341090053319931,-0.017625510692596436,0.017165333032608032,-0.06295198202133179,0.10220372676849365,-0.11981573700904846,-0.11979043483734131,0.21878737211227417,-0.049149006605148315,-0.13820922374725342,0.2795369029045105,0.02791064977645874,-0.13537544012069702,-0.025366127490997314,0.0496746301651001,-0.12609459459781647,-0.011794865131378174,-0.09437966346740723,-0.15875093638896942,-0.009873449802398682,-0.19710317254066467,-0.17296573519706726,-0.02395281195640564,-0.28484541177749634,-0.17982684075832367
5,-0.042848825454711914,0.41225409507751465,-0.015178841538727283,0.10236698389053345,0.3040267825126648,0.02381822094321251,0.1796281337738037,0.17683041095733643,0.0248391292989254,0.25236696004867554,0.0946044921875,0.0013630110770463943,0.31159907579421997,0.012370467185974121,-0.019227106124162674,0.02680802345275879,0.002544224262237549,0.06127367168664932,0.12189298868179321,-0.11648315191268921,0.010995283722877502,0.22380739450454712,-0.08358898758888245,-0.03837205842137337,0.2993316054344177,-0.02761298418045044,-0.06509435176849365,0.0,0.0,0.0,0.11644083261489868,-0.141933411359787,-0.0646832287311554,0.24005025625228882,-0.08798646926879883,-0.1127123311161995,0.31816524267196655,-0.005299091339111328,-0.13108201324939728,-0.01968437433242798,0.015567958354949951,-0.06784790754318237,0.10145097970962524,-0.13162070512771606,-0.11511605232954025,0.2162480354309082,-0.09050998091697693,-0.12826186418533325,0.2821710705757141,-0.03183832764625549,-0.12556883692741394,-0.02900981903076172,0.0438770055770874,-0.136799156665802,-0.01873314380645752,-0.10518360137939453,-0.16324594616889954,-0.018753111362457275,-0.21312713623046875,-0.16919955611228943,-0.030612468719482422,-0.29691722989082336,-0.17051684856414795
6,-0.06122791767120361,0.40760284662246704,-0.03386860340833664,0.0754544734954834,0.303286612033844,-0.0048423465341329575,0.1603682041168213,0.17185473442077637,-0.006382720544934273,0.23711860179901123,0.08667278289794922,-0.0316818431019783,0.29107242822647095,-0.00041854381561279297,-0.05222577601671219,0.022470474243164062,0.004577457904815674,0.05554153025150299,0.10143709182739258,-0.12109929323196411,0.00637073814868927,0.19894713163375854,-0.08294481039047241,-0.043031662702560425,0.2687540054321289,-0.024904072284698486,-0.06831884384155273,0.0,0.0,0.0,0.09246045351028442,-0.1426820158958435,-0.07152809202671051,0.20623743534088135,-0.0765613317489624,-0.12584999203681946,0.27856338024139404,0.010599792003631592,-0.14509665966033936,-0.022241830825805664,0.009794354438781738,-0.06434353440999985,0.07832533121109009,-0.13707801699638367,-0.11812423169612885,0.1853424310684204,-0.08495813608169556,-0.13793092966079712,0.24522411823272705,-0.020650804042816162,-0.135675847530365,-0.0396348237991333,0.030032634735107422,-0.13023066520690918,-0.036981403827667236,-0.11651068925857544,-0.15314924716949463,-0.04116618633270264,-0.2176033854484558,-0.16062882542610168,-0.05699777603149414,-0.2995746433734894,-0.16276085376739502
7,-0.061936795711517334,0.40554678440093994,-0.028513848781585693,0.07243680953979492,0.309035062789917,-0.0023520197719335556,0.15735381841659546,0.17495226860046387,-0.0038830917328596115,0.234178364276886,0.08880871534347534,-0.02770290896296501,0.28803104162216187,0.0033465027809143066,-0.04615446925163269,0.023110151290893555,0.0035628676414489746,0.05425812304019928,0.09761977195739746,-0.12370014190673828,0.005543185397982597,0.1988885998725891,-0.08901813626289368,-0.04440019279718399,0.2751924395561218,-0.03117990493774414,-0.0710371807217598,0.0,0.0,0.0,0.08898007869720459,-0.1407374143600464,-0.07102268189191818,0.20136946439743042,-0.0752599835395813,-0.12451216578483582,0.27348917722702026,0.01196068525314331,-0.1437871754169464,-0.023518800735473633,0.010254740715026855,-0.06302694231271744,0.07309192419052124,-0.1329449713230133,-0.1144934743642807,0.18011236190795898,-0.08517831563949585,-0.13365799188613892,0.24125462770462036,-0.02488476037979126,-0.13270172476768494,-0.04204291105270386,0.030634582042694092,-0.12815134227275848,-0.042022109031677246,-0.11537456512451172,-0.15126493573188782,-0.048243701457977295,-0.219325453042984,-0.15947885811328888,-0.06520736217498779,-0.3043164312839508,-0.1627918928861618
