Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.021786868572235107,0.3672497272491455,0.03367318585515022,0.12802928686141968,0.28228986263275146,-0.012240614742040634,0.15523368120193481,0.12011212110519409,-0.03364734724164009,0.048805564641952515,0.04480397701263428,-0.056350525468587875,-0.06474944949150085,0.026996314525604248,-0.07166466116905212,0.08673489093780518,0.000613480806350708,0.007792258635163307,0.11569374799728394,-0.14835916459560394,-0.058627527207136154,0.1331806182861328,-0.07047098875045776,-0.10055026412010193,0.12458032369613647,0.024283230304718018,-0.11522245407104492,0.0,0.0,0.0,0.0015119314193725586,-0.1975509524345398,-0.0610443614423275,0.037599265575408936,-0.11885589361190796,-0.08632445335388184,0.047560542821884155,-0.01757916808128357,-0.08539310097694397,-0.07666933536529541,0.020793795585632324,-0.017613917589187622,-0.10710752010345459,-0.16552063822746277,-0.07164423167705536,-0.048390477895736694,-0.08625602722167969,-0.0750594288110733,-0.02285674214363098,0.009394705295562744,-0.060884278267621994,-0.1545068621635437,0.06417390704154968,-0.03944026306271553,-0.15700870752334595,-0.06573382019996643,-0.07513371109962463,-0.10011672973632812,-0.02032122015953064,-0.06811052560806274,-0.07299315929412842,0.053700029850006104,-0.05348758026957512
2,0.019933372735977173,0.38028866052627563,0.043283481150865555,0.12734520435333252,0.28147828578948975,-0.0023361705243587494,0.159062922000885,0.117398202419281,-0.0268828384578228,0.0497153103351593,0.03659382462501526,-0.054373446851968765,-0.06271049380302429,0.026023656129837036,-0.07613040506839752,0.0872277021408081,-0.0071828365325927734,0.012389285489916801,0.10286897420883179,-0.1624886840581894,-0.057784777134656906,0.12397342920303345,-0.0832604467868805,-0.10610741376876831,0.12129533290863037,0.013476133346557617,-0.12644754350185394,0.0,0.0,0.0,-0.009563624858856201,-0.20904485881328583,-0.06729184091091156,0.028597861528396606,-0.1241375207901001,-0.1037416011095047,0.04255273938179016,-0.018169790506362915,-0.1111355572938919,-0.07795387506484985,0.02728775143623352,-0.021440576761960983,-0.11367461085319519,-0.16390104591846466,-0.08059747517108917,-0.05351719260215759,-0.08297723531723022,-0.09447169303894043,-0.024695664644241333,0.016958683729171753,-0.0873858630657196,-0.15468049049377441,0.075996994972229,-0.04710068926215172,-0.16026294231414795,-0.05603519082069397,-0.08557756245136261,-0.10247218608856201,-0.014423966407775879,-0.0851457267999649,-0.07436215877532959,0.05839043855667114,-0.07634435594081879
3,0.027917057275772095,0.3788912892341614,0.048617471009492874,0.13187038898468018,0.2729347348213196,0.008653581142425537,0.16497856378555298,0.11681759357452393,-0.016877558082342148,0.06454962491989136,0.04205894470214844,-0.046686675399541855,-0.04253551363945007,0.03493669629096985,-0.07162337005138397,0.09044617414474487,-0.008155196905136108,0.015328790992498398,0.09981703758239746,-0.16674943268299103,-0.05583636090159416,0.11516928672790527,-0.09309551119804382,-0.10659924149513245,0.10981887578964233,0.00593915581703186,-0.12876926362514496,0.0,0.0,0.0,-0.020708084106445312,-0.20696347951889038,-0.06131579354405403,0.01525077223777771,-0.13217705488204956,-0.09474031627178192,0.03186142444610596,-0.031588226556777954,-0.10467399656772614,-0.07859215140342712,0.028213709592819214,-0.023963045328855515,-0.12234008312225342,-0.16367611289024353,-0.0754723846912384,-0.0632706880569458,-0.08876222372055054,-0.08584418892860413,-0.032918065786361694,0.009181797504425049,-0.08091434836387634,-0.15265986323356628,0.07812640070915222,-0.0524141900241375,-0.16150835156440735,-0.05419415235519409,-0.08320751786231995,-0.10498115420341492,-0.018719583749771118,-0.07923330366611481,-0.07624733448028564,0.05309748649597168,-0.0710531622171402
4,-0.003954797983169556,0.39766281843185425,0.02272188477218151,0.11825990676879883,0.2950292229652405,-0.021721092984080315,0.15781426429748535,0.1243407130241394,-0.039070889353752136,0.05976992845535278,0.036247581243515015,-0.059755951166152954,-0.04834344983100891,0.03164908289909363,-0.07435929030179977,0.08949583768844604,0.0033780932426452637,0.008884483948349953,0.10948950052261353,-0.1540096253156662,-0.05401992052793503,0.1255958080291748,-0.08113744854927063,-0.10306765884160995,0.11578571796417236,0.018586039543151855,-0.1256539672613144,0.0,0.0,0.0,-0.010910093784332275,-0.19846408069133759,-0.053185828030109406,0.02194836735725403,-0.13157016038894653,-0.08839984983205795,0.03550755977630615,-0.03310132026672363,-0.10148186981678009,-0.07949349284172058,0.01964285969734192,-0.019141415134072304,-0.10999405384063721,-0.1696586310863495,-0.06416241824626923,-0.05908888578414917,-0.10471725463867188,-0.07951948791742325,-0.03551730513572693,-0.005143076181411743,-0.07938209921121597,-0.1589832305908203,0.05895966291427612,-0.04352733492851257,-0.16470785439014435,-0.07533714175224304,-0.07205088436603546,-0.11465287208557129,-0.04562065005302429,-0.07330713421106339,-0.08937317132949829,0.02693989872932434,-0.06970246136188507
5,-0.03718578815460205,0.3771418333053589,0.009043260477483273,0.07426095008850098,0.2774372100830078,-0.014472510665655136,0.12074387073516846,0.13312888145446777,-0.027139153331518173,0.06617200374603271,0.03958064317703247,-0.048104941844940186,-0.024132490158081055,0.02173715829849243,-0.06549999862909317,0.08050656318664551,0.011081457138061523,0.017020275816321373,0.10048186779022217,-0.12211781740188599,-0.03621171787381172,0.1177060604095459,-0.08601799607276917,-0.0799693614244461,0.11791801452636719,-0.009810179471969604,-0.1007915586233139,0.0,0.0,0.0,-0.0006656646728515625,-0.1773284673690796,-0.04354776442050934,0.02896428108215332,-0.11834797263145447,-0.07078574597835541,0.03792673349380493,-0.033017903566360474,-0.08047252148389816,-0.07507270574569702,0.011825799942016602,-0.025409456342458725,-0.08863461017608643,-0.15293338894844055,-0.060222968459129333,-0.045788705348968506,-0.09163397550582886,-0.06592633575201035,-0.031108379364013672,-0.0045545995235443115,-0.062586210668087,-0.15032503008842468,0.04458034038543701,-0.0552491694688797,-0.140360027551651,-0.07377633452415466,-0.07354820519685745,-0.09726855158805847,-0.04178449511528015,-0.06544174253940582,-0.08117365837097168,0.025072872638702393,-0.05747554451227188
6,-0.02825605869293213,0.3681403398513794,0.010025504045188427,0.08112722635269165,0.28159838914871216,-0.020249098539352417,0.1321420669555664,0.13047313690185547,-0.030038006603717804,0.0706433653831482,0.039393842220306396,-0.044572215527296066,-0.02267831563949585,0.016772210597991943,-0.05332561954855919,0.07790148258209229,0.009166121482849121,0.011244894936680794,0.09824132919311523,-0.1254543662071228,-0.03895155340433121,0.12465822696685791,-0.07831782102584839,-0.07906362414360046,0.12492847442626953,-0.002168983221054077,-0.09689570218324661,0.0,0.0,0.0,-0.006582081317901611,-0.17143762111663818,-0.04215800762176514,0.029380500316619873,-0.1146506667137146,-0.07190829515457153,0.03870004415512085,-0.02988496422767639,-0.08247821778059006,-0.0731266438961029,0.014816105365753174,-0.01989387348294258,-0.09371763467788696,-0.14388597011566162,-0.05942152813076973,-0.04530760645866394,-0.0918014645576477,-0.0768132209777832,-0.028687894344329834,-0.011911749839782715,-0.07871978729963303,-0.14238470792770386,0.04734063148498535,-0.043505631387233734,-0.13102322816848755,-0.06899094581604004,-0.06859460473060608,-0.08659064769744873,-0.04466995596885681,-0.07144879549741745,-0.07049703598022461,0.014912724494934082,-0.06906809657812119
7,-0.025246798992156982,0.3613687753677368,0.011782009154558182,0.08591097593307495,0.27153217792510986,-0.018275048583745956,0.13408952951431274,0.12278944253921509,-0.028180692344903946,0.06285625696182251,0.028981447219848633,-0.04244706779718399,-0.03138470649719238,0.005915820598602295,-0.051241401582956314,0.0790676474571228,0.009429872035980225,0.01069137267768383,0.10008513927459717,-0.12385392189025879,-0.03966587781906128,0.12283283472061157,-0.07824230194091797,-0.07816582918167114,0.12184745073318481,-0.002156168222427368,-0.09439342468976974,0.0,0.0,0.0,-0.008380889892578125,-0.17205506563186646,-0.04108789190649986,0.026575326919555664,-0.1206977367401123,-0.06711271405220032,0.036586225032806396,-0.035430192947387695,-0.07468916475772858,-0.0727948248386383,0.01434469223022461,-0.01916663721203804,-0.09584394097328186,-0.1445002555847168,-0.05822417512536049,-0.04825782775878906,-0.09002584218978882,-0.0703682228922844,-0.03112316131591797,-0.007152825593948364,-0.06814835965633392,-0.14355012774467468,0.047579288482666016,-0.042045220732688904,-0.1370353400707245,-0.06566867232322693,-0.0676913857460022,-0.0917055606842041,-0.03922674059867859,-0.06771745532751083,-0.0733385682106018,0.02264249324798584,-0.062242720276117325
