Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.01861804723739624,0.2185969054698944,0.16671079397201538,0.05446958541870117,0.23396429419517517,0.06873699277639389,0.08422797918319702,0.2556639611721039,-0.013586446642875671,0.05702322721481323,0.30578187108039856,-0.08420230448246002,0.026063263416290283,0.3668127954006195,-0.1569691151380539,0.06890153884887695,0.013534396886825562,-0.011174306273460388,0.07956922054290771,0.18335983157157898,-0.10074411332607269,0.05994457006454468,0.3412491977214813,-0.16637586057186127,0.03964179754257202,0.47137048840522766,-0.20097686350345612,0.0,0.0,0.0,0.0005897879600524902,0.1693204939365387,-0.06942340731620789,-0.01607614755630493,0.30671557784080505,-0.09765766561031342,-0.034869611263275146,0.4284128248691559,-0.11401663720607758,-0.06749355792999268,0.029041200876235962,0.00787043571472168,-0.060253918170928955,0.19460925459861755,-0.054583728313446045,-0.057736337184906006,0.3154461085796356,-0.057503461837768555,-0.058438777923583984,0.4158882796764374,-0.051478952169418335,-0.12270033359527588,0.08107689023017883,0.007576897740364075,-0.09427481889724731,0.20963814854621887,-0.031752318143844604,-0.07550084590911865,0.3132724463939667,-0.019561707973480225,-0.06672614812850952,0.3985438048839569,-0.0037839263677597046
2,-0.017023980617523193,0.21602731943130493,0.1722492277622223,0.027531087398529053,0.2344011664390564,0.069832943379879,0.03765314817428589,0.2612069249153137,-0.01593180000782013,0.014038443565368652,0.3141345977783203,-0.08878682553768158,-0.002506852149963379,0.3770487308502197,-0.16333721578121185,0.039708077907562256,0.012260675430297852,-0.012136876583099365,0.0498734712600708,0.18717741966247559,-0.10289348661899567,0.028705596923828125,0.3439297676086426,-0.1675253063440323,0.007431149482727051,0.473504900932312,-0.2011161893606186,0.0,0.0,0.0,0.002349555492401123,0.17425453662872314,-0.07290640473365784,-0.017216801643371582,0.312361478805542,-0.1010604053735733,-0.03872394561767578,0.43451082706451416,-0.11638031899929047,-0.04039722681045532,0.03137919306755066,0.008602187037467957,-0.028442203998565674,0.20457786321640015,-0.05997398495674133,-0.0331425666809082,0.3284318447113037,-0.0649530291557312,-0.03853464126586914,0.4290738105773926,-0.058938413858413696,-0.07067418098449707,0.08668720722198486,0.009097427129745483,-0.03779160976409912,0.22395837306976318,-0.03627920150756836,-0.03059905767440796,0.3332256078720093,-0.026253432035446167,-0.03094083070755005,0.4200183153152466,-0.011101514101028442
3,-0.04370307922363281,0.23290935158729553,0.12398016452789307,0.040211021900177,0.24621734023094177,0.045309826731681824,0.08889394998550415,0.26805534958839417,-0.023623459041118622,0.07318240404129028,0.3169604241847992,-0.08606638759374619,0.04251199960708618,0.3594614565372467,-0.1487475335597992,0.08585721254348755,0.021813124418258667,-0.0012031570076942444,0.12383568286895752,0.165137380361557,-0.10432285815477371,0.11039620637893677,0.30232712626457214,-0.17244479060173035,0.09477615356445312,0.41034772992134094,-0.20373079180717468,0.0,0.0,0.0,0.018940091133117676,0.15745800733566284,-0.09216979891061783,-0.00015544891357421875,0.29559561610221863,-0.1258983612060547,-0.027290821075439453,0.4022845923900604,-0.13256701827049255,-0.08121544122695923,0.029944151639938354,-0.006495021283626556,-0.055265069007873535,0.22111007571220398,-0.09582274407148361,-0.040998876094818115,0.34194061160087585,-0.10383618623018265,-0.0396689772605896,0.4245491921901703,-0.08615695685148239,-0.14454439282417297,0.08648225665092468,-0.01816321164369583,-0.12420180439949036,0.22748425602912903,-0.08055015653371811,-0.10855263471603394,0.3209381401538849,-0.07647842913866043,-0.10356360673904419,0.386689156293869,-0.054390452802181244
4,-0.01904475688934326,0.23490658402442932,0.1715867519378662,0.06113791465759277,0.2538752853870392,0.07093653827905655,0.12305188179016113,0.28197750449180603,-0.019556909799575806,0.15469974279403687,0.34893980622291565,-0.10000218451023102,0.17717349529266357,0.4277823269367218,-0.1807159036397934,0.08872824907302856,0.02006298303604126,-0.004027232527732849,0.12412971258163452,0.16707292199134827,-0.11945103108882904,0.12731897830963135,0.31391385197639465,-0.19589607417583466,0.12051492929458618,0.4351407587528229,-0.23510222136974335,0.0,0.0,0.0,-0.00023680925369262695,0.10202386975288391,-0.10046176612377167,-0.0028101205825805664,0.2501019537448883,-0.13296957314014435,-0.007007777690887451,0.37293538451194763,-0.14416609704494476,-0.08048522472381592,0.027345597743988037,-0.003313198685646057,-0.08921340107917786,0.12061572074890137,-0.10342051088809967,-0.07666283845901489,0.264700323343277,-0.10724593698978424,-0.06466680765151978,0.37159231305122375,-0.09001453220844269,-0.13421261310577393,0.08426257967948914,-0.013654544949531555,-0.1464139223098755,0.17795202136039734,-0.08411706984043121,-0.13433080911636353,0.28399649262428284,-0.0826483815908432,-0.12273097038269043,0.35909226536750793,-0.06785207986831665
5,0.03868508338928223,-0.0006397366523742676,0.43213263154029846,0.12999719381332397,0.08289310336112976,0.2664561867713928,0.1589784026145935,0.21635079383850098,0.13278943300247192,0.13963443040847778,0.33931615948677063,0.04243510961532593,0.10442465543746948,0.4471760094165802,-0.05262035131454468,0.1227603554725647,0.02592495083808899,-0.040195465087890625,0.12243080139160156,0.2631343901157379,-0.1891586184501648,0.12626433372497559,0.42916885018348694,-0.25696325302124023,0.11805713176727295,0.5519251823425293,-0.2977714538574219,0.0,0.0,0.0,-0.028235554695129395,0.25210052728652954,-0.149511456489563,-0.03487116098403931,0.424489289522171,-0.1958821415901184,-0.03808796405792236,0.555910587310791,-0.23482739925384521,-0.10816448926925659,0.022909224033355713,0.04880017042160034,-0.15408045053482056,0.252670556306839,-0.08682191371917725,-0.17367172241210938,0.41249528527259827,-0.12921029329299927,-0.17591357231140137,0.5422608852386475,-0.1567355990409851,-0.19300583004951477,0.06869533658027649,0.09660276770591736,-0.2226511836051941,0.24249500036239624,-0.0004762709140777588,-0.21628957986831665,0.35792210698127747,-0.031739264726638794,-0.20185649394989014,0.4546636641025543,-0.05616265535354614
6,0.103091299533844,0.024231120944023132,0.4625904858112335,0.16450315713882446,0.09118226170539856,0.25402015447616577,0.16938453912734985,0.2377108335494995,0.10656845569610596,0.14101749658584595,0.387813538312912,0.018345922231674194,0.09173911809921265,0.5242595672607422,-0.07165342569351196,0.09489172697067261,0.014629065990447998,-0.06678974628448486,0.08020985126495361,0.2127176821231842,-0.1970091462135315,0.07698559761047363,0.37558576464653015,-0.24437445402145386,0.06341761350631714,0.5158684253692627,-0.2785807251930237,0.0,0.0,0.0,-0.017005980014801025,0.25491610169410706,-0.14402812719345093,-0.019733309745788574,0.44064512848854065,-0.1846790909767151,-0.02111685276031494,0.5923207998275757,-0.22324979305267334,-0.06468772888183594,0.04280474781990051,0.07688641548156738,-0.07751744985580444,0.3043634593486786,-0.05042940378189087,-0.08181732892990112,0.4605812132358551,-0.07962393760681152,-0.0735660195350647,0.5878311395645142,-0.10303914546966553,-0.10535794496536255,0.10924306511878967,0.1497054100036621,-0.09799674153327942,0.31497564911842346,0.046021729707717896,-0.08091408014297485,0.4309673011302948,0.012790292501449585,-0.06174278259277344,0.5218795537948608,-0.012114882469177246
7,0.17577135562896729,0.01763772964477539,0.32473891973495483,0.1230207085609436,0.04696393013000488,0.2413022369146347,0.061620891094207764,0.14964202046394348,0.1499285101890564,0.03723704814910889,0.31013044714927673,0.08453497290611267,0.019306480884552002,0.45192065834999084,0.007665544748306274,-0.029868245124816895,0.003786250948905945,0.001336216926574707,-0.1182790994644165,0.23485788702964783,-0.08757984638214111,-0.13791203498840332,0.39308151602745056,-0.12416741251945496,-0.13597404956817627,0.5267858505249023,-0.14824572205543518,0.0,0.0,0.0,-0.07413208484649658,0.262851744890213,-0.08946120738983154,-0.07908487319946289,0.44651463627815247,-0.12293687462806702,-0.06844973564147949,0.5932728052139282,-0.1568058729171753,0.05942976474761963,0.0439678430557251,0.01120176911354065,0.0452921986579895,0.3225279748439789,-0.058505505323410034,0.05456191301345825,0.4782133400440216,-0.07407277822494507,0.06427282094955444,0.5830634832382202,-0.0963703989982605,0.13149994611740112,0.11569726467132568,0.022847384214401245,0.15969020128250122,0.3268120586872101,-0.04364752769470215,0.17091381549835205,0.4435335695743561,-0.05590096116065979,0.17641222476959229,0.5202163457870483,-0.06833675503730774
