Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.005176663398742676,0.34166431427001953,0.06879396736621857,0.0863679051399231,0.27516692876815796,0.01316632330417633,0.13624340295791626,0.16677629947662354,-0.019624091684818268,0.11841624975204468,0.07749629020690918,-0.05261947959661484,0.04560387134552002,0.03305041790008545,-0.08293019235134125,0.07957285642623901,-0.002127408981323242,0.010462932288646698,0.13554805517196655,-0.1433766484260559,-0.04346767067909241,0.16658300161361694,-0.22953903675079346,-0.07782118022441864,0.19132572412490845,-0.30789047479629517,-0.09763677418231964,0.0,0.0,0.0,-0.015260577201843262,-0.16493085026741028,-0.06706295907497406,-0.026332437992095947,-0.27413517236709595,-0.10789498686790466,-0.03921318054199219,-0.36708614230155945,-0.12716414034366608,-0.0735970139503479,0.04335230588912964,-0.014229848980903625,-0.06916412711143494,-0.047996580600738525,-0.10671477019786835,-0.017777681350708008,0.04035460948944092,-0.1144019067287445,0.011009693145751953,0.1148228645324707,-0.09169857203960419,-0.13595300912857056,0.11067807674407959,-0.03129833936691284,-0.1130601167678833,0.04552978277206421,-0.10309822857379913,-0.061544209718704224,0.10513138771057129,-0.09482204914093018,-0.034238576889038086,0.1621311902999878,-0.06900350749492645
2,-0.006577014923095703,0.3503360152244568,0.06106439605355263,0.08492016792297363,0.27540862560272217,0.015399202704429626,0.1382049322128296,0.16452860832214355,-0.013325866311788559,0.11823916435241699,0.07736551761627197,-0.04559362307190895,0.05041998624801636,0.028400301933288574,-0.07571804523468018,0.07832199335098267,-0.003364086151123047,0.015234656631946564,0.13959157466888428,-0.14127421379089355,-0.03783951327204704,0.17274147272109985,-0.22874420881271362,-0.07194468379020691,0.1961405873298645,-0.3066632151603699,-0.09094639122486115,0.0,0.0,0.0,-0.01091921329498291,-0.16915589570999146,-0.06455223262310028,-0.02050936222076416,-0.2769814133644104,-0.1034400463104248,-0.03534698486328125,-0.36964401602745056,-0.1206008791923523,-0.07183986902236938,0.0443955659866333,-0.01906033232808113,-0.0621887743473053,-0.04516017436981201,-0.10988010466098785,-0.009025096893310547,0.04563778638839722,-0.11662229895591736,0.017174065113067627,0.11946070194244385,-0.09213265776634216,-0.13164284825325012,0.11299407482147217,-0.04025857523083687,-0.10311052203178406,0.04505187273025513,-0.1082531213760376,-0.04979991912841797,0.10289549827575684,-0.0973244160413742,-0.023323535919189453,0.1595870852470398,-0.06922346353530884
3,-0.008075118064880371,0.3522181510925293,0.05693284049630165,0.08326297998428345,0.2754319906234741,0.012401837855577469,0.13921242952346802,0.15881109237670898,-0.014050211757421494,0.11786758899688721,0.06774640083312988,-0.04461558535695076,0.04712629318237305,0.021532535552978516,-0.07259881496429443,0.08005267381668091,-0.0033254623413085938,0.01654316857457161,0.14250057935714722,-0.14300966262817383,-0.03655019775032997,0.1749117374420166,-0.22996032238006592,-0.07026930153369904,0.19694501161575317,-0.30913206934928894,-0.08978293836116791,0.0,0.0,0.0,-0.010408401489257812,-0.16880083084106445,-0.06582197546958923,-0.01868206262588501,-0.2762640416622162,-0.10396179556846619,-0.03351253271102905,-0.3695150911808014,-0.12061797082424164,-0.07339644432067871,0.04449009895324707,-0.021027419716119766,-0.06312617659568787,-0.0481298565864563,-0.1127442866563797,-0.011432170867919922,0.04793226718902588,-0.11690819263458252,0.01165628433227539,0.1223989725112915,-0.09072582423686981,-0.1343141496181488,0.1129298210144043,-0.04457790032029152,-0.10160064697265625,0.0535888671875,-0.11221450567245483,-0.05418628454208374,0.1129412055015564,-0.10141418874263763,-0.03577315807342529,0.16539990901947021,-0.07413168251514435
4,-0.015828073024749756,0.35715240240097046,0.04928349703550339,0.07409679889678955,0.27719926834106445,0.004027865827083588,0.11771774291992188,0.15377914905548096,-0.020233459770679474,0.058200299739837646,0.0692284107208252,-0.04805384576320648,-0.024441123008728027,0.02698493003845215,-0.07249660789966583,0.08680909872055054,-0.003917992115020752,0.01571677252650261,0.15704858303070068,-0.13908368349075317,-0.03467775136232376,0.19774127006530762,-0.22268176078796387,-0.06638278067111969,0.22401875257492065,-0.2964385747909546,-0.08536938577890396,0.0,0.0,0.0,-0.02140897512435913,-0.16627687215805054,-0.06437630206346512,-0.035753726959228516,-0.2718154489994049,-0.10455312579870224,-0.05704087018966675,-0.3595607876777649,-0.12215761095285416,-0.07219269871711731,0.047194480895996094,-0.020780526101589203,-0.07326632738113403,-0.02645343542098999,-0.11415980011224747,-0.012499511241912842,0.0569879412651062,-0.1311311423778534,0.020110607147216797,0.12240815162658691,-0.11417203396558762,-0.1253790259361267,0.11650192737579346,-0.04362642019987106,-0.08902096748352051,0.08948439359664917,-0.11860648542642593,-0.03690975904464722,0.14739078283309937,-0.12222204357385635,-0.00949162244796753,0.1942039132118225,-0.10495594888925552
5,0.019618093967437744,0.35979020595550537,0.05443945527076721,0.10418570041656494,0.2793862223625183,0.0070947930216789246,0.1460675597190857,0.16945648193359375,-0.021751858294010162,0.07771968841552734,0.11215043067932129,-0.05479949712753296,-0.008669614791870117,0.10158312320709229,-0.08446548879146576,0.08947283029556274,-0.017696022987365723,0.018642034381628036,0.15092062950134277,-0.15631389617919922,-0.031075797975063324,0.18882793188095093,-0.2451583743095398,-0.06331813335418701,0.2132960557937622,-0.31915950775146484,-0.08212403953075409,0.0,0.0,0.0,-0.047505855560302734,-0.166277676820755,-0.06212706118822098,-0.07716971635818481,-0.2724911868572235,-0.1052515059709549,-0.10879978537559509,-0.3618275225162506,-0.1248212605714798,-0.06575241684913635,0.061212360858917236,-0.02374298870563507,-0.07076284289360046,0.011163651943206787,-0.1166561096906662,-0.0065032243728637695,0.08474081754684448,-0.13916648924350739,0.02957749366760254,0.14233815670013428,-0.12413126230239868,-0.1087459921836853,0.1431722640991211,-0.04938368499279022,-0.08824175596237183,0.10018712282180786,-0.1154608428478241,-0.027087628841400146,0.15030306577682495,-0.11135576665401459,0.01190483570098877,0.1978420615196228,-0.08886697888374329
6,0.025001466274261475,0.3592877984046936,0.058167390525341034,0.1114281415939331,0.2775470018386841,0.00439772754907608,0.14610958099365234,0.16804838180541992,-0.028795462101697922,0.07611614465713501,0.11474251747131348,-0.06537726521492004,-0.01231849193572998,0.09719151258468628,-0.09785932302474976,0.0898216962814331,-0.01634526252746582,0.016090858727693558,0.1506795883178711,-0.157623291015625,-0.04010767117142677,0.18829184770584106,-0.2482399344444275,-0.07658696174621582,0.21503734588623047,-0.32229718565940857,-0.09732179343700409,0.0,0.0,0.0,-0.049720168113708496,-0.16773676872253418,-0.06790871918201447,-0.07936090230941772,-0.2767392098903656,-0.11322957277297974,-0.11029279232025146,-0.3661385774612427,-0.13368676602840424,-0.06664320826530457,0.06039535999298096,-0.021920952945947647,-0.0793810486793518,0.011395812034606934,-0.11994343996047974,-0.014405429363250732,0.08813345432281494,-0.14069664478302002,0.022128283977508545,0.14834469556808472,-0.1235576719045639,-0.11143374443054199,0.14077973365783691,-0.046506304293870926,-0.09002190828323364,0.10587626695632935,-0.11794960498809814,-0.03386491537094116,0.1581707000732422,-0.1149645447731018,-0.0010447502136230469,0.20433390140533447,-0.09246017038822174
7,0.02509826421737671,0.3597220778465271,0.06048782914876938,0.11027687788009644,0.27763307094573975,0.004745788872241974,0.1456959843635559,0.16851204633712769,-0.02977573126554489,0.07632690668106079,0.11228924989700317,-0.06711826473474503,-0.01308906078338623,0.09197771549224854,-0.10021466761827469,0.09027618169784546,-0.015861928462982178,0.014899816364049911,0.1501392126083374,-0.1576659083366394,-0.04248321056365967,0.18756812810897827,-0.24841272830963135,-0.0794934406876564,0.21428650617599487,-0.32185813784599304,-0.09993631392717361,0.0,0.0,0.0,-0.05000370740890503,-0.16859212517738342,-0.06816176325082779,-0.0800001323223114,-0.27746814489364624,-0.11295033246278763,-0.11053365468978882,-0.3658471405506134,-0.13252809643745422,-0.06657153367996216,0.0596156120300293,-0.020797215402126312,-0.07751455903053284,0.012877285480499268,-0.11762691289186478,-0.012347102165222168,0.0886467695236206,-0.1376464068889618,0.02490168809890747,0.14806616306304932,-0.12002425640821457,-0.11115965247154236,0.13897955417633057,-0.044534653425216675,-0.08961984515190125,0.10494118928909302,-0.1136254295706749,-0.032968342304229736,0.15515780448913574,-0.10963121801614761,0.001461029052734375,0.19921523332595825,-0.08655918389558792
