Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.1713731586933136,0.9786861538887024,0.11315776407718658,0.0829133689403534,0.7991994023323059,-0.026453789323568344,0.2220906764268875,0.4413773715496063,-0.07313065230846405,0.06276217103004456,0.1758415549993515,-0.10934991389513016,-0.17908263206481934,0.11149483174085617,-0.14622679352760315,0.1905282437801361,0.03665517270565033,0.010541130788624287,0.20105452835559845,-0.36495241522789,-0.07632190734148026,0.18554580211639404,-0.6215689182281494,-0.15820741653442383,0.1558382660150528,-0.8455991148948669,-0.2219669222831726,0.0,0.0,0.0,0.02308172918856144,-0.41888269782066345,-0.0714036151766777,0.023249315097928047,-0.7149960398674011,-0.15330536663532257,0.006365533918142319,-0.9685924053192139,-0.21286232769489288,-0.17009830474853516,0.05185146629810333,-0.027539262548089027,-0.1579570323228836,-0.33213675022125244,-0.09444422274827957,-0.1470755785703659,-0.5852193832397461,-0.16605158150196075,-0.159245565533638,-0.8016937375068665,-0.21600832045078278,-0.343854695558548,0.16996680200099945,-0.07065946608781815,-0.3330369293689728,-0.10978656262159348,-0.13426512479782104,-0.31947603821754456,-0.30343490839004517,-0.16660478711128235,-0.3216022551059723,-0.4766855239868164,-0.18809150159358978
2,-0.15954986214637756,0.9831172227859497,0.08957911282777786,0.0786396861076355,0.774749219417572,-0.04735065624117851,0.2231936901807785,0.41392356157302856,-0.08807362616062164,0.06204857677221298,0.15250781178474426,-0.11900531500577927,-0.17101745307445526,0.06838227808475494,-0.1489773690700531,0.180946946144104,0.0269168633967638,0.010543550364673138,0.19097460806369781,-0.36213618516921997,-0.07262136042118073,0.17319390177726746,-0.6076765060424805,-0.1504238247871399,0.14549358189105988,-0.824265718460083,-0.211854487657547,0.0,0.0,0.0,0.021786924451589584,-0.4070034623146057,-0.0698629766702652,0.01606622152030468,-0.692472517490387,-0.15088853240013123,0.0016606259159743786,-0.9423010349273682,-0.21220755577087402,-0.16288280487060547,0.05877525359392166,-0.03050299733877182,-0.15098552405834198,-0.3181251287460327,-0.10308177769184113,-0.14384004473686218,-0.5672809481620789,-0.17918860912322998,-0.15053969621658325,-0.7814308404922485,-0.2323862612247467,-0.3286888003349304,0.17737388610839844,-0.07669935375452042,-0.3311322331428528,-0.10588330775499344,-0.14801418781280518,-0.3227865993976593,-0.2993507385253906,-0.18924464285373688,-0.3235899806022644,-0.4742484390735626,-0.2181461602449417
3,-0.22815734148025513,0.9678240418434143,0.10611730813980103,0.008955065160989761,0.7777023315429688,-0.07620924711227417,0.17257143557071686,0.4575774669647217,-0.1457146853208542,-0.00040346369496546686,0.1770818680524826,-0.1959875524044037,-0.23231394588947296,0.05888137221336365,-0.2413269579410553,0.18974322080612183,0.04368021339178085,-0.008992292918264866,0.2312348335981369,-0.3424038589000702,-0.1054912880063057,0.22597429156303406,-0.5868377685546875,-0.1942494511604309,0.21546627581119537,-0.8078125715255737,-0.26313668489456177,0.0,0.0,0.0,0.05972569063305855,-0.40881943702697754,-0.07720637321472168,0.07753099501132965,-0.6831308007240295,-0.16089262068271637,0.08947848528623581,-0.9250373840332031,-0.2256927341222763,-0.17360907793045044,0.03942808508872986,-0.014838761650025845,-0.13432255387306213,-0.332354336977005,-0.09282710403203964,-0.10173653066158295,-0.573823869228363,-0.16403448581695557,-0.07925310730934143,-0.7821623682975769,-0.21529355645179749,-0.3563537895679474,0.13896116614341736,-0.04972121864557266,-0.33610299229621887,-0.1435159295797348,-0.12178695201873779,-0.3071936070919037,-0.3254002630710602,-0.15850406885147095,-0.28438785672187805,-0.495638906955719,-0.18484258651733398
4,-0.2446931004524231,0.9679584503173828,0.05640636757016182,0.018452119082212448,0.7815290689468384,-0.06672495603561401,0.19391489028930664,0.43410617113113403,-0.1020805761218071,0.08270352333784103,0.15491017699241638,-0.13315072655677795,-0.14171411097049713,0.08455168455839157,-0.16155429184436798,0.17204797267913818,0.04617617279291153,0.015255630947649479,0.21799147129058838,-0.31347253918647766,-0.05880841612815857,0.22431550920009613,-0.5394235253334045,-0.1334778368473053,0.2140437811613083,-0.7422558665275574,-0.19460351765155792,0.0,0.0,0.0,0.053551554679870605,-0.382398396730423,-0.06006283685564995,0.07482808083295822,-0.6392881274223328,-0.12999363243579865,0.07664341479539871,-0.8607158064842224,-0.18469208478927612,-0.16098207235336304,0.03915286064147949,-0.03650148585438728,-0.11735647171735764,-0.3165503442287445,-0.0940113514661789,-0.09117218852043152,-0.5400170087814331,-0.1532783955335617,-0.08545958995819092,-0.7363139986991882,-0.19836029410362244,-0.3257368206977844,0.1380394548177719,-0.0900806412100792,-0.29599085450172424,-0.13343922793865204,-0.14065028727054596,-0.2769489586353302,-0.31269147992134094,-0.16789081692695618,-0.27948665618896484,-0.4796404242515564,-0.1911507546901703
5,-0.19337832927703857,0.9793226718902588,0.05942998453974724,0.06313600391149521,0.7636002898216248,-0.06435371190309525,0.20735715329647064,0.3915455639362335,-0.09851319342851639,0.051830027252435684,0.11950112134218216,-0.12575340270996094,-0.20255210995674133,0.06556756794452667,-0.1507001668214798,0.17558082938194275,0.0384504571557045,0.01359570398926735,0.2012629359960556,-0.3518190085887909,-0.05350656807422638,0.18813319504261017,-0.5885928869247437,-0.12336055934429169,0.164065420627594,-0.7998001575469971,-0.1808062642812729,0.0,0.0,0.0,0.025721702724695206,-0.40845805406570435,-0.053789813071489334,0.021564451977610588,-0.6830099821090698,-0.12318949401378632,0.005986453965306282,-0.9228169322013855,-0.1788373589515686,-0.16345196962356567,0.04505572095513344,-0.03445998579263687,-0.15245486795902252,-0.332479327917099,-0.09024208039045334,-0.1453273892402649,-0.5723950862884521,-0.15663670003414154,-0.1590937376022339,-0.788045346736908,-0.20673911273479462,-0.32892853021621704,0.14265023171901703,-0.0846051275730133,-0.32732096314430237,-0.14919139444828033,-0.13657188415527344,-0.32436373829841614,-0.33796238899230957,-0.16778479516506195,-0.33826878666877747,-0.5151732563972473,-0.1938391476869583
6,-0.24801960587501526,0.9665014743804932,0.0660395547747612,0.016344714909791946,0.775364339351654,-0.053643014281988144,0.1842043697834015,0.4239613115787506,-0.08932548016309738,0.07821337878704071,0.1564379781484604,-0.12195776402950287,-0.1448110044002533,0.09913814067840576,-0.15401452779769897,0.16932238638401031,0.044672492891550064,0.01687520742416382,0.21698428690433502,-0.3268512785434723,-0.059663109481334686,0.22226640582084656,-0.5553363561630249,-0.13448919355869293,0.21728305518627167,-0.7574189305305481,-0.19506514072418213,0.0,0.0,0.0,0.059464629739522934,-0.3878782093524933,-0.0649416595697403,0.07134757936000824,-0.6534516215324402,-0.1393432319164276,0.07002175599336624,-0.8871952295303345,-0.19767607748508453,-0.15978236496448517,0.04024498909711838,-0.03659000247716904,-0.12132034450769424,-0.3159610331058502,-0.0951060876250267,-0.10183051973581314,-0.5459436178207397,-0.15879233181476593,-0.09699071198701859,-0.7514594793319702,-0.20871657133102417,-0.32252854108810425,0.1353151947259903,-0.08965293318033218,-0.2951965630054474,-0.13530366122722626,-0.13853931427001953,-0.27699893712997437,-0.3160299062728882,-0.1654222160577774,-0.27657997608184814,-0.4816926121711731,-0.19087930023670197
7,-0.235615536570549,0.9696054458618164,0.06595918536186218,0.009928960353136063,0.7817943096160889,-0.060631219297647476,0.18741068243980408,0.43442487716674805,-0.09655216336250305,0.1046324074268341,0.15146736800670624,-0.12438638508319855,-0.10906446725130081,0.04706934094429016,-0.1488785296678543,0.1638524830341339,0.04135143756866455,0.00962308794260025,0.21318955719470978,-0.3294387757778168,-0.06257474422454834,0.21789440512657166,-0.5609737634658813,-0.13485455513000488,0.212404265999794,-0.767384946346283,-0.19383178651332855,0.0,0.0,0.0,0.056194745004177094,-0.38991761207580566,-0.05767340213060379,0.07891618460416794,-0.6556267738342285,-0.12719795107841492,0.08533595502376556,-0.8871468305587769,-0.18169036507606506,-0.15426099300384521,0.04282774031162262,-0.02948395535349846,-0.10844019800424576,-0.3161715865135193,-0.0883747935295105,-0.07661586254835129,-0.5478225350379944,-0.15037085115909576,-0.06734737753868103,-0.7503741383552551,-0.196726456284523,-0.3093837797641754,0.14547809958457947,-0.07532840967178345,-0.2871170938014984,-0.12314058095216751,-0.13505007326602936,-0.265192449092865,-0.3069002628326416,-0.16916775703430176,-0.25987499952316284,-0.4761156737804413,-0.1948981136083603
