Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.010290048085153103,0.9987132549285889,0.04965820163488388,0.24672436714172363,0.7651145458221436,0.047136399894952774,0.43369418382644653,0.4383014738559723,0.0003858140262309462,0.6065753698348999,0.19625252485275269,-0.08037155866622925,0.7790555953979492,-0.03453420102596283,-0.15822583436965942,0.09149951487779617,0.08462285995483398,0.10396376997232437,0.32244420051574707,-0.1591922789812088,-0.05294797942042351,0.5370469689369202,-0.19560277462005615,-0.17654159665107727,0.7257633805274963,-0.16613712906837463,-0.23971623182296753,0.0,0.0,0.0,0.09107499569654465,-0.4494286775588989,-0.08513133227825165,0.20349663496017456,-0.7442504167556763,-0.14215119183063507,0.2912311851978302,-0.9726342558860779,-0.17392116785049438,-0.09670620411634445,0.017643261700868607,-0.13161763548851013,-0.12252753973007202,-0.4507567882537842,-0.22678129374980927,-0.10104594379663467,-0.7859280705451965,-0.27167442440986633,-0.0751928985118866,-1.0556467771530151,-0.29532796144485474,-0.1754240244626999,0.11810203641653061,-0.2697754502296448,-0.24511782824993134,-0.21300189197063446,-0.36226749420166016,-0.28415173292160034,-0.46383610367774963,-0.37734106183052063,-0.31474509835243225,-0.6711688041687012,-0.3772324323654175
2,-0.01817593164741993,0.9991909265518188,0.035876620560884476,0.24921515583992004,0.7523682117462158,0.05134795606136322,0.4233623445034027,0.4157361090183258,0.02010132558643818,0.5828518271446228,0.1707526594400406,-0.04511173442006111,0.7602435946464539,-0.05322069674730301,-0.10937465727329254,0.09319997578859329,0.07847658544778824,0.10671080648899078,0.3179110586643219,-0.1587117314338684,-0.04447159916162491,0.5267062187194824,-0.19647221267223358,-0.17466016113758087,0.7030361890792847,-0.17072659730911255,-0.24380840361118317,0.0,0.0,0.0,0.07619313895702362,-0.4602903723716736,-0.07948930561542511,0.18732188642024994,-0.7552379369735718,-0.14514850080013275,0.2864784598350525,-0.9763137102127075,-0.18835175037384033,-0.09668128192424774,0.02116922289133072,-0.13175460696220398,-0.12490234524011612,-0.46007099747657776,-0.22088149189949036,-0.10213707387447357,-0.7879483699798584,-0.2788035273551941,-0.0662621557712555,-1.0533784627914429,-0.3165757656097412,-0.1676284223794937,0.11516869813203812,-0.26703163981437683,-0.23262543976306915,-0.21112923324108124,-0.34844034910202026,-0.2710552215576172,-0.45347240567207336,-0.36366006731987,-0.30011749267578125,-0.6534891128540039,-0.37044763565063477
3,-0.02262027934193611,0.9995526075363159,0.019567444920539856,0.23449449241161346,0.748510479927063,0.04398840293288231,0.4064595103263855,0.40509140491485596,0.021373765543103218,0.565547525882721,0.1587664633989334,-0.03677906095981598,0.7301609516143799,-0.06284762173891068,-0.0931720957159996,0.09132660925388336,0.07742701470851898,0.1071595773100853,0.30702924728393555,-0.15898898243904114,-0.03823796287178993,0.5111201405525208,-0.19188080728054047,-0.1666579246520996,0.677450954914093,-0.16152256727218628,-0.2341475635766983,0.0,0.0,0.0,0.05885142832994461,-0.4467138648033142,-0.07130449265241623,0.15743939578533173,-0.7333577275276184,-0.13691654801368713,0.24103862047195435,-0.9459511637687683,-0.18321458995342255,-0.094800665974617,0.018924271687865257,-0.13207706809043884,-0.1337459832429886,-0.4450390636920929,-0.20955149829387665,-0.11853263527154922,-0.7581143975257874,-0.2646774351596832,-0.09254033863544464,-1.0108001232147217,-0.3040107488632202,-0.16299551725387573,0.1057693362236023,-0.2678309977054596,-0.22934941947460175,-0.21608257293701172,-0.33622533082962036,-0.2716175317764282,-0.44807571172714233,-0.3468312919139862,-0.30732262134552,-0.6397126913070679,-0.3533400297164917
4,-0.013183020055294037,0.9998680353164673,0.00949445553123951,0.2402295023202896,0.7548369765281677,0.0005836031632497907,0.4088188111782074,0.414084255695343,-0.02817930094897747,0.5611854791641235,0.17340539395809174,-0.08874744176864624,0.7145055532455444,-0.03979693725705147,-0.14607158303260803,0.0971037894487381,0.07066094130277634,0.08794062584638596,0.313160240650177,-0.1533653289079666,-0.06659860163927078,0.5208785533905029,-0.1885443776845932,-0.20244497060775757,0.6918897032737732,-0.16766321659088135,-0.27374690771102905,0.0,0.0,0.0,0.058997154235839844,-0.41867315769195557,-0.07811198383569717,0.15552090108394623,-0.6958590149879456,-0.14288988709449768,0.2346275895833969,-0.9098201990127563,-0.18324261903762817,-0.09564404934644699,0.025993796065449715,-0.1177765503525734,-0.14045536518096924,-0.4012930691242218,-0.20492272078990936,-0.13693924248218536,-0.7027966976165771,-0.2533513009548187,-0.1269262284040451,-0.9467118978500366,-0.27915680408477783,-0.17454840242862701,0.12411724030971527,-0.24390572309494019,-0.2559235095977783,-0.17371627688407898,-0.32149678468704224,-0.31061044335365295,-0.3942335247993469,-0.3327825963497162,-0.353231281042099,-0.5809441208839417,-0.3316463828086853
5,-0.023262182250618935,0.9990584850311279,0.03661993518471718,0.2301480919122696,0.7609954476356506,-0.027024222537875175,0.4186738133430481,0.42076945304870605,-0.07291366904973984,0.5556856393814087,0.1559658795595169,-0.1412035971879959,0.6521481275558472,-0.08010240644216537,-0.2079640030860901,0.15066473186016083,0.07762572914361954,0.05671665444970131,0.31688693165779114,-0.1490422636270523,-0.0856064110994339,0.4829782545566559,-0.21372371912002563,-0.2017780840396881,0.6236675381660461,-0.22059319913387299,-0.26070436835289,0.0,0.0,0.0,0.07221479713916779,-0.39049139618873596,-0.06980213522911072,0.12608036398887634,-0.6523842811584473,-0.1193486899137497,0.15197496116161346,-0.8924069404602051,-0.15125569701194763,-0.16446428000926971,0.01390188280493021,-0.08884294331073761,-0.19127199053764343,-0.3886256515979767,-0.17483769357204437,-0.19370171427726746,-0.6477140188217163,-0.21529297530651093,-0.19403651356697083,-0.8748036623001099,-0.23659458756446838,-0.3405870497226715,0.10746659338474274,-0.19008134305477142,-0.487335205078125,-0.17781148850917816,-0.27171123027801514,-0.575373649597168,-0.3789278566837311,-0.2818041741847992,-0.6441062688827515,-0.5642752647399902,-0.28041672706604004
6,-0.009667804464697838,0.9993593692779541,0.03445783630013466,0.24939709901809692,0.7552765011787415,-0.04253318905830383,0.4468380808830261,0.41763433814048767,-0.09174973517656326,0.591810941696167,0.13836733996868134,-0.1559012532234192,0.6865770816802979,-0.10076496750116348,-0.2176101803779602,0.15745286643505096,0.08126185089349747,0.04673681780695915,0.3336155414581299,-0.14328491687774658,-0.08573997765779495,0.49959635734558105,-0.2255895584821701,-0.1960199773311615,0.6416534781455994,-0.2444472759962082,-0.25411316752433777,0.0,0.0,0.0,0.08108580857515335,-0.3866654336452484,-0.07190782576799393,0.13550135493278503,-0.6569911241531372,-0.13063929975032806,0.16954964399337769,-0.9057631492614746,-0.17009243369102478,-0.17178431153297424,0.0058900960721075535,-0.07743373513221741,-0.18298527598381042,-0.4010293781757355,-0.1712477058172226,-0.18041442334651947,-0.6654908061027527,-0.2254909723997116,-0.17184025049209595,-0.8884455561637878,-0.255793958902359,-0.35376113653182983,0.09449279308319092,-0.16607347130775452,-0.5072789192199707,-0.18791557848453522,-0.25557082891464233,-0.5969579219818115,-0.39297613501548767,-0.27752402424812317,-0.6603514552116394,-0.5797351598739624,-0.2843782901763916
7,-0.013425294309854507,0.9991680383682251,0.03850921615958214,0.24634210765361786,0.7553070783615112,-0.039525967091321945,0.4483583867549896,0.42479386925697327,-0.09234596788883209,0.5907381772994995,0.14300227165222168,-0.15985365211963654,0.6775644421577454,-0.10254999995231628,-0.22413869202136993,0.16079892218112946,0.08402778208255768,0.04665222018957138,0.34504109621047974,-0.14869771897792816,-0.08907574415206909,0.5045827627182007,-0.23244616389274597,-0.1991623342037201,0.6398385763168335,-0.24662654101848602,-0.25530803203582764,0.0,0.0,0.0,0.08320368081331253,-0.39191555976867676,-0.07381957024335861,0.13084661960601807,-0.6665405631065369,-0.1324705183506012,0.1564965844154358,-0.919247031211853,-0.17080971598625183,-0.17523548007011414,0.0026782068889588118,-0.07748020440340042,-0.18745632469654083,-0.4105602502822876,-0.17476177215576172,-0.18848717212677002,-0.6773306727409363,-0.23067781329154968,-0.18405824899673462,-0.8999755382537842,-0.2609715163707733,-0.36176738142967224,0.08789372444152832,-0.16562135517597198,-0.5199143886566162,-0.19519498944282532,-0.2579572796821594,-0.6120858192443848,-0.4007710814476013,-0.28096991777420044,-0.676950991153717,-0.5886520147323608,-0.28767895698547363
