Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.49765244126319885,0.8471405506134033,0.18626563251018524,0.6570274829864502,0.58128422498703,-0.021200435236096382,0.5380345582962036,0.20338506996631622,-0.0996207669377327,0.24912407994270325,0.06398409605026245,-0.16444624960422516,-0.041380103677511215,0.07084649801254272,-0.21674194931983948,0.19585242867469788,-0.15849140286445618,0.004096961114555597,-0.10931223630905151,-0.5053346753120422,-0.1480153203010559,-0.31502118706703186,-0.7190720438957214,-0.22586874663829803,-0.5063871145248413,-0.8889883756637573,-0.25787782669067383,0.0,0.0,0.0,-0.31286829710006714,-0.36946946382522583,-0.18577291071414948,-0.5474552512168884,-0.6305454969406128,-0.2822403013706207,-0.7481151819229126,-0.8284061551094055,-0.30162978172302246,-0.11534727364778519,0.2182387262582779,-0.024918479844927788,-0.12471278756856918,0.11085302382707596,-0.3176001012325287,0.15077485144138336,0.2527363896369934,-0.3689913749694824,0.345196932554245,0.38220080733299255,-0.2986201345920563,-0.17580793797969818,0.4739587604999542,-0.062090516090393066,-0.05206355080008507,0.37982940673828125,-0.30274489521980286,0.21992942690849304,0.49037134647369385,-0.31394481658935547,0.4032592177391052,0.595114529132843,-0.2474641501903534
2,0.46226778626441956,0.87711501121521,0.1302987039089203,0.6024426817893982,0.5941325426101685,-0.05509265139698982,0.487262099981308,0.21772120893001556,-0.11680293828248978,0.19093631207942963,0.06466297805309296,-0.17400744557380676,-0.09582431614398956,0.06813044846057892,-0.2181614488363266,0.1762477457523346,-0.1483348160982132,0.013355951756238937,-0.1284501701593399,-0.49323970079421997,-0.11580655723810196,-0.3240742087364197,-0.6935660243034363,-0.18701446056365967,-0.502800464630127,-0.8596199750900269,-0.22095896303653717,0.0,0.0,0.0,-0.32834893465042114,-0.35763394832611084,-0.1669001281261444,-0.540783703327179,-0.6015744805335999,-0.26312199234962463,-0.7165100574493408,-0.7834309339523315,-0.28973209857940674,-0.09893880784511566,0.21127931773662567,-0.03631462901830673,-0.1492181271314621,0.10373485833406448,-0.31039997935295105,0.09960117936134338,0.24025464057922363,-0.3713354766368866,0.2687324285507202,0.36492785811424255,-0.3156850337982178,-0.14630542695522308,0.45099133253097534,-0.0837811604142189,-0.10280673950910568,0.35812100768089294,-0.30736464262008667,0.13036306202411652,0.45009660720825195,-0.32354533672332764,0.29403024911880493,0.5444116592407227,-0.26860323548316956
3,0.46125271916389465,0.8778876662254333,0.1286824345588684,0.5824530124664307,0.5803661942481995,-0.03388100117444992,0.4707407057285309,0.20989280939102173,-0.09130828827619553,0.17891955375671387,0.06632069498300552,-0.14990128576755524,-0.09468361735343933,0.07904037833213806,-0.19593960046768188,0.17053663730621338,-0.14338000118732452,0.024115191772580147,-0.12263678014278412,-0.4838118851184845,-0.1043899804353714,-0.315120667219162,-0.6773999333381653,-0.17615261673927307,-0.4942294955253601,-0.8384255766868591,-0.2115275114774704,0.0,0.0,0.0,-0.32141169905662537,-0.3530269265174866,-0.1617555022239685,-0.5276246666908264,-0.5891644954681396,-0.2527400553226471,-0.6984182000160217,-0.7615214586257935,-0.2791556417942047,-0.09766554087400436,0.20882752537727356,-0.046004194766283035,-0.13864751160144806,0.10735248774290085,-0.30189940333366394,0.10534007847309113,0.2355077713727951,-0.3564254641532898,0.2709767520427704,0.3563496470451355,-0.30412596464157104,-0.14833727478981018,0.44784054160118103,-0.10317564010620117,-0.09683767706155777,0.3563039302825928,-0.3011672794818878,0.1269540786743164,0.43619659543037415,-0.3108074367046356,0.28496086597442627,0.5215454697608948,-0.2593493163585663
4,0.5159004330635071,0.8485274314880371,0.11767728626728058,0.6148819327354431,0.5414100289344788,-0.02299821563065052,0.5208331346511841,0.17188458144664764,-0.07645877450704575,0.26148852705955505,0.049626581370830536,-0.13646692037582397,0.016304489225149155,0.09393130987882614,-0.1849837750196457,0.1687162220478058,-0.1430811882019043,0.0310724638402462,-0.1350099742412567,-0.4684133231639862,-0.10329213738441467,-0.3224504292011261,-0.6578788757324219,-0.17670844495296478,-0.5009042024612427,-0.8129193186759949,-0.20749825239181519,0.0,0.0,0.0,-0.3103489875793457,-0.32920128107070923,-0.16978822648525238,-0.5214747786521912,-0.5589282512664795,-0.2609395980834961,-0.6984224319458008,-0.7249917984008789,-0.2786296010017395,-0.09032676368951797,0.19990994036197662,-0.05208880081772804,-0.05023515596985817,0.14200305938720703,-0.3032623529434204,0.20584571361541748,0.26229625940322876,-0.35965102910995483,0.37645405530929565,0.37557512521743774,-0.30246037244796753,-0.1266435831785202,0.4244365692138672,-0.11464709788560867,-0.011536827310919762,0.37061429023742676,-0.284767746925354,0.20615454018115997,0.45620840787887573,-0.2855828106403351,0.3518259823322296,0.5420362949371338,-0.22755646705627441
5,0.6085425615310669,0.7801904678344727,0.14484044909477234,0.6839974522590637,0.44831782579421997,0.009393573738634586,0.5805609226226807,0.09658262133598328,-0.05054395645856857,0.34938177466392517,-0.03666508197784424,-0.11846037954092026,0.1360037922859192,0.02816779725253582,-0.17308467626571655,0.15478618443012238,-0.16073529422283173,0.0347704216837883,-0.15373004972934723,-0.4305359423160553,-0.09403757005929947,-0.35673800110816956,-0.5659860372543335,-0.16707462072372437,-0.5450500845909119,-0.6819363832473755,-0.2034221887588501,0.0,0.0,0.0,-0.3129449188709259,-0.2836558520793915,-0.15594983100891113,-0.5168331861495972,-0.49244749546051025,-0.2448500692844391,-0.6909645199775696,-0.6464658975601196,-0.2748296558856964,-0.06926333904266357,0.19747458398342133,-0.05275382474064827,0.0018528153887018561,0.07845355570316315,-0.27466249465942383,0.2569788098335266,0.1537848860025406,-0.33113130927085876,0.41830363869667053,0.25200921297073364,-0.29261016845703125,-0.06901203095912933,0.40407705307006836,-0.11870621889829636,0.09760608524084091,0.30171212553977966,-0.2682793438434601,0.30712971091270447,0.34560301899909973,-0.2812769412994385,0.4480695128440857,0.41998887062072754,-0.24469825625419617
6,0.6153661608695984,0.7728064656257629,0.15522463619709015,0.6923819780349731,0.44568443298339844,0.007206802722066641,0.567639172077179,0.08426908403635025,-0.05410103127360344,0.32051658630371094,-0.03353669494390488,-0.11979036033153534,0.09053876996040344,0.016146570444107056,-0.17060713469982147,0.16380280256271362,-0.15910615026950836,0.02944513037800789,-0.16081643104553223,-0.43220141530036926,-0.10833606123924255,-0.3745042681694031,-0.5827141404151917,-0.17760175466537476,-0.5748184323310852,-0.7077997326850891,-0.20778483152389526,0.0,0.0,0.0,-0.31739822030067444,-0.29347655177116394,-0.17563575506210327,-0.5413145422935486,-0.5064629316329956,-0.2637196481227875,-0.7266578674316406,-0.6608207821846008,-0.28370749950408936,-0.08102288097143173,0.19949010014533997,-0.047961775213479996,0.008830180391669273,0.05480514094233513,-0.29518410563468933,0.2652568817138672,0.15557871758937836,-0.3405686914920807,0.4320429861545563,0.26295891404151917,-0.2833958566188812,-0.09394069015979767,0.41023319959640503,-0.10946900397539139,0.09853748977184296,0.3096252977848053,-0.2860284745693207,0.31938636302948,0.37740105390548706,-0.2991003394126892,0.46496662497520447,0.4526294767856598,-0.25269126892089844
7,0.6189962029457092,0.7676581740379333,0.16596558690071106,0.7025625109672546,0.4431086778640747,0.011780687607824802,0.5786793828010559,0.07972119748592377,-0.052977316081523895,0.3310791850090027,-0.04208739846944809,-0.12038920074701309,0.09716427326202393,0.007919162511825562,-0.1727752536535263,0.1664866954088211,-0.16051912307739258,0.027595154941082,-0.16291676461696625,-0.44013410806655884,-0.11539243161678314,-0.38121089339256287,-0.5915520787239075,-0.18769696354866028,-0.5864068865776062,-0.7158257961273193,-0.21870340406894684,0.0,0.0,0.0,-0.3204577565193176,-0.2973504662513733,-0.1808738261461258,-0.5497233271598816,-0.5111818313598633,-0.2700778543949127,-0.7408433556556702,-0.6673480868339539,-0.28867900371551514,-0.08036135137081146,0.20184336602687836,-0.04621002823114395,0.00994053389877081,0.05552476644515991,-0.29897284507751465,0.27406224608421326,0.15370182693004608,-0.34081655740737915,0.4465709328651428,0.26006269454956055,-0.277828574180603,-0.09064044803380966,0.4177420735359192,-0.10608354955911636,0.08325011283159256,0.30169859528541565,-0.2826537489891052,0.30443063378334045,0.35682404041290283,-0.288158118724823,0.4532833993434906,0.4248342216014862,-0.23459045588970184
