Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.20254792273044586,0.9792590141296387,-0.005111769773066044,0.15691021084785461,0.7613421678543091,-0.10547244548797607,0.3965010344982147,0.2933133542537689,-0.10053563863039017,0.46216490864753723,-0.09056016057729721,-0.11319926381111145,0.4045020043849945,-0.38330891728401184,-0.09850136190652847,0.2271297574043274,0.0062660942785441875,0.007263654377311468,0.2715086340904236,-0.22197100520133972,-0.15740881860256195,0.24235333502292633,0.08055409044027328,-0.2111191302537918,0.21384213864803314,0.32431793212890625,-0.18627327680587769,0.0,0.0,0.0,0.04137270525097847,-0.1585056334733963,-0.24075554311275482,0.026306618005037308,0.2229185402393341,-0.3080219328403473,0.008633448742330074,0.4861505925655365,-0.2703884243965149,-0.2237486094236374,0.019706495106220245,-0.04040117934346199,-0.20190636813640594,-0.14640314877033234,-0.2826564908027649,-0.1625569760799408,0.21880605816841125,-0.2992192208766937,-0.1415204405784607,0.48726800084114075,-0.2151350975036621,-0.44061514735221863,0.049887146800756454,-0.08638588339090347,-0.4891457259654999,-0.31803882122039795,-0.20515312254428864,-0.5295895934104919,-0.5500469207763672,-0.22621770203113556,-0.556801438331604,-0.7803083658218384,-0.19810588657855988
2,-0.1760343760251999,0.9843385815620422,-0.009455625899136066,0.16656163334846497,0.7837592959403992,-0.10977132618427277,0.39839643239974976,0.3193356692790985,-0.11119848489761353,0.4747842848300934,-0.057782918214797974,-0.13117137551307678,0.41370609402656555,-0.3591868579387665,-0.12394305318593979,0.22174109518527985,0.0077407523058354855,0.007798301987349987,0.2757159173488617,-0.20844410359859467,-0.175791934132576,0.2561517059803009,0.09660190343856812,-0.25038155913352966,0.22947023808956146,0.34654873609542847,-0.23583464324474335,0.0,0.0,0.0,0.0498926118016243,-0.15340010821819305,-0.2522781193256378,0.04691701382398605,0.22980864346027374,-0.3237112760543823,0.034891463816165924,0.5058135986328125,-0.2835046350955963,-0.22289638221263885,0.02172241546213627,-0.043054573237895966,-0.18691010773181915,-0.13682574033737183,-0.284927099943161,-0.1483464241027832,0.23141422867774963,-0.2952098548412323,-0.13058508932590485,0.5049659609794617,-0.20280197262763977,-0.43560299277305603,0.0548630990087986,-0.0933123230934143,-0.4706798791885376,-0.31084978580474854,-0.21238741278648376,-0.5026968121528625,-0.5536552667617798,-0.23456482589244843,-0.5214753150939941,-0.7889766097068787,-0.20309315621852875
3,-0.17536580562591553,0.9845024347305298,-0.001353856991045177,0.1682082563638687,0.7901383638381958,-0.10272134095430374,0.3982648253440857,0.3144054710865021,-0.10284759849309921,0.47460582852363586,-0.07520578056573868,-0.12027760595083237,0.3920915424823761,-0.371692955493927,-0.11036330461502075,0.22236494719982147,0.007281739730387926,0.006645322777330875,0.2641608417034149,-0.22199779748916626,-0.17319492995738983,0.24576200544834137,0.08112888783216476,-0.24246366322040558,0.22150973975658417,0.3292888402938843,-0.22645334899425507,0.0,0.0,0.0,0.040273603051900864,-0.1638534814119339,-0.2515934109687805,0.04705476388335228,0.21978741884231567,-0.3202762007713318,0.04166393354535103,0.4954105019569397,-0.2796253263950348,-0.22352571785449982,0.020945969969034195,-0.04105924814939499,-0.19575712084770203,-0.14677949249744415,-0.2813585698604584,-0.15171310305595398,0.21950897574424744,-0.28878501057624817,-0.1325630396604538,0.49024611711502075,-0.19629071652889252,-0.4408693015575409,0.053859155625104904,-0.08954455703496933,-0.4819614887237549,-0.31622228026390076,-0.21113069355487823,-0.5145406126976013,-0.56400066614151,-0.23577073216438293,-0.5347382426261902,-0.8047848343849182,-0.20699180662631989
4,-0.12964119017124176,0.991543173789978,0.005938621703535318,0.2226535975933075,0.7933382391929626,-0.09840842336416245,0.45404052734375,0.30164995789527893,-0.08307570219039917,0.49574437737464905,-0.09250589460134506,-0.08026321232318878,0.42640164494514465,-0.3946049213409424,-0.0484284982085228,0.2331417351961136,-0.007096618879586458,-0.0018117106519639492,0.25601115822792053,-0.23328891396522522,-0.16346615552902222,0.23566505312919617,0.09216714650392532,-0.19954994320869446,0.2288239747285843,0.3469671905040741,-0.1601746529340744,0.0,0.0,0.0,0.027872659265995026,-0.13205163180828094,-0.24527607858181,0.02552526816725731,0.2722156047821045,-0.28798675537109375,0.02621619775891304,0.5447311401367188,-0.22720901668071747,-0.22709469497203827,0.03523145988583565,-0.0327448844909668,-0.22298400104045868,-0.11822529137134552,-0.28137242794036865,-0.16391010582447052,0.2629000246524811,-0.2865242660045624,-0.11551984399557114,0.5429492592811584,-0.18864907324314117,-0.4486313462257385,0.08419500291347504,-0.07067719101905823,-0.5116394758224487,-0.2978701591491699,-0.209214985370636,-0.5615788698196411,-0.5466383099555969,-0.24678945541381836,-0.5878905057907104,-0.7866318821907043,-0.22338278591632843
5,-0.2309020310640335,0.9724833965301514,-0.030988356098532677,0.15499483048915863,0.7726254463195801,-0.1289018988609314,0.4412391781806946,0.3263888359069824,-0.11881798505783081,0.5262290239334106,-0.037994030863046646,-0.1286100298166275,0.5004268884658813,-0.3513028919696808,-0.1129501461982727,0.22102147340774536,0.003417483763769269,0.010454473085701466,0.3035432994365692,-0.24013055860996246,-0.161287322640419,0.2517319321632385,0.025355445221066475,-0.2258235365152359,0.20706120133399963,0.2602168321609497,-0.2024489790201187,0.0,0.0,0.0,0.06698333472013474,-0.20138999819755554,-0.2545885443687439,0.02154090441763401,0.15459276735782623,-0.3307344615459442,-0.0001572366600157693,0.43938663601875305,-0.2838554382324219,-0.23376522958278656,0.0222677793353796,-0.045602522790431976,-0.19061583280563354,-0.12590639293193817,-0.2890089452266693,-0.18555442988872528,0.24434973299503326,-0.29390668869018555,-0.17583006620407104,0.5295520424842834,-0.18670690059661865,-0.46539050340652466,0.046584635972976685,-0.09844739735126495,-0.45932984352111816,-0.33227744698524475,-0.20652633905410767,-0.45800650119781494,-0.5733978152275085,-0.20551732182502747,-0.45060932636260986,-0.8024961948394775,-0.15216302871704102
6,-0.22741712629795074,0.9728125333786011,-0.043785952031612396,0.16569869220256805,0.7812072038650513,-0.16419737040996552,0.44698628783226013,0.3384283483028412,-0.16230915486812592,0.5315405130386353,-0.05076901987195015,-0.1765153408050537,0.48296570777893066,-0.3705003261566162,-0.16160258650779724,0.23682084679603577,-0.0003127299714833498,-7.871016350691207e-06,0.3125016689300537,-0.26788681745529175,-0.1933567076921463,0.2576650381088257,0.0401606485247612,-0.2765271067619324,0.21293780207633972,0.31742724776268005,-0.2609248459339142,0.0,0.0,0.0,0.05519666522741318,-0.22651147842407227,-0.2701272666454315,0.018933705985546112,0.15733219683170319,-0.35601183772087097,0.003650920232757926,0.4610643982887268,-0.31249675154685974,-0.24116457998752594,0.025079958140850067,-0.0405697301030159,-0.20995526015758514,-0.13392458856105804,-0.2994992434978485,-0.19639424979686737,0.23517030477523804,-0.31828656792640686,-0.1819678694009781,0.5126680135726929,-0.21779827773571014,-0.48151278495788574,0.047634683549404144,-0.08935488015413284,-0.4806475043296814,-0.3214786648750305,-0.20761828124523163,-0.47960200905799866,-0.5665480494499207,-0.2213124781847,-0.46791544556617737,-0.801582396030426,-0.17794567346572876
7,-0.21739020943641663,0.9754258990287781,-0.0358576700091362,0.17218196392059326,0.7819228172302246,-0.16039210557937622,0.4500753581523895,0.3309948742389679,-0.16048136353492737,0.521141767501831,-0.05876732990145683,-0.1764628142118454,0.4676735997200012,-0.3734673857688904,-0.1622622013092041,0.24136395752429962,-0.0033149304799735546,0.000201417991775088,0.3066031038761139,-0.2742159962654114,-0.2063339650630951,0.25756770372390747,0.03785380348563194,-0.2957809269428253,0.21489214897155762,0.3227636218070984,-0.28043290972709656,0.0,0.0,0.0,0.05456732586026192,-0.22846686840057373,-0.28098294138908386,0.019707998260855675,0.1604851335287094,-0.3689223825931549,0.004080292768776417,0.4666740894317627,-0.32351845502853394,-0.2441125065088272,0.02603146806359291,-0.04179945960640907,-0.21369962394237518,-0.12463517487049103,-0.3134637176990509,-0.2043730765581131,0.2543244957923889,-0.3311610519886017,-0.19447925686836243,0.535439133644104,-0.2250782549381256,-0.48707133531570435,0.04871232062578201,-0.09166800230741501,-0.48813799023628235,-0.321378618478775,-0.21517367660999298,-0.48566025495529175,-0.5630756616592407,-0.22514043748378754,-0.4722900390625,-0.7956766486167908,-0.17631427943706512
