Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.27020925283432007,0.9617398977279663,0.045203473418951035,0.47247976064682007,0.6434217095375061,-0.07631189376115799,0.5363447666168213,0.18866285681724548,-0.13126003742218018,0.4002014100551605,-0.11747782677412033,-0.19955581426620483,0.1198045015335083,-0.10717470198869705,-0.23913060128688812,0.1829327791929245,-0.09238730370998383,0.024030005559325218,0.139123797416687,-0.3316256105899811,-0.17109321057796478,0.23434635996818542,-0.061759594827890396,-0.269881010055542,0.313791424036026,0.13255834579467773,-0.2873803377151489,0.0,0.0,0.0,-0.06683450192213058,-0.23185889422893524,-0.24741406738758087,0.10259916633367538,0.07811429351568222,-0.331527978181839,0.222044438123703,0.2774847447872162,-0.3139938712120056,-0.171580970287323,0.12841928005218506,-0.0578681044280529,-0.19465933740139008,-0.02194340154528618,-0.307624876499176,0.018700703978538513,0.27634528279304504,-0.3385818302631378,0.15103694796562195,0.48123258352279663,-0.2718794345855713,-0.3181266784667969,0.26189878582954407,-0.12336595356464386,-0.5463657975196838,0.0019747393671423197,-0.23031467199325562,-0.7041592597961426,-0.16663673520088196,-0.24824441969394684,-0.8585671782493591,-0.3537086546421051,-0.2307927906513214
2,0.26894304156303406,0.962859570980072,0.023896848782896996,0.4714525640010834,0.6390620470046997,-0.09661310166120529,0.5395264029502869,0.203737273812294,-0.14845585823059082,0.3990781605243683,-0.1073535904288292,-0.2124175876379013,0.1261575073003769,-0.1325499415397644,-0.247605100274086,0.19112268090248108,-0.09530770033597946,0.016419827938079834,0.15269127488136292,-0.29483357071876526,-0.18304423987865448,0.26153361797332764,-0.009440267458558083,-0.28374120593070984,0.3440788984298706,0.20384421944618225,-0.29597392678260803,0.0,0.0,0.0,-0.05928570777177811,-0.2072281390428543,-0.2547038197517395,0.12470497936010361,0.13535700738430023,-0.3365956246852875,0.24641630053520203,0.37150058150291443,-0.3066224455833435,-0.17203471064567566,0.12905889749526978,-0.050859514623880386,-0.1906183958053589,0.00648227334022522,-0.30010470747947693,0.024522937834262848,0.29638758301734924,-0.32852035760879517,0.1543292999267578,0.5029778480529785,-0.2513766884803772,-0.3265840709209442,0.2722422778606415,-0.10847677290439606,-0.5556124448776245,0.00834584329277277,-0.21739940345287323,-0.708685576915741,-0.15622228384017944,-0.23404495418071747,-0.8584473133087158,-0.32693246006965637,-0.20605997741222382
3,0.2478659600019455,0.9687227010726929,0.011782113462686539,0.4637540578842163,0.6622328162193298,-0.10381016135215759,0.537406861782074,0.2096816450357437,-0.15461716055870056,0.40905043482780457,-0.12346470355987549,-0.22234949469566345,0.13161663711071014,-0.13608403503894806,-0.2630178928375244,0.20158638060092926,-0.08594765514135361,0.02446313388645649,0.17271393537521362,-0.30298036336898804,-0.1669253408908844,0.26446300745010376,-0.04782767966389656,-0.25912684202194214,0.33943259716033936,0.14733515679836273,-0.2674349844455719,0.0,0.0,0.0,-0.03507215902209282,-0.24323037266731262,-0.25537434220314026,0.13541558384895325,0.09215215593576431,-0.3340941369533539,0.246381938457489,0.3181857168674469,-0.2978433072566986,-0.18105623126029968,0.11605998128652573,-0.059199701994657516,-0.17935873568058014,-0.059347063302993774,-0.31342801451683044,0.030156955122947693,0.25256434082984924,-0.3307056128978729,0.14977125823497772,0.47707778215408325,-0.24190209805965424,-0.345024436712265,0.24748830497264862,-0.1260424107313156,-0.5598800778388977,-0.02092929743230343,-0.23256570100784302,-0.7044216394424438,-0.1913706213235855,-0.2416110783815384,-0.8454175591468811,-0.37881577014923096,-0.20742915570735931
4,0.28079694509506226,0.9597052335739136,-0.010906882584095001,0.4994356036186218,0.6758692264556885,-0.15165530145168304,0.5457123517990112,0.16925887763500214,-0.18729989230632782,0.3641270399093628,-0.18263396620750427,-0.22991684079170227,0.06806217133998871,-0.13476574420928955,-0.24075783789157867,0.19784970581531525,-0.09224845468997955,0.009102177806198597,0.12944430112838745,-0.31676894426345825,-0.15878434479236603,0.22980597615242004,-0.05687656253576279,-0.2337251603603363,0.3001089096069336,0.11689093708992004,-0.23855416476726532,0.0,0.0,0.0,-0.09102951735258102,-0.21228982508182526,-0.24329395592212677,0.09861772507429123,0.1151069849729538,-0.31725236773490906,0.22075282037258148,0.3074779510498047,-0.28201824426651,-0.17803847789764404,0.12787264585494995,-0.04840238019824028,-0.23992139101028442,-0.027240615338087082,-0.29762470722198486,-0.005134570877999067,0.2555623948574066,-0.3298884332180023,0.14254149794578552,0.45817023515701294,-0.25529056787490845,-0.34374403953552246,0.26395612955093384,-0.10647588968276978,-0.5821787714958191,0.01792141981422901,-0.22209466993808746,-0.7557695508003235,-0.14970478415489197,-0.2571244537830353,-0.9272756576538086,-0.33161109685897827,-0.24546413123607635
5,0.26465797424316406,0.9643410444259644,0.0015685283578932285,0.4536975920200348,0.6949581503868103,-0.11744420230388641,0.4629161059856415,0.250568151473999,-0.15429693460464478,0.23271891474723816,-0.022856002673506737,-0.20148062705993652,-0.051719244569540024,-0.026845650747418404,-0.2185506969690323,0.20659266412258148,-0.07021252810955048,0.02274174988269806,0.1588277816772461,-0.2812930643558502,-0.15759225189685822,0.19967901706695557,-0.03783556818962097,-0.25046733021736145,0.24509766697883606,0.15665864944458008,-0.2609647214412689,0.0,0.0,0.0,-0.10420478880405426,-0.22560690343379974,-0.2262546569108963,0.0004136500647291541,0.018733257427811623,-0.3153177797794342,0.07510918378829956,0.17798084020614624,-0.29838427901268005,-0.18361791968345642,0.11504315584897995,-0.058293480426073074,-0.25357142090797424,0.020590495318174362,-0.30710625648498535,-0.04280449450016022,0.29506704211235046,-0.3526497483253479,0.09042397141456604,0.4904593825340271,-0.28847038745880127,-0.35396912693977356,0.24132928252220154,-0.12234696745872498,-0.6024641394615173,-0.005040089599788189,-0.2301483005285263,-0.7819626331329346,-0.1639675796031952,-0.2421588897705078,-0.9554075002670288,-0.33376750349998474,-0.2152639925479889
6,0.2508648633956909,0.9679893255233765,0.00796480942517519,0.4564671218395233,0.6870713829994202,-0.12125817686319351,0.47785109281539917,0.23927919566631317,-0.1608223021030426,0.2554149627685547,-0.04504537954926491,-0.20669908821582794,-0.029803015291690826,-0.04154650866985321,-0.2196751981973648,0.21266664564609528,-0.07745027542114258,0.014375888742506504,0.15205252170562744,-0.30190497636795044,-0.15249522030353546,0.18495015799999237,-0.0401771254837513,-0.23569221794605255,0.2407754808664322,0.1618238389492035,-0.24840198457241058,0.0,0.0,0.0,-0.11292532086372375,-0.2375744879245758,-0.2231733202934265,0.008195952512323856,0.04490752890706062,-0.30268195271492004,0.11289585381746292,0.22832992672920227,-0.2807665467262268,-0.1903175413608551,0.12156148254871368,-0.049586210399866104,-0.2599989175796509,0.0062785884365439415,-0.2874131500720978,-0.056104179471731186,0.2833486795425415,-0.3264595568180084,0.07810883224010468,0.4847927987575531,-0.26300519704818726,-0.36369773745536804,0.2520049214363098,-0.10645094513893127,-0.6123350858688354,0.005097039509564638,-0.21847572922706604,-0.7928664088249207,-0.1549355387687683,-0.24352653324604034,-0.9649983644485474,-0.32666224241256714,-0.22727186977863312
7,0.255856990814209,0.9666945934295654,0.006226882338523865,0.457024484872818,0.6818993091583252,-0.12137719243764877,0.4726424217224121,0.233613982796669,-0.15912438929080963,0.2481761872768402,-0.0461413748562336,-0.2035948783159256,-0.039924196898937225,-0.04784615710377693,-0.21403580904006958,0.20856885612010956,-0.07888838648796082,0.015632549300789833,0.15210439264774323,-0.3006718158721924,-0.15046852827072144,0.1826447695493698,-0.03406912833452225,-0.22969305515289307,0.23475968837738037,0.16255591809749603,-0.23948551714420319,0.0,0.0,0.0,-0.10705454647541046,-0.23720191419124603,-0.22535410523414612,0.004295568913221359,0.04103866592049599,-0.304690420627594,0.10039807111024857,0.21685795485973358,-0.2820928394794464,-0.18973790109157562,0.12180649489164352,-0.05119718611240387,-0.2614399194717407,0.007023170590400696,-0.29254651069641113,-0.05715093016624451,0.2881630063056946,-0.3326994478702545,0.0793881043791771,0.491310715675354,-0.2689175605773926,-0.36145707964897156,0.2522055506706238,-0.1095379963517189,-0.6098199486732483,0.00571975065395236,-0.22459928691387177,-0.7932205200195312,-0.1556374430656433,-0.2526092827320099,-0.9673177003860474,-0.32802078127861023,-0.23804809153079987
