Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.3343733847141266,0.9423879384994507,0.00997081771492958,0.639777421951294,0.6048786044120789,0.10728199034929276,0.7324963808059692,0.23289062082767487,0.08854871243238449,0.8720390200614929,-0.015930643305182457,0.00662882998585701,0.9088586568832397,-0.2419983446598053,-0.07130295783281326,0.06928227096796036,-0.036395177245140076,0.14664269983768463,0.2877916097640991,-0.49613991379737854,-0.011683192104101181,0.6116032600402832,-0.5550390481948853,-0.16747735440731049,0.8250597715377808,-0.44698476791381836,-0.2507106065750122,0.0,0.0,0.0,0.2796340882778168,-0.5550385117530823,-0.15164022147655487,0.6706324219703674,-0.5721468329429626,-0.28028449416160583,0.8792340159416199,-0.4087340831756592,-0.3448518216609955,0.020659513771533966,0.04630223289132118,-0.1548742800951004,0.2509707510471344,-0.5110856890678406,-0.27352702617645264,0.6325690150260925,-0.5132368206977844,-0.3051021099090576,0.8252633810043335,-0.3514789938926697,-0.30086424946784973,0.1403852254152298,0.10965803265571594,-0.3076837956905365,0.3530074954032898,-0.3325238525867462,-0.37839275598526,0.6190240383148193,-0.3693903982639313,-0.35669609904289246,0.7768546342849731,-0.25790444016456604,-0.32459181547164917
2,0.2947504222393036,0.9555533528327942,0.006325699854642153,0.6036353707313538,0.5942209959030151,0.08339931070804596,0.7010775208473206,0.22376416623592377,0.05966532230377197,0.8209463357925415,-0.016343506053090096,-0.02058335952460766,0.8555880784988403,-0.2324260026216507,-0.09408523142337799,0.07377434521913528,-0.032991938292980194,0.12883146107196808,0.267488032579422,-0.4644288420677185,-0.02260195091366768,0.5750442743301392,-0.5256832838058472,-0.16602592170238495,0.7889761328697205,-0.428909569978714,-0.23851148784160614,0.0,0.0,0.0,0.2761642038822174,-0.5173215270042419,-0.14045648276805878,0.6316255927085876,-0.5216993689537048,-0.25155162811279297,0.8205111026763916,-0.368729829788208,-0.3014596700668335,0.014894519001245499,0.049427807331085205,-0.13864170014858246,0.24017998576164246,-0.47039011120796204,-0.25102564692497253,0.5869198441505432,-0.4686886668205261,-0.27155837416648865,0.7667429447174072,-0.3221525549888611,-0.25631198287010193,0.12422486394643784,0.11510170996189117,-0.2769246995449066,0.3191480040550232,-0.2980521619319916,-0.3432343602180481,0.5687969923019409,-0.34211045503616333,-0.3171502947807312,0.7265897989273071,-0.2513321340084076,-0.27664870023727417
3,0.3111846446990967,0.9503251910209656,-0.006797218229621649,0.598046600818634,0.5983380675315857,0.05918429046869278,0.7055929899215698,0.23402032256126404,0.03707241266965866,0.8266990780830383,-0.010922349989414215,-0.03518622741103172,0.8423856496810913,-0.22681458294391632,-0.09735838323831558,0.07071887701749802,-0.0268278568983078,0.1148672103881836,0.2655101418495178,-0.45501983165740967,-0.03304365649819374,0.577674925327301,-0.5157195329666138,-0.17797517776489258,0.7977946996688843,-0.42338478565216064,-0.2507660984992981,0.0,0.0,0.0,0.2699275314807892,-0.509242594242096,-0.13347487151622772,0.624019980430603,-0.5258452892303467,-0.24683119356632233,0.8196094632148743,-0.380759596824646,-0.30020084977149963,0.01772562600672245,0.046817369759082794,-0.12477877736091614,0.2438144087791443,-0.4619891047477722,-0.2299439162015915,0.5834798216819763,-0.4690483808517456,-0.2585386335849762,0.7640660405158997,-0.3278302550315857,-0.25050193071365356,0.12422043830156326,0.10992145538330078,-0.24976982176303864,0.3273163437843323,-0.29071319103240967,-0.31014367938041687,0.5718149542808533,-0.32821735739707947,-0.28786081075668335,0.7262732982635498,-0.2331995964050293,-0.2507065534591675
4,0.2598307728767395,0.9656534194946289,0.0012086363276466727,0.5682412385940552,0.6076029539108276,0.08637081831693649,0.6824586391448975,0.2453913390636444,0.06775970011949539,0.8088156580924988,0.009622102603316307,-0.009497284889221191,0.8535124659538269,-0.21812333166599274,-0.08032377064228058,0.08598194271326065,-0.032909344881772995,0.1324983537197113,0.26163995265960693,-0.47825250029563904,-0.014448055997490883,0.5734241604804993,-0.5260717868804932,-0.15165796875953674,0.789695143699646,-0.42699524760246277,-0.22057056427001953,0.0,0.0,0.0,0.2548186182975769,-0.5161682963371277,-0.12691931426525116,0.6138036847114563,-0.5235865712165833,-0.2278537154197693,0.8070213794708252,-0.38365858793258667,-0.2773573100566864,0.002107745036482811,0.052678126841783524,-0.1438945233821869,0.21699389815330505,-0.48789873719215393,-0.2532889246940613,0.5692360997200012,-0.4846033453941345,-0.2720606029033661,0.7542867660522461,-0.33883821964263916,-0.2598751485347748,0.09872967004776001,0.12013432383537292,-0.2866521179676056,0.29228636622428894,-0.30803096294403076,-0.35686367750167847,0.5457937121391296,-0.34062618017196655,-0.33270812034606934,0.7022741436958313,-0.23825766146183014,-0.29607394337654114
5,0.2239040583372116,0.974174976348877,0.02915598452091217,0.5663155913352966,0.6094642281532288,0.10309437662363052,0.672245442867279,0.24788323044776917,0.08445990085601807,0.7944887280464172,0.014067861251533031,0.012323602102696896,0.8650073409080505,-0.19997264444828033,-0.05279776453971863,0.06964877247810364,-0.027887657284736633,0.1262604296207428,0.3352724015712738,-0.4308924078941345,-0.014660664834082127,0.6514943242073059,-0.4653076231479645,-0.14646950364112854,0.8613104224205017,-0.3766309320926666,-0.21982605755329132,0.0,0.0,0.0,0.3211856782436371,-0.4758661389350891,-0.12937535345554352,0.6873765587806702,-0.48162686824798584,-0.2240103930234909,0.8904942870140076,-0.35027363896369934,-0.2727283835411072,0.025896742939949036,0.04760672524571419,-0.13601990044116974,0.3093405067920685,-0.449790894985199,-0.24365350604057312,0.6627047061920166,-0.4459275007247925,-0.26797905564308167,0.8513314127922058,-0.3113727569580078,-0.26500391960144043,0.14693842828273773,0.11179862171411514,-0.2724139988422394,0.38469213247299194,-0.27813422679901123,-0.33806678652763367,0.6282586455345154,-0.29982084035873413,-0.32052847743034363,0.7795641422271729,-0.20184887945652008,-0.2945437729358673
6,0.22497040033340454,0.9743604063987732,0.003185763955116272,0.5473744869232178,0.6199997663497925,0.07715006172657013,0.6747649312019348,0.2539536952972412,0.05869816988706589,0.8170925974845886,0.008036263287067413,-0.012914812192320824,0.8865489959716797,-0.19937171041965485,-0.07637366652488708,0.06681304425001144,-0.02384515106678009,0.12356983125209808,0.3264935314655304,-0.4279589354991913,-0.02264794148504734,0.6452063918113708,-0.4583781659603119,-0.16464729607105255,0.8585827946662903,-0.36276769638061523,-0.24033786356449127,0.0,0.0,0.0,0.3393809199333191,-0.4814847707748413,-0.13769082725048065,0.6993721127510071,-0.4607194662094116,-0.24926285445690155,0.891738772392273,-0.3129570782184601,-0.30196985602378845,0.02558174356818199,0.04889879375696182,-0.13262277841567993,0.3184484541416168,-0.43324610590934753,-0.24406971037387848,0.661530077457428,-0.4054078459739685,-0.27276721596717834,0.8389912843704224,-0.25983893871307373,-0.2651766836643219,0.13997475802898407,0.11846176534891129,-0.2652604281902313,0.38358041644096375,-0.2580593526363373,-0.3282686173915863,0.6282542943954468,-0.2658502459526062,-0.306286484003067,0.7799469232559204,-0.16292372345924377,-0.2713703215122223
7,0.23272214829921722,0.9725374579429626,0.0033605769276618958,0.5507508516311646,0.6081926226615906,0.07707682996988297,0.6778901815414429,0.24145951867103577,0.056043241173028946,0.8121999502182007,-0.0004161596589256078,-0.018089763820171356,0.879654586315155,-0.21171681582927704,-0.08373837172985077,0.06972609460353851,-0.027722278609871864,0.12340716272592545,0.3264174163341522,-0.43450501561164856,-0.022636467590928078,0.6414681077003479,-0.4663458466529846,-0.16355936229228973,0.8515962958335876,-0.3712919056415558,-0.2385396957397461,0.0,0.0,0.0,0.3363117277622223,-0.48739340901374817,-0.14006778597831726,0.694166898727417,-0.46700841188430786,-0.2529025077819824,0.8849520087242126,-0.32199907302856445,-0.30569249391555786,0.02423771098256111,0.049934033304452896,-0.13230371475219727,0.3088671863079071,-0.43890380859375,-0.24443748593330383,0.6523664593696594,-0.41509315371513367,-0.27337780594825745,0.8326642513275146,-0.2724169194698334,-0.2657948434352875,0.13722014427185059,0.11900121718645096,-0.2647143602371216,0.37337031960487366,-0.2581362724304199,-0.32976144552230835,0.6210830807685852,-0.2791890501976013,-0.3113137483596802,0.7781450152397156,-0.18836462497711182,-0.2787131667137146
