Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.7424644827842712,-0.18929120898246765,0.6425848603248596,0.6437318325042725,-0.04082193598151207,0.2716677486896515,0.4415545165538788,0.2075670212507248,0.006899136584252119,0.28875431418418884,0.5566768646240234,-0.1866024285554886,0.11925248056650162,0.8649834394454956,-0.3939422369003296,-0.05496165156364441,-0.0874108225107193,-0.08170057088136673,-0.5712423324584961,-0.01783050037920475,-0.40366098284721375,-0.8980706334114075,-0.01597881317138672,-0.6417970657348633,-1.1436808109283447,-0.009914816357195377,-0.7982248067855835,0.0,0.0,0.0,-0.4567066431045532,0.31562572717666626,-0.3004682660102844,-0.5775237083435059,0.6596046090126038,-0.4833650290966034,-0.5810434818267822,0.9388889074325562,-0.5994059443473816,0.1679561287164688,0.10227467864751816,0.07572247087955475,-0.2122458666563034,0.41043949127197266,-0.19032560288906097,-0.37330162525177,0.7335817813873291,-0.35576844215393066,-0.4272509515285492,0.9813675284385681,-0.4519948661327362,0.4040542542934418,0.20549102127552032,0.13971352577209473,0.22499610483646393,0.4936799108982086,-0.10661865770816803,0.11824288964271545,0.7374345660209656,-0.23388513922691345,0.080994613468647,0.9202683568000793,-0.3048085570335388
2,0.8819095492362976,-0.13694003224372864,0.45109084248542786,0.7997612953186035,0.02039392851293087,0.08014503866434097,0.559928834438324,0.2746034264564514,-0.12235439568758011,0.3614216148853302,0.5826235413551331,-0.2500379979610443,0.185853511095047,0.849452793598175,-0.3716743290424347,-0.002291717566549778,-0.08927660435438156,-0.12360306084156036,-0.5217280983924866,-0.04892178252339363,-0.36471298336982727,-0.8605029582977295,-0.049471378326416016,-0.5437530875205994,-1.1402071714401245,-0.030687328428030014,-0.6590532064437866,0.0,0.0,0.0,-0.4241314232349396,0.27065327763557434,-0.23800282180309296,-0.5099383592605591,0.5915552973747253,-0.37808188796043396,-0.49736055731773376,0.8465179800987244,-0.45705318450927734,0.08090578764677048,0.1100207194685936,0.11012786626815796,-0.30640318989753723,0.36229243874549866,-0.09754554182291031,-0.43894436955451965,0.6517185568809509,-0.215995654463768,-0.48205772042274475,0.8695433139801025,-0.2691690921783447,0.21617171168327332,0.21350398659706116,0.2019321173429489,-0.08033119887113571,0.4369191527366638,0.03876158967614174,-0.2240777164697647,0.6397573947906494,-0.044813353568315506,-0.2813321650028229,0.7831102609634399,-0.08446667343378067
3,0.9334179759025574,-0.051748570054769516,0.3550393879413605,0.8462120294570923,0.04821864888072014,-0.05078339949250221,0.5863469243049622,0.24556468427181244,-0.2404959350824356,0.34240585565567017,0.5131526589393616,-0.3586852252483368,0.14187096059322357,0.772706925868988,-0.46666377782821655,0.031473301351070404,-0.1391775906085968,-0.1408039629459381,-0.4867365062236786,-0.15133506059646606,-0.3314075171947479,-0.8049963712692261,-0.18464021384716034,-0.4793212115764618,-1.077315330505371,-0.18652193248271942,-0.5809817910194397,0.0,0.0,0.0,-0.43138599395751953,0.18963229656219482,-0.23771239817142487,-0.5299454927444458,0.48266279697418213,-0.40581879019737244,-0.5235090255737305,0.7327731251716614,-0.4976305365562439,0.02996434085071087,0.13473103940486908,0.12281954288482666,-0.35219401121139526,0.2961267828941345,-0.08756610751152039,-0.4799448847770691,0.5474143028259277,-0.23370441794395447,-0.5158412456512451,0.7557544112205505,-0.3019840717315674,0.09941961616277695,0.23200248181819916,0.22227194905281067,-0.2109299898147583,0.3664243221282959,0.06417835503816605,-0.34412527084350586,0.5063812732696533,-0.029974298551678658,-0.3954232335090637,0.6135535836219788,-0.07832389324903488
4,0.9443123936653137,-0.030726265162229538,0.3276125490665436,0.8592078685760498,0.039901088923215866,-0.09254049509763718,0.6093503832817078,0.21708446741104126,-0.2772325575351715,0.3751133680343628,0.47824785113334656,-0.38734206557273865,0.16249381005764008,0.737321138381958,-0.48614704608917236,0.03515653684735298,-0.16375556588172913,-0.14283089339733124,-0.488572895526886,-0.18797427415847778,-0.3310360014438629,-0.8196930289268494,-0.21964237093925476,-0.4805118143558502,-1.100385308265686,-0.22370122373104095,-0.5856178402900696,0.0,0.0,0.0,-0.40788954496383667,0.20640935003757477,-0.23868690431118011,-0.5055159330368042,0.5011440515518188,-0.41157346963882446,-0.496550589799881,0.7289028167724609,-0.5066623687744141,0.03260335698723793,0.155284121632576,0.11844433099031448,-0.3319784700870514,0.3287070691585541,-0.11152152717113495,-0.44282129406929016,0.574491560459137,-0.2713042199611664,-0.4649306833744049,0.7563231587409973,-0.345539391040802,0.11813665926456451,0.2586105465888977,0.21187853813171387,-0.15337146818637848,0.4019078314304352,0.015688113868236542,-0.2416209876537323,0.5403451323509216,-0.09825337678194046,-0.24655546247959137,0.6420249938964844,-0.15328538417816162
5,0.9013476371765137,-0.06996673345565796,0.42740747332572937,0.8753345608711243,-0.03462706506252289,0.0020158609841018915,0.6680922508239746,0.1618461012840271,-0.2195000797510147,0.4674097001552582,0.4710371792316437,-0.3626701831817627,0.403949499130249,0.7808724045753479,-0.5010759830474854,0.05338754877448082,-0.16311416029930115,-0.13967901468276978,-0.45173773169517517,-0.06965260207653046,-0.3564499616622925,-0.7911192178726196,-0.022495264187455177,-0.5257117748260498,-1.0614029169082642,0.0563078299164772,-0.6409749984741211,0.0,0.0,0.0,-0.4210631549358368,0.19789505004882812,-0.23337595164775848,-0.5732874274253845,0.49137797951698303,-0.3812428116798401,-0.611904501914978,0.7453526854515076,-0.4629642963409424,0.03342300280928612,0.15695281326770782,0.12076569348573685,-0.3487839102745056,0.33773472905158997,-0.08137661218643188,-0.5092777609825134,0.583999752998352,-0.19785833358764648,-0.5745217800140381,0.7883927226066589,-0.25093403458595276,0.11763712763786316,0.2743328809738159,0.2143516093492508,-0.1768319308757782,0.4456603527069092,0.05686665698885918,-0.3380846083164215,0.6129717826843262,-0.016152044758200645,-0.4220959544181824,0.7431648969650269,-0.04862188920378685
6,0.9041888117790222,-0.08633657544851303,0.41831639409065247,0.8484193682670593,-0.00164534873329103,-0.024974443018436432,0.6401560306549072,0.1821831464767456,-0.24776645004749298,0.4628082811832428,0.4903528690338135,-0.3866669237613678,0.3983670473098755,0.7871681451797485,-0.5193650722503662,0.053667813539505005,-0.1703205406665802,-0.15829432010650635,-0.47434768080711365,-0.058503493666648865,-0.3504205048084259,-0.8113685250282288,-0.005371394567191601,-0.49742361903190613,-1.0889919996261597,0.06920258700847626,-0.6016020774841309,0.0,0.0,0.0,-0.44685038924217224,0.25727859139442444,-0.225460484623909,-0.5914921760559082,0.5402218103408813,-0.3750500977039337,-0.6203453540802002,0.7800118923187256,-0.45594078302383423,0.03243072330951691,0.17050640285015106,0.14174361526966095,-0.3471125662326813,0.3924914598464966,-0.05069011449813843,-0.5004980564117432,0.6304630041122437,-0.1748410165309906,-0.5651065707206726,0.8233665227890015,-0.23527780175209045,0.11761567741632462,0.3093307912349701,0.2556533217430115,-0.15341655910015106,0.4781193137168884,0.10201065242290497,-0.27764227986335754,0.629469633102417,0.02243240550160408,-0.33729273080825806,0.749503493309021,-0.01680486649274826
7,0.9174680113792419,-0.1030774712562561,0.38422316312789917,0.8846332430839539,-0.0192923154681921,-0.04557756334543228,0.6812986135482788,0.18184204399585724,-0.248952716588974,0.4886142313480377,0.478787899017334,-0.37096357345581055,0.42519548535346985,0.7776477336883545,-0.48100653290748596,0.06313400715589523,-0.16555266082286835,-0.14417771995067596,-0.4536583125591278,-0.03473034128546715,-0.335354745388031,-0.7850788235664368,0.02648277021944523,-0.4845973253250122,-1.0648897886276245,0.11176533997058868,-0.5884934663772583,0.0,0.0,0.0,-0.4152117371559143,0.23491482436656952,-0.21749766170978546,-0.5610482692718506,0.5245493054389954,-0.35396429896354675,-0.5943306684494019,0.766024112701416,-0.42689162492752075,0.02823391929268837,0.16712385416030884,0.12105325609445572,-0.33775001764297485,0.37660035490989685,-0.08027515560388565,-0.4813453257083893,0.6120566129684448,-0.20354942977428436,-0.5406988263130188,0.8001811504364014,-0.258840948343277,0.10521212965250015,0.29399487376213074,0.21392236649990082,-0.16678181290626526,0.4641738533973694,0.055119678378105164,-0.30174878239631653,0.6208692193031311,-0.02569206804037094,-0.3702150285243988,0.7541425824165344,-0.06394948810338974
