Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.13055537641048431,0.9793100357055664,0.1546192765235901,0.13504934310913086,0.801361083984375,-0.027340447530150414,0.25257542729377747,0.3792659044265747,-0.09311950206756592,0.06152794882655144,0.08982129395008087,-0.15335506200790405,-0.17388708889484406,-0.08317732810974121,-0.19996348023414612,0.22482971847057343,-0.0025509828701615334,0.023235982283949852,0.2538454532623291,-0.5003359317779541,-0.11846999824047089,0.2558625042438507,-0.8097319006919861,-0.20383130013942719,0.24677346646785736,-1.0785948038101196,-0.2588978409767151,0.0,0.0,0.0,0.029296590015292168,-0.5162434577941895,-0.1827264279127121,0.06592510640621185,-0.8573411703109741,-0.2957194447517395,0.07698732614517212,-1.1515822410583496,-0.3448546230792999,-0.21437716484069824,0.10033772885799408,-0.04497215524315834,-0.23847439885139465,-0.20486785471439362,-0.33950331807136536,-0.12052953988313675,0.0880449116230011,-0.38932207226753235,-0.060500260442495346,0.30206456780433655,-0.33402782678604126,-0.39818501472473145,0.2710586190223694,-0.10075058043003082,-0.31709128618240356,0.16229242086410522,-0.3655576705932617,-0.20950143039226532,0.38267943263053894,-0.3959064185619354,-0.1732337474822998,0.5367992520332336,-0.3548884093761444
2,-0.12566593289375305,0.984062671661377,0.12581217288970947,0.1273045688867569,0.7919566035270691,-0.05200578644871712,0.25526106357574463,0.3784753680229187,-0.11415411531925201,0.06603836268186569,0.10329846292734146,-0.17254571616649628,-0.169621542096138,-0.06922495365142822,-0.21717382967472076,0.22394102811813354,-0.01832137070596218,0.021840669214725494,0.2488853931427002,-0.48670679330825806,-0.1056809052824974,0.24968378245830536,-0.7704402804374695,-0.18266896903514862,0.2400762438774109,-1.0206120014190674,-0.2314942330121994,0.0,0.0,0.0,0.03744611516594887,-0.503266453742981,-0.16212181746959686,0.07473401725292206,-0.8164728283882141,-0.26125970482826233,0.07965261489152908,-1.0921095609664917,-0.3036312758922577,-0.21194706857204437,0.11002443730831146,-0.04654313996434212,-0.21545596420764923,-0.18699023127555847,-0.32480692863464355,-0.09681195765733719,0.09081185609102249,-0.3764376640319824,-0.049326054751873016,0.28810396790504456,-0.32701531052589417,-0.3967413306236267,0.28008195757865906,-0.10326862335205078,-0.3032975196838379,0.15663212537765503,-0.347638338804245,-0.19776567816734314,0.3663903474807739,-0.37341660261154175,-0.17541158199310303,0.5149201154708862,-0.3345576524734497
3,-0.09858398884534836,0.9876571893692017,0.12171459197998047,0.14560218155384064,0.7758530974388123,-0.04291108623147011,0.24647891521453857,0.3686906397342682,-0.10377316921949387,0.037294305860996246,0.09013839811086655,-0.16436372697353363,-0.19482535123825073,-0.08212910592556,-0.2139292061328888,0.22477871179580688,-0.026036590337753296,0.025113236159086227,0.24163392186164856,-0.48178303241729736,-0.09801824390888214,0.23240351676940918,-0.7617184519767761,-0.1757812350988388,0.2173134982585907,-1.0095723867416382,-0.22592920064926147,0.0,0.0,0.0,0.02074660174548626,-0.4944663643836975,-0.1564556509256363,0.04966223984956741,-0.8107060194015503,-0.25527223944664,0.0614730641245842,-1.080146312713623,-0.30086302757263184,-0.2075325846672058,0.12084060162305832,-0.04678558185696602,-0.22367510199546814,-0.1780209094285965,-0.3129226863384247,-0.10083501040935516,0.08745437860488892,-0.3588423728942871,-0.036074236035346985,0.2919546067714691,-0.3100142180919647,-0.3815357983112335,0.3015071153640747,-0.10288755595684052,-0.304542601108551,0.15233595669269562,-0.33628177642822266,-0.18768317997455597,0.3501568138599396,-0.3548123836517334,-0.13942882418632507,0.5039457678794861,-0.31301751732826233
4,-0.0511433444917202,0.9875612854957581,0.1486843228340149,0.21935154497623444,0.7626084685325623,0.018165599554777145,0.34638625383377075,0.32328468561172485,-0.030171792954206467,0.1856214851140976,0.028403347358107567,-0.0823986679315567,-0.04599785432219505,-0.09803177416324615,-0.12392610311508179,0.2135819047689438,-0.02272867225110531,0.0365753173828125,0.24187041819095612,-0.516035258769989,-0.08724096417427063,0.24505877494812012,-0.8104774355888367,-0.1513090282678604,0.23765994608402252,-1.057088017463684,-0.18567627668380737,0.0,0.0,0.0,0.030657919123768806,-0.5349021553993225,-0.1558309942483902,0.06617451459169388,-0.8696014285087585,-0.23421256244182587,0.07066431641578674,-1.1473309993743896,-0.2610998749732971,-0.19802634418010712,0.10913543403148651,-0.052464500069618225,-0.14923584461212158,-0.23550520837306976,-0.3048446476459503,-0.018367290496826172,0.02137303724884987,-0.32492661476135254,0.027730058878660202,0.22625692188739777,-0.25751787424087524,-0.3683607876300812,0.28256839513778687,-0.11148403584957123,-0.218621626496315,0.09556322544813156,-0.32008635997772217,-0.10686831921339035,0.29196324944496155,-0.3151344656944275,-0.09940970689058304,0.4583599865436554,-0.25695061683654785
5,-0.04735282436013222,0.9904624819755554,0.12939003109931946,0.22041085362434387,0.7513367533683777,-0.010525600984692574,0.35635071992874146,0.3004170358181,-0.059271086007356644,0.18195044994354248,-0.002226026728749275,-0.10827910155057907,-0.07120981812477112,-0.11347243189811707,-0.14344395697116852,0.21622303128242493,-0.02468637377023697,0.026057016104459763,0.22412657737731934,-0.5271120071411133,-0.08771628141403198,0.20973724126815796,-0.8058669567108154,-0.1451251208782196,0.1840495765209198,-1.0509698390960693,-0.1814354509115219,0.0,0.0,0.0,0.010858637280762196,-0.5253591537475586,-0.148336723446846,0.024764880537986755,-0.8339586853981018,-0.21932163834571838,0.00617283396422863,-1.102835774421692,-0.2480505108833313,-0.19846612215042114,0.10256027430295944,-0.0438176691532135,-0.1685246378183365,-0.2692384719848633,-0.27776095271110535,-0.02237102948129177,-0.007829816080629826,-0.2826783359050751,0.03559020161628723,0.1929483711719513,-0.2181568443775177,-0.3668161928653717,0.2639302909374237,-0.09816136211156845,-0.22226260602474213,0.10855837166309357,-0.2988835275173187,-0.11792846769094467,0.30628788471221924,-0.3010224997997284,-0.11601248383522034,0.4571942985057831,-0.2566927671432495
6,-0.03089849092066288,0.9875741004943848,0.15408645570278168,0.24718011915683746,0.7409645318984985,0.019095560535788536,0.37425291538238525,0.2917509078979492,-0.031311169266700745,0.18337035179138184,-0.004531534854322672,-0.0823780968785286,-0.07609426975250244,-0.1096465066075325,-0.12276391685009003,0.21587184071540833,-0.03305480256676674,0.0329432487487793,0.23525503277778625,-0.5203243494033813,-0.08482339978218079,0.2233111560344696,-0.8063411712646484,-0.14597372710704803,0.19577299058437347,-1.0535532236099243,-0.18330983817577362,0.0,0.0,0.0,0.0207426305860281,-0.5289930105209351,-0.15066811442375183,0.05110324174165726,-0.8511125445365906,-0.2242233157157898,0.04289506748318672,-1.1216561794281006,-0.2523159980773926,-0.19775225222110748,0.11558181792497635,-0.04808082431554794,-0.16423994302749634,-0.23925401270389557,-0.29389819502830505,-0.01431148312985897,0.00975706335157156,-0.3108588457107544,0.03741390258073807,0.20730212330818176,-0.2483101785182953,-0.3614795207977295,0.2882055640220642,-0.1031489372253418,-0.21616898477077484,0.0957210510969162,-0.3089616000652313,-0.0990336611866951,0.2876957058906555,-0.3048349618911743,-0.09431815892457962,0.4507529139518738,-0.2521727383136749
7,-0.026809344068169594,0.9884968996047974,0.14884589612483978,0.24003785848617554,0.7431086897850037,0.014274043962359428,0.3635241389274597,0.30047062039375305,-0.03706233203411102,0.18477734923362732,0.010225627571344376,-0.08998815715312958,-0.057782504707574844,-0.10818187147378922,-0.13206267356872559,0.21111832559108734,-0.03302079439163208,0.033893026411533356,0.2274264395236969,-0.5072740912437439,-0.09026173502206802,0.2152082920074463,-0.7932621240615845,-0.15598398447036743,0.18789491057395935,-1.0372002124786377,-0.19333182275295258,0.0,0.0,0.0,0.021415533497929573,-0.5269244909286499,-0.1575319916009903,0.048880863934755325,-0.8467251062393188,-0.23513318598270416,0.04070640355348587,-1.1125327348709106,-0.26201289892196655,-0.19728028774261475,0.11657575517892838,-0.04971548542380333,-0.1648399382829666,-0.2275518774986267,-0.30168357491493225,-0.014522832818329334,0.025369640439748764,-0.31634587049484253,0.040076036006212234,0.22369565069675446,-0.24729134142398834,-0.36414241790771484,0.29074251651763916,-0.10610196739435196,-0.22315935790538788,0.08883905410766602,-0.3101997375488281,-0.09997419267892838,0.2832701504230499,-0.2979859709739685,-0.08898993581533432,0.4486023783683777,-0.23664753139019012
