Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.007339071948081255,0.9826887249946594,0.18511903285980225,0.335490882396698,0.8028359413146973,-0.016723651438951492,0.6010425686836243,0.44467324018478394,-0.11047331243753433,0.812707781791687,0.12922337651252747,-0.1971527636051178,1.0384433269500732,-0.07828822731971741,-0.24889135360717773,0.2751201391220093,-0.002278098138049245,-0.016500728204846382,0.23686400055885315,-0.1103423610329628,-0.22838585078716278,0.21797993779182434,0.21867001056671143,-0.3100897967815399,0.23483997583389282,0.4537922441959381,-0.31756940484046936,0.0,0.0,0.0,-0.013524414971470833,-0.02851053513586521,-0.278027206659317,0.03481966257095337,0.3639565706253052,-0.3434566259384155,0.0815221518278122,0.6006112694740295,-0.32669055461883545,-0.2572559416294098,0.05004776269197464,-0.017505312338471413,-0.31080079078674316,-0.058537181466817856,-0.29556554555892944,-0.1973409205675125,0.28253644704818726,-0.31995823979377747,-0.09246794134378433,0.5256379842758179,-0.2608548700809479,-0.48796209692955017,0.13605047762393951,-0.047252558171749115,-0.6800432205200195,-0.18005038797855377,-0.21308228373527527,-0.8312885165214539,-0.37901806831359863,-0.2624853551387787,-0.9609564542770386,-0.591598629951477,-0.2628885805606842
2,-0.0008829040452837944,0.9858625531196594,0.16755372285842896,0.3376641869544983,0.7838472127914429,-0.020309599116444588,0.6058250665664673,0.42614659667015076,-0.12214525789022446,0.8128609657287598,0.11687270551919937,-0.22596019506454468,1.0286897420883179,-0.08165651559829712,-0.2948296368122101,0.2805701196193695,-0.004889592528343201,-0.007151048164814711,0.2663140594959259,-0.1296413540840149,-0.2366252839565277,0.2360592633485794,0.1977536380290985,-0.33463186025619507,0.2424807995557785,0.4284878075122833,-0.3495821952819824,0.0,0.0,0.0,0.0043798452243208885,-0.08964391052722931,-0.29124510288238525,0.04358939081430435,0.30495378375053406,-0.3585127890110016,0.08602683246135712,0.54490727186203,-0.33616915345191956,-0.2543332278728485,0.04764678329229355,-0.027899155393242836,-0.290009468793869,-0.08858568966388702,-0.30783358216285706,-0.1876000314950943,0.2496839165687561,-0.3213980793952942,-0.09589755535125732,0.48726433515548706,-0.2488558441400528,-0.48404064774513245,0.11828197538852692,-0.0687723159790039,-0.670802891254425,-0.1975749433040619,-0.22290492057800293,-0.8168242573738098,-0.39248496294021606,-0.2611241340637207,-0.9433428645133972,-0.5968828797340393,-0.2513098418712616
3,0.0060198986902832985,0.9887092709541321,0.14972545206546783,0.3265765607357025,0.7873968482017517,-0.04933430626988411,0.5802696943283081,0.42489248514175415,-0.1525932252407074,0.7608689665794373,0.11176296323537827,-0.25632035732269287,0.973070502281189,-0.09067298471927643,-0.3267662227153778,0.278328001499176,-0.011393765918910503,-0.01822318322956562,0.18655267357826233,-0.13552528619766235,-0.23928821086883545,0.16390500962734222,0.1833517849445343,-0.33494317531585693,0.19003501534461975,0.41386109590530396,-0.3477139174938202,0.0,0.0,0.0,-0.054636478424072266,-0.07487718760967255,-0.28732672333717346,-0.005336401052772999,0.3046915829181671,-0.3649616241455078,0.04360917955636978,0.5418190956115723,-0.3480372428894043,-0.24603135883808136,0.05303213745355606,-0.01571747288107872,-0.33427631855010986,-0.09602733701467514,-0.289695680141449,-0.23605427145957947,0.23043681681156158,-0.3103748559951782,-0.13809005916118622,0.46926549077033997,-0.24118207395076752,-0.4691445827484131,0.12895838916301727,-0.04515600576996803,-0.6339189410209656,-0.18312600255012512,-0.1955644190311432,-0.7767257690429688,-0.36589470505714417,-0.2324943095445633,-0.9059535264968872,-0.5528877973556519,-0.21807287633419037
4,0.07013336569070816,0.9872892498970032,0.14262282848358154,0.4113241136074066,0.7530911564826965,-0.024815862998366356,0.6553390026092529,0.3518841862678528,-0.10677241533994675,0.8422279357910156,0.004225604701787233,-0.1908721625804901,1.0481775999069214,-0.22708222270011902,-0.24286872148513794,0.2688198387622833,-0.0246678926050663,-0.00657928129658103,0.2635655403137207,-0.19294172525405884,-0.19700691103935242,0.2914299964904785,0.12442132085561752,-0.27411916851997375,0.3210724890232086,0.36077791452407837,-0.28086644411087036,0.0,0.0,0.0,0.00834644678980112,-0.11125995963811874,-0.25024762749671936,0.09899315983057022,0.24684137105941772,-0.3174717426300049,0.1602131724357605,0.48454755544662476,-0.30714523792266846,-0.24995611608028412,0.058677393943071365,-0.023751219734549522,-0.28404170274734497,-0.11301364749670029,-0.26890987157821655,-0.13815723359584808,0.20419147610664368,-0.29188835620880127,-0.028110558167099953,0.4469914138317108,-0.23965847492218018,-0.4725729823112488,0.14390163123607635,-0.05822903662919998,-0.6993588805198669,-0.1742977797985077,-0.19584058225154877,-0.8568683862686157,-0.37670567631721497,-0.24119603633880615,-0.9930649399757385,-0.5851323008537292,-0.24553456902503967
5,0.119041807949543,0.9908373951911926,0.06379850208759308,0.4802608788013458,0.7029528021812439,-0.058254845440387726,0.7002525925636292,0.2790672481060028,-0.10888388752937317,0.8274689316749573,-0.09261557459831238,-0.1769079566001892,0.9892148971557617,-0.33718541264533997,-0.22209738194942474,0.26760250329971313,-0.032328806817531586,0.006825986783951521,0.21915358304977417,-0.19453808665275574,-0.15558508038520813,0.25179657340049744,0.09354659169912338,-0.23213839530944824,0.2891543507575989,0.30594924092292786,-0.23872393369674683,0.0,0.0,0.0,-0.029141856357455254,-0.1328955888748169,-0.21830879151821136,0.0709378719329834,0.2012438029050827,-0.2898416221141815,0.14978520572185516,0.4332975447177887,-0.2812102735042572,-0.2397146224975586,0.05698339641094208,-0.03252553567290306,-0.3146047294139862,-0.12245751172304153,-0.2448059767484665,-0.16670244932174683,0.1580045372247696,-0.2660217583179474,-0.04744066670536995,0.37670958042144775,-0.21185782551765442,-0.45841193199157715,0.13720408082008362,-0.07347310334444046,-0.6642450094223022,-0.18564288318157196,-0.17054061591625214,-0.7977151274681091,-0.38121554255485535,-0.18253646790981293,-0.9138340950012207,-0.5758100748062134,-0.16244098544120789
6,0.11619970947504044,0.9888511300086975,0.09311875700950623,0.4595353901386261,0.726956307888031,-0.06056782230734825,0.6878937482833862,0.26960289478302,-0.11770789325237274,0.8180866837501526,-0.10221660137176514,-0.17963972687721252,0.9681809544563293,-0.3457171618938446,-0.21393179893493652,0.2608796954154968,-0.042737822979688644,-0.008351272903382778,0.21779853105545044,-0.23182402551174164,-0.17765876650810242,0.2389560490846634,0.0691097155213356,-0.251628041267395,0.27270686626434326,0.30472248792648315,-0.257968544960022,0.0,0.0,0.0,-0.02781023643910885,-0.1421370655298233,-0.24068854749202728,0.06699921935796738,0.20248080790042877,-0.318464457988739,0.1363804191350937,0.451663076877594,-0.3095589578151703,-0.23741541802883148,0.06671645492315292,-0.020035509020090103,-0.32207345962524414,-0.1309802234172821,-0.2501736879348755,-0.17625340819358826,0.15317676961421967,-0.27737218141555786,-0.057528190314769745,0.3870697617530823,-0.22284461557865143,-0.46137556433677673,0.15139460563659668,-0.050533831119537354,-0.6684674620628357,-0.17610633373260498,-0.17494772374629974,-0.8137704133987427,-0.3825119435787201,-0.21360480785369873,-0.9413963556289673,-0.5823936462402344,-0.20944790542125702
7,0.11924097687005997,0.9877479672431946,0.10067538917064667,0.4711110591888428,0.7276864051818848,-0.06541511416435242,0.7049811482429504,0.2728253901004791,-0.12773621082305908,0.8355697393417358,-0.10975918173789978,-0.19150298833847046,0.9848915934562683,-0.37036049365997314,-0.22380071878433228,0.2678019404411316,-0.042390402406454086,-0.015249150805175304,0.22112883627414703,-0.24646441638469696,-0.18826749920845032,0.25282150506973267,0.054447807371616364,-0.2609022557735443,0.29489514231681824,0.2866489887237549,-0.2661418914794922,0.0,0.0,0.0,-0.027533860877156258,-0.14108632504940033,-0.24349628388881683,0.07850661128759384,0.20075972378253937,-0.31993433833122253,0.15490712225437164,0.43883928656578064,-0.31157106161117554,-0.24108928442001343,0.06588075309991837,-0.014041364192962646,-0.32959750294685364,-0.1367822289466858,-0.2474498599767685,-0.17808254063129425,0.15047875046730042,-0.27113449573516846,-0.05393370985984802,0.3808901309967041,-0.2150830179452896,-0.4633910059928894,0.1506487876176834,-0.03970085456967354,-0.6663929224014282,-0.17940331995487213,-0.16915583610534668,-0.8134991526603699,-0.38938474655151367,-0.20996913313865662,-0.942359447479248,-0.597090482711792,-0.2067955583333969
