Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.5309247374534607,0.8146630525588989,0.2333303838968277,-0.25205525755882263,0.880445122718811,-0.043121952563524246,0.04987750202417374,0.7513836622238159,-0.21511895954608917,0.14429564774036407,0.5240778923034668,-0.3675377666950226,-0.003727768315002322,0.248249351978302,-0.5179021954536438,0.25121626257896423,0.10558025538921356,-0.01823895052075386,0.546930730342865,-0.22872322797775269,-0.20997384190559387,0.7517470121383667,-0.4905094504356384,-0.3219050467014313,0.8955982327461243,-0.6953328251838684,-0.3920780420303345,0.0,0.0,0.0,0.10755976289510727,-0.3456359803676605,-0.29148250818252563,-0.033582109957933426,-0.0425104983150959,-0.361758291721344,-0.09377644211053848,0.18450039625167847,-0.3241726756095886,-0.24808524549007416,-0.01828981749713421,-0.007437305059283972,-0.19699321687221527,-0.23756936192512512,-0.30542007088661194,-0.2619170546531677,0.07848886400461197,-0.26023468375205994,-0.29642531275749207,0.29031190276145935,-0.1378771960735321,-0.5001577734947205,0.030839186161756516,-0.03622378781437874,-0.42820554971694946,-0.14004886150360107,-0.2539292275905609,-0.4367366433143616,0.09168464690446854,-0.2047422081232071,-0.4518875777721405,0.26100659370422363,-0.10281291604042053
2,-0.4839426577091217,0.8525638580322266,0.19731785356998444,-0.2118874043226242,0.8444278240203857,-0.04497478902339935,0.053697261959314346,0.6944090127944946,-0.19481661915779114,0.138547882437706,0.47688019275665283,-0.33247488737106323,0.0280921570956707,0.225198894739151,-0.46618685126304626,0.2415015697479248,0.08262024819850922,-0.006153774447739124,0.531376838684082,-0.23394544422626495,-0.16974370181560516,0.7237027883529663,-0.4695829451084137,-0.27618128061294556,0.8651751279830933,-0.6692763566970825,-0.3501507043838501,0.0,0.0,0.0,0.12078705430030823,-0.3166213929653168,-0.2537156939506531,0.012135341763496399,-0.036840882152318954,-0.33309683203697205,-0.053302742540836334,0.16072584688663483,-0.3209041357040405,-0.24054086208343506,-0.0032142275013029575,-0.016697626560926437,-0.1697969287633896,-0.20457838475704193,-0.2710740268230438,-0.21538960933685303,0.0906696543097496,-0.24371013045310974,-0.2583650052547455,0.2698974311351776,-0.1538248211145401,-0.4787808954715729,0.05572648346424103,-0.05365260690450668,-0.3827396333217621,-0.11528819054365158,-0.22901195287704468,-0.37965068221092224,0.09395930916070938,-0.1873309165239334,-0.4008837640285492,0.23692578077316284,-0.10917758196592331
3,-0.4750186800956726,0.865096390247345,0.16113805770874023,-0.20508991181850433,0.8257174491882324,-0.03571124002337456,0.04978863522410393,0.6640423536300659,-0.1514170914888382,0.10838063806295395,0.4537855386734009,-0.2608262300491333,0.0021523586474359035,0.22319243848323822,-0.3661542236804962,0.22185973823070526,0.07912774384021759,0.0059561762027442455,0.5135366320610046,-0.2432764768600464,-0.14060379564762115,0.696176290512085,-0.46086886525154114,-0.24338430166244507,0.8356202840805054,-0.6547090411186218,-0.3174418807029724,0.0,0.0,0.0,0.12053914368152618,-0.32501402497291565,-0.23450446128845215,0.005635308101773262,-0.0621916726231575,-0.3233299255371094,-0.06995994597673416,0.1360749751329422,-0.32624271512031555,-0.2292151004076004,0.0003556117007974535,-0.024236878380179405,-0.16235727071762085,-0.22478608787059784,-0.2522818148136139,-0.21801826357841492,0.04735065624117851,-0.23893021047115326,-0.2598574757575989,0.2282170206308365,-0.16690808534622192,-0.4571755826473236,0.06597787141799927,-0.06447845697402954,-0.38705432415008545,-0.12052926421165466,-0.21265959739685059,-0.38012227416038513,0.06385371834039688,-0.17554032802581787,-0.38494956493377686,0.20394957065582275,-0.10791026055812836
4,-0.5261563062667847,0.839946985244751,0.132847860455513,-0.23528389632701874,0.8036571145057678,-0.03904293477535248,0.0381169430911541,0.642162024974823,-0.1403510719537735,0.10614077001810074,0.40762731432914734,-0.24140043556690216,-0.019564565271139145,0.17663362622261047,-0.34156134724617004,0.20842616260051727,0.0910494476556778,0.016354886814951897,0.4889969229698181,-0.20007477700710297,-0.12297338992357254,0.6661407351493835,-0.39466410875320435,-0.2224867194890976,0.8050612211227417,-0.5698242783546448,-0.2954067885875702,0.0,0.0,0.0,0.14754435420036316,-0.31906360387802124,-0.22404244542121887,0.031023690477013588,-0.07243812829256058,-0.3137529194355011,-0.06033305451273918,0.10743715614080429,-0.3212507367134094,-0.22315210103988647,-0.017141032963991165,-0.0335053987801075,-0.12022093683481216,-0.2559918165206909,-0.256950706243515,-0.1867639720439911,0.012478207238018513,-0.24844267964363098,-0.2521136701107025,0.19598723948001862,-0.18233130872249603,-0.45971980690956116,0.028546558693051338,-0.08113521337509155,-0.37435898184776306,-0.15562722086906433,-0.2331254929304123,-0.3723307251930237,0.022597169503569603,-0.20512203872203827,-0.3953639268875122,0.16221480071544647,-0.14612245559692383
5,-0.6226341724395752,0.7570384740829468,0.19803892076015472,-0.3387139141559601,0.8180695176124573,-0.08528050780296326,-0.025671465322375298,0.6453338861465454,-0.2369164675474167,0.05136328190565109,0.34384363889694214,-0.3578467071056366,-0.05535230040550232,0.06036590039730072,-0.47586026787757874,0.23309655487537384,0.13221216201782227,-0.04777728021144867,0.5960622429847717,-0.17670592665672302,-0.24321693181991577,0.8505367636680603,-0.4121479094028473,-0.36958131194114685,1.0394333600997925,-0.5995360016822815,-0.4490811228752136,0.0,0.0,0.0,0.09356280416250229,-0.31512653827667236,-0.29757875204086304,-0.08442044258117676,-0.024990366771817207,-0.379003643989563,-0.18413935601711273,0.21607236564159393,-0.3474339544773102,-0.23639659583568573,-0.05571708455681801,0.02271188423037529,-0.19098453223705292,-0.27493777871131897,-0.28717997670173645,-0.29071497917175293,0.045321740210056305,-0.2610265910625458,-0.35492417216300964,0.2803882658481598,-0.14515216648578644,-0.47566354274749756,-0.04612286016345024,0.026946555823087692,-0.41965311765670776,-0.2226286083459854,-0.21542243659496307,-0.46127402782440186,0.02103460766375065,-0.1869513839483261,-0.4986201524734497,0.21367865800857544,-0.09023517370223999
6,-0.5717923641204834,0.8088696599006653,0.13705219328403473,-0.266433984041214,0.7365729808807373,-0.05448397994041443,-0.004979812074452639,0.5602503418922424,-0.15807576477527618,0.02491050586104393,0.28962334990501404,-0.2566033899784088,-0.06219420209527016,0.05174689739942551,-0.35048770904541016,0.21891824901103973,0.09445497393608093,0.0006899327854625881,0.5668300986289978,-0.17961645126342773,-0.14055480062961578,0.7735191583633423,-0.35524144768714905,-0.23755276203155518,0.9364182949066162,-0.5216847658157349,-0.30713701248168945,0.0,0.0,0.0,0.11112921684980392,-0.2828552722930908,-0.24145735800266266,-0.016209082677960396,-0.04659649729728699,-0.33044078946113586,-0.1038454994559288,0.14305056631565094,-0.3340418338775635,-0.22524598240852356,-0.029850255697965622,-0.02015577256679535,-0.1566108763217926,-0.2279631644487381,-0.2668965458869934,-0.22561882436275482,0.04039531573653221,-0.26449593901634216,-0.28201645612716675,0.2262255847454071,-0.1942993849515915,-0.4486163854598999,-0.004176613409072161,-0.05480838194489479,-0.36315444111824036,-0.179022416472435,-0.22275078296661377,-0.3768664300441742,0.013308853842318058,-0.19819320738315582,-0.4053507447242737,0.1686726063489914,-0.13389022648334503
7,-0.5952460765838623,0.7896637320518494,0.14870549738407135,-0.299172967672348,0.7517690658569336,-0.0656801089644432,-0.033158909529447556,0.5794877409934998,-0.17603062093257904,-8.003059519978706e-06,0.3125678598880768,-0.27457866072654724,-0.07073681056499481,0.07627632468938828,-0.36696764826774597,0.21259382367134094,0.10018154978752136,-0.01264293771237135,0.5661486983299255,-0.16411584615707397,-0.1629093736410141,0.7785208821296692,-0.33964815735816956,-0.26685282588005066,0.9484544992446899,-0.4989511966705322,-0.339446097612381,0.0,0.0,0.0,0.110934317111969,-0.27791646122932434,-0.25738784670829773,-0.04036352410912514,-0.04459341987967491,-0.35568979382514954,-0.13851602375507355,0.15039311349391937,-0.3587978780269623,-0.2196974754333496,-0.036101240664720535,-0.0074887932278215885,-0.16550736129283905,-0.21281558275222778,-0.26205527782440186,-0.2516050338745117,0.05029662325978279,-0.26930102705955505,-0.3091667592525482,0.2386612743139267,-0.20112907886505127,-0.4324428141117096,-0.013478082604706287,-0.03072992153465748,-0.3687022626399994,-0.16604365408420563,-0.20319390296936035,-0.3950057923793793,0.025548556819558144,-0.18625739216804504,-0.4188787341117859,0.17981962859630585,-0.12443352490663528
