Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.218208909034729,0.9723116755485535,0.08363514393568039,0.11550900340080261,0.8228811025619507,-0.04091370478272438,0.3528425991535187,0.5172553658485413,-0.08218853175640106,0.3762766718864441,0.22540374100208282,-0.11751192808151245,0.22138188779354095,0.07369744777679443,-0.15477868914604187,0.19781872630119324,0.054769620299339294,0.016590137034654617,0.27560991048812866,-0.31136229634284973,-0.07545626163482666,0.30893173813819885,-0.5402448773384094,-0.16724179685115814,0.33803918957710266,-0.7456893920898438,-0.23555301129817963,0.0,0.0,0.0,0.0710638239979744,-0.4156578779220581,-0.07562337815761566,0.12159370630979538,-0.6939782500267029,-0.16258354485034943,0.1669810265302658,-0.9309700727462769,-0.2280622124671936,-0.19655752182006836,0.020874323323369026,-0.03525177016854286,-0.15182970464229584,-0.36525508761405945,-0.11393272131681442,-0.09878481924533844,-0.6170337200164795,-0.1876181960105896,-0.04866097867488861,-0.8290093541145325,-0.23953253030776978,-0.4139821529388428,0.10801749676465988,-0.0844501405954361,-0.3933592438697815,-0.1908944547176361,-0.1587216556072235,-0.3590053915977478,-0.3884642422199249,-0.19488418102264404,-0.3235660195350647,-0.562834620475769,-0.21979695558547974
2,-0.23935872316360474,0.9681136012077332,0.07391493022441864,0.10507281869649887,0.7977327704429626,-0.0681450217962265,0.3335878849029541,0.49969255924224854,-0.13892656564712524,0.336789071559906,0.2142152339220047,-0.20752808451652527,0.19874067604541779,0.05023772642016411,-0.2676461637020111,0.1982986032962799,0.05017133429646492,0.013678604736924171,0.2620887756347656,-0.3042167127132416,-0.0870385691523552,0.2949443757534027,-0.5218356847763062,-0.18460915982723236,0.3179447650909424,-0.7248576879501343,-0.26646342873573303,0.0,0.0,0.0,0.05664285272359848,-0.40046197175979614,-0.0895669087767601,0.1062304899096489,-0.6494541168212891,-0.17775070667266846,0.15532687306404114,-0.8779906034469604,-0.24881169199943542,-0.1906396448612213,0.025194093585014343,-0.03865911066532135,-0.14917738735675812,-0.3570040464401245,-0.12630349397659302,-0.10955291986465454,-0.5772801041603088,-0.1912473887205124,-0.06117524579167366,-0.7733801007270813,-0.24083927273750305,-0.3922787606716156,0.11777781695127487,-0.095375657081604,-0.3759394884109497,-0.1746973693370819,-0.1729464828968048,-0.348740816116333,-0.3658609986305237,-0.2123025804758072,-0.31166377663612366,-0.5386895537376404,-0.2420893758535385
3,-0.21380838751792908,0.9756138324737549,0.04963500425219536,0.09196536988019943,0.802351713180542,-0.0668901801109314,0.3138132691383362,0.49981260299682617,-0.11063086241483688,0.3481215536594391,0.22656287252902985,-0.1524018496274948,0.22586458921432495,0.0755634605884552,-0.19017553329467773,0.18151560425758362,0.05059710144996643,0.014764685183763504,0.2534395456314087,-0.2927059829235077,-0.08256688714027405,0.2921868860721588,-0.4953855574131012,-0.17783021926879883,0.3205658197402954,-0.6917293667793274,-0.2438248246908188,0.0,0.0,0.0,0.06254826486110687,-0.392286479473114,-0.06658798456192017,0.10475023090839386,-0.6354042887687683,-0.13684453070163727,0.14376114308834076,-0.8495739102363586,-0.19256789982318878,-0.1791078746318817,0.027748288586735725,-0.03861910104751587,-0.13775648176670074,-0.3363298773765564,-0.10341346263885498,-0.09227010607719421,-0.5590585470199585,-0.1456572264432907,-0.04686715081334114,-0.7585669159889221,-0.17747539281845093,-0.3721661865711212,0.12016433477401733,-0.09499525278806686,-0.35666507482528687,-0.17269954085350037,-0.14403699338436127,-0.3317268192768097,-0.3502035140991211,-0.15613946318626404,-0.3056721091270447,-0.5183431506156921,-0.16589203476905823
4,-0.21201428771018982,0.9748029708862305,0.06934734433889389,0.10290549695491791,0.8125853538513184,-0.06314636766910553,0.34426018595695496,0.5190911293029785,-0.10602976381778717,0.30780839920043945,0.23379521071910858,-0.1416197270154953,0.13822610676288605,0.08330349624156952,-0.1748112440109253,0.20135241746902466,0.061247698962688446,0.010440483689308167,0.26763781905174255,-0.297188401222229,-0.07692521810531616,0.2819628417491913,-0.5277684926986694,-0.16138212382793427,0.2873682975769043,-0.733457624912262,-0.22465725243091583,0.0,0.0,0.0,0.06068597733974457,-0.4167745113372803,-0.07177267968654633,0.0910932645201683,-0.6864465475082397,-0.15145179629325867,0.1095571368932724,-0.9128825068473816,-0.2118370085954666,-0.18557971715927124,0.016412192955613136,-0.03143490105867386,-0.15124185383319855,-0.36525601148605347,-0.1041688546538353,-0.11658439040184021,-0.6163537502288818,-0.17384636402130127,-0.09281459450721741,-0.8316497802734375,-0.22372967004776,-0.3787403106689453,0.09668765962123871,-0.07874809950590134,-0.37119999527931213,-0.2092217057943344,-0.1469622552394867,-0.3588015139102936,-0.40707334876060486,-0.18256250023841858,-0.34707286953926086,-0.590268075466156,-0.20776954293251038
5,-0.2441565841436386,0.9667937159538269,0.07548149675130844,0.08738354593515396,0.8105425238609314,-0.06158936023712158,0.3008425235748291,0.5066494941711426,-0.12559384107589722,0.2576199173927307,0.23181498050689697,-0.18659336864948273,0.10817164927721024,0.08644657582044601,-0.23934681713581085,0.1918840855360031,0.05504422262310982,0.012157758697867393,0.253929078578949,-0.30873051285743713,-0.0759299024939537,0.27159520983695984,-0.5278173685073853,-0.16187617182731628,0.276619017124176,-0.724392831325531,-0.23551231622695923,0.0,0.0,0.0,0.05295068770647049,-0.4194822311401367,-0.07685910165309906,0.08616505563259125,-0.6752800345420837,-0.1557500958442688,0.11504323780536652,-0.8979403972625732,-0.22223734855651855,-0.1864158660173416,0.022255944088101387,-0.035762690007686615,-0.15909747779369354,-0.37462663650512695,-0.1095554307103157,-0.13409408926963806,-0.6039426922798157,-0.173472598195076,-0.10460498929023743,-0.7999367713928223,-0.22614389657974243,-0.3897961974143982,0.11215101927518845,-0.08948975056409836,-0.3864452540874481,-0.19006036221981049,-0.15516461431980133,-0.3704433739185333,-0.3867553472518921,-0.19365280866622925,-0.34916138648986816,-0.5613523721694946,-0.22668924927711487
6,-0.21047338843345642,0.97459876537323,0.07653911411762238,0.085556760430336,0.8037854433059692,-0.06485850363969803,0.3069865107536316,0.5073116421699524,-0.123954638838768,0.2808414101600647,0.24724434316158295,-0.17694276571273804,0.12120939791202545,0.1035073921084404,-0.22505423426628113,0.1903487741947174,0.05611136555671692,0.009680472314357758,0.2561189532279968,-0.30236420035362244,-0.09725235402584076,0.2794724404811859,-0.5161211490631104,-0.19418345391750336,0.29397884011268616,-0.7237451076507568,-0.2613459825515747,0.0,0.0,0.0,0.06016333028674126,-0.40857189893722534,-0.07996905595064163,0.08039848506450653,-0.6666145920753479,-0.15495988726615906,0.10239111632108688,-0.8905668258666992,-0.21290315687656403,-0.18009473383426666,0.021731140092015266,-0.035325851291418076,-0.1457439661026001,-0.3645521402359009,-0.11365339159965515,-0.12524746358394623,-0.6017383933067322,-0.1629408299922943,-0.09896610677242279,-0.8096737861633301,-0.19768676161766052,-0.3731786608695984,0.11128213256597519,-0.08972577005624771,-0.36580511927604675,-0.19617553055286407,-0.15124274790287018,-0.35648173093795776,-0.386459082365036,-0.17146965861320496,-0.34459158778190613,-0.5676661729812622,-0.1857062727212906
7,-0.26471415162086487,0.9637776017189026,0.032544273883104324,0.05225224792957306,0.8053418397903442,-0.10711576044559479,0.23946607112884521,0.49382513761520386,-0.16102030873298645,0.13420620560646057,0.2276434749364853,-0.21216893196105957,-0.06686629354953766,0.16358450055122375,-0.2541213035583496,0.18262746930122375,0.0620960108935833,0.005633973516523838,0.25324559211730957,-0.2755490839481354,-0.06875542551279068,0.26008138060569763,-0.4772830307483673,-0.15214793384075165,0.2528783679008484,-0.6562618017196655,-0.226700097322464,0.0,0.0,0.0,0.06084395572543144,-0.40180838108062744,-0.06011858955025673,0.08872412145137787,-0.648186981678009,-0.13495633006095886,0.11457996815443039,-0.860295832157135,-0.20209278166294098,-0.17568279802799225,0.01122236531227827,-0.03237732872366905,-0.14144660532474518,-0.36813992261886597,-0.09500498324632645,-0.11556535214185715,-0.5943263173103333,-0.16416408121585846,-0.08453911542892456,-0.7831600904464722,-0.22240415215492249,-0.3724578320980072,0.08934111893177032,-0.08465109020471573,-0.3504977226257324,-0.20655518770217896,-0.1406518816947937,-0.3266015350818634,-0.4024660587310791,-0.18222372233867645,-0.30027973651885986,-0.5723783373832703,-0.22161564230918884
