Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.1296381801366806,0.9502561092376709,0.28320884704589844,0.16986414790153503,0.8390247225761414,0.14520660042762756,0.46657222509384155,0.5943889021873474,0.011041384190320969,0.7681828141212463,0.5102670788764954,-0.12557034194469452,1.0575153827667236,0.45776182413101196,-0.2752874195575714,0.14485733211040497,-0.0059543270617723465,0.055188219994306564,0.19428135454654694,-0.44853854179382324,-0.16684876382350922,0.4027334749698639,-0.6679232716560364,-0.3301345109939575,0.6369255781173706,-0.7865114808082581,-0.4284903407096863,0.0,0.0,0.0,0.06689079850912094,-0.5034353733062744,-0.19346153736114502,0.33035239577293396,-0.7183111310005188,-0.33502185344696045,0.6129150986671448,-0.7943364977836609,-0.42359551787376404,-0.14790892601013184,0.07723618298768997,-0.07369908690452576,-0.08866015821695328,-0.4429759383201599,-0.260127991437912,0.16945944726467133,-0.6674205660820007,-0.3777239918708801,0.44777601957321167,-0.7606618404388428,-0.4398637115955353,-0.2874779999256134,0.21824386715888977,-0.15683619678020477,-0.25008323788642883,-0.16682906448841095,-0.32079049944877625,-0.07648185640573502,-0.3692542612552643,-0.39935219287872314,0.12087097764015198,-0.4812219738960266,-0.43944936990737915
2,-0.22677473723888397,0.9454410076141357,0.23391130566596985,0.11334967613220215,0.8075370192527771,0.14140835404396057,0.41658467054367065,0.5811122059822083,0.027595723047852516,0.6972247362136841,0.48834338784217834,-0.09963073581457138,0.9511382579803467,0.4401057958602905,-0.23441778123378754,0.12292050570249557,-0.019091561436653137,0.07331167906522751,0.14241793751716614,-0.45030590891838074,-0.12459738552570343,0.331551194190979,-0.6237003207206726,-0.27268919348716736,0.5476810932159424,-0.7144019603729248,-0.36480262875556946,0.0,0.0,0.0,0.05050390213727951,-0.47961995005607605,-0.18173114955425262,0.3078327476978302,-0.6400768756866455,-0.31849023699760437,0.5694190859794617,-0.679090678691864,-0.4040640890598297,-0.13454346358776093,0.08667194843292236,-0.08887212723493576,-0.09884814918041229,-0.39011630415916443,-0.2531284987926483,0.1377171128988266,-0.5556943416595459,-0.3484133183956146,0.3821652829647064,-0.6214240193367004,-0.39833083748817444,-0.266791433095932,0.23336514830589294,-0.18694105744361877,-0.24810455739498138,-0.10577056556940079,-0.33294370770454407,-0.09898494929075241,-0.2892249524593353,-0.40132784843444824,0.06948135793209076,-0.4004860818386078,-0.4356144964694977
3,-0.246135875582695,0.949791669845581,0.1931653767824173,0.08848930150270462,0.7855204939842224,0.12205557525157928,0.37686219811439514,0.5593162775039673,0.024119719862937927,0.6491910815238953,0.47643452882766724,-0.09209401905536652,0.901039183139801,0.4232982099056244,-0.21649788320064545,0.11900877207517624,-0.01614466868340969,0.0806267112493515,0.1593405157327652,-0.43301066756248474,-0.09868528693914413,0.3328194320201874,-0.5940410494804382,-0.23508822917938232,0.5286710858345032,-0.6801272630691528,-0.3232584297657013,0.0,0.0,0.0,0.05354344844818115,-0.4635644257068634,-0.17112663388252258,0.2897946834564209,-0.6114339828491211,-0.3008895516395569,0.5246965885162354,-0.6500289440155029,-0.3847770690917969,-0.13417552411556244,0.08162067830562592,-0.09807237237691879,-0.08628930151462555,-0.3846481144428253,-0.2587146461009979,0.14236213266849518,-0.5320151448249817,-0.35179704427719116,0.3705938160419464,-0.5859440565109253,-0.4024241864681244,-0.2672119140625,0.22110986709594727,-0.20376363396644592,-0.23237423598766327,-0.1098746731877327,-0.3465707302093506,-0.0932464748620987,-0.29961591958999634,-0.41786739230155945,0.0561763197183609,-0.4255713224411011,-0.4591273367404938
4,-0.22064869105815887,0.9623591303825378,0.15867926180362701,0.1047973483800888,0.753089427947998,0.08772476017475128,0.3846083879470825,0.5412814021110535,-0.04217202588915825,0.6805169582366943,0.4650501608848572,-0.1973174810409546,0.9271735548973083,0.4317440986633301,-0.35649359226226807,0.10096989572048187,-0.010808924213051796,0.06913165748119354,0.20172074437141418,-0.40626025199890137,-0.12850061058998108,0.3951913118362427,-0.5329817533493042,-0.28846582770347595,0.5790129899978638,-0.5735257267951965,-0.38223496079444885,0.0,0.0,0.0,0.1412818878889084,-0.4591563940048218,-0.20222735404968262,0.3998669683933258,-0.5733014941215515,-0.34246692061424255,0.6257514357566833,-0.5691156983375549,-0.41516607999801636,-0.0973261222243309,0.08308389037847519,-0.08911959826946259,0.022348834201693535,-0.3632296025753021,-0.24184145033359528,0.2617712616920471,-0.4902445077896118,-0.3346656262874603,0.4790809452533722,-0.5102812647819519,-0.37650877237319946,-0.17991934716701508,0.2192389816045761,-0.18607865273952484,-0.08429905772209167,-0.08313298225402832,-0.2829018533229828,0.04809662699699402,-0.24529220163822174,-0.33546578884124756,0.17305512726306915,-0.361359179019928,-0.364003986120224
5,-0.14567838609218597,0.9312382936477661,0.3340255320072174,0.20765596628189087,0.8468970656394958,0.19915029406547546,0.5166862607002258,0.6373870372772217,0.034646738320589066,0.853205680847168,0.5786861777305603,-0.14111660420894623,1.1762301921844482,0.5309886336326599,-0.339450865983963,0.16976599395275116,-0.011782350018620491,0.08092502504587173,0.22557558119297028,-0.44139838218688965,-0.17742252349853516,0.4426801800727844,-0.6853461265563965,-0.3710387349128723,0.6999592781066895,-0.8111711740493774,-0.49035054445266724,0.0,0.0,0.0,0.10530605912208557,-0.49448132514953613,-0.22902722656726837,0.37742364406585693,-0.7423483729362488,-0.4049731194972992,0.692480206489563,-0.8565778732299805,-0.5204761624336243,-0.15054483711719513,0.07801786810159683,-0.09950213134288788,-0.05734698846936226,-0.44703376293182373,-0.32091012597084045,0.22246916592121124,-0.6794862747192383,-0.4670345187187195,0.5371689200401306,-0.7749695181846619,-0.5477595329284668,-0.2750025689601898,0.22932088375091553,-0.20722776651382446,-0.19235950708389282,-0.17818208038806915,-0.39153093099594116,0.004961664788424969,-0.39632800221443176,-0.4826962351799011,0.23496662080287933,-0.5109215378761292,-0.5338798761367798
6,-0.21225608885288239,0.9730095863342285,0.09055191278457642,0.2033049762248993,0.8031003475189209,0.17021599411964417,0.5438792109489441,0.5604568123817444,0.13671541213989258,0.8523350954055786,0.4814949929714203,0.06412894278764725,1.0899239778518677,0.49035781621932983,-0.006534041836857796,0.03002827987074852,-0.02806549146771431,0.13065293431282043,0.3427395224571228,-0.41115322709083557,0.012406733818352222,0.636691153049469,-0.5120802521705627,-0.08841110020875931,0.8929793238639832,-0.5105370283126831,-0.15130721032619476,0.0,0.0,0.0,0.42341482639312744,-0.49784553050994873,-0.1539253294467926,0.746461808681488,-0.5498901605606079,-0.26403433084487915,0.9661141037940979,-0.45651137828826904,-0.30972278118133545,0.009572656825184822,0.0733145922422409,-0.12711352109909058,0.33941924571990967,-0.3813193142414093,-0.22461092472076416,0.6585087180137634,-0.4915010333061218,-0.26999208331108093,0.898402988910675,-0.45997539162635803,-0.28412869572639465,0.10497990250587463,0.2040625959634781,-0.25306811928749084,0.32150998711586,-0.13732394576072693,-0.3115033805370331,0.5178566575050354,-0.3197247385978699,-0.3317142128944397,0.6952494978904724,-0.4130150079727173,-0.3376607596874237
7,-0.21195021271705627,0.9746096730232239,0.0722014531493187,0.21618273854255676,0.9332079291343689,0.3281080424785614,0.5931134819984436,0.6672338843345642,0.35017088055610657,0.9374682307243347,0.6263747811317444,0.28189176321029663,1.2525548934936523,0.6107213497161865,0.17890991270542145,0.10594154894351959,-0.0012279920047149062,0.2649494707584381,0.3747127652168274,-0.3873707950115204,0.16662418842315674,0.6513085961341858,-0.5652830004692078,0.05949363484978676,0.9081301093101501,-0.6236622929573059,-0.023456715047359467,0.0,0.0,0.0,0.36052072048187256,-0.43672752380371094,-0.1180526465177536,0.7287261486053467,-0.5975494980812073,-0.23455093801021576,1.0225971937179565,-0.6270321011543274,-0.31996801495552063,-0.026851963251829147,0.0783676952123642,-0.26265227794647217,0.3160524070262909,-0.4046790599822998,-0.3971105217933655,0.6653591990470886,-0.5608783960342407,-0.4776803255081177,0.9578015208244324,-0.6241509914398193,-0.5286439061164856,0.05077532306313515,0.2151658684015274,-0.5053384304046631,0.30146971344947815,-0.16332249343395233,-0.6556119322776794,0.5153303146362305,-0.37149864435195923,-0.726076602935791,0.7097302079200745,-0.5185128450393677,-0.7719410061836243
