Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.16485048830509186,0.9507116675376892,0.26262450218200684,0.3190087676048279,0.7866548895835876,0.29201385378837585,0.609061598777771,0.5628012418746948,0.19296883046627045,0.8688029050827026,0.45744046568870544,0.04793749749660492,1.1308492422103882,0.3848933279514313,-0.10675378143787384,0.11035869270563126,-0.037684548646211624,0.1413804441690445,0.3337423801422119,-0.42781558632850647,-0.027574466541409492,0.5307871103286743,-0.6869511604309082,-0.15644077956676483,0.679413914680481,-0.8908230066299438,-0.25126105546951294,0.0,0.0,0.0,0.5941087603569031,-0.24414020776748657,-0.24642057716846466,0.8841736912727356,-0.017773909494280815,-0.34769144654273987,0.9607411026954651,0.19259509444236755,-0.37454044818878174,0.01330141443759203,0.14008614420890808,-0.13501837849617004,0.5258834362030029,-0.09332527965307236,-0.3446452021598816,0.8430575728416443,0.09501606225967407,-0.34634530544281006,0.9409881830215454,0.2945670187473297,-0.3024735748767853,0.10036318004131317,0.32041579484939575,-0.26748722791671753,0.48049572110176086,0.11800410598516464,-0.39295655488967896,0.7445762753486633,0.18314139544963837,-0.3663364052772522,0.8704537153244019,0.29076889157295227,-0.32127872109413147
2,-0.18703150749206543,0.9653464555740356,0.18200403451919556,0.27471867203712463,0.682594895362854,0.20095820724964142,0.5433175563812256,0.48343485593795776,0.10474783182144165,0.8149263262748718,0.38703837990760803,-0.024613117799162865,1.0441083908081055,0.3017544448375702,-0.1682537943124771,0.08904994279146194,-0.06460249423980713,0.08945775032043457,0.34224602580070496,-0.45700541138648987,-0.03367357701063156,0.5087171196937561,-0.6654109954833984,-0.13139984011650085,0.6477375626564026,-0.8377021551132202,-0.20492732524871826,0.0,0.0,0.0,0.5650269389152527,-0.2680923342704773,-0.13203264772891998,0.8263137340545654,-0.06191964074969292,-0.16878721117973328,0.8677654266357422,0.10308154672384262,-0.19263985753059387,0.004259210545569658,0.13398543000221252,-0.09119212627410889,0.5318052768707275,-0.1100807785987854,-0.1950375735759735,0.7760583758354187,0.05567454919219017,-0.1580342799425125,0.8402705192565918,0.21629372239112854,-0.1295863538980484,0.0723290890455246,0.29604801535606384,-0.18448187410831451,0.4568219482898712,0.11921145021915436,-0.23799550533294678,0.6713548302650452,0.14439809322357178,-0.2043161541223526,0.779662549495697,0.20701228082180023,-0.177278071641922
3,-0.143295556306839,0.9763820767402649,0.1616925448179245,0.24448111653327942,0.7127196192741394,0.2605907618999481,0.5090962648391724,0.5030622482299805,0.20827028155326843,0.7792176604270935,0.3682170510292053,0.0966111496090889,1.021965503692627,0.27617311477661133,-0.029056992381811142,0.08462503552436829,-0.0418761782348156,0.1546144038438797,0.3128640353679657,-0.44075891375541687,0.04964911565184593,0.4945968687534332,-0.6577344536781311,-0.03286360576748848,0.6397687792778015,-0.8373043537139893,-0.10444718599319458,0.0,0.0,0.0,0.5452709197998047,-0.24458523094654083,-0.17755314707756042,0.7864735722541809,-0.04043302312493324,-0.24263310432434082,0.8522517085075378,0.1488351821899414,-0.26826438307762146,0.021931027993559837,0.1300535649061203,-0.14626958966255188,0.5090484619140625,-0.10760349035263062,-0.31224197149276733,0.7552670836448669,0.07366634905338287,-0.30132538080215454,0.8317440152168274,0.24636682868003845,-0.2663845121860504,0.09545447677373886,0.3028441369533539,-0.28686168789863586,0.4499202370643616,0.12343984842300415,-0.413774311542511,0.6747685074806213,0.1498296558856964,-0.413731187582016,0.8107309937477112,0.19530974328517914,-0.3912542462348938
4,-0.18893985450267792,0.9611640572547913,0.20116020739078522,0.19563975930213928,0.7111720442771912,0.30478113889694214,0.46049001812934875,0.48492559790611267,0.2508590519428253,0.7207710146903992,0.3832260072231293,0.14443907141685486,0.966723620891571,0.3146010935306549,0.033245787024497986,0.07032950222492218,-0.05618339776992798,0.1583040952682495,0.3120304346084595,-0.43330755829811096,0.042465757578611374,0.46791380643844604,-0.6701866984367371,-0.04856325685977936,0.5789583921432495,-0.8761014938354492,-0.12532645463943481,0.0,0.0,0.0,0.5706539154052734,-0.22157998383045197,-0.17497467994689941,0.8137864470481873,-0.027853697538375854,-0.2423708736896515,0.8748487830162048,0.14356590807437897,-0.27086231112480164,0.021662328392267227,0.14537033438682556,-0.14640532433986664,0.5333362817764282,-0.08611021190881729,-0.28696155548095703,0.7783410549163818,0.07424596697092056,-0.26614102721214294,0.8499899506568909,0.23288491368293762,-0.232961043715477,0.10167189687490463,0.3217930495738983,-0.2867072522640228,0.48830175399780273,0.13128963112831116,-0.36542031168937683,0.7025761008262634,0.15640288591384888,-0.3347775638103485,0.8010024428367615,0.2040896862745285,-0.3037858009338379
5,-0.22245654463768005,0.9581244587898254,0.18030712008476257,0.20878338813781738,0.636917769908905,0.21257638931274414,0.4807163178920746,0.4225735068321228,0.13462385535240173,0.7553930878639221,0.3412090539932251,0.0226081982254982,0.9879677891731262,0.3022924065589905,-0.10600756853818893,0.06363389641046524,-0.06688828766345978,0.0935155525803566,0.3201262652873993,-0.48440051078796387,-0.01837906986474991,0.45766475796699524,-0.7084254622459412,-0.100019171833992,0.5683608651161194,-0.8951429724693298,-0.1659483015537262,0.0,0.0,0.0,0.5585523843765259,-0.2671780288219452,-0.14184625446796417,0.8005369901657104,-0.07613294571638107,-0.1831796020269394,0.8581852316856384,0.09211739152669907,-0.20719675719738007,0.022006522864103317,0.13794003427028656,-0.09379653632640839,0.5572830438613892,-0.08330810815095901,-0.20847360789775848,0.7819661498069763,0.07731625437736511,-0.1963193714618683,0.8612580299377441,0.21861706674098969,-0.18342404067516327,0.09150634706020355,0.31121933460235596,-0.18752658367156982,0.5174894332885742,0.20311091840267181,-0.2544724643230438,0.7334839701652527,0.20928849279880524,-0.2520498037338257,0.8641688823699951,0.22692546248435974,-0.248930424451828
6,-0.2062855362892151,0.966279149055481,0.1541130691766739,0.2034572809934616,0.7238470315933228,0.20092672109603882,0.48371630907058716,0.49204519391059875,0.12522365152835846,0.7524599432945251,0.39514926075935364,0.014584883116185665,1.0027763843536377,0.3247912526130676,-0.1031419113278389,0.05799638852477074,-0.04801543429493904,0.09260856360197067,0.3159106373786926,-0.46196550130844116,0.00826635304838419,0.44983723759651184,-0.6768245697021484,-0.04272031784057617,0.5840254426002502,-0.8604100942611694,-0.08638143539428711,0.0,0.0,0.0,0.5780285000801086,-0.2374202013015747,-0.13990004360675812,0.8077375292778015,-0.03517211601138115,-0.1831459105014801,0.8850857019424438,0.13283146917819977,-0.2003990262746811,0.022742653265595436,0.1284189671278,-0.08433891087770462,0.5482807755470276,-0.10849277675151825,-0.192473366856575,0.7484185099601746,0.05765123665332794,-0.167032852768898,0.8132914304733276,0.21473942697048187,-0.13575537502765656,0.11095834523439407,0.2876473665237427,-0.1650087833404541,0.4673638939857483,0.0863487720489502,-0.23137065768241882,0.6548701524734497,0.12164024263620377,-0.213141530752182,0.7513912916183472,0.20460768043994904,-0.18641649186611176
7,-0.22749406099319458,0.9625043869018555,0.1477557122707367,0.07450845837593079,0.6603711843490601,0.2027139961719513,0.34087637066841125,0.4356016516685486,0.16191178560256958,0.6023825407028198,0.3103604316711426,0.08302703499794006,0.8115890026092529,0.24873878061771393,-0.008994479663670063,0.028366973623633385,-0.045438602566719055,0.10233651846647263,0.20649291574954987,-0.44557350873947144,0.02698681503534317,0.32209137082099915,-0.6853634715080261,-0.027573589235544205,0.40881338715553284,-0.8897804021835327,-0.07757968455553055,0.0,0.0,0.0,0.5497882962226868,-0.20668520033359528,-0.12864291667938232,0.7630298733711243,-0.016169186681509018,-0.17482011020183563,0.8276563286781311,0.15009327232837677,-0.19273991882801056,0.058812305331230164,0.1427278369665146,-0.0930057168006897,0.550382137298584,-0.056408535689115524,-0.21105435490608215,0.7489920854568481,0.10125844180583954,-0.20210856199264526,0.8216066956520081,0.2460232675075531,-0.1769273728132248,0.13446129858493805,0.3234281837940216,-0.18234387040138245,0.4581454396247864,0.20987175405025482,-0.2652885913848877,0.6420558094978333,0.23689597845077515,-0.256152868270874,0.7655592560768127,0.2710571587085724,-0.23226109147071838
