Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.15982671082019806,0.9860681891441345,0.0460977740585804,0.17337746918201447,0.9232248067855835,-0.12509123980998993,0.43685978651046753,0.6259523630142212,-0.1918005496263504,0.4125661551952362,0.35546836256980896,-0.2549092769622803,0.16512320935726166,0.28071165084838867,-0.31045055389404297,0.23086288571357727,0.04979846999049187,-0.015091195702552795,0.26434823870658875,-0.3147229254245758,-0.1963842213153839,0.35822999477386475,-0.36752161383628845,-0.35473307967185974,0.403157502412796,-0.20453184843063354,-0.42168372869491577,0.0,0.0,0.0,-0.0024288108106702566,-0.42042937874794006,-0.15104590356349945,0.09203460812568665,-0.4966053068637848,-0.2920725345611572,0.14460499584674835,-0.31311920285224915,-0.35369622707366943,-0.2091888189315796,0.03291555494070053,-0.015886511653661728,-0.21607211232185364,-0.3498261272907257,-0.14560140669345856,-0.14247211813926697,-0.46346163749694824,-0.26167723536491394,-0.0935743972659111,-0.34571146965026855,-0.3053344786167145,-0.4304756820201874,0.1285398006439209,-0.04737630859017372,-0.4199857711791992,-0.17572590708732605,-0.1541939079761505,-0.36824172735214233,-0.32165205478668213,-0.2284529209136963,-0.3113943934440613,-0.3217128813266754,-0.2541355788707733
2,-0.15881216526031494,0.9872936606407166,-0.005468466784805059,0.15838488936424255,0.8695599436759949,-0.13939553499221802,0.40562158823013306,0.5602075457572937,-0.18934305012226105,0.36677220463752747,0.2972118854522705,-0.24188339710235596,0.1279127150774002,0.26420098543167114,-0.2844288945198059,0.2082233875989914,0.036521755158901215,2.202478026447352e-05,0.2442723512649536,-0.30963683128356934,-0.1557483822107315,0.32216140627861023,-0.3354044556617737,-0.30385497212409973,0.3472452759742737,-0.17364174127578735,-0.3691726326942444,0.0,0.0,0.0,0.004535869229584932,-0.39678242802619934,-0.12229590117931366,0.07918909192085266,-0.4517225921154022,-0.24700213968753815,0.10699529945850372,-0.29713818430900574,-0.30393844842910767,-0.19241054356098175,0.03321455419063568,-0.030527248978614807,-0.1967281997203827,-0.323777973651886,-0.1304577887058258,-0.13364242017269135,-0.4229329526424408,-0.22493208944797516,-0.09996440261602402,-0.34104061126708984,-0.26302918791770935,-0.3965117633342743,0.12287302315235138,-0.07618524879217148,-0.3866236209869385,-0.1674397587776184,-0.14538434147834778,-0.3448358476161957,-0.2945709526538849,-0.191073939204216,-0.30672723054885864,-0.31243783235549927,-0.2063397616147995
3,-0.17433056235313416,0.9846031665802002,0.012864336371421814,0.16751691699028015,0.8415673971176147,-0.11916899681091309,0.3958776593208313,0.5416173934936523,-0.20272693037986755,0.33123812079429626,0.2822840213775635,-0.2958780825138092,0.10345212370157242,0.26340290904045105,-0.370751291513443,0.20825837552547455,0.03460267186164856,0.01255711354315281,0.24360910058021545,-0.31901276111602783,-0.1572737693786621,0.3006623089313507,-0.32752710580825806,-0.3056730628013611,0.3326832354068756,-0.1646726131439209,-0.3816445767879486,0.0,0.0,0.0,0.0003698468499351293,-0.4058179259300232,-0.15633882582187653,0.07433135062456131,-0.42973536252975464,-0.2852381467819214,0.13073019683361053,-0.26866477727890015,-0.3426720201969147,-0.19049926102161407,0.028650788590312004,-0.04574470594525337,-0.20364288985729218,-0.3299742639064789,-0.15547208487987518,-0.12899819016456604,-0.3936567008495331,-0.2503241300582886,-0.06947494298219681,-0.28673991560935974,-0.29077693819999695,-0.39109402894973755,0.12605875730514526,-0.10931402444839478,-0.38089558482170105,-0.16600820422172546,-0.17659786343574524,-0.333804726600647,-0.2999580204486847,-0.23516151309013367,-0.2954241931438446,-0.32200074195861816,-0.2653171122074127
4,-0.19670307636260986,0.9798351526260376,0.03508588299155235,0.12634415924549103,0.8663777709007263,-0.05897274985909462,0.37106892466545105,0.5595058798789978,-0.1153532862663269,0.27100250124931335,0.3198274075984955,-0.18484945595264435,-0.001167980721220374,0.33291569352149963,-0.2451137751340866,0.2126099318265915,0.05563254654407501,0.027501000091433525,0.2748004198074341,-0.29648229479789734,-0.12028873711824417,0.30646803975105286,-0.2974185645580292,-0.24859239161014557,0.28847241401672363,-0.12454117834568024,-0.31349849700927734,0.0,0.0,0.0,0.020153360441327095,-0.4137895405292511,-0.14271166920661926,0.05987812951207161,-0.39276567101478577,-0.24496521055698395,0.06249639764428139,-0.19420595467090607,-0.2788892388343811,-0.19867509603500366,0.019914481788873672,-0.05273551866412163,-0.19099943339824677,-0.3507070541381836,-0.1431407928466797,-0.14208915829658508,-0.35305726528167725,-0.203044131398201,-0.12803664803504944,-0.1993229240179062,-0.21708352863788605,-0.401574045419693,0.10198473185300827,-0.121919184923172,-0.3893396258354187,-0.18520750105381012,-0.17690372467041016,-0.3415873646736145,-0.269773930311203,-0.20926746726036072,-0.31490975618362427,-0.2340024709701538,-0.2159578502178192
5,-0.19781635701656342,0.9794827699661255,0.038499344140291214,0.12858562171459198,0.8683698773384094,-0.06123317778110504,0.36676985025405884,0.5527979731559753,-0.11857718974351883,0.2615699768066406,0.3055463135242462,-0.1871410459280014,-0.0016105353133752942,0.3277398943901062,-0.2478589117527008,0.21135231852531433,0.05887836962938309,0.024967359378933907,0.2722831666469574,-0.2845163941383362,-0.12229283899068832,0.3068040609359741,-0.30323293805122375,-0.2542884647846222,0.2928008437156677,-0.14134502410888672,-0.32239872217178345,0.0,0.0,0.0,0.021338511258363724,-0.40610936284065247,-0.1392195224761963,0.05663660168647766,-0.40746721625328064,-0.24264268577098846,0.057505737990140915,-0.21214406192302704,-0.27915120124816895,-0.1988406479358673,0.018266921862959862,-0.050336308777332306,-0.1869460493326187,-0.34998658299446106,-0.14000292122364044,-0.14244011044502258,-0.3703475296497345,-0.20146852731704712,-0.1323242485523224,-0.21915121376514435,-0.21732980012893677,-0.39896517992019653,0.09826774895191193,-0.1176801472902298,-0.39003986120224,-0.1897258162498474,-0.17579472064971924,-0.3461577892303467,-0.2853333652019501,-0.20923656225204468,-0.3239884376525879,-0.25342661142349243,-0.21613390743732452
6,-0.3943759799003601,0.8998823761940002,0.18622389435768127,-0.02481372468173504,0.9830355644226074,-0.14568892121315002,0.2795790433883667,0.7619951963424683,-0.30058348178863525,0.0269082710146904,0.5189353823661804,-0.43047237396240234,-0.31409361958503723,0.41090792417526245,-0.5529523491859436,0.2908152937889099,0.10785578191280365,-0.05706891790032387,0.37345004081726074,-0.33979833126068115,-0.31426799297332764,0.3674995005130768,-0.3379036784172058,-0.5147569179534912,0.32500651478767395,-0.12100058048963547,-0.6077345013618469,0.0,0.0,0.0,0.07925575226545334,-0.5553027391433716,-0.24227826297283173,0.06188826635479927,-0.5064233541488647,-0.46375322341918945,0.04525250941514969,-0.24783077836036682,-0.5751264095306396,-0.26410770416259766,-0.03187933936715126,0.015561584383249283,-0.20739012956619263,-0.4879504442214966,-0.20618848502635956,-0.2395215928554535,-0.4368639886379242,-0.41472598910331726,-0.2746264636516571,-0.20026744902133942,-0.5097981691360474,-0.5404135584831238,-0.007166635245084763,0.008956477977335453,-0.5237157940864563,-0.3756706118583679,-0.14999613165855408,-0.5215513110160828,-0.38799312710762024,-0.2644500136375427,-0.5393146872520447,-0.23232053220272064,-0.3228740096092224
7,-0.2733413875102997,0.9616081118583679,-0.024378325790166855,0.011951444670557976,0.7888471484184265,-0.19742749631404877,0.17180362343788147,0.487067848443985,-0.27399420738220215,0.04499494284391403,0.23512399196624756,-0.3577496111392975,-0.18795005977153778,0.22000178694725037,-0.42111799120903015,0.1896800398826599,0.05881688743829727,-0.012205855920910835,0.273487389087677,-0.2717723846435547,-0.14911946654319763,0.261479914188385,-0.24383321404457092,-0.27471455931663513,0.21523267030715942,-0.09232424944639206,-0.34920448064804077,0.0,0.0,0.0,0.08003200590610504,-0.4057309329509735,-0.14617125689983368,0.07828985899686813,-0.32648393511772156,-0.2756666839122772,0.045113276690244675,-0.12368182092905045,-0.3423423767089844,-0.18784199655056,-0.005089818965643644,-0.0235415268689394,-0.12381211668252945,-0.37138086557388306,-0.14927391707897186,-0.11072728782892227,-0.32860374450683594,-0.2592730224132538,-0.11793384701013565,-0.1365814208984375,-0.30949118733406067,-0.3885646462440491,0.04193657636642456,-0.0684216096997261,-0.33777421712875366,-0.26512178778648376,-0.15008029341697693,-0.3111971318721771,-0.2893036901950836,-0.217010036110878,-0.30102774500846863,-0.16636128723621368,-0.25681570172309875
