Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.263665109872818,0.9626731276512146,0.06116500496864319,0.05487513542175293,0.8181029558181763,-0.041771914809942245,0.32021546363830566,0.5548422336578369,-0.12690389156341553,0.4461476802825928,0.30420130491256714,-0.22489769756793976,0.3897015154361725,0.12890776991844177,-0.30347105860710144,0.18402305245399475,0.08071264624595642,0.031903915107250214,0.30261462926864624,-0.305793821811676,-0.18627430498600006,0.322053462266922,-0.18612824380397797,-0.3593895733356476,0.29139262437820435,0.00039136852137744427,-0.434678852558136,0.0,0.0,0.0,0.027365555986762047,-0.4771764278411865,-0.11299485713243484,0.0006361791165545583,-0.7536011934280396,-0.19809211790561676,-0.049930278211832047,-0.9850098490715027,-0.2495301365852356,-0.18438439071178436,0.008752423338592052,-0.07024016976356506,-0.1480124294757843,-0.4261937737464905,-0.1597982943058014,-0.15044480562210083,-0.6948016285896301,-0.21036718785762787,-0.16596707701683044,-0.9257467985153198,-0.23419611155986786,-0.37573540210723877,0.08958575874567032,-0.1567648947238922,-0.3376908302307129,-0.2572476863861084,-0.1914159208536148,-0.3144049644470215,-0.46863433718681335,-0.17601558566093445,-0.30529141426086426,-0.6488858461380005,-0.1582268476486206
2,-0.2606014311313629,0.9648072123527527,0.03512672707438469,0.06626254320144653,0.8271773457527161,-0.0517544224858284,0.31886810064315796,0.5373485088348389,-0.12096668034791946,0.4327092468738556,0.2868765890598297,-0.20503579080104828,0.36198896169662476,0.11377644538879395,-0.27263355255126953,0.1742735207080841,0.07268285751342773,0.03450048342347145,0.28798946738243103,-0.3084213435649872,-0.16710373759269714,0.32319509983062744,-0.19878165423870087,-0.33304813504219055,0.308379590511322,-0.014606044627726078,-0.40512755513191223,0.0,0.0,0.0,0.029469022527337074,-0.45656493306159973,-0.07964032888412476,0.01214362122118473,-0.7276609539985657,-0.14869824051856995,-0.03024222142994404,-0.9558882713317871,-0.1937376707792282,-0.18195070326328278,0.014357887208461761,-0.07192306220531464,-0.14724484086036682,-0.40958717465400696,-0.1271849125623703,-0.14498376846313477,-0.6695438027381897,-0.15345875918865204,-0.15471895039081573,-0.89982670545578,-0.1684664487838745,-0.36974388360977173,0.09623267501592636,-0.1616537868976593,-0.3283216655254364,-0.2312626838684082,-0.18235328793525696,-0.30778059363365173,-0.4382897913455963,-0.15662316977977753,-0.2966534197330475,-0.6238186359405518,-0.1337977796792984
3,-0.1981741189956665,0.9794623851776123,0.03715420886874199,0.12050425261259079,0.7809445261955261,-0.048744022846221924,0.3461875319480896,0.512467622756958,-0.10361132025718689,0.4528120160102844,0.27195850014686584,-0.17402419447898865,0.38044485449790955,0.11115998774766922,-0.2355358749628067,0.1732254922389984,0.0623873732984066,0.037785403430461884,0.2710407078266144,-0.2986679971218109,-0.12169431895017624,0.3316630423069,-0.238056018948555,-0.269820898771286,0.3404618501663208,-0.12455715984106064,-0.3415803015232086,0.0,0.0,0.0,0.040996894240379333,-0.45593124628067017,-0.0681564137339592,0.030458802357316017,-0.7121896147727966,-0.16202442348003387,0.007552499417215586,-0.9236360788345337,-0.23413698375225067,-0.16871266067028046,0.020855039358139038,-0.06798780709505081,-0.14825677871704102,-0.3920717239379883,-0.12728352844715118,-0.15412017703056335,-0.6363597512245178,-0.19433636963367462,-0.16361621022224426,-0.8409125208854675,-0.24179813265800476,-0.33417022228240967,0.10822342336177826,-0.1512296199798584,-0.3288252055644989,-0.22392511367797852,-0.1781528890132904,-0.3118703365325928,-0.42638495564460754,-0.17636288702487946,-0.29181069135665894,-0.6071398854255676,-0.17684456706047058
4,-0.25162598490715027,0.9668856859207153,0.04261992126703262,0.07661893963813782,0.7845978140830994,-0.07353653758764267,0.322280615568161,0.5305748581886292,-0.16128236055374146,0.44678524136543274,0.2986113727092743,-0.2631163001060486,0.39274898171424866,0.1396581530570984,-0.3483634293079376,0.18297888338565826,0.0741802453994751,0.029070982709527016,0.27027463912963867,-0.25601983070373535,-0.16239126026630402,0.319879949092865,-0.24716876447200775,-0.3216632306575775,0.327832967042923,-0.181779146194458,-0.40292832255363464,0.0,0.0,0.0,0.01736702211201191,-0.4499599039554596,-0.10728737711906433,0.0028147457633167505,-0.7202603816986084,-0.19902649521827698,-0.03583048656582832,-0.9603332877159119,-0.2630229890346527,-0.1813841462135315,0.005880454555153847,-0.06774082779884338,-0.15952198207378387,-0.4114965498447418,-0.15875090658664703,-0.16309437155723572,-0.6595357060432434,-0.22164662182331085,-0.17303818464279175,-0.8821812868118286,-0.2593441605567932,-0.36934205889701843,0.08856133371591568,-0.153433695435524,-0.3498517870903015,-0.2453879863023758,-0.19497379660606384,-0.3266392946243286,-0.44646942615509033,-0.1981760859489441,-0.30869361758232117,-0.6276645660400391,-0.19949844479560852
5,-0.2635299563407898,0.9640284180641174,0.03465750813484192,0.06296639889478683,0.8138465881347656,-0.05577465891838074,0.3142605125904083,0.5456345677375793,-0.13147974014282227,0.42790687084198,0.31575772166252136,-0.2220143973827362,0.3818129003047943,0.12333919107913971,-0.2963975965976715,0.17143785953521729,0.07470446079969406,0.035291481763124466,0.2741723954677582,-0.2877798080444336,-0.1655004620552063,0.3302525579929352,-0.1711827516555786,-0.3378922641277313,0.34059709310531616,0.005094672553241253,-0.41641557216644287,0.0,0.0,0.0,0.0223933644592762,-0.4523041248321533,-0.07671456784009933,0.00236565456725657,-0.7239254117012024,-0.149069145321846,-0.041226062923669815,-0.9637430906295776,-0.20052358508110046,-0.18244966864585876,0.0127231664955616,-0.07370124757289886,-0.15546652674674988,-0.40797123312950134,-0.1274898797273636,-0.1626826673746109,-0.6695734858512878,-0.15773053467273712,-0.17869088053703308,-0.9029128551483154,-0.17816399037837982,-0.37531277537345886,0.09344648569822311,-0.1655188649892807,-0.3369067907333374,-0.23404788970947266,-0.18252842128276825,-0.32115501165390015,-0.4431351125240326,-0.15421470999717712,-0.31253817677497864,-0.6272425651550293,-0.1318514496088028
6,-0.20080146193504333,0.9781819581985474,0.053281158208847046,0.12876039743423462,0.7975798845291138,-0.03615942969918251,0.3462064862251282,0.5267506837844849,-0.09412328153848648,0.44900375604629517,0.2793556749820709,-0.16689661145210266,0.3977014124393463,0.10418438166379929,-0.23264014720916748,0.17158260941505432,0.06617824733257294,0.03987010940909386,0.27767476439476013,-0.2941138446331024,-0.11999023705720901,0.33319175243377686,-0.25894036889076233,-0.264688104391098,0.32976701855659485,-0.16727876663208008,-0.33450186252593994,0.0,0.0,0.0,0.04579176381230354,-0.483715683221817,-0.07395446300506592,0.02940044365823269,-0.7455368041992188,-0.1666892021894455,-0.005072764120995998,-0.9548782706260681,-0.23553085327148438,-0.16799458861351013,0.016963165253400803,-0.06990078091621399,-0.1468242108821869,-0.41663798689842224,-0.1358272284269333,-0.1578417718410492,-0.668178379535675,-0.20793087780475616,-0.17580796778202057,-0.87613844871521,-0.25746771693229675,-0.3364616334438324,0.10312466323375702,-0.1542624533176422,-0.32909777760505676,-0.2410418689250946,-0.1882389783859253,-0.3167370557785034,-0.4508602023124695,-0.19373275339603424,-0.30380189418792725,-0.6389694809913635,-0.19924446940422058
7,-0.23331162333488464,0.9716269373893738,0.03881718963384628,0.07508140057325363,0.7923121452331543,-0.09935591369867325,0.315378874540329,0.5349943041801453,-0.19723114371299744,0.44310900568962097,0.3077380955219269,-0.3061012327671051,0.36979833245277405,0.17408084869384766,-0.3913450539112091,0.18328849971294403,0.06187953054904938,0.009766098111867905,0.2693948447704315,-0.27900275588035583,-0.20158754289150238,0.31101348996162415,-0.14377933740615845,-0.36778751015663147,0.304193913936615,0.035950541496276855,-0.44473692774772644,0.0,0.0,0.0,0.0269037876278162,-0.4364597499370575,-0.10808608680963516,0.011417918838560581,-0.6821016669273376,-0.19177523255348206,-0.0245672557502985,-0.9113551378250122,-0.24815873801708221,-0.18057794868946075,0.016899360343813896,-0.05338538810610771,-0.14509916305541992,-0.38501858711242676,-0.13960398733615875,-0.13875707983970642,-0.6272408962249756,-0.193235844373703,-0.14171624183654785,-0.8508655428886414,-0.2224796861410141,-0.3630477488040924,0.10625458508729935,-0.12740157544612885,-0.33383920788764954,-0.21393375098705292,-0.1545625925064087,-0.30317139625549316,-0.40648576617240906,-0.14801502227783203,-0.2818290889263153,-0.583455502986908,-0.14231827855110168
