Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.650877833366394,0.6034467220306396,0.4606626629829407,-0.5675928592681885,0.1792808622121811,0.402695894241333,-0.3113417625427246,-0.31885406374931335,0.2650260925292969,-0.23552636802196503,-0.7367545962333679,0.14248116314411163,-0.37641847133636475,-1.0880746841430664,0.0035146514419466257,-0.09139993786811829,-0.34165069460868835,0.05304533243179321,0.5999858379364014,-0.33058592677116394,-0.15194487571716309,1.0080130100250244,-0.3045777380466461,-0.2842671275138855,1.3200207948684692,-0.27105432748794556,-0.37385040521621704,0.0,0.0,0.0,0.6951894164085388,0.017906155437231064,-0.22185516357421875,0.4589400887489319,0.10850618779659271,-0.24383671581745148,0.14592336118221283,0.13918419182300568,-0.23143865168094635,0.09584243595600128,0.35034534335136414,-0.03645320236682892,0.7132882475852966,0.3233746886253357,-0.2179400622844696,0.5082430839538574,0.4004487693309784,-0.13121753931045532,0.22808203101158142,0.4147403836250305,-0.04196051508188248,0.18359389901161194,0.672431468963623,-0.06893958896398544,0.6230509877204895,0.6019666194915771,-0.18555085361003876,0.43161892890930176,0.6596335172653198,-0.09773127734661102,0.20451265573501587,0.6874752044677734,-0.0093763442710042
2,-0.6465848088264465,0.6372811794281006,0.4192860424518585,-0.5603904724121094,0.21479438245296478,0.363741397857666,-0.29209578037261963,-0.32334527373313904,0.23958136141300201,-0.1939634382724762,-0.7309557199478149,0.1308491975069046,-0.31412842869758606,-1.07020902633667,0.012288767844438553,-0.08077140897512436,-0.34766554832458496,0.04871904477477074,0.5985532402992249,-0.33556556701660156,-0.14370663464069366,1.008205533027649,-0.2998226583003998,-0.2697570323944092,1.3183680772781372,-0.2600581645965576,-0.3564510643482208,0.0,0.0,0.0,0.7248707413673401,0.008037037216126919,-0.24429233372211456,0.4776230454444885,0.08417127281427383,-0.2752772867679596,0.14276249706745148,0.10517510771751404,-0.25373712182044983,0.09988769143819809,0.34284645318984985,-0.03148706257343292,0.7522587776184082,0.2981727719306946,-0.23050886392593384,0.5344681143760681,0.37916868925094604,-0.14365556836128235,0.22878506779670715,0.4005786180496216,-0.04061701521277428,0.2070138305425644,0.6602561473846436,-0.05979025736451149,0.6545369029045105,0.5680402517318726,-0.19107085466384888,0.44422975182533264,0.6383324265480042,-0.10847312957048416,0.19577182829380035,0.6775081753730774,-0.016032356768846512
3,-0.6727375984191895,0.6256204843521118,0.39499759674072266,-0.5520144701004028,0.19402578473091125,0.3524271547794342,-0.2744573950767517,-0.3132950961589813,0.23599404096603394,-0.1904596984386444,-0.7134115695953369,0.12879326939582825,-0.3177919089794159,-1.0392253398895264,0.008568260818719864,-0.07954706996679306,-0.3328031897544861,0.05820080637931824,0.5760037302970886,-0.32458388805389404,-0.1078094020485878,0.962273895740509,-0.2915315628051758,-0.21315138041973114,1.2597496509552002,-0.2542615532875061,-0.2885858714580536,0.0,0.0,0.0,0.6927506327629089,0.007957365363836288,-0.22314228117465973,0.47315260767936707,0.07967100292444229,-0.25120997428894043,0.1611982136964798,0.10174606740474701,-0.23407045006752014,0.0839579701423645,0.331627756357193,-0.03997419402003288,0.7051541209220886,0.2922287881374359,-0.21350151300430298,0.5157780051231384,0.3639008700847626,-0.12188390642404556,0.2352994978427887,0.38604500889778137,-0.023806342855095863,0.16752158105373383,0.6412370204925537,-0.07866385579109192,0.6064255833625793,0.5591955184936523,-0.18902361392974854,0.4237039387226105,0.6137393116950989,-0.10348545759916306,0.18768851459026337,0.6454020142555237,-0.014089886099100113
4,-0.826269268989563,0.447136253118515,0.34256136417388916,-0.7130165696144104,0.022614631801843643,0.3967665433883667,-0.4492877423763275,-0.42502889037132263,0.31526586413383484,-0.2659517228603363,-0.7991024851799011,0.23404935002326965,-0.3849237561225891,-1.1082872152328491,0.145782470703125,-0.10825806111097336,-0.3564215898513794,0.04503156244754791,0.5570651888847351,-0.3013021945953369,-0.1505059003829956,0.9556021690368652,-0.26905155181884766,-0.29910364747047424,1.2460263967514038,-0.20958858728408813,-0.38825541734695435,0.0,0.0,0.0,0.5119028687477112,0.045252565294504166,-0.12235608696937561,0.2870672643184662,0.057448241859674454,-0.08009616285562515,-0.010088158771395683,0.07152827829122543,-0.047638267278671265,0.07139832526445389,0.33023563027381897,-0.022589711472392082,0.4574466645717621,0.3115764260292053,-0.13899685442447662,0.2779485285282135,0.3536462187767029,-0.04704546928405762,0.017899954691529274,0.38314542174339294,0.027636948972940445,0.13461779057979584,0.6121630668640137,-0.02964162640273571,0.34145301580429077,0.5368230938911438,-0.07124754786491394,0.10602583736181259,0.5932042598724365,0.0347624346613884,-0.11004839837551117,0.6163979768753052,0.11955740302801132
5,-0.8469247221946716,0.4107643961906433,0.33762577176094055,-0.7189034223556519,0.02016986906528473,0.29267728328704834,-0.4459511339664459,-0.4012835919857025,0.18118897080421448,-0.27255532145500183,-0.756551206111908,0.076507568359375,-0.31789085268974304,-1.068711280822754,-0.03921893984079361,-0.0782758966088295,-0.29316195845603943,0.020200494676828384,0.53323894739151,-0.26853302121162415,-0.16188421845436096,0.9302844405174255,-0.23025158047676086,-0.28000083565711975,1.2145332098007202,-0.1895017921924591,-0.3516573905944824,0.0,0.0,0.0,0.4411429464817047,0.17852692306041718,-0.17922808229923248,0.22023017704486847,0.21713969111442566,-0.15525835752487183,-0.06426079571247101,0.17972704768180847,-0.10819467157125473,0.038162581622600555,0.31347647309303284,-0.010525799356400967,0.36535343527793884,0.42960259318351746,-0.18153446912765503,0.17437803745269775,0.47059887647628784,-0.1056784987449646,-0.07865161448717117,0.4400879740715027,-0.018544049933552742,0.06383879482746124,0.6062740087509155,-0.014922292903065681,0.24712228775024414,0.6292004585266113,-0.10916713625192642,0.017716024070978165,0.6643425226211548,-0.026738671585917473,-0.20330506563186646,0.6486172080039978,0.059702981263399124
6,-0.8439196348190308,0.4097006320953369,0.34633082151412964,-0.7295401096343994,0.020101971924304962,0.2784353792667389,-0.45112213492393494,-0.4185335636138916,0.16960911452770233,-0.28277674317359924,-0.7745886445045471,0.07789023220539093,-0.32268473505973816,-1.0833802223205566,-0.019752435386180878,-0.07849299162626266,-0.3142881989479065,0.009614387527108192,0.5321376323699951,-0.28548306226730347,-0.1756458282470703,0.9341249465942383,-0.24329206347465515,-0.29414546489715576,1.2251412868499756,-0.20417152345180511,-0.3664136230945587,0.0,0.0,0.0,0.46965962648391724,0.1415034830570221,-0.1990588903427124,0.23212985694408417,0.1854359209537506,-0.1910223513841629,-0.06941923499107361,0.16856488585472107,-0.14756232500076294,0.044012539088726044,0.3152552545070648,0.00040790127241052687,0.40644925832748413,0.4066016376018524,-0.18193575739860535,0.1954260766506195,0.4468016028404236,-0.10905784368515015,-0.06587861478328705,0.4302920401096344,-0.018190721049904823,0.0745048075914383,0.6065461039543152,0.00505423080176115,0.2823482155799866,0.6197492480278015,-0.10031363368034363,0.04245483875274658,0.6539759635925293,-0.01998838409781456,-0.16834308207035065,0.6430424451828003,0.0685792863368988
7,-0.7959422469139099,0.33690762519836426,0.5029604434967041,-0.7164456844329834,-0.10101046413183212,0.39085614681243896,-0.45176368951797485,-0.5358502268791199,0.2290065735578537,-0.32082706689834595,-0.9472211599349976,0.08386243879795074,-0.38238024711608887,-1.2891154289245605,-0.07469995319843292,-0.08714175224304199,-0.3418538272380829,0.030104687437415123,0.5650560855865479,-0.3120957016944885,-0.22974708676338196,0.9934052228927612,-0.2796515226364136,-0.41736871004104614,1.3117952346801758,-0.25393620133399963,-0.5508981943130493,0.0,0.0,0.0,0.22350674867630005,0.039351243525743484,-0.22214128077030182,-0.008220747113227844,0.10666996985673904,-0.23886021971702576,-0.20171359181404114,0.12530432641506195,-0.24762150645256042,-0.010528252460062504,0.36596378684043884,-0.02653602510690689,0.175748810172081,0.3834075331687927,-0.22751598060131073,0.016637910157442093,0.4209354519844055,-0.1612057089805603,-0.13518013060092926,0.4001235067844391,-0.10274515300989151,-0.04780459776520729,0.6776115298271179,-0.05175817012786865,0.08232191205024719,0.7019808888435364,-0.16075628995895386,-0.07591450214385986,0.7180221080780029,-0.06696394085884094,-0.2045854926109314,0.6830745935440063,0.010405492037534714
