Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.4067157804965973,0.9135333299636841,-0.0062539526261389256,0.0019450029358267784,0.8426964282989502,-0.12563331425189972,0.38995277881622314,0.46572718024253845,-0.12012819200754166,0.5632425546646118,0.12996725738048553,-0.12795424461364746,0.5273531079292297,-0.14923696219921112,-0.10998602211475372,0.23304347693920135,0.08213406801223755,-0.004626198671758175,0.30747464299201965,-0.08459825813770294,-0.18824444711208344,0.1850288212299347,0.21817243099212646,-0.2493736296892166,0.0944795235991478,0.4542934000492096,-0.21694621443748474,0.0,0.0,0.0,0.04846097156405449,-0.07938607037067413,-0.26098981499671936,-0.0704871192574501,0.3130451738834381,-0.32046952843666077,-0.14250008761882782,0.5887225866317749,-0.2619202733039856,-0.23729872703552246,-0.05247717350721359,-0.034052494913339615,-0.19142654538154602,-0.14002802968025208,-0.2932452857494354,-0.24800200760364532,0.2575308382511139,-0.312267005443573,-0.27888545393943787,0.5559508800506592,-0.2119395136833191,-0.47843506932258606,-0.09481046348810196,-0.07522646337747574,-0.37937498092651367,-0.48899710178375244,-0.19954177737236023,-0.3187808692455292,-0.7411043643951416,-0.22530977427959442,-0.24280308187007904,-0.9631210565567017,-0.18949095904827118
2,0.22705823183059692,0.973344624042511,0.03232268616557121,-0.16509871184825897,0.8279616236686707,-0.13539160788059235,-0.49410581588745117,0.42432913184165955,-0.1725635528564453,-0.6147893071174622,0.08306991308927536,-0.21764622628688812,-0.6076494455337524,-0.17043490707874298,-0.2241523265838623,-0.24529965221881866,0.021933382377028465,-0.0007233192445710301,-0.35230565071105957,-0.11441109329462051,-0.2558722198009491,-0.26276057958602905,0.22096675634384155,-0.3807380497455597,-0.15303272008895874,0.4903520941734314,-0.4001220166683197,0.0,0.0,0.0,-0.10033337026834488,-0.1143556460738182,-0.3341885805130005,-0.021189114078879356,0.3393307626247406,-0.4489302635192871,0.05574245750904083,0.5934591293334961,-0.4351028800010681,0.21370398998260498,-0.031282056123018265,-0.04896192252635956,0.08372443914413452,-0.14378400146961212,-0.39398130774497986,0.12662895023822784,0.2710157632827759,-0.47719424962997437,0.1572197675704956,0.5339254140853882,-0.414847731590271,0.40534254908561707,-0.058195002377033234,-0.10776671022176743,0.27933594584465027,-0.48478132486343384,-0.3277868926525116,0.22337523102760315,-0.7310461401939392,-0.4221547842025757,0.18191327154636383,-0.9701765179634094,-0.4330989420413971
3,-0.335206001996994,0.9413255453109741,0.03928275406360626,0.020606283098459244,0.7981059551239014,-0.09087413549423218,0.3834798038005829,0.4548850655555725,-0.1428995281457901,0.5723792314529419,0.13448596000671387,-0.20943348109722137,0.5578005909919739,-0.13141106069087982,-0.25257620215415955,0.20610615611076355,0.08243813365697861,0.002907980466261506,0.29513001441955566,-0.10874170064926147,-0.18368938565254211,0.1790744662284851,0.16450870037078857,-0.29056093096733093,0.06427037715911865,0.41135701537132263,-0.3126683235168457,0.0,0.0,0.0,0.06971106678247452,-0.08920300751924515,-0.24434563517570496,-0.05392628535628319,0.2677175998687744,-0.34739813208580017,-0.13504931330680847,0.523881196975708,-0.34839707612991333,-0.208196759223938,-0.038591168820858,-0.031644418835639954,-0.15320539474487305,-0.14490669965744019,-0.25727027654647827,-0.21460777521133423,0.19422733783721924,-0.2936539053916931,-0.25368279218673706,0.43981561064720154,-0.2322240024805069,-0.4209955334663391,-0.06477517634630203,-0.07258723676204681,-0.29861271381378174,-0.4656635820865631,-0.1671595424413681,-0.2354464828968048,-0.7001902461051941,-0.17342659831047058,-0.18000300228595734,-0.9130577445030212,-0.13763673603534698
4,0.295031875371933,0.9548674821853638,0.034413207322359085,-0.08556815981864929,0.795029878616333,-0.14267201721668243,-0.43405136466026306,0.42175060510635376,-0.20035728812217712,-0.6081113815307617,0.083468496799469,-0.26231127977371216,-0.5676401853561401,-0.16697348654270172,-0.2824840247631073,-0.24722522497177124,0.0284988172352314,-0.010503307916224003,-0.31608766317367554,-0.1091693863272667,-0.26657161116600037,-0.19797365367412567,0.20785881578922272,-0.3866848647594452,-0.07479549944400787,0.4421500563621521,-0.4020061492919922,0.0,0.0,0.0,-0.06624484062194824,-0.11225248128175735,-0.32513558864593506,0.046553388237953186,0.3170839846134186,-0.43051087856292725,0.13152094185352325,0.5357097387313843,-0.4141002297401428,0.21114778518676758,-0.03745361045002937,-0.037843007594347,0.12503954768180847,-0.16426125168800354,-0.3747580647468567,0.19437013566493988,0.23723387718200684,-0.437819242477417,0.22584857046604156,0.480793833732605,-0.3636501431465149,0.39485639333724976,-0.07162220031023026,-0.08547622710466385,0.27874556183815,-0.4905514419078827,-0.2899776101112366,0.23409749567508698,-0.7354202270507812,-0.3661960959434509,0.19578300416469574,-0.9898398518562317,-0.36540186405181885
5,-0.2845017611980438,0.9576181769371033,0.045012399554252625,0.06886948645114899,0.7967959046363831,-0.09490823745727539,0.4123726785182953,0.4436136484146118,-0.15667936205863953,0.5656763315200806,0.12049020081758499,-0.23302431404590607,0.5446774363517761,-0.14238305389881134,-0.28787341713905334,0.20277602970600128,0.06835517287254333,0.0011803869856521487,0.2770298421382904,-0.08535294234752655,-0.19986999034881592,0.16773590445518494,0.20002815127372742,-0.3168131411075592,0.061159610748291016,0.44472286105155945,-0.3436056971549988,0.0,0.0,0.0,0.06933440268039703,-0.07597237080335617,-0.2635027766227722,-0.05338137596845627,0.29899001121520996,-0.37984779477119446,-0.1386656016111374,0.5564349293708801,-0.38695549964904785,-0.1977963149547577,-0.025373196229338646,-0.030852410942316055,-0.1445252001285553,-0.11986452341079712,-0.28741487860679626,-0.20253731310367584,0.23494546115398407,-0.3437657654285431,-0.24387146532535553,0.4836578071117401,-0.28713178634643555,-0.4038679599761963,-0.038653649389743805,-0.068820059299469,-0.29633647203445435,-0.45083820819854736,-0.1835087537765503,-0.23575419187545776,-0.6876510381698608,-0.20175981521606445,-0.18244028091430664,-0.9001253247261047,-0.1702197641134262
6,-0.3443586528301239,0.9387889504432678,0.00961256306618452,0.048798464238643646,0.7979660034179688,-0.1513611376285553,0.40812262892723083,0.4308585822582245,-0.20228128135204315,0.5862662196159363,0.09105360507965088,-0.2664400637149811,0.5492176413536072,-0.1701010763645172,-0.2913076877593994,0.23691581189632416,0.037290483713150024,-0.0024448984768241644,0.312081903219223,-0.12215191125869751,-0.25288891792297363,0.19333325326442719,0.1848001480102539,-0.37107378244400024,0.07461365312337875,0.4221538007259369,-0.3821106255054474,0.0,0.0,0.0,0.06407526880502701,-0.1211739331483841,-0.3251771926879883,-0.057848986238241196,0.30375465750694275,-0.4380694329738617,-0.139725461602211,0.5300770998001099,-0.42309507727622986,-0.21063381433486938,-0.04534710943698883,-0.04533301666378975,-0.13687734305858612,-0.17230607569217682,-0.37811094522476196,-0.20898137986660004,0.22992344200611115,-0.4500562250614166,-0.23665064573287964,0.4794919192790985,-0.3794478178024292,-0.4009220004081726,-0.09102731943130493,-0.09938449412584305,-0.29535937309265137,-0.5108553767204285,-0.2945888638496399,-0.25511661171913147,-0.7617117166519165,-0.3714635670185089,-0.21232914924621582,-1.0107402801513672,-0.37071192264556885
7,-0.3979088068008423,0.9134745597839355,-0.08504581451416016,-0.006918355822563171,0.765018880367279,-0.22304369509220123,0.3305932283401489,0.4180477261543274,-0.26965948939323425,0.4820288419723511,0.079627126455307,-0.33928412199020386,0.44781067967414856,-0.22139745950698853,-0.37814924120903015,0.22535334527492523,0.06180647388100624,-0.008548240177333355,0.22039258480072021,-0.10864023864269257,-0.23427683115005493,0.09180539846420288,0.1563921421766281,-0.35587820410728455,-0.00168608536478132,0.39009517431259155,-0.3642216920852661,0.0,0.0,0.0,-0.048585619777441025,-0.09036827832460403,-0.28581103682518005,-0.15305660665035248,0.25983306765556335,-0.3964286148548126,-0.19094280898571014,0.524133563041687,-0.37597355246543884,-0.21895839273929596,-0.0318688228726387,-0.037473466247320175,-0.26729199290275574,-0.12423275411128998,-0.3296666145324707,-0.3126956522464752,0.21537095308303833,-0.3799746334552765,-0.31542569398880005,0.48154205083847046,-0.29274797439575195,-0.4165457487106323,-0.059627145528793335,-0.08053016662597656,-0.3754470944404602,-0.437562495470047,-0.20175351202487946,-0.3481971323490143,-0.6854497194290161,-0.21617209911346436,-0.31210702657699585,-0.8989577889442444,-0.16891193389892578
