Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.625319242477417,0.7746871709823608,0.09399799257516861,-0.4736608564853668,0.40571075677871704,0.1642313003540039,-0.16787587106227875,0.053108617663383484,0.1601363718509674,0.18065397441387177,-0.1340847909450531,0.13007938861846924,0.3850978910923004,-0.2568458914756775,0.12432548403739929,-0.08330842107534409,-0.18084636330604553,0.09290987253189087,0.4228392541408539,-0.049659550189971924,0.004955574404448271,0.3027472496032715,0.11503317952156067,-0.02697145938873291,0.13779368996620178,0.1437786966562271,-0.03768494725227356,0.0,0.0,0.0,0.4685293436050415,0.13110797107219696,-0.07546860724687576,0.3453890383243561,0.27851423621177673,-0.08142387121915817,0.19033950567245483,0.28295406699180603,-0.08121449500322342,0.08485628664493561,0.23439988493919373,-0.09014961123466492,0.5185167193412781,0.30145058035850525,-0.14838404953479767,0.4100603461265564,0.4373193681240082,-0.08760018646717072,0.2609739899635315,0.4529326260089874,-0.041593823581933975,0.16903817653656006,0.48524484038352966,-0.17635366320610046,0.6392089128494263,0.39254051446914673,-0.21158939599990845,0.9142186045646667,0.3545699119567871,-0.18191228806972504,1.1438654661178589,0.292412668466568,-0.1558062881231308
2,-0.623040497303009,0.7762538194656372,0.09617958217859268,-0.49924883246421814,0.4303129017353058,0.1678103357553482,-0.1904323250055313,0.07458600401878357,0.1707875281572342,0.14317375421524048,-0.12844522297382355,0.15222615003585815,0.3370114862918854,-0.2669060528278351,0.1590505838394165,-0.08111593127250671,-0.1705932915210724,0.0885380282998085,0.3942163586616516,-0.07341025769710541,0.0033460462000221014,0.2727384567260742,0.10256330668926239,-0.029021918773651123,0.10750478506088257,0.13244839012622833,-0.04244605824351311,0.0,0.0,0.0,0.4488075375556946,0.12182887643575668,-0.06518791615962982,0.32334616780281067,0.2749236226081848,-0.06389623135328293,0.17359419167041779,0.26307213306427,-0.0659845843911171,0.08562112599611282,0.22794581949710846,-0.08629617840051651,0.4970278739929199,0.3040439188480377,-0.13827884197235107,0.38498806953430176,0.4351901113986969,-0.07138002663850784,0.23302319645881653,0.43963703513145447,-0.026555022224783897,0.16795103251934052,0.46808603405952454,-0.16830819845199585,0.6230340003967285,0.38516703248023987,-0.20623445510864258,0.8828724026679993,0.345176100730896,-0.1768365502357483,1.098122000694275,0.276894748210907,-0.15150140225887299
3,-0.6173027157783508,0.7813991904258728,0.0913926437497139,-0.4907267093658447,0.4258577525615692,0.17118209600448608,-0.18678203225135803,0.07118889689445496,0.1735248565673828,0.14274023473262787,-0.13157673180103302,0.15302355587482452,0.32877638936042786,-0.2807033658027649,0.1557321697473526,-0.08227800577878952,-0.17146334052085876,0.09136193990707397,0.38443925976753235,-0.06913405656814575,0.013162881135940552,0.27557215094566345,0.10230910778045654,-0.01483710017055273,0.12036547809839249,0.1478792428970337,-0.02464614436030388,0.0,0.0,0.0,0.4458976089954376,0.12304752320051193,-0.06080804765224457,0.3278144598007202,0.270047664642334,-0.05846533924341202,0.17731918394565582,0.2702135741710663,-0.058521464467048645,0.08615067601203918,0.22636061906814575,-0.0875532478094101,0.5003750920295715,0.29432928562164307,-0.1368897408246994,0.3988784849643707,0.4213886260986328,-0.07202429324388504,0.25450488924980164,0.430594265460968,-0.027172047644853592,0.16536003351211548,0.4629829227924347,-0.16935095191001892,0.6087691187858582,0.3767676055431366,-0.20043513178825378,0.862236738204956,0.33485355973243713,-0.16678296029567719,1.0712391138076782,0.26329171657562256,-0.13862688839435577
4,-0.506313145160675,0.8528086543083191,0.12792319059371948,-0.40926098823547363,0.4761870801448822,0.2061888575553894,-0.15796823799610138,0.07561036944389343,0.2077733427286148,0.1831008791923523,-0.1564071923494339,0.18893039226531982,0.3469316363334656,-0.3241538405418396,0.19194212555885315,-0.09826362878084183,-0.16844533383846283,0.08791794627904892,0.42189866304397583,-0.09835314750671387,0.007612011861056089,0.34169358015060425,0.09732609987258911,-0.001704941620118916,0.18783584237098694,0.15112344920635223,0.0061825942248106,0.0,0.0,0.0,0.5055384635925293,0.07586273550987244,-0.06792992353439331,0.41179850697517395,0.256216436624527,-0.04655365273356438,0.26554545760154724,0.27866336703300476,-0.026921754702925682,0.10674922913312912,0.2219114452600479,-0.08355091512203217,0.5805870294570923,0.23974798619747162,-0.13932369649410248,0.5047004222869873,0.38415321707725525,-0.07227714359760284,0.36407026648521423,0.40894728899002075,-0.020119154825806618,0.22379912436008453,0.45705530047416687,-0.1594642698764801,0.6774061918258667,0.27951738238334656,-0.2035757154226303,0.9268315434455872,0.1954573094844818,-0.18219776451587677,1.1304795742034912,0.09512433409690857,-0.15972940623760223
5,-0.5125458836555481,0.8522943258285522,0.1043606624007225,-0.3989112675189972,0.4873696267604828,0.24546697735786438,-0.16962625086307526,0.11120737344026566,0.2748185098171234,0.13100653886795044,-0.12239950150251389,0.27330225706100464,0.30786797404289246,-0.26780766248703003,0.28854724764823914,-0.10529012978076935,-0.145277202129364,0.11674509942531586,0.3873598575592041,-0.10117317736148834,0.07524164766073227,0.30510807037353516,0.09693584591150284,0.08189640939235687,0.15169884264469147,0.158985897898674,0.08761530369520187,0.0,0.0,0.0,0.469424843788147,0.08332184702157974,-0.026735050603747368,0.36949649453163147,0.26141563057899475,-0.0020040147937834263,0.2212582230567932,0.27849650382995605,0.0034566393587738276,0.11434976756572723,0.21004047989845276,-0.10388423502445221,0.5433995723724365,0.24973510205745697,-0.12988971173763275,0.44723883271217346,0.3977234959602356,-0.058449674397706985,0.2956261932849884,0.417623370885849,-0.01815279945731163,0.23027171194553375,0.44032803177833557,-0.1951953023672104,0.6687124967575073,0.27861496806144714,-0.22556065022945404,0.9116902947425842,0.20565252006053925,-0.1929628551006317,1.1078885793685913,0.11002492159605026,-0.16852599382400513
6,-0.5002724528312683,0.8546326160430908,0.1390344351530075,-0.38034191727638245,0.48273178935050964,0.2922217547893524,-0.14486762881278992,0.10996529459953308,0.3205431401729584,0.16430255770683289,-0.12489381432533264,0.3180318772792816,0.3121047616004944,-0.27810394763946533,0.3305624723434448,-0.09789051115512848,-0.15185993909835815,0.12250834703445435,0.400023490190506,-0.12405885756015778,0.0805848240852356,0.32553938031196594,0.08031348139047623,0.09166587889194489,0.1797160506248474,0.1479448527097702,0.09922465682029724,0.0,0.0,0.0,0.48064106702804565,0.06691332906484604,-0.028211457654833794,0.38618993759155273,0.24745093286037445,0.0033332870807498693,0.2399614155292511,0.2681352496147156,0.011235048063099384,0.10948081314563751,0.21392595767974854,-0.10580434650182724,0.5485244393348694,0.23842230439186096,-0.1272636204957962,0.45819732546806335,0.3781665861606598,-0.04943597689270973,0.30810365080833435,0.3979216516017914,-0.008498641662299633,0.22365343570709229,0.4442213475704193,-0.19771645963191986,0.6695164442062378,0.2777855396270752,-0.228779599070549,0.9158437848091125,0.1987551748752594,-0.19760757684707642,1.1136847734451294,0.09873003512620926,-0.17641693353652954
7,-0.4718681573867798,0.872696578502655,0.12546341121196747,-0.3859739601612091,0.5018882155418396,0.22439633309841156,-0.16021031141281128,0.09473478049039841,0.23658038675785065,0.14827074110507965,-0.1759587526321411,0.22765548527240753,0.29123565554618835,-0.3632989525794983,0.24125157296657562,-0.1153712272644043,-0.15708577632904053,0.09739430993795395,0.39949914813041687,-0.12805311381816864,0.0377943217754364,0.3205299973487854,0.06836364418268204,0.04128757491707802,0.17003357410430908,0.13545534014701843,0.04806990921497345,0.0,0.0,0.0,0.4910416901111603,0.06521879881620407,-0.04446323961019516,0.401779443025589,0.24014635384082794,-0.01792312227189541,0.2633727788925171,0.2649018168449402,-0.008007293567061424,0.12563244998455048,0.2140892744064331,-0.0890672579407692,0.5780408978462219,0.2357761263847351,-0.13007856905460358,0.4987534284591675,0.37420225143432617,-0.05849083513021469,0.35689643025398254,0.39340656995773315,-0.01573740318417549,0.2548016905784607,0.4402499198913574,-0.16868793964385986,0.700502336025238,0.283515602350235,-0.2077270746231079,0.9424771666526794,0.20337097346782684,-0.1812661588191986,1.138707160949707,0.09417726844549179,-0.1609637439250946
