Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.5694067478179932,0.8173097968101501,0.08820793777704239,-0.22607673704624176,0.8077499270439148,-0.13822229206562042,0.01825966313481331,0.3636941909790039,-0.16905491054058075,-0.17553052306175232,-0.0415521115064621,-0.15594367682933807,-0.3617481291294098,-0.30752667784690857,-0.11628202348947525,0.256011426448822,0.13883082568645477,-0.04844370484352112,0.3120589554309845,-0.16002246737480164,-0.1946677714586258,0.08020835369825363,0.018131118267774582,-0.2678849399089813,-0.08077680319547653,0.2411370575428009,-0.2975541651248932,0.0,0.0,0.0,0.09752919524908066,-0.3549615442752838,-0.17190954089164734,-0.12806273996829987,-0.10952167212963104,-0.2255689650774002,-0.24162565171718597,0.15564773976802826,-0.209991917014122,-0.2631742060184479,-0.05871560797095299,0.017604434862732887,-0.16884736716747284,-0.4947454333305359,-0.21894384920597076,-0.3036644756793976,-0.20542532205581665,-0.24102146923542023,-0.37852707505226135,0.061017632484436035,-0.19574925303459167,-0.5653619766235352,-0.028602341189980507,0.02781529910862446,-0.5156224966049194,-0.17501024901866913,-0.24501033127307892,-0.5343828201293945,0.12787877023220062,-0.2855304777622223,-0.5313349962234497,0.38657137751579285,-0.2520737051963806
2,-0.07613830268383026,0.978253185749054,0.19293439388275146,0.22900427877902985,0.859437108039856,-0.025395167991518974,0.43828490376472473,0.5470908284187317,-0.15982948243618011,0.4184255003929138,0.3127574026584625,-0.2898120582103729,0.24200572073459625,0.21755804121494293,-0.3967527449131012,0.26617497205734253,0.0742584764957428,0.013472018763422966,0.34130507707595825,-0.20285139977931976,-0.23223447799682617,0.2125672698020935,0.08324513584375381,-0.39044129848480225,0.05032268539071083,0.3150080442428589,-0.486761212348938,0.0,0.0,0.0,0.06435460597276688,-0.3954707980155945,-0.32000765204429626,-0.05408906191587448,0.03237270563840866,-0.4553561508655548,-0.14904524385929108,0.3484235405921936,-0.4886244833469391,-0.24903061985969543,0.0029898807406425476,-0.04713679850101471,-0.1920330673456192,-0.3305389881134033,-0.37250593304634094,-0.29031211137771606,0.07233405858278275,-0.4302712380886078,-0.3345028758049011,0.37171393632888794,-0.396504670381546,-0.4834041893482208,0.09356658160686493,-0.11022790521383286,-0.4509493410587311,-0.07399823516607285,-0.36612939834594727,-0.4719296395778656,0.20163466036319733,-0.41539278626441956,-0.48344293236732483,0.43875816464424133,-0.4009343385696411
3,-0.5001126527786255,0.8621954321861267,0.08066213130950928,-0.16095274686813354,0.7548466324806213,-0.07771238684654236,-0.01116988155990839,0.3408907353878021,-0.13220922648906708,-0.17808084189891815,0.014706878922879696,-0.1667584627866745,-0.3989388942718506,-0.21136359870433807,-0.18076428771018982,0.24225036799907684,0.11636217683553696,-0.010306376032531261,0.26211726665496826,-0.13664379715919495,-0.16828863322734833,0.04325080290436745,0.03357476368546486,-0.2683468163013458,-0.11958276480436325,0.24481554329395294,-0.31668534874916077,0.0,0.0,0.0,0.07444005459547043,-0.3323073387145996,-0.1829884946346283,-0.11419546604156494,-0.08995538204908371,-0.2669055163860321,-0.2426430881023407,0.16996349394321442,-0.28139930963516235,-0.26184165477752686,-0.03974004089832306,-0.014572713524103165,-0.1916951835155487,-0.41255444288253784,-0.21871742606163025,-0.2963283658027649,-0.15208877623081207,-0.2562124729156494,-0.3475319743156433,0.09712836146354675,-0.23856176435947418,-0.5076618194580078,-0.0003213629242964089,-0.03895653039216995,-0.47518396377563477,-0.1089513897895813,-0.2470945417881012,-0.5005611777305603,0.16555258631706238,-0.2878056466579437,-0.5130130648612976,0.38944822549819946,-0.2784270644187927
4,-0.5450267791748047,0.8382235169410706,0.01808735355734825,-0.2396286427974701,0.704581081867218,-0.11516276001930237,-0.0948961079120636,0.28918835520744324,-0.17107276618480682,-0.2843228876590729,-0.07611927390098572,-0.2151438295841217,-0.42172709107398987,-0.347263365983963,-0.24072469770908356,0.21327027678489685,0.10762973129749298,0.0004897164762951434,0.2009981870651245,-0.16964252293109894,-0.14654965698719025,0.00477945851162076,0.012125887908041477,-0.2673981487751007,-0.13860639929771423,0.21777936816215515,-0.3302886188030243,0.0,0.0,0.0,0.06902703642845154,-0.31366923451423645,-0.1601714938879013,-0.12625233829021454,-0.05726691707968712,-0.25618118047714233,-0.26476529240608215,0.19357743859291077,-0.2766228914260864,-0.24547721445560455,-0.04932413622736931,-0.027739884331822395,-0.15951579809188843,-0.4102810323238373,-0.18196238577365875,-0.27443042397499084,-0.18658192455768585,-0.23333486914634705,-0.3358573913574219,0.04911632835865021,-0.23413336277008057,-0.49068590998649597,-0.036185652017593384,-0.06464864313602448,-0.43585172295570374,-0.07562986761331558,-0.21054546535015106,-0.46511054039001465,0.1818307489156723,-0.2465958446264267,-0.4554869830608368,0.38617634773254395,-0.2433878630399704
5,-0.05328147113323212,0.9960566759109497,0.07093746215105057,0.10027891397476196,0.7544975280761719,-0.07187793403863907,0.2839148938655853,0.4169483184814453,-0.15549305081367493,0.26615583896636963,0.12793245911598206,-0.24980932474136353,0.10383645445108414,-0.04823083057999611,-0.3242380917072296,0.13153494894504547,0.04395110160112381,0.022645805031061172,0.2687601149082184,-0.292144238948822,-0.2283417135477066,0.1850743144750595,-0.015764446929097176,-0.40046557784080505,0.09506810456514359,0.2522643506526947,-0.4803755581378937,0.0,0.0,0.0,0.1259855031967163,-0.4260838031768799,-0.2634910047054291,0.03380437567830086,-0.07508944720029831,-0.38312166929244995,-0.031253401190042496,0.2142561674118042,-0.40543222427368164,-0.09606395661830902,0.015847573056817055,-0.05928175151348114,0.03979902341961861,-0.3419130742549896,-0.2975669205188751,-0.03874804079532623,-0.0037539959885179996,-0.3471943438053131,-0.09353726357221603,0.26637759804725647,-0.3196418285369873,-0.1622619777917862,0.10431970655918121,-0.13158224523067474,-0.07407529652118683,-0.10072620213031769,-0.2838272452354431,-0.1243516057729721,0.12996222078800201,-0.3109028935432434,-0.16935579478740692,0.32871684432029724,-0.2941184937953949
6,-0.45985519886016846,0.8707485198974609,0.17415568232536316,-0.1207944005727768,0.8466081023216248,0.010149054229259491,0.09128264337778091,0.4390033185482025,-0.059364330023527145,-0.01150031853467226,0.12906399369239807,-0.10050670802593231,-0.19952668249607086,-0.10735882818698883,-0.1219940185546875,0.2641102075576782,0.1334650069475174,-0.00846837554126978,0.29031994938850403,-0.13463404774665833,-0.18214769661426544,0.12940114736557007,0.0924951434135437,-0.2642459571361542,0.006398571655154228,0.3639780879020691,-0.2907674014568329,0.0,0.0,0.0,0.061600521206855774,-0.27733534574508667,-0.1899101883172989,-0.08868387341499329,0.047004956752061844,-0.23554913699626923,-0.18563883006572723,0.3459576666355133,-0.22197473049163818,-0.2967352867126465,-0.03538753092288971,-0.015533634461462498,-0.2372942417860031,-0.3774700462818146,-0.22877763211727142,-0.32147565484046936,-0.062370602041482925,-0.21674729883670807,-0.3509611487388611,0.22947710752487183,-0.1668364405632019,-0.5848079323768616,0.002316409721970558,-0.03715576231479645,-0.5481922626495361,-0.08492795377969742,-0.25380557775497437,-0.5674788355827332,0.23657333850860596,-0.2555893361568451,-0.5568066239356995,0.4995886981487274,-0.21524229645729065
7,0.1572873890399933,0.9875213503837585,0.00788797251880169,-0.04007784649729729,0.7086732983589172,-0.11892091482877731,-0.263630747795105,0.37253960967063904,-0.18770435452461243,-0.2812814712524414,0.12561099231243134,-0.2735055387020111,-0.16913820803165436,-0.07413103431463242,-0.34200602769851685,-0.11971384286880493,0.035049919039011,0.02419368363916874,-0.24732917547225952,-0.23087842762470245,-0.20854301750659943,-0.14388586580753326,0.03642702102661133,-0.3801971971988678,-0.022378146648406982,0.28042730689048767,-0.464400976896286,0.0,0.0,0.0,-0.14343318343162537,-0.3488844335079193,-0.2578656077384949,-0.023894814774394035,0.012475731782615185,-0.3855910301208496,0.0677996501326561,0.2917996942996979,-0.41592904925346375,0.0751619040966034,0.017778409644961357,-0.06200109422206879,-0.07681587338447571,-0.2962598204612732,-0.30169451236724854,0.01501618605107069,0.04842202365398407,-0.34943556785583496,0.07470729947090149,0.32175305485725403,-0.316723495721817,0.11347952485084534,0.10131646692752838,-0.13620465993881226,0.0011132721556350589,-0.10781142860651016,-0.288271963596344,0.06288068741559982,0.1251758635044098,-0.3093883991241455,0.11361672729253769,0.3321569263935089,-0.2869601547718048
