Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.40269795060157776,0.9089087843894958,0.10825508087873459,-0.11630035191774368,0.8639808297157288,-0.05167228728532791,0.13544102013111115,0.5386560559272766,-0.09855770319700241,0.03041767328977585,0.24739079177379608,-0.12977872788906097,-0.09825141727924347,0.042783722281455994,-0.13554874062538147,0.254680871963501,0.14216245710849762,-0.0038278885185718536,0.29810792207717896,-0.04017333313822746,-0.20318655669689178,0.13835357129573822,0.12319174408912659,-0.29773661494255066,-0.009827871806919575,0.32528364658355713,-0.3189094364643097,0.0,0.0,0.0,0.0998842716217041,-0.2653751075267792,-0.2216404229402542,0.002422376535832882,-0.10106854885816574,-0.2863761782646179,-0.06935405731201172,0.127004474401474,-0.2518652677536011,-0.2823602557182312,-0.05113692581653595,-0.02503017522394657,-0.2931518852710724,-0.03937153145670891,-0.26588118076324463,-0.31062155961990356,0.34114205837249756,-0.2832085192203522,-0.2700151205062866,0.6237726211547852,-0.20766156911849976,-0.5646411776542664,-0.009612267836928368,-0.060212332755327225,-0.5208572149276733,0.13824021816253662,-0.2587137520313263,-0.4686278998851776,0.4283904433250427,-0.27912768721580505,-0.38261547684669495,0.6151441335678101,-0.22706760466098785
2,-0.42863237857818604,0.9021657705307007,0.04869566112756729,-0.12917856872081757,0.775722324848175,-0.14356674253940582,0.0718216523528099,0.3379822075366974,-0.19390858709812164,-0.08550623059272766,-0.059594910591840744,-0.22742556035518646,-0.18443536758422852,-0.3514634370803833,-0.2277524769306183,0.25234463810920715,0.10203679651021957,-0.006425387226045132,0.26325157284736633,-0.08181072771549225,-0.2505422830581665,0.07631905376911163,0.12381623685359955,-0.3825153708457947,-0.05297320708632469,0.3346746265888214,-0.4230503439903259,0.0,0.0,0.0,0.07750125229358673,-0.3083418309688568,-0.281203955411911,-0.03952513635158539,-0.11661462485790253,-0.37705108523368835,-0.09927579760551453,0.1322125345468521,-0.34884220361709595,-0.2655565142631531,-0.04081575199961662,-0.0366324707865715,-0.30381566286087036,-0.017817271873354912,-0.3500548005104065,-0.32451143860816956,0.3715039789676666,-0.39266711473464966,-0.27502530813217163,0.6454017758369446,-0.31060415506362915,-0.5245720148086548,-0.02656746655702591,-0.08460336923599243,-0.5003947019577026,0.12043995410203934,-0.3130156397819519,-0.46893972158432007,0.42410144209861755,-0.34358450770378113,-0.3870467245578766,0.5941082239151001,-0.2943952679634094
3,-0.3756660223007202,0.9106068015098572,0.17225061357021332,-0.08367841690778732,0.8773975968360901,-0.01857813075184822,0.16550180315971375,0.5561191439628601,-0.10311105102300644,-0.012635555118322372,0.30192452669143677,-0.16781651973724365,-0.22183102369308472,0.1589183211326599,-0.2091722935438156,0.2862055003643036,0.13813963532447815,-0.0009797192178666592,0.3259812295436859,-0.044267524033784866,-0.22873833775520325,0.16991014778614044,0.15506960451602936,-0.33832085132598877,0.023358264937996864,0.37168577313423157,-0.3664228320121765,0.0,0.0,0.0,0.11656079441308975,-0.2871810793876648,-0.24721857905387878,0.04469297453761101,-0.10356704145669937,-0.3203484117984772,-0.021378234028816223,0.11776501685380936,-0.28931379318237305,-0.3124851584434509,-0.03770074248313904,-0.028785383328795433,-0.31182631850242615,-0.08974547684192657,-0.301529198884964,-0.3229198157787323,0.33956775069236755,-0.3204859495162964,-0.2904081642627716,0.6477460265159607,-0.24016723036766052,-0.6219923496246338,0.030653279274702072,-0.06634471565485,-0.5506846308708191,0.12231292575597763,-0.29071253538131714,-0.47204017639160156,0.44780126214027405,-0.30121827125549316,-0.37976711988449097,0.6568599343299866,-0.23853681981563568
4,-0.3813692331314087,0.9215414524078369,0.0729307010769844,-0.0647195428609848,0.7444262504577637,-0.12595336139202118,0.09600096940994263,0.3368806838989258,-0.21047399938106537,-0.027962351217865944,-0.0427953265607357,-0.2822094261646271,-0.12416483461856842,-0.3304058313369751,-0.3197740316390991,0.24512700736522675,0.07289322465658188,-0.0011521241394802928,0.30820605158805847,-0.06022851914167404,-0.2891197204589844,0.15690967440605164,0.16935241222381592,-0.46352365612983704,0.030314642935991287,0.3923516869544983,-0.5310012102127075,0.0,0.0,0.0,0.1106969565153122,-0.2641347050666809,-0.32344481348991394,0.007642591837793589,0.00758930342271924,-0.43652108311653137,-0.05733872577548027,0.30291983485221863,-0.41628897190093994,-0.24417176842689514,-0.019959714263677597,-0.044574808329343796,-0.20990359783172607,-0.0069420430809259415,-0.359720379114151,-0.22218959033489227,0.34492743015289307,-0.38567671179771423,-0.2038901448249817,0.5866989493370056,-0.2985042929649353,-0.47377729415893555,0.005641830153763294,-0.10537656396627426,-0.40058425068855286,0.1473904401063919,-0.3146818280220032,-0.3648283779621124,0.41678979992866516,-0.3315606415271759,-0.3046211302280426,0.558836817741394,-0.277946799993515
5,-0.36443063616752625,0.9210242629051208,0.13749408721923828,-0.08066370338201523,0.9095437526702881,-0.06512736529111862,0.20493249595165253,0.6003061532974243,-0.1359338015317917,0.1739899218082428,0.3217349648475647,-0.18322846293449402,0.07058373838663101,0.12152501940727234,-0.19789282977581024,0.25803643465042114,0.12812013924121857,-0.014334593899548054,0.3571503162384033,-0.05148284137248993,-0.2583887577056885,0.2147482931613922,0.18846310675144196,-0.3638650178909302,0.085136279463768,0.43042540550231934,-0.38121119141578674,0.0,0.0,0.0,0.1170286163687706,-0.2653926908969879,-0.2824922502040863,0.02349923551082611,0.037276677787303925,-0.3529960811138153,-0.033030975610017776,0.32591989636421204,-0.3039723038673401,-0.2846405804157257,-0.02598872408270836,-0.02038506604731083,-0.25893497467041016,-0.04728974401950836,-0.3311856687068939,-0.2815035581588745,0.385487824678421,-0.33932894468307495,-0.24802741408348083,0.6707837581634521,-0.23633059859275818,-0.5693624019622803,0.039954788982868195,-0.04884912818670273,-0.49526435136795044,0.1279071569442749,-0.2969745099544525,-0.4397021532058716,0.4529295861721039,-0.3058924973011017,-0.36207062005996704,0.6550840735435486,-0.23005814850330353
6,-0.378768652677536,0.9240899682044983,0.0509122759103775,-0.07599102705717087,0.7377782464027405,-0.11805929988622665,0.09275875240564346,0.32482004165649414,-0.18194377422332764,-0.03480841964483261,-0.0438111238181591,-0.2369861602783203,-0.13963526487350464,-0.316959023475647,-0.2615889310836792,0.24512703716754913,0.08718202263116837,0.0025718717370182276,0.3010213077068329,-0.06885512918233871,-0.2513234317302704,0.14999398589134216,0.14955726265907288,-0.40324169397354126,0.02893972396850586,0.37961915135383606,-0.4565856456756592,0.0,0.0,0.0,0.10325459390878677,-0.29231545329093933,-0.28562524914741516,-0.001778823439963162,-0.043260201811790466,-0.3855881094932556,-0.06206492707133293,0.25343242287635803,-0.3587186634540558,-0.24586588144302368,-0.03724459186196327,-0.042724188417196274,-0.21702876687049866,-0.02032846212387085,-0.3296789526939392,-0.23075030744075775,0.32615184783935547,-0.36272478103637695,-0.21027623116970062,0.577711820602417,-0.2829224467277527,-0.4711134433746338,-0.03020981140434742,-0.09849879890680313,-0.3927347660064697,0.12913067638874054,-0.2852576673030853,-0.3595455288887024,0.3949090540409088,-0.3021964132785797,-0.30449941754341125,0.5458241701126099,-0.25135552883148193
7,-0.35397806763648987,0.9109487533569336,0.21182997524738312,-0.024598488584160805,0.9178786277770996,0.03759985417127609,0.21490435302257538,0.5484787225723267,-0.06521117687225342,0.13163846731185913,0.21431665122509003,-0.15481767058372498,-0.049237776547670364,-0.0014444899279624224,-0.2227078229188919,0.27640095353126526,0.12626034021377563,0.024097401648759842,0.3728902339935303,-0.06668919324874878,-0.25967276096343994,0.2231982797384262,0.17114754021167755,-0.4251369535923004,0.09129772335290909,0.4137304723262787,-0.49065881967544556,0.0,0.0,0.0,0.1311967372894287,-0.29308903217315674,-0.29805758595466614,0.05374849587678909,-0.0309294406324625,-0.3957921266555786,-0.017344500869512558,0.22551877796649933,-0.38332420587539673,-0.2929801344871521,-0.020394152030348778,-0.05368724837899208,-0.2542189657688141,-0.10329783707857132,-0.34895628690719604,-0.2730819880962372,0.3527301847934723,-0.30895936489105225,-0.25062304735183716,0.66828453540802,-0.19130128622055054,-0.5832607746124268,0.03699040412902832,-0.11918342113494873,-0.5182501077651978,0.048861321061849594,-0.3161863088607788,-0.4691186547279358,0.381655216217041,-0.2525448799133301,-0.41172581911087036,0.6058341264724731,-0.14403891563415527
