Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.09415539354085922,0.99349045753479,0.064120814204216,0.16945780813694,0.8502211570739746,0.043902553617954254,0.3949158489704132,0.4824226200580597,-0.019117115065455437,0.6008601784706116,0.24483519792556763,-0.12239015102386475,0.8426454067230225,0.06488370895385742,-0.21956434845924377,0.12588755786418915,0.012891771271824837,0.1042155772447586,0.23845288157463074,-0.3999853730201721,-0.05809538811445236,0.5004022717475891,-0.3074710965156555,-0.16707952320575714,0.6316632032394409,-0.11547216773033142,-0.21020813286304474,0.0,0.0,0.0,0.10665780305862427,-0.5056331753730774,-0.17546476423740387,0.4377197027206421,-0.4128173887729645,-0.2859066128730774,0.6074514985084534,-0.19032365083694458,-0.31978368759155273,-0.1393120139837265,0.0369131900370121,-0.1271568089723587,-0.023710841313004494,-0.42681416869163513,-0.2778780162334442,0.3336586356163025,-0.3517734110355377,-0.3158171474933624,0.5475853085517883,-0.17076997458934784,-0.3027082681655884,-0.28184032440185547,0.13695646822452545,-0.26222947239875793,-0.17741402983665466,-0.24264366924762726,-0.3868163526058197,0.10556386411190033,-0.3032646179199219,-0.4133983254432678,0.31346312165260315,-0.2375316619873047,-0.40430858731269836
2,-0.18475981056690216,0.9807018041610718,-0.06393560022115707,0.128071129322052,0.8046208024024963,-0.09382877498865128,0.3438311219215393,0.44545602798461914,-0.11809620261192322,0.5412126779556274,0.21919527649879456,-0.18345096707344055,0.7321300506591797,0.08139221370220184,-0.22528235614299774,0.10891539603471756,0.0024366527795791626,0.068919338285923,0.18835695087909698,-0.3882564604282379,-0.09476885944604874,0.4209155738353729,-0.29053762555122375,-0.2005779892206192,0.5283330082893372,-0.13044393062591553,-0.2430749237537384,0.0,0.0,0.0,0.10736573487520218,-0.4432118833065033,-0.196934774518013,0.4114529490470886,-0.3083738684654236,-0.28600627183914185,0.5314075946807861,-0.11252588778734207,-0.28397655487060547,-0.11463787406682968,0.0346844457089901,-0.10314944386482239,-0.012798967771232128,-0.366322785615921,-0.25846561789512634,0.30038613080978394,-0.2706093490123749,-0.3027551770210266,0.4421483874320984,-0.10537808388471603,-0.27568289637565613,-0.2290564328432083,0.10398189723491669,-0.216088205575943,-0.14278672635555267,-0.21305006742477417,-0.2891595959663391,0.08638869225978851,-0.2605946958065033,-0.30841442942619324,0.227134570479393,-0.20835517346858978,-0.29339903593063354
3,-0.15314985811710358,0.9872786402702332,-0.04273201897740364,0.14678987860679626,0.7881218194961548,-0.047644663602113724,0.358081579208374,0.42650848627090454,-0.07538363337516785,0.5234578251838684,0.20414206385612488,-0.14397118985652924,0.71539306640625,0.07327097654342651,-0.19543445110321045,0.11157187819480896,0.006521810777485371,0.0829106867313385,0.2205619066953659,-0.36300069093704224,-0.07909181714057922,0.4365958571434021,-0.2889574468135834,-0.1973291039466858,0.5407112240791321,-0.1471031904220581,-0.2509063482284546,0.0,0.0,0.0,0.12238442897796631,-0.4538380205631256,-0.18438392877578735,0.40019339323043823,-0.3278367221355438,-0.27094683051109314,0.5174302458763123,-0.14553523063659668,-0.2763408124446869,-0.10870052874088287,0.03792780637741089,-0.11202415823936462,-0.003843956161290407,-0.3734244406223297,-0.2402655929327011,0.2892463207244873,-0.28599029779434204,-0.2758652865886688,0.4418182671070099,-0.14568090438842773,-0.2585512697696686,-0.20994581282138824,0.11810427904129028,-0.2334757298231125,-0.1004531979560852,-0.18726980686187744,-0.29401805996894836,0.13127727806568146,-0.2233801633119583,-0.31195583939552307,0.288901686668396,-0.19098028540611267,-0.3042393922805786
4,0.018254170194268227,0.9993288516998291,-0.031759701669216156,0.36944249272346497,0.7007295489311218,0.059175390750169754,0.5669459700584412,0.3572770655155182,0.04500352591276169,0.7687910795211792,0.1628282368183136,-0.025813082233071327,0.9563949108123779,0.03639676421880722,-0.09582114219665527,0.07814741134643555,-0.02638951502740383,0.13487732410430908,0.32696932554244995,-0.3184988796710968,0.012580979615449905,0.5946629643440247,-0.28481125831604004,-0.11643729358911514,0.7826775312423706,-0.17087174952030182,-0.19287410378456116,0.0,0.0,0.0,0.36483335494995117,-0.3775520622730255,-0.13944891095161438,0.6588152647018433,-0.28668156266212463,-0.2638240456581116,0.8244927525520325,-0.11330161988735199,-0.32360678911209106,-0.021919455379247665,0.06126408278942108,-0.14491423964500427,0.29638513922691345,-0.2903268039226532,-0.2560296058654785,0.6014136075973511,-0.2454746812582016,-0.3225788474082947,0.783477783203125,-0.11073703318834305,-0.34185469150543213,0.017954794690012932,0.15761798620224,-0.288046658039093,0.2549753487110138,-0.11877939105033875,-0.35646140575408936,0.49263623356819153,-0.16867919266223907,-0.3798270523548126,0.671806812286377,-0.14586755633354187,-0.38304707407951355
5,-0.02410171553492546,0.998476505279541,-0.04963626712560654,0.3144933581352234,0.7171372771263123,-0.005628122948110104,0.5127951502799988,0.38147449493408203,-0.03511733561754227,0.7155317068099976,0.17092163860797882,-0.11253952234983444,0.9169922471046448,0.019790619611740112,-0.17927327752113342,0.06993276625871658,-0.011521056294441223,0.10353165119886398,0.3038972020149231,-0.3188328146934509,-0.03339891508221626,0.550809383392334,-0.2909943163394928,-0.15813706815242767,0.7253678441047668,-0.17893946170806885,-0.22742469608783722,0.0,0.0,0.0,0.3252532184123993,-0.3757019639015198,-0.13150791823863983,0.6059612035751343,-0.2850944399833679,-0.2284863144159317,0.7489833235740662,-0.12688666582107544,-0.2743457555770874,-0.028988942503929138,0.056997451931238174,-0.12527844309806824,0.2593480050563812,-0.3033248782157898,-0.2206011712551117,0.546260416507721,-0.2573067545890808,-0.25925910472869873,0.7039931416511536,-0.13373102247714996,-0.26832473278045654,-0.006659043021500111,0.147343248128891,-0.2542617619037628,0.2005450278520584,-0.12470921874046326,-0.30753055214881897,0.4195045530796051,-0.1761438548564911,-0.3223959803581238,0.575169026851654,-0.14971528947353363,-0.32318323850631714
6,0.05552516505122185,0.9983798861503601,-0.012430059723556042,0.44256776571273804,0.67998868227005,0.08167458325624466,0.6669783592224121,0.3776531517505646,0.04067106172442436,0.8908741474151611,0.17467381060123444,-0.057567402720451355,1.064847469329834,0.00031490455148741603,-0.15245875716209412,0.057856038212776184,-0.01975296251475811,0.130849689245224,0.41638657450675964,-0.33338698744773865,0.01938498578965664,0.6881229877471924,-0.29538288712501526,-0.09431487321853638,0.8561732172966003,-0.18149961531162262,-0.16354726254940033,0.0,0.0,0.0,0.47504618763923645,-0.38253524899482727,-0.10201927274465561,0.7764545679092407,-0.2861019968986511,-0.19690853357315063,0.9120085835456848,-0.1307756006717682,-0.2631385326385498,0.03056870959699154,0.06800408661365509,-0.13973136246204376,0.43924954533576965,-0.3624402582645416,-0.22455495595932007,0.7476130127906799,-0.2854255139827728,-0.2475457340478897,0.8966619372367859,-0.13023637235164642,-0.2575992941856384,0.15707693994045258,0.16234295070171356,-0.2754783034324646,0.43354445695877075,-0.21813203394412994,-0.34162667393684387,0.6559379696846008,-0.24743066728115082,-0.3424118161201477,0.7952872514724731,-0.16448034346103668,-0.334233820438385
7,0.09802472591400146,0.9893404245376587,-0.10768787562847137,0.4768153727054596,0.6720002889633179,0.024756228551268578,0.6579448580741882,0.36840254068374634,0.03842949867248535,0.860614538192749,0.17337995767593384,-0.012078436091542244,1.0168452262878418,0.018580393865704536,-0.05782618001103401,0.047398995608091354,-0.0005359551287256181,0.1421280950307846,0.41457897424697876,-0.26616209745407104,0.06323640793561935,0.6925675272941589,-0.23132526874542236,-0.04131418094038963,0.875565767288208,-0.12599630653858185,-0.10289470106363297,0.0,0.0,0.0,0.46596559882164,-0.3248876929283142,-0.10430950671434402,0.7637845873832703,-0.2310878038406372,-0.21627208590507507,0.9196445941925049,-0.05852383002638817,-0.26805579662323,0.048558611422777176,0.04378801956772804,-0.14799480140209198,0.4363299608230591,-0.29539352655410767,-0.22489289939403534,0.7475711703300476,-0.22321227192878723,-0.26700931787490845,0.9151530265808105,-0.07291051000356674,-0.26908189058303833,0.1712522804737091,0.1166193038225174,-0.29206010699272156,0.4436984360218048,-0.2063748985528946,-0.32224133610725403,0.6800536513328552,-0.23130634427070618,-0.3097168505191803,0.8423720002174377,-0.173558309674263,-0.2861907184123993
