Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5581119060516357,-0.16697922348976135,0.8127908706665039,0.9035167098045349,0.27709639072418213,0.3992169201374054,0.7842046022415161,0.8961881399154663,0.14280711114406586,0.5785533785820007,1.4146209955215454,0.004828364122658968,0.5761507749557495,1.852910041809082,-0.1036359891295433,0.4111612141132355,0.1949167400598526,-0.15916836261749268,0.01908445730805397,0.9771093130111694,-0.4050692617893219,-0.17395181953907013,1.456271767616272,-0.4315662682056427,-0.3320311903953552,1.8077951669692993,-0.4346630871295929,0.0,0.0,0.0,-0.26510053873062134,1.0063680410385132,-0.2726990282535553,0.013774527236819267,1.0762834548950195,-0.17900383472442627,0.20928984880447388,0.8960415720939636,-0.06849712878465652,-0.2886795401573181,-0.028508175164461136,0.1677321195602417,-0.42385268211364746,0.9061012864112854,0.012370197102427483,-0.1563989818096161,0.9425328969955444,0.1656908243894577,-0.022586969658732414,0.7763417363166809,0.2890753149986267,-0.4890168607234955,0.024237431585788727,0.30639052391052246,-0.5105612874031067,0.7549755573272705,0.21730606257915497,-0.29323911666870117,0.7800055742263794,0.2641773819923401,-0.19686374068260193,0.6543063521385193,0.3032033443450928
2,0.7109761238098145,-0.08155375719070435,0.6984711289405823,0.8681355714797974,0.37792855501174927,0.2883028984069824,0.7313805222511292,0.9286062121391296,0.030216513201594353,0.5539016723632812,1.449338436126709,-0.12654340267181396,0.5510173439979553,1.8579410314559937,-0.24849329888820648,0.3702608048915863,0.16448327898979187,-0.14302325248718262,-0.009497028775513172,0.9269452691078186,-0.3851534426212311,-0.1436566859483719,1.3844331502914429,-0.4313475787639618,-0.28675252199172974,1.736101508140564,-0.4454655647277832,0.0,0.0,0.0,-0.23532035946846008,0.9738118648529053,-0.3169582784175873,0.04031774029135704,0.9911677241325378,-0.2700982689857483,0.19236883521080017,0.7629814147949219,-0.16986195743083954,-0.287342369556427,-0.02811426669359207,0.1459478884935379,-0.3379191756248474,0.836671769618988,-0.04842234402894974,-0.0677921324968338,0.8353106379508972,0.07377929240465164,0.034442026168107986,0.6525951623916626,0.20327416062355042,-0.46965721249580383,0.003976263105869293,0.25884580612182617,-0.44464290142059326,0.6819612979888916,0.1740618795156479,-0.22662846744060516,0.7012021541595459,0.23054997622966766,-0.1274048238992691,0.55731600522995,0.29327815771102905
3,0.17506198585033417,0.036433640867471695,0.9838830828666687,0.5707709789276123,0.5822970271110535,0.49403637647628784,0.6635417342185974,1.1973820924758911,0.08543506264686584,0.4675426781177521,1.8958417177200317,-0.2690771222114563,0.3736870288848877,2.376970052719116,-0.6244449019432068,0.499297171831131,0.25063008069992065,-0.017166675999760628,0.290364533662796,1.2660927772521973,-0.5112775564193726,0.19922086596488953,1.9265285730361938,-0.9060822129249573,0.07041716575622559,2.4674174785614014,-1.1655231714248657,0.0,0.0,0.0,-0.46231889724731445,1.2322748899459839,-0.4546017050743103,-0.5123628377914429,1.7600600719451904,-0.6132471561431885,-0.5356389284133911,2.0732619762420654,-0.7537758946418762,-0.43425890803337097,-0.0940689668059349,0.0011980589479207993,-0.7858192324638367,1.092854380607605,-0.3013003170490265,-0.6023416519165039,1.26605224609375,-0.16490839421749115,-0.4549259841442108,1.2277584075927734,-0.0855676606297493,-0.7482103705406189,-0.10678700357675552,-0.06837897002696991,-1.047395944595337,0.7548907995223999,-0.2575213313102722,-0.8313958048820496,0.8996279239654541,-0.13458195328712463,-0.6546676754951477,0.8312084674835205,-0.05264876410365105
4,0.5118112564086914,0.009146894328296185,0.8590492010116577,0.628931999206543,0.37168025970458984,0.4583965837955475,0.5814495086669922,0.7718917727470398,0.13604937493801117,0.45912957191467285,1.1388589143753052,-0.07141419500112534,0.40676552057266235,1.4563018083572388,-0.26815569400787354,0.32803523540496826,0.12042925506830215,-0.15201641619205475,-0.023296210914850235,0.7765377759933472,-0.3984130918979645,-0.1862371414899826,1.1473547220230103,-0.47265899181365967,-0.3126044273376465,1.4010334014892578,-0.5242959856987,0.0,0.0,0.0,-0.21742607653141022,0.7589316368103027,-0.1761317402124405,-0.029919663444161415,0.7853589653968811,-0.06950663775205612,0.08618035912513733,0.6455495953559875,-0.019197169691324234,-0.22402571141719818,-0.020783793181180954,0.16243493556976318,-0.36041444540023804,0.6923086047172546,0.03818141296505928,-0.155951589345932,0.6769659519195557,0.1799561232328415,-0.05121944844722748,0.5213911533355713,0.24391382932662964,-0.3810462951660156,0.00411775941029191,0.2989533543586731,-0.4021936058998108,0.5304092168807983,0.18853239715099335,-0.21240966022014618,0.5692054629325867,0.23795199394226074,-0.10267199575901031,0.4717552661895752,0.2604534924030304
5,0.5217083692550659,-0.04001610726118088,0.8521848917007446,0.6555825471878052,0.3294333517551422,0.4552333354949951,0.6134890913963318,0.7494595646858215,0.13730821013450623,0.49187472462654114,1.1264252662658691,-0.0677199438214302,0.4452590346336365,1.4673113822937012,-0.25933972001075745,0.33810174465179443,0.12193594127893448,-0.14510974287986755,-0.013678895309567451,0.7990538477897644,-0.38790714740753174,-0.17815206944942474,1.172824501991272,-0.45209234952926636,-0.31302589178085327,1.4357107877731323,-0.4962545931339264,0.0,0.0,0.0,-0.2188919633626938,0.771364152431488,-0.1831047385931015,-0.015109587460756302,0.7885728478431702,-0.07564929872751236,0.09910601377487183,0.6362433433532715,-0.020126068964600563,-0.2249193787574768,-0.020723462104797363,0.15560051798820496,-0.3625745177268982,0.6939646601676941,0.025825239717960358,-0.1558481901884079,0.6729781627655029,0.1735978126525879,-0.062041256576776505,0.5042062997817993,0.24412640929222107,-0.381865918636322,0.012760610319674015,0.28534814715385437,-0.4114654064178467,0.5399252772331238,0.1709945648908615,-0.21633398532867432,0.5719748735427856,0.22634203732013702,-0.10982278734445572,0.4597915709018707,0.2556923031806946
6,0.574688196182251,0.02427375130355358,0.8180124163627625,0.6988458633422852,0.3436906933784485,0.3900289535522461,0.5585212707519531,0.7448155283927917,0.1078329011797905,0.34993404150009155,1.0938032865524292,-0.04362507164478302,0.2766282558441162,1.4264086484909058,-0.18039646744728088,0.2971247136592865,0.10489402711391449,-0.18516819179058075,-0.01972172036767006,0.7356300354003906,-0.3776266872882843,-0.14636094868183136,1.1099013090133667,-0.40302377939224243,-0.2547874450683594,1.3737473487854004,-0.4272831976413727,0.0,0.0,0.0,-0.16278928518295288,0.7603800892829895,-0.16743233799934387,0.03433677926659584,0.884734570980072,-0.07085227221250534,0.1545516699552536,0.8256359696388245,-0.027154134586453438,-0.19107520580291748,0.009554085321724415,0.19952403008937836,-0.28594279289245605,0.7140757441520691,0.07798951864242554,-0.08583630621433258,0.7343413233757019,0.21568827331066132,0.021778427064418793,0.6094147562980652,0.27846071124076843,-0.32360583543777466,0.07707657665014267,0.37290510535240173,-0.3298467993736267,0.6000705361366272,0.24108177423477173,-0.15633882582187653,0.6447794437408447,0.2690315246582031,-0.06862222403287888,0.5430150032043457,0.28026479482650757
7,-0.4016249179840088,0.025063486769795418,0.9154612421989441,-0.5880641937255859,0.2996213436126709,0.5338473916053772,-0.5960249304771423,0.6913077235221863,0.24266119301319122,-0.4021805226802826,1.0894943475723267,0.04254833236336708,-0.18794867396354675,1.3716853857040405,-0.17373907566070557,-0.30344337224960327,0.1547684371471405,-0.05699601396918297,-0.0016186577267944813,0.7120118141174316,-0.3847610354423523,0.1377643346786499,1.0326099395751953,-0.5811309814453125,0.2604367434978485,1.2647733688354492,-0.6905183792114258,0.0,0.0,0.0,0.26949942111968994,0.6614576578140259,-0.24653877317905426,0.33997586369514465,1.0892677307128906,-0.32737553119659424,0.39899393916130066,1.3777152299880981,-0.4272601008415222,0.22425715625286102,-0.050469934940338135,0.06586063653230667,0.448555588722229,0.5179623365402222,-0.1572549045085907,0.41997000575065613,0.8474436402320862,-0.18030589818954468,0.37590837478637695,1.0622504949569702,-0.21760986745357513,0.4188616871833801,-0.03031003661453724,0.1068652793765068,0.5612878799438477,0.3797137439250946,-0.06674499809741974,0.5378187298774719,0.580390453338623,-0.05871819332242012,0.5072241425514221,0.7406110763549805,-0.07094525545835495
