Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.11937123537063599,0.9767829179763794,0.17789232730865479,0.08457577228546143,0.8279426097869873,-0.13197366893291473,0.11734936386346817,0.5294103622436523,-0.26009294390678406,-0.0966031402349472,0.2648634910583496,-0.3528357446193695,-0.29094913601875305,0.02985982969403267,-0.4229906499385834,0.21376051008701324,0.034966904670000076,-0.044982168823480606,0.06737452000379562,-0.3358413279056549,-0.23446811735630035,-0.0780763179063797,-0.5856192708015442,-0.3695419132709503,-0.19308139383792877,-0.8184821605682373,-0.44890132546424866,0.0,0.0,0.0,0.06662993878126144,-0.4859633147716522,-0.17915545403957367,0.09931863099336624,-0.7788271307945251,-0.2613570988178253,0.1333647221326828,-1.0585472583770752,-0.28347665071487427,-0.21453790366649628,0.08183158934116364,0.003793892217800021,-0.32282695174217224,-0.10697535425424576,-0.273655503988266,-0.2997196912765503,0.21152138710021973,-0.2869764268398285,-0.24351616203784943,0.38625651597976685,-0.20567849278450012,-0.40774446725845337,0.22977520525455475,-0.0180975291877985,-0.4858251214027405,0.08877549320459366,-0.23960717022418976,-0.4170660078525543,0.32142066955566406,-0.22903355956077576,-0.34234991669654846,0.4540688991546631,-0.16102737188339233
2,-0.08039738982915878,0.9897410273551941,0.11810564994812012,0.09461952745914459,0.8268712162971497,-0.2018980085849762,0.11486601829528809,0.5244784355163574,-0.30806154012680054,-0.08561822772026062,0.2613815665245056,-0.3738984167575836,-0.27092093229293823,0.0015327947912737727,-0.41204583644866943,0.20922118425369263,0.03125233203172684,-0.07487950474023819,0.053812623023986816,-0.34193286299705505,-0.22911910712718964,-0.07365437597036362,-0.5750966668128967,-0.3203102946281433,-0.20478375256061554,-0.8003382682800293,-0.3681194484233856,0.0,0.0,0.0,0.05924403667449951,-0.4859173893928528,-0.17868387699127197,0.09834244102239609,-0.773926317691803,-0.2539723217487335,0.13889573514461517,-1.028657078742981,-0.2578611969947815,-0.21775998175144196,0.07059255987405777,0.03187666833400726,-0.33891433477401733,-0.09440189599990845,-0.26010072231292725,-0.2942512035369873,0.22131569683551788,-0.3026142418384552,-0.2142895758152008,0.4066135287284851,-0.2251669019460678,-0.40559491515159607,0.17821142077445984,0.04227964207530022,-0.47430530190467834,0.09921994060277939,-0.18583376705646515,-0.4005586504936218,0.3362795114517212,-0.19092004001140594,-0.31818005442619324,0.47829127311706543,-0.12652911245822906
3,-0.10383252054452896,0.9815564155578613,0.1605173796415329,0.05701659247279167,0.802214503288269,-0.14057505130767822,0.07012102007865906,0.5218985676765442,-0.25890085101127625,-0.10511310398578644,0.26016634702682495,-0.34298035502433777,-0.2892104983329773,0.023349830880761147,-0.4041763246059418,0.19929054379463196,0.04565536975860596,-0.05506821721792221,0.04912852123379707,-0.3071373403072357,-0.23350700736045837,-0.06666587293148041,-0.5458270311355591,-0.346813827753067,-0.1559470146894455,-0.7613704204559326,-0.4095768928527832,0.0,0.0,0.0,0.05102183669805527,-0.4640255570411682,-0.1851036697626114,0.07060715556144714,-0.728209912776947,-0.26335686445236206,0.09447313100099564,-0.968449592590332,-0.2786382734775543,-0.20066067576408386,0.06215646117925644,0.0162168238312006,-0.30087774991989136,-0.09151402860879898,-0.26102742552757263,-0.28293555974960327,0.20742985606193542,-0.282139390707016,-0.22440843284130096,0.3626297116279602,-0.205709308385849,-0.38186660408973694,0.183654323220253,0.00939026940613985,-0.4463127553462982,0.07831782847642899,-0.20163460075855255,-0.38717934489250183,0.3026736378669739,-0.1995491236448288,-0.3167867660522461,0.4232758581638336,-0.13983356952667236
4,-0.11566085368394852,0.9883731603622437,0.09869697690010071,0.06516116857528687,0.8196595907211304,-0.14558793604373932,0.11027321219444275,0.527032196521759,-0.231873020529747,-0.08169571310281754,0.26330867409706116,-0.2971230447292328,-0.28352269530296326,0.031582511961460114,-0.3396765887737274,0.20517104864120483,0.053145866841077805,-0.03761768713593483,0.08138304948806763,-0.33059999346733093,-0.17824652791023254,-0.025189219042658806,-0.5658813714981079,-0.2626120150089264,-0.13017238676548004,-0.7912156581878662,-0.30807679891586304,0.0,0.0,0.0,0.0858040601015091,-0.4668191373348236,-0.16220282018184662,0.15210531651973724,-0.742577075958252,-0.23479866981506348,0.22258368134498596,-0.9861056804656982,-0.2438824623823166,-0.2163601964712143,0.05542141571640968,0.003025138983502984,-0.3138708174228668,-0.11537211388349533,-0.2509666681289673,-0.2876858413219452,0.18676652014255524,-0.2752789556980133,-0.2216964066028595,0.37217769026756287,-0.19957920908927917,-0.40507471561431885,0.15932799875736237,-0.011281747370958328,-0.4643385410308838,0.06236440688371658,-0.19981440901756287,-0.40341806411743164,0.2845672070980072,-0.18129274249076843,-0.33661088347435,0.42807021737098694,-0.10925867408514023
5,-0.12117107957601547,0.9834442138671875,0.13474084436893463,0.0384746715426445,0.7958076596260071,-0.13084539771080017,0.06584644317626953,0.5116459131240845,-0.2367488443851471,-0.10109138488769531,0.24477176368236542,-0.3190441131591797,-0.2815288007259369,0.014682106673717499,-0.38068562746047974,0.18986479938030243,0.03888464719057083,-0.04080020263791084,0.08837570250034332,-0.3412310779094696,-0.1965717077255249,0.019236518070101738,-0.5815176367759705,-0.29480060935020447,-0.036180365830659866,-0.804392397403717,-0.3497444689273834,0.0,0.0,0.0,0.09340827912092209,-0.4603820741176605,-0.161656454205513,0.143610417842865,-0.7149409055709839,-0.22788138687610626,0.18334798514842987,-0.9462146162986755,-0.23888611793518066,-0.19532445073127747,0.06310516595840454,0.005291818641126156,-0.2729911506175995,-0.11188724637031555,-0.2493898719549179,-0.25233927369117737,0.17934191226959229,-0.2642662525177002,-0.20239566266536713,0.349560409784317,-0.18915563821792603,-0.3777589499950409,0.18311069905757904,-0.010477644391357899,-0.429309219121933,0.061987243592739105,-0.20200450718402863,-0.3764609098434448,0.2696462869644165,-0.19219686090946198,-0.32139852643013,0.40000802278518677,-0.12944839894771576
6,-0.18250764906406403,0.9779730439186096,0.10129021108150482,-0.002301029860973358,0.8179751634597778,-0.169461190700531,0.061995189636945724,0.5267572999000549,-0.2636125087738037,-0.10015606135129929,0.24007610976696014,-0.3332604467868805,-0.26391908526420593,-0.027211181819438934,-0.3774579167366028,0.1972474902868271,0.06410739570856094,-0.054419681429862976,0.10075180232524872,-0.339493066072464,-0.1891753077507019,0.025785185396671295,-0.5775922536849976,-0.2659793794155121,-0.04423052445054054,-0.8172674179077148,-0.3097419738769531,0.0,0.0,0.0,0.13967148959636688,-0.46650072932243347,-0.1586790680885315,0.2428300976753235,-0.7330564260482788,-0.22530311346054077,0.3466697931289673,-0.9757252335548401,-0.23587104678153992,-0.2182130664587021,0.04311101883649826,0.017261004075407982,-0.3052389919757843,-0.15826578438282013,-0.23820608854293823,-0.3178921043872833,0.1425485461950302,-0.26203015446662903,-0.2766769230365753,0.3267884850502014,-0.19133779406547546,-0.41871774196624756,0.12851504981517792,0.014737339690327644,-0.48541784286499023,0.008579649031162262,-0.1860109269618988,-0.46147528290748596,0.23416973650455475,-0.17904068529605865,-0.4209180772304535,0.38775357604026794,-0.11858607083559036
7,-0.1984613835811615,0.9748419523239136,0.10147040337324142,-0.010680314153432846,0.82499760389328,-0.1635894626379013,0.038399241864681244,0.5398857593536377,-0.2569911777973175,-0.14432276785373688,0.2664017081260681,-0.3218518793582916,-0.30536186695098877,0.009865839965641499,-0.35772424936294556,0.17938154935836792,0.05335136130452156,-0.03946014493703842,0.08810043334960938,-0.31888464093208313,-0.18200024962425232,0.005602783057838678,-0.567435085773468,-0.27492770552635193,-0.0738091841340065,-0.8041639924049377,-0.3260355293750763,0.0,0.0,0.0,0.1294814795255661,-0.4515261650085449,-0.1490534543991089,0.22174865007400513,-0.7174748182296753,-0.21456153690814972,0.30698922276496887,-0.9459927082061768,-0.22092406451702118,-0.2068777084350586,0.04734707251191139,-0.001556417322717607,-0.3299521505832672,-0.13065940141677856,-0.26013094186782837,-0.3223496079444885,0.1651831418275833,-0.2999815046787262,-0.2625049948692322,0.35083258152008057,-0.2337067425251007,-0.40216064453125,0.14926517009735107,-0.02239970862865448,-0.4878609776496887,0.03917746990919113,-0.22403766214847565,-0.4449920952320099,0.27335524559020996,-0.21918578445911407,-0.37660348415374756,0.42353543639183044,-0.15670239925384521
