Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.1798263043165207,0.9749706387519836,0.13074669241905212,0.06714019179344177,0.9769449830055237,-0.054419223219156265,0.2569400370121002,0.7214577794075012,-0.15142416954040527,0.26269397139549255,0.4923275411128998,-0.24542991816997528,0.18024681508541107,0.2838385999202728,-0.31521445512771606,0.27724888920783997,0.057401835918426514,0.0012009444180876017,0.29658958315849304,-0.3589375913143158,-0.2192559689283371,0.3156079053878784,-0.24282492697238922,-0.3651639223098755,0.3118574321269989,-0.031093090772628784,-0.41951847076416016,0.0,0.0,0.0,-0.022475825622677803,-0.5451415777206421,-0.20277264714241028,0.010793874971568584,-0.3478504419326782,-0.29211196303367615,0.044535715132951736,-0.09440730512142181,-0.29665863513946533,-0.26357942819595337,0.027659105136990547,-0.03372829407453537,-0.28212615847587585,-0.4915866255760193,-0.2103564292192459,-0.24089737236499786,-0.3082415759563446,-0.20802898705005646,-0.21339799463748932,-0.07701323926448822,-0.14783875644207,-0.5267714858055115,0.12764224410057068,-0.08598998934030533,-0.5571625828742981,-0.27540040016174316,-0.20663553476333618,-0.5138046741485596,-0.21656794846057892,-0.1824793964624405,-0.48591673374176025,-0.05828796699643135,-0.12163033336400986
2,-0.13683640956878662,0.9834970235824585,0.11836130917072296,0.07827919721603394,0.9132616519927979,-0.05782957002520561,0.22552068531513214,0.6771789789199829,-0.1656903624534607,0.23919016122817993,0.46443474292755127,-0.27651914954185486,0.17760296165943146,0.26109153032302856,-0.3635707199573517,0.24983112514019012,0.05258037894964218,0.008935782127082348,0.2772320508956909,-0.3290581703186035,-0.20145554840564728,0.29844406247138977,-0.19401130080223083,-0.34475991129875183,0.2820526361465454,0.03224622458219528,-0.4001416862010956,0.0,0.0,0.0,-0.003953278996050358,-0.5040372014045715,-0.19162912666797638,0.03206177055835724,-0.27544736862182617,-0.27764660120010376,0.056197334080934525,-0.02751302719116211,-0.2818005383014679,-0.2281498908996582,0.025253696367144585,-0.0413348525762558,-0.24229688942432404,-0.44420549273490906,-0.19828158617019653,-0.19014789164066315,-0.2624278962612152,-0.20062434673309326,-0.16443821787834167,-0.04144194349646568,-0.1506672352552414,-0.45596516132354736,0.11905556917190552,-0.10255949944257736,-0.4898830056190491,-0.2519686818122864,-0.20217320322990417,-0.44017791748046875,-0.1951999068260193,-0.18091052770614624,-0.41149717569351196,-0.04872015118598938,-0.12966737151145935
3,-0.2276381552219391,0.9734575152397156,0.023693043738603592,0.03340594097971916,0.7613381743431091,-0.10785388201475143,0.16177372634410858,0.41734686493873596,-0.17716562747955322,0.08985666930675507,0.11193208396434784,-0.25668948888778687,-0.08700205385684967,-0.11338342726230621,-0.30869001150131226,0.21765455603599548,0.07181253284215927,0.01126039307564497,0.24341751635074615,-0.23170171678066254,-0.15492714941501617,0.185939222574234,0.009764269925653934,-0.26056724786758423,0.15554651618003845,0.21026384830474854,-0.306677907705307,0.0,0.0,0.0,-0.004051388707011938,-0.40325337648391724,-0.15788112580776215,-0.050468798726797104,-0.09663666784763336,-0.22963730990886688,-0.05977272614836693,0.09570904076099396,-0.24258451163768768,-0.2317265272140503,-0.01300021167844534,-0.040313612669706345,-0.23352494835853577,-0.39887169003486633,-0.1897096484899521,-0.24265091121196747,-0.11411314457654953,-0.18698464334011078,-0.22642022371292114,0.09690582007169724,-0.14771178364753723,-0.46201908588409424,0.02349419891834259,-0.09427772462368011,-0.45405247807502747,-0.2785601019859314,-0.18797747790813446,-0.42961061000823975,-0.12499076128005981,-0.17129485309123993,-0.39792969822883606,0.03509726747870445,-0.13731184601783752
4,-0.25955045223236084,0.9594365954399109,-0.1100681722164154,0.04730985686182976,0.72301185131073,-0.2224258929491043,0.196052685379982,0.29318758845329285,-0.2495722770690918,0.02342747338116169,-0.028074961155653,-0.2998349666595459,-0.22118011116981506,-0.15922175347805023,-0.3110741674900055,0.22312375903129578,0.06483612954616547,0.019325124099850655,0.2653350532054901,-0.2540523409843445,-0.15526913106441498,0.19009853899478912,0.045255016535520554,-0.2452642023563385,0.14234887063503265,0.16935928165912628,-0.27373653650283813,0.0,0.0,0.0,0.02984161302447319,-0.33598893880844116,-0.18761996924877167,-0.01792222261428833,0.004152088426053524,-0.22844354808330536,-0.03806787729263306,0.10921864956617355,-0.19057027995586395,-0.23460926115512848,-0.016701318323612213,-0.0668761283159256,-0.21410799026489258,-0.348593533039093,-0.23544709384441376,-0.21956196427345276,-0.032853879034519196,-0.19200973212718964,-0.22207914292812347,0.10165221989154816,-0.10153145343065262,-0.4658496081829071,-0.007153607439249754,-0.1523049920797348,-0.44503524899482727,-0.2764146625995636,-0.22343935072422028,-0.4078295826911926,-0.07809840887784958,-0.17235784232616425,-0.3917284607887268,0.05803902447223663,-0.10167823731899261
5,-0.2613144516944885,0.9604709148406982,-0.09597083926200867,0.043327223509550095,0.7413304448127747,-0.20395538210868835,0.20448185503482819,0.3147789537906647,-0.23202912509441376,0.04218527674674988,-0.014173065312206745,-0.28154757618904114,-0.2154260277748108,-0.14593340456485748,-0.29633820056915283,0.22349634766578674,0.07084761559963226,0.01959928683936596,0.26358136534690857,-0.24885353446006775,-0.13840392231941223,0.20069873332977295,0.031829919666051865,-0.2270808070898056,0.1604873538017273,0.16286700963974,-0.26049309968948364,0.0,0.0,0.0,0.028606152161955833,-0.346091628074646,-0.1702270805835724,-0.013349606655538082,-0.02400118298828602,-0.2159724086523056,-0.02971780300140381,0.1012963354587555,-0.1878117173910141,-0.2343387007713318,-0.018773168325424194,-0.06244134530425072,-0.21117132902145386,-0.35350301861763,-0.21504968404769897,-0.21530629694461823,-0.051669687032699585,-0.18434669077396393,-0.21325035393238068,0.0990302562713623,-0.10864052921533585,-0.4643123149871826,-0.004701707046478987,-0.1426152139902115,-0.43725213408470154,-0.272419273853302,-0.21136146783828735,-0.3977311849594116,-0.07410292327404022,-0.1696651726961136,-0.3799141049385071,0.07724590599536896,-0.10926345735788345
6,-0.22795557975769043,0.9707725048065186,-0.07507964968681335,0.038223180919885635,0.7240492105484009,-0.20117321610450745,0.17217087745666504,0.3458569347858429,-0.23874570429325104,0.0238835196942091,0.02238285355269909,-0.28626781702041626,-0.25202158093452454,-0.09467072784900665,-0.3067716062068939,0.22215497493743896,0.05489706993103027,0.008996054530143738,0.27055487036705017,-0.22389008104801178,-0.11633722484111786,0.22534716129302979,0.042354315519332886,-0.2103157341480255,0.2051057070493698,0.1715177297592163,-0.2642209827899933,0.0,0.0,0.0,0.01571018435060978,-0.3290209472179413,-0.13555023074150085,-0.03168116882443428,-0.030660228803753853,-0.1990651786327362,-0.031975388526916504,0.11041463911533356,-0.20839984714984894,-0.22800570726394653,-0.003535748925060034,-0.04387839883565903,-0.23090454936027527,-0.340851366519928,-0.19828832149505615,-0.24229907989501953,-0.06128869950771332,-0.191435307264328,-0.24109412729740143,0.11929275095462799,-0.14529135823249817,-0.4684019684791565,0.028020935133099556,-0.10012142360210419,-0.4294683039188385,-0.26682525873184204,-0.1892562210559845,-0.41905316710472107,-0.06595093756914139,-0.15029820799827576,-0.4206078350543976,0.1168099045753479,-0.09861021488904953
7,-0.27410244941711426,0.9601039886474609,-0.055391158908605576,0.027918925508856773,0.7455334067344666,-0.17898908257484436,0.18230445683002472,0.36628761887550354,-0.2163831889629364,0.06235916540026665,0.039306554943323135,-0.2589932680130005,-0.19436311721801758,-0.10167410969734192,-0.266547828912735,0.22230365872383118,0.07252193242311478,0.009324906393885612,0.25837230682373047,-0.1817583590745926,-0.11584702879190445,0.16794225573539734,0.07592438161373138,-0.18985331058502197,0.16139629483222961,0.18675796687602997,-0.22601470351219177,0.0,0.0,0.0,0.029119446873664856,-0.27445563673973083,-0.13169269263744354,-0.04564184695482254,0.008584774099290371,-0.15992531180381775,-0.0471399687230587,0.1054963693022728,-0.13913594186306,-0.22388824820518494,-0.009720714762806892,-0.044260263442993164,-0.22443927824497223,-0.30961930751800537,-0.191309854388237,-0.23356233537197113,-0.03147478029131889,-0.14731153845787048,-0.23250186443328857,0.10485120862722397,-0.07355201989412308,-0.45194393396377563,0.009137634187936783,-0.10251909494400024,-0.4320113956928253,-0.22625043988227844,-0.18855808675289154,-0.40402036905288696,-0.03502960875630379,-0.13003979623317719,-0.39145535230636597,0.10486000776290894,-0.05747609585523605
