Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.23676252365112305,0.9621706008911133,0.1348009556531906,0.05967619642615318,0.8445829749107361,0.025287289172410965,0.2300143539905548,0.5081501603126526,-0.0334208644926548,0.11849263310432434,0.2189803123474121,-0.10670161247253418,-0.03289970010519028,0.012075534090399742,-0.17456360161304474,0.23459075391292572,0.06125849485397339,0.057211898267269135,0.3351766765117645,-0.3385707139968872,-0.1015968918800354,0.37536564469337463,-0.6074953079223633,-0.20327410101890564,0.40610742568969727,-0.8360782861709595,-0.26344671845436096,0.0,0.0,0.0,0.09910363703966141,-0.4589366912841797,-0.1606418341398239,0.1878967434167862,-0.7487236261367798,-0.2595406174659729,0.25058162212371826,-1.009661316871643,-0.2970680594444275,-0.24428153038024902,0.06022109463810921,-0.07526162266731262,-0.0970800369977951,-0.13523982465267181,-0.29301002621650696,-0.025128934532403946,0.1410244107246399,-0.30457615852355957,-0.03059181571006775,0.3269537389278412,-0.24110886454582214,-0.4669417142868042,0.20576289296150208,-0.16070780158042908,-0.2709868252277374,0.12287955731153488,-0.32671359181404114,-0.19249077141284943,0.32782652974128723,-0.30637937784194946,-0.2073122262954712,0.4667474031448364,-0.24221357703208923
2,-0.21518142521381378,0.9706404805183411,0.10748936235904694,0.05645398050546646,0.8022227883338928,-0.04622439667582512,0.20695629715919495,0.47876131534576416,-0.10879447311162949,0.13307346403598785,0.19344481825828552,-0.16866393387317657,-0.023551734164357185,-0.0181045550853014,-0.21656301617622375,0.20419050753116608,0.04107647389173508,0.006319438107311726,0.28365597128868103,-0.32234320044517517,-0.13359780609607697,0.3290666341781616,-0.5396149754524231,-0.21457068622112274,0.3597339689731598,-0.7428789138793945,-0.25244835019111633,0.0,0.0,0.0,0.07736790925264359,-0.43440261483192444,-0.14452508091926575,0.15771876275539398,-0.6852591633796692,-0.2096392661333084,0.22774869203567505,-0.8981925249099731,-0.22410652041435242,-0.21425345540046692,0.059655290096998215,-0.029256340116262436,-0.1167769804596901,-0.10747400671243668,-0.24312534928321838,-0.03185052052140236,0.1517343372106552,-0.2509189248085022,-0.0006383009604178369,0.3318153917789459,-0.18438507616519928,-0.4177822768688202,0.17762775719165802,-0.0700250118970871,-0.2715744972229004,0.09628930687904358,-0.22438615560531616,-0.1884167641401291,0.29376766085624695,-0.20630238950252533,-0.18076446652412415,0.4347451329231262,-0.14704380929470062
3,-0.24578243494033813,0.9631264805793762,0.10944590717554092,0.024164168164134026,0.8051542639732361,-0.060500502586364746,0.13123229146003723,0.5017330646514893,-0.12423621863126755,0.018872905522584915,0.2392731010913849,-0.18684722483158112,-0.1237555518746376,0.021091068163514137,-0.2339654564857483,0.20446200668811798,0.04514898359775543,0.014960055239498615,0.28928983211517334,-0.3318859040737152,-0.11487806588411331,0.31909164786338806,-0.5756895542144775,-0.19154788553714752,0.3233036994934082,-0.7806925177574158,-0.22833596169948578,0.0,0.0,0.0,0.08274766057729721,-0.4623570144176483,-0.14811404049396515,0.14233364164829254,-0.7487019300460815,-0.22603803873062134,0.18286578357219696,-0.9666726589202881,-0.2463504672050476,-0.22187869250774384,0.0639507845044136,-0.04072336107492447,-0.17117227613925934,-0.12160179764032364,-0.2673313617706299,-0.11959531903266907,0.14253424108028412,-0.29805049300193787,-0.10523470491170883,0.33273935317993164,-0.2404748648405075,-0.4329077899456024,0.1856762021780014,-0.09450558573007584,-0.34164705872535706,0.07610643655061722,-0.262665718793869,-0.2738383412361145,0.2650953233242035,-0.24999168515205383,-0.25569987297058105,0.410603791475296,-0.1911308467388153
4,-0.25523844361305237,0.9616983532905579,0.09994790703058243,0.001185095403343439,0.797585129737854,-0.07316707074642181,0.11661142110824585,0.4790613055229187,-0.1392936110496521,-0.01663230173289776,0.2010401040315628,-0.20342856645584106,-0.2009948343038559,-0.0010803287150338292,-0.25316712260246277,0.19951066374778748,0.04481080546975136,0.014581306837499142,0.27560535073280334,-0.3374549150466919,-0.11441736668348312,0.302847295999527,-0.5858567357063293,-0.19647811353206635,0.3064171373844147,-0.7968782782554626,-0.24094922840595245,0.0,0.0,0.0,0.07763683050870895,-0.46722984313964844,-0.14853259921073914,0.12676216661930084,-0.7573602199554443,-0.23521173000335693,0.15919016301631927,-0.9881989359855652,-0.265529066324234,-0.21634599566459656,0.061605170369148254,-0.040542542934417725,-0.18029586970806122,-0.15358978509902954,-0.26769471168518066,-0.15351559221744537,0.08997798711061478,-0.304780513048172,-0.15522722899913788,0.26522013545036316,-0.25476154685020447,-0.42650744318962097,0.1779634654521942,-0.09425104409456253,-0.35418471693992615,0.05405145138502121,-0.2649776041507721,-0.2967507839202881,0.2355746328830719,-0.2577056288719177,-0.28082504868507385,0.375803142786026,-0.2052506059408188
5,-0.22369293868541718,0.9722529053688049,0.06845228374004364,0.006289617158472538,0.7632781863212585,-0.1305929720401764,0.11343076825141907,0.47275662422180176,-0.20903557538986206,-0.0012716256314888597,0.204340398311615,-0.2813192903995514,-0.1735142171382904,-0.02092636376619339,-0.33403921127319336,0.2005241960287094,0.02392354980111122,-0.011074662208557129,0.2576563060283661,-0.34400415420532227,-0.13449154794216156,0.2816161811351776,-0.5712643265724182,-0.2177567034959793,0.29279443621635437,-0.777077317237854,-0.26971203088760376,0.0,0.0,0.0,0.10212189704179764,-0.4411904811859131,-0.13909022510051727,0.14873182773590088,-0.7044110894203186,-0.21691220998764038,0.1768137365579605,-0.9239131808280945,-0.24836665391921997,-0.19507049024105072,0.06898874044418335,-0.019854648038744926,-0.1753445267677307,-0.1416587084531784,-0.23883382976055145,-0.14376087486743927,0.1046564057469368,-0.2683221995830536,-0.12748457491397858,0.26944640278816223,-0.22270973026752472,-0.380480021238327,0.19233523309230804,-0.05631139129400253,-0.3466779291629791,0.07044694572687149,-0.21724167466163635,-0.2964104115962982,0.23578213155269623,-0.2168762981891632,-0.2759268581867218,0.3653837740421295,-0.17590825259685516
6,-0.1939244121313095,0.9766637086868286,0.09231110662221909,0.036679625511169434,0.7802714705467224,-0.07803163677453995,0.1333719938993454,0.45442530512809753,-0.14704695343971252,-0.02008114755153656,0.18357881903648376,-0.2150402069091797,-0.2202160805463791,-0.018619166687130928,-0.2734074592590332,0.19736996293067932,0.038212850689888,0.0017786836251616478,0.2745514214038849,-0.3387198746204376,-0.1335049718618393,0.3044426441192627,-0.5630391836166382,-0.21794915199279785,0.31006401777267456,-0.772332489490509,-0.2608490586280823,0.0,0.0,0.0,0.08604088425636292,-0.4579167068004608,-0.1386220008134842,0.1338360607624054,-0.7264631986618042,-0.20988452434539795,0.16912254691123962,-0.958954393863678,-0.23414374887943268,-0.20648111402988434,0.06422597169876099,-0.027586225420236588,-0.19039858877658844,-0.14501953125,-0.2479010373353958,-0.1188487634062767,0.10956689715385437,-0.27241548895835876,-0.07722140848636627,0.2904258966445923,-0.2174660563468933,-0.39714136719703674,0.1809196025133133,-0.0664147362112999,-0.34081268310546875,0.04437015578150749,-0.22798630595207214,-0.25790393352508545,0.23627127707004547,-0.2109004408121109,-0.22013793885707855,0.39014196395874023,-0.15367496013641357
7,-0.22645163536071777,0.9690793752670288,0.09800390154123306,-0.003261489560827613,0.8188454508781433,-0.12450318783521652,0.07839444279670715,0.5087923407554626,-0.20492416620254517,-0.11757767200469971,0.23582011461257935,-0.2708711326122284,-0.301510214805603,0.008203353732824326,-0.31931278109550476,0.20596683025360107,0.03996985778212547,-0.013676228001713753,0.2558195888996124,-0.35488322377204895,-0.14246754348278046,0.2649092376232147,-0.609988808631897,-0.22529855370521545,0.2585922181606293,-0.8273448348045349,-0.27014756202697754,0.0,0.0,0.0,0.07825065404176712,-0.4649988114833832,-0.14949053525924683,0.11284632235765457,-0.7565692067146301,-0.2420341670513153,0.14258739352226257,-0.9852374196052551,-0.2737734019756317,-0.2139289230108261,0.06483881920576096,-0.017694318667054176,-0.22247789800167084,-0.14635752141475677,-0.26595640182495117,-0.19914007186889648,0.11129540205001831,-0.33142852783203125,-0.1801072061061859,0.2963756322860718,-0.2933439016342163,-0.4078395664691925,0.18054987490177155,-0.04990643635392189,-0.3689418435096741,0.07313302159309387,-0.2525756061077118,-0.30777469277381897,0.2793547511100769,-0.2742025554180145,-0.2604367136955261,0.429029256105423,-0.23548784852027893
