Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.12690812349319458,0.9737851619720459,0.18877707421779633,0.13340096175670624,0.805976927280426,0.08040373772382736,0.22166962921619415,0.4742271304130554,0.012863071635365486,0.03515245392918587,0.23045645654201508,-0.06633826345205307,-0.13776391744613647,0.07099372893571854,-0.14329485595226288,0.25487685203552246,0.029027095064520836,0.05144990235567093,0.4437662959098816,-0.3771337866783142,-0.08274392038583755,0.554445743560791,-0.6406969428062439,-0.15833358466625214,0.6482166647911072,-0.8633774518966675,-0.20178934931755066,0.0,0.0,0.0,-0.04694284871220589,-0.4961053431034088,-0.13672198355197906,-0.08465815335512161,-0.8198651671409607,-0.21694259345531464,-0.12796548008918762,-1.082796335220337,-0.2450001835823059,-0.2223120927810669,0.1132349967956543,-0.06352566927671432,-0.1722337007522583,-0.0737609714269638,-0.2599922716617584,-0.06454987823963165,0.1619144082069397,-0.2887137830257416,-0.029399525374174118,0.3286888897418976,-0.2434779405593872,-0.40024328231811523,0.2992081046104431,-0.13391651213169098,-0.308018296957016,0.19146881997585297,-0.2883756458759308,-0.1698843389749527,0.3593449890613556,-0.27208492159843445,-0.09508397430181503,0.4958932101726532,-0.21530048549175262
2,-0.10951649397611618,0.9892299771308899,0.09710938483476639,0.12067123502492905,0.7860718369483948,-0.03918382525444031,0.19973401725292206,0.47551658749580383,-0.10120105743408203,0.043739840388298035,0.2525060474872589,-0.1655772477388382,-0.17516504228115082,0.13836988806724548,-0.2215510755777359,0.22948966920375824,0.026034606620669365,0.02612520568072796,0.406841516494751,-0.33628562092781067,-0.11260561645030975,0.5165334343910217,-0.5740050077438354,-0.2055976390838623,0.5867131352424622,-0.7659980654716492,-0.25067082047462463,0.0,0.0,0.0,-0.047633565962314606,-0.4608854353427887,-0.14997589588165283,-0.07858119904994965,-0.7497719526290894,-0.24225011467933655,-0.11336635053157806,-0.9873697757720947,-0.27209383249282837,-0.20361849665641785,0.10113652050495148,-0.04410044103860855,-0.15690849721431732,-0.0539499893784523,-0.2630196511745453,-0.05380808189511299,0.1702650487422943,-0.2938682734966278,-0.018152477219700813,0.3382463753223419,-0.23668187856674194,-0.3758854269981384,0.2589890658855438,-0.09710003435611725,-0.2675855755805969,0.19553032517433167,-0.25982367992401123,-0.15889620780944824,0.35662850737571716,-0.2403692901134491,-0.11242616921663284,0.47900089621543884,-0.1722133755683899
3,-0.0635819286108017,0.992619514465332,0.10326562821865082,0.14487652480602264,0.8068821430206299,-0.03879203274846077,0.21055564284324646,0.5083403587341309,-0.10298935323953629,0.03149702772498131,0.3054868280887604,-0.1716911941766739,-0.18206149339675903,0.17175835371017456,-0.22597669064998627,0.23784485459327698,0.012712976895272732,0.025361118838191032,0.406039834022522,-0.36835160851478577,-0.09686984866857529,0.5056729912757874,-0.6009259223937988,-0.17015278339385986,0.565270185470581,-0.7910733222961426,-0.21056704223155975,0.0,0.0,0.0,-0.08778921514749527,-0.4496576189994812,-0.15800292789936066,-0.13790757954120636,-0.7318385243415833,-0.26074421405792236,-0.18857912719249725,-0.9674314856529236,-0.3014402687549591,-0.20279985666275024,0.11102725565433502,-0.04328978806734085,-0.1733008772134781,-0.03476351499557495,-0.2731581926345825,-0.07501084357500076,0.18228335678577423,-0.33295974135398865,-0.039963673800230026,0.33695289492607117,-0.2988545894622803,-0.35235291719436646,0.27834567427635193,-0.09567718952894211,-0.28162431716918945,0.2627917230129242,-0.28355804085731506,-0.17306971549987793,0.41993895173072815,-0.30601876974105835,-0.11237874627113342,0.5309630632400513,-0.26844704151153564
4,-0.06297211349010468,0.9922622442245483,0.10700532048940659,0.1475246697664261,0.8052622079849243,-0.03735480457544327,0.21514783799648285,0.5165076851844788,-0.10317607969045639,0.030520373955368996,0.3200901448726654,-0.1731691062450409,-0.17848491668701172,0.18454428017139435,-0.2293679565191269,0.23560312390327454,0.018322976306080818,0.025109408423304558,0.4029954671859741,-0.35509997606277466,-0.09812939912080765,0.5020344257354736,-0.5937080383300781,-0.17290973663330078,0.5555230975151062,-0.79069584608078,-0.21317122876644135,0.0,0.0,0.0,-0.0828714445233345,-0.453594833612442,-0.15855075418949127,-0.13645605742931366,-0.7360569834709167,-0.26071199774742126,-0.1938580721616745,-0.9696464538574219,-0.2990024983882904,-0.19744884967803955,0.10614950209856033,-0.0429699532687664,-0.1639823615550995,-0.024016352370381355,-0.2748837471008301,-0.06948960572481155,0.192031130194664,-0.3365582525730133,-0.04126448556780815,0.3444773852825165,-0.30043479800224304,-0.3468460738658905,0.2678075134754181,-0.09476834535598755,-0.2619468569755554,0.23012538254261017,-0.27542880177497864,-0.13981302082538605,0.3777717649936676,-0.2913956642150879,-0.0649779736995697,0.49229446053504944,-0.24867169559001923
5,-0.03925494849681854,0.9932748079299927,0.10892273485660553,0.16705581545829773,0.8041248917579651,-0.03346133977174759,0.22804337739944458,0.5089115500450134,-0.0985320508480072,0.03186843916773796,0.32480549812316895,-0.16886389255523682,-0.18723170459270477,0.19955900311470032,-0.22567547857761383,0.23971040546894073,0.011584949679672718,0.027171991765499115,0.4025929570198059,-0.3698383867740631,-0.09711099416017532,0.4981977343559265,-0.6100239157676697,-0.17037886381149292,0.5496953129768372,-0.8094710111618042,-0.21068274974822998,0.0,0.0,0.0,-0.09509886056184769,-0.4536454975605011,-0.1629570871591568,-0.14916467666625977,-0.73296058177948,-0.265185683965683,-0.20688296854496002,-0.9685966372489929,-0.3035909831523895,-0.19948306679725647,0.11083575338125229,-0.045380059629678726,-0.17008092999458313,-0.02443542703986168,-0.28425610065460205,-0.06597573310136795,0.19877181947231293,-0.34729310870170593,-0.03245609998703003,0.3508158326148987,-0.31161201000213623,-0.3449889123439789,0.27592265605926514,-0.09935037046670914,-0.2549090087413788,0.25631803274154663,-0.2905006408691406,-0.13012805581092834,0.41305509209632874,-0.3135766088962555,-0.05748438462615013,0.5248761773109436,-0.2752009630203247
6,-0.045795779675245285,0.9933538436889648,0.10559756308794022,0.15791547298431396,0.7985356450080872,-0.035309091210365295,0.22442887723445892,0.5123273134231567,-0.10134316235780716,0.03371556103229523,0.32986578345298767,-0.17283281683921814,-0.1829204112291336,0.20723159611225128,-0.23138128221035004,0.23750115931034088,0.011010290123522282,0.026654018089175224,0.4009995758533478,-0.36920154094696045,-0.09958211332559586,0.4976937770843506,-0.6104871034622192,-0.17495396733283997,0.547772228717804,-0.8082655668258667,-0.2145501971244812,0.0,0.0,0.0,-0.09134285897016525,-0.4535861313343048,-0.16088104248046875,-0.1482836902141571,-0.7332640886306763,-0.2627258896827698,-0.20925268530845642,-0.9651418924331665,-0.29917412996292114,-0.1943347007036209,0.10994745790958405,-0.044301051646471024,-0.17300422489643097,-0.014002438634634018,-0.2760869264602661,-0.0698046013712883,0.20181751251220703,-0.33679404854774475,-0.03388230502605438,0.35341647267341614,-0.2993566393852234,-0.3374698758125305,0.27337899804115295,-0.0973472073674202,-0.26184260845184326,0.2624075412750244,-0.27915704250335693,-0.1435193419456482,0.41680315136909485,-0.2955583930015564,-0.0730123370885849,0.5293397307395935,-0.2518380284309387
7,-0.048692937940359116,0.9870482683181763,0.1528552621603012,0.14040403068065643,0.8271189332008362,0.007074285298585892,0.21238216757774353,0.5449426770210266,-0.07468518614768982,0.023943211883306503,0.35928189754486084,-0.1608516275882721,-0.18432748317718506,0.23395568132400513,-0.23426589369773865,0.23488904535770416,0.02414627932012081,0.023451657965779305,0.3956826627254486,-0.3597133457660675,-0.10933836549520493,0.48258906602859497,-0.6077456474304199,-0.18143004179000854,0.5435122847557068,-0.8216552734375,-0.21810796856880188,0.0,0.0,0.0,-0.07612795382738113,-0.4430311322212219,-0.12653161585330963,-0.15567247569561005,-0.7312290072441101,-0.19165407121181488,-0.23484672605991364,-0.9664210081100464,-0.20909203588962555,-0.1916227489709854,0.10385409742593765,-0.04348980635404587,-0.2014733999967575,0.021731441840529442,-0.2107694447040558,-0.11348976194858551,0.2362108826637268,-0.23681284487247467,-0.07048822939395905,0.3837408721446991,-0.19590860605239868,-0.339306503534317,0.2706094980239868,-0.10147950798273087,-0.3023659884929657,0.2780836522579193,-0.2098027765750885,-0.1876707822084427,0.43439435958862305,-0.19173261523246765,-0.12495552748441696,0.5492907166481018,-0.1425572633743286
