Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.0551157221198082,0.9241834878921509,0.3779512941837311,0.1504696011543274,0.8907536268234253,0.1059706062078476,0.21689501404762268,0.7502183318138123,-0.06417622417211533,-0.009180992841720581,0.6314778923988342,-0.1971520632505417,-0.2925800085067749,0.5021752119064331,-0.3428094685077667,0.27804282307624817,0.05245516821742058,0.00695111695677042,0.42996522784233093,-0.35522836446762085,-0.19270047545433044,0.514050304889679,-0.6399197578430176,-0.3343942165374756,0.5784925222396851,-0.897066593170166,-0.4318811893463135,0.0,0.0,0.0,-0.046193286776542664,-0.49631091952323914,-0.16906242072582245,-0.08991695940494537,-0.8189439177513123,-0.31255581974983215,-0.11843078583478928,-1.0971859693527222,-0.3984955847263336,-0.21905186772346497,0.12429129332304001,-0.02348390594124794,-0.38869360089302063,-0.2325267493724823,-0.26442983746528625,-0.497336208820343,-0.502051055431366,-0.44971078634262085,-0.5737795233726501,-0.7427932620048523,-0.561580240726471,-0.36727017164230347,0.3548993170261383,-0.05781351774930954,-0.36543041467666626,0.36753320693969727,-0.3225659132003784,-0.2829582393169403,0.5264620780944824,-0.41555389761924744,-0.20275728404521942,0.6637389063835144,-0.45108354091644287
2,-0.005839410237967968,0.9726980328559875,0.23200084269046783,0.16646066308021545,0.8758053779602051,0.03931591659784317,0.21880754828453064,0.6528648138046265,-0.06054363027215004,0.0005588375497609377,0.5032434463500977,-0.13714875280857086,-0.26082977652549744,0.3754751682281494,-0.22246429324150085,0.23804780840873718,0.043489329516887665,0.01708908937871456,0.3754425644874573,-0.3286438584327698,-0.10708367079496384,0.46071723103523254,-0.5822004675865173,-0.2006267011165619,0.5162606239318848,-0.8108786344528198,-0.2672019600868225,0.0,0.0,0.0,-0.02962571009993553,-0.46205493807792664,-0.10955686867237091,-0.06776291877031326,-0.7682370543479919,-0.22030535340309143,-0.10831993818283081,-1.025285243988037,-0.2855179011821747,-0.19432996213436127,0.09948261827230453,-0.03192713484168053,-0.3339932858943939,-0.2545033395290375,-0.22218000888824463,-0.4239581227302551,-0.49783557653427124,-0.39080020785331726,-0.5082980990409851,-0.7129078507423401,-0.49053457379341125,-0.33775418996810913,0.30032989382743835,-0.07086116075515747,-0.29785874485969543,0.26306843757629395,-0.30136838555336,-0.20864833891391754,0.4293154180049896,-0.39042219519615173,-0.1542513221502304,0.5772837400436401,-0.42317432165145874
3,0.007702730596065521,0.9743205308914185,0.22503362596035004,0.17558646202087402,0.8740139603614807,0.01640387997031212,0.23103772103786469,0.6500115990638733,-0.08168197423219681,0.003931271377950907,0.48561951518058777,-0.1512821763753891,-0.24956703186035156,0.3645853102207184,-0.22779497504234314,0.24117884039878845,0.045310650020837784,0.004009816329926252,0.3572208881378174,-0.35277777910232544,-0.1100049540400505,0.412142276763916,-0.6041924357414246,-0.19644898176193237,0.44512614607810974,-0.83062344789505,-0.2597908675670624,0.0,0.0,0.0,-0.01827799342572689,-0.46353089809417725,-0.09229129552841187,-0.05272927135229111,-0.761212170124054,-0.18976381421089172,-0.08190811425447464,-1.0119411945343018,-0.24939966201782227,-0.1926751285791397,0.09504847228527069,-0.021285129711031914,-0.3221992552280426,-0.28913041949272156,-0.18835732340812683,-0.39204344153404236,-0.5531298518180847,-0.3480767607688904,-0.4504286050796509,-0.7783127427101135,-0.4483221769332886,-0.32853105664253235,0.28629767894744873,-0.05228862166404724,-0.3185380697250366,0.2013925313949585,-0.26144614815711975,-0.23958370089530945,0.3549571931362152,-0.33981916308403015,-0.1833675354719162,0.5091004371643066,-0.3687713146209717
4,0.01891728676855564,0.9775652289390564,0.20978160202503204,0.1813676953315735,0.8713646531105042,0.01957317441701889,0.25004807114601135,0.6489543318748474,-0.07206068933010101,0.032333724200725555,0.4863816201686859,-0.13898389041423798,-0.2152322232723236,0.37156274914741516,-0.2127118706703186,0.23104669153690338,0.05676255375146866,0.008791032247245312,0.3578614890575409,-0.32829710841178894,-0.1006917878985405,0.41997215151786804,-0.5734876394271851,-0.17987774312496185,0.4532380700111389,-0.7924038767814636,-0.23708219826221466,0.0,0.0,0.0,-0.001186075620353222,-0.4486774504184723,-0.09051323682069778,-0.02295699156820774,-0.7379283905029297,-0.17658746242523193,-0.047157514840364456,-0.9869024753570557,-0.2262815237045288,-0.1832084357738495,0.0812174528837204,-0.025304893031716347,-0.2887223958969116,-0.2868298292160034,-0.1830785721540451,-0.34486085176467896,-0.5558730959892273,-0.33072078227996826,-0.39617177844047546,-0.7899049520492554,-0.42338496446609497,-0.3132114112377167,0.25905880331993103,-0.05983014032244682,-0.31271252036094666,0.2080608457326889,-0.2554759979248047,-0.24234402179718018,0.36076340079307556,-0.32607501745224,-0.18947887420654297,0.5109764933586121,-0.3503393232822418
5,0.015650968998670578,0.9792013764381409,0.20228633284568787,0.17966178059577942,0.8592895269393921,0.011004271917045116,0.24414238333702087,0.6303172707557678,-0.08095977455377579,0.03076091967523098,0.4696252644062042,-0.14888666570186615,-0.2189885675907135,0.35847583413124084,-0.22385433316230774,0.23415815830230713,0.054511215537786484,0.007035403978079557,0.35741478204727173,-0.3303907811641693,-0.10161539167165756,0.41571250557899475,-0.5736172795295715,-0.18211714923381805,0.445110559463501,-0.7925863265991211,-0.2416396588087082,0.0,0.0,0.0,-0.0022703579161316156,-0.44893598556518555,-0.09036752581596375,-0.025897717103362083,-0.7357040643692017,-0.1788494884967804,-0.05482301861047745,-0.9833755493164062,-0.23097233474254608,-0.18685799837112427,0.08165343850851059,-0.023969456553459167,-0.29204270243644714,-0.2859295904636383,-0.1799936443567276,-0.34962141513824463,-0.5515819191932678,-0.33023685216903687,-0.4058459401130676,-0.7827299237251282,-0.42519816756248474,-0.3171820640563965,0.2556961178779602,-0.05757515877485275,-0.3190675377845764,0.20981858670711517,-0.2552329897880554,-0.2524745762348175,0.3602219521999359,-0.33136042952537537,-0.20410990715026855,0.504098117351532,-0.3594798445701599
6,-0.06438593566417694,0.9720902442932129,0.22559912502765656,0.11830338835716248,0.8587940335273743,0.007531078066676855,0.20761694014072418,0.6479360461235046,-0.10198131203651428,0.0096194539219141,0.5086742639541626,-0.1805781126022339,-0.2351859211921692,0.4015101194381714,-0.2650577425956726,0.21774156391620636,0.05799219012260437,0.003419021610170603,0.3528699576854706,-0.3240428566932678,-0.10849502682685852,0.42614036798477173,-0.578658401966095,-0.19259269535541534,0.475927472114563,-0.8044868111610413,-0.26127859950065613,0.0,0.0,0.0,0.0055458927527070045,-0.45743855834007263,-0.08637542277574539,-0.013303817249834538,-0.7471566796302795,-0.17012245953083038,-0.027468014508485794,-0.9955537915229797,-0.23149803280830383,-0.1703847348690033,0.07830207794904709,-0.026490939781069756,-0.2938152253627777,-0.27557313442230225,-0.16858823597431183,-0.3573705554008484,-0.5380634665489197,-0.3105626404285431,-0.403785765171051,-0.7780866026878357,-0.41333287954330444,-0.31338679790496826,0.25657421350479126,-0.06652195751667023,-0.3301389515399933,0.19537988305091858,-0.24203845858573914,-0.27240461111068726,0.3446863889694214,-0.3087303638458252,-0.22592651844024658,0.48769351840019226,-0.34724172949790955
7,0.2470184862613678,-0.8148190379142761,0.5244538187980652,0.1747618317604065,-1.0117697715759277,0.13427534699440002,0.0800139382481575,-1.163696050643921,-0.19910717010498047,0.08013137429952621,-1.474740982055664,-0.49954095482826233,0.011299213394522667,-1.7611767053604126,-0.803713858127594,-0.1506052315235138,-0.2491326779127121,-0.04679920896887779,-0.00831497274339199,-0.18843761086463928,-0.4070931077003479,0.22674643993377686,-0.40665867924690247,-0.6746339797973633,0.42214691638946533,-0.6189879775047302,-0.823654294013977,0.0,0.0,0.0,-0.011824555695056915,0.1699344664812088,-0.349197119474411,0.18646255135536194,-0.09215530008077621,-0.5259036421775818,0.35985592007637024,-0.3618564307689667,-0.5993875861167908,0.1699276566505432,0.15109843015670776,0.017316795885562897,0.11315876245498657,0.3202168643474579,-0.25034984946250916,0.23444980382919312,0.12160014361143112,-0.32838642597198486,0.3411061465740204,-0.09350375831127167,-0.3398352861404419,0.3682776689529419,0.19388726353645325,0.001409591524861753,0.35936784744262695,0.22408068180084229,-0.1581365317106247,0.42465925216674805,0.007199999410659075,-0.17261673510074615,0.48914286494255066,-0.20385576784610748,-0.1578533947467804
