Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.1348867416381836,0.9868562817573547,0.08899547159671783,0.43807661533355713,0.7716622352600098,-0.11161080747842789,0.5995759963989258,0.3257918953895569,-0.17192596197128296,0.710529088973999,-0.032688550651073456,-0.22096922993659973,0.9383653998374939,-0.22930143773555756,-0.24442067742347717,0.2506597638130188,-0.0387263149023056,-0.04156148433685303,0.0853116512298584,0.03843250870704651,-0.24507848918437958,0.10999053716659546,0.32988521456718445,-0.34600630402565,0.19054466485977173,0.5230679512023926,-0.3546110689640045,0.0,0.0,0.0,-0.14254015684127808,0.1804838627576828,-0.2337973564863205,-0.027362298220396042,0.4942522644996643,-0.30069562792778015,0.08392882347106934,0.6613712906837463,-0.2771526277065277,-0.20684929192066193,0.11291444301605225,0.006291425321251154,-0.34348294138908386,0.24605154991149902,-0.24649380147457123,-0.2035580426454544,0.5334240794181824,-0.28144335746765137,-0.06742939352989197,0.7003070712089539,-0.2094588577747345,-0.39541181921958923,0.24772746860980988,0.0008178281714208424,-0.555450975894928,-0.034344639629125595,-0.13573844730854034,-0.6954037547111511,-0.20668558776378632,-0.16017141938209534,-0.8246639370918274,-0.36221256852149963,-0.12428000569343567
2,0.13457414507865906,0.9897156357765198,0.04850580170750618,0.42057353258132935,0.7664824724197388,-0.1328212320804596,0.5755618214607239,0.3269621431827545,-0.18249638378620148,0.6882055401802063,-0.004788828548043966,-0.22630542516708374,0.909764289855957,-0.18757252395153046,-0.24242906272411346,0.24460925161838531,-0.03582744300365448,-0.03563055023550987,0.07904043048620224,0.051726773381233215,-0.22240518033504486,0.09347043186426163,0.3419393002986908,-0.3184910714626312,0.1761636584997177,0.5357440114021301,-0.3265151381492615,0.0,0.0,0.0,-0.13900047540664673,0.18201187252998352,-0.21900328993797302,-0.03728057071566582,0.4847050905227661,-0.2837998867034912,0.07711397856473923,0.6469940543174744,-0.2624095380306244,-0.19856218993663788,0.11556028574705124,0.0006348565220832825,-0.30960214138031006,0.24107760190963745,-0.24469640851020813,-0.17832937836647034,0.5137454271316528,-0.2761121094226837,-0.04724380001425743,0.6802988052368164,-0.2063000351190567,-0.3828568160533905,0.24840447306632996,-0.009744906798005104,-0.524810254573822,-0.014481119811534882,-0.1463145613670349,-0.6622097492218018,-0.18053671717643738,-0.16689994931221008,-0.7797868251800537,-0.325380802154541,-0.12804515659809113
3,0.11507988721132278,0.9898205399513245,0.08373692631721497,0.4184087812900543,0.7631800174713135,-0.08708381652832031,0.5755801200866699,0.3232367932796478,-0.1442509889602661,0.6863061785697937,-0.02384103089570999,-0.19182951748371124,0.9030400514602661,-0.21768967807292938,-0.21680490672588348,0.22900861501693726,-0.03824189305305481,-0.01942349411547184,0.022581862285733223,0.041276510804891586,-0.18129345774650574,0.06787758320569992,0.32517334818840027,-0.2736652195453644,0.15680278837680817,0.4992839992046356,-0.31039512157440186,0.0,0.0,0.0,-0.17383328080177307,0.16363999247550964,-0.18208368122577667,-0.06745652109384537,0.4727483093738556,-0.2592482268810272,0.034673213958740234,0.634803056716919,-0.28189727663993835,-0.19885043799877167,0.10664355009794235,-0.00968326535075903,-0.34737616777420044,0.2192552089691162,-0.24485783278942108,-0.2230943888425827,0.505901038646698,-0.28641411662101746,-0.09605489671230316,0.669471263885498,-0.24978801608085632,-0.37568801641464233,0.2321416288614273,-0.024280402809381485,-0.5410451292991638,-0.03217582032084465,-0.17656737565994263,-0.6785444617271423,-0.19478696584701538,-0.20451153814792633,-0.7988132238388062,-0.3609413504600525,-0.18736930191516876
4,0.28270232677459717,0.9532591700553894,0.10665992647409439,0.537339448928833,0.683763861656189,-0.09102321416139603,0.6469669938087463,0.24554255604743958,-0.1600578874349594,0.742289662361145,-0.09498894214630127,-0.21115568280220032,0.9526439905166626,-0.2957369089126587,-0.23359833657741547,0.2215067595243454,-0.07167642563581467,-0.04174606129527092,0.003340872237458825,0.11689325422048569,-0.21486927568912506,0.04775968939065933,0.36998260021209717,-0.30711299180984497,0.15345458686351776,0.5230468511581421,-0.32537418603897095,0.0,0.0,0.0,-0.15087591111660004,0.26557934284210205,-0.20198936760425568,0.011672734282910824,0.5398512482643127,-0.2701341509819031,0.16728197038173676,0.673133373260498,-0.2739117443561554,-0.16896243393421173,0.1350564807653427,0.010051443241536617,-0.2886786460876465,0.3356669247150421,-0.222710981965065,-0.0939365029335022,0.575574517250061,-0.27432164549827576,0.07866860181093216,0.7198129892349243,-0.24340063333511353,-0.29153871536254883,0.29258620738983154,0.00915588065981865,-0.5224708318710327,0.07428596168756485,-0.12498405575752258,-0.7108972072601318,-0.08885827660560608,-0.1650158166885376,-0.8713846206665039,-0.2389141470193863,-0.15976876020431519
5,0.19568641483783722,0.9747822284698486,0.10726799070835114,0.47497913241386414,0.6977578997612,-0.06259305030107498,0.6087064146995544,0.22877062857151031,-0.1083758994936943,0.7248005270957947,-0.12176631391048431,-0.1374402940273285,0.9215528964996338,-0.3337622284889221,-0.14404252171516418,0.2191644012928009,-0.0659305602312088,-0.024197403341531754,0.007416814565658569,0.017107581719756126,-0.14979709684848785,0.05377088487148285,0.3001517951488495,-0.20275576412677765,0.1472461223602295,0.44006600975990295,-0.22399504482746124,0.0,0.0,0.0,-0.18873630464076996,0.16488757729530334,-0.16321054100990295,-0.026597706601023674,0.43388065695762634,-0.24237385392189026,0.10068591684103012,0.5753597617149353,-0.28430113196372986,-0.17415112257003784,0.1264117956161499,0.0011231261305510998,-0.33259934186935425,0.2766614556312561,-0.24096862971782684,-0.12468443065881729,0.5465992093086243,-0.31963875889778137,0.04876457154750824,0.6998942494392395,-0.3204079270362854,-0.31546854972839355,0.27688127756118774,0.001620335504412651,-0.552304744720459,0.04302055388689041,-0.1980065405368805,-0.7198256254196167,-0.09229011833667755,-0.2717209458351135,-0.8666138052940369,-0.22310911118984222,-0.2883901596069336
6,0.24717389047145844,0.9619741439819336,0.11623597890138626,0.5048702955245972,0.6657310128211975,-0.06891821324825287,0.6292747259140015,0.21985042095184326,-0.13315072655677795,0.7320291996002197,-0.12332186847925186,-0.1792730987071991,0.946031928062439,-0.3191937208175659,-0.19359815120697021,0.22688494622707367,-0.081354059278965,-0.037265997380018234,-0.0006969972746446729,0.054054729640483856,-0.19888852536678314,0.054339852184057236,0.3290252983570099,-0.26501908898353577,0.16898083686828613,0.5000865459442139,-0.2654883861541748,0.0,0.0,0.0,-0.1678456962108612,0.2310541272163391,-0.20674385130405426,-0.005935342516750097,0.5168431401252747,-0.2661750018596649,0.15008652210235596,0.6614332795143127,-0.2610907256603241,-0.18008951842784882,0.13176511228084564,0.008304030634462833,-0.31755512952804565,0.3062703013420105,-0.2254166156053543,-0.12731215357780457,0.5504180788993835,-0.2743600308895111,0.04245062172412872,0.6974706649780273,-0.24193067848682404,-0.3072534501552582,0.28127285838127136,0.007615262642502785,-0.5543614029884338,0.06338775157928467,-0.1267324686050415,-0.7416303753852844,-0.09647393226623535,-0.16817593574523926,-0.8994842767715454,-0.24567462503910065,-0.16448287665843964
7,0.272861123085022,0.9589791893959045,0.07684862613677979,0.5351946949958801,0.6913284659385681,-0.11141319572925568,0.6458539962768555,0.24649766087532043,-0.17292603850364685,0.7405761480331421,-0.09872519224882126,-0.23084476590156555,0.9782456755638123,-0.2772068977355957,-0.26123714447021484,0.22797535359859467,-0.06992270052433014,-0.028681961819529533,0.03256111219525337,0.10357190668582916,-0.2066514790058136,0.09155606478452682,0.37330520153045654,-0.29452961683273315,0.21542248129844666,0.5274120569229126,-0.29985278844833374,0.0,0.0,0.0,-0.1220913827419281,0.28195855021476746,-0.21969228982925415,0.03696524351835251,0.5363947153091431,-0.2938055992126465,0.17677976191043854,0.6599210500717163,-0.2826652526855469,-0.172524094581604,0.1352820098400116,-0.002654290059581399,-0.2755485475063324,0.34352585673332214,-0.25575387477874756,-0.08627845346927643,0.5952979326248169,-0.2967018485069275,0.07376544922590256,0.745613157749176,-0.23168526589870453,-0.32134896516799927,0.28620535135269165,-0.016780981793999672,-0.5283175706863403,0.05800800397992134,-0.15140850841999054,-0.6998571157455444,-0.08990626782178879,-0.16690485179424286,-0.8456165194511414,-0.21347542107105255,-0.12452178448438644
