Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.006526803132146597,0.9900478720664978,0.14057935774326324,0.2793736755847931,0.8200778365135193,0.02012702450156212,0.45905905961990356,0.5277913808822632,-0.05865450203418732,0.3945218324661255,0.3399839699268341,-0.14273463189601898,0.23836350440979004,0.238660529255867,-0.22474730014801025,0.2568610906600952,-0.007682450115680695,0.04852503165602684,0.4021202325820923,-0.3201873004436493,-0.10090524703264236,0.5263170599937439,-0.5272098779678345,-0.20136666297912598,0.6140865683555603,-0.7085654139518738,-0.27893489599227905,0.0,0.0,0.0,0.0977206751704216,-0.26485833525657654,-0.20175261795520782,0.1971137970685959,0.008241889998316765,-0.24649959802627563,0.2079792618751526,0.1843791902065277,-0.22884111106395721,-0.23207570612430573,0.11703641712665558,-0.07211511582136154,-0.10483838617801666,-0.04071353003382683,-0.2712576985359192,0.025659944862127304,0.228744775056839,-0.23042631149291992,0.03262186795473099,0.37061607837677,-0.15410752594470978,-0.4306907057762146,0.30670884251594543,-0.15854083001613617,-0.2698896825313568,0.2328239530324936,-0.2899194657802582,-0.1139487698674202,0.4104938805103302,-0.25055885314941406,-0.07444639503955841,0.515872061252594,-0.1930622011423111
2,0.031864095479249954,0.9909350872039795,0.1305079311132431,0.2712853252887726,0.8182066679000854,0.00031163229141384363,0.4565775990486145,0.5373855233192444,-0.08684810250997543,0.3908962309360504,0.34023401141166687,-0.1723562330007553,0.21689659357070923,0.22175607085227966,-0.2548407018184662,0.25618472695350647,-0.020428955554962158,0.028676733374595642,0.3911197781562805,-0.317512571811676,-0.11027262359857559,0.5083158016204834,-0.5009905695915222,-0.2019909769296646,0.5941776633262634,-0.6731981635093689,-0.2644834816455841,0.0,0.0,0.0,0.0954013392329216,-0.23105815052986145,-0.20204125344753265,0.19239988923072815,0.054407231509685516,-0.26611652970314026,0.19766998291015625,0.22454065084457397,-0.26193657517433167,-0.21658644080162048,0.11592652648687363,-0.04399823769927025,-0.11004123091697693,-0.00871059950441122,-0.25815272331237793,0.022837553173303604,0.24599939584732056,-0.2420794814825058,0.03001249209046364,0.37498804926872253,-0.17832116782665253,-0.4103906452655792,0.31107330322265625,-0.09649234265089035,-0.2780322730541229,0.23497509956359863,-0.2483760416507721,-0.1167927235364914,0.41223272681236267,-0.21855251491069794,-0.07583159953355789,0.5029558539390564,-0.15997672080993652
3,0.0385572724044323,0.9918652176856995,0.12131259590387344,0.2798185348510742,0.8106692433357239,-0.007613335736095905,0.46826550364494324,0.5324706435203552,-0.09592080861330032,0.39014145731925964,0.33405253291130066,-0.1842503696680069,0.19598756730556488,0.22683033347129822,-0.27002817392349243,0.2528645396232605,-0.020749986171722412,0.030298685654997826,0.3818102478981018,-0.3041364252567291,-0.11524343490600586,0.49350705742836,-0.48546671867370605,-0.214033842086792,0.5793592929840088,-0.6569275856018066,-0.28091517090797424,0.0,0.0,0.0,0.0929289162158966,-0.21710467338562012,-0.20956090092658997,0.18515893816947937,0.06363612413406372,-0.28295257687568665,0.18366286158561707,0.23135557770729065,-0.28231996297836304,-0.21706190705299377,0.11204314976930618,-0.04673582687973976,-0.0993192046880722,0.006857105530798435,-0.2728098928928375,0.02561158314347267,0.2693386971950531,-0.26697129011154175,0.024974819272756577,0.3917475640773773,-0.20535977184772491,-0.4106326997280121,0.30324381589889526,-0.10122266411781311,-0.26695552468299866,0.24186065793037415,-0.2586119472980499,-0.11484740674495697,0.4198712408542633,-0.2330896109342575,-0.08066733181476593,0.5051084160804749,-0.17531590163707733
4,0.00022657598310615867,0.9911397695541382,0.1328229308128357,0.26234596967697144,0.8251231908798218,0.031159231439232826,0.47104203701019287,0.5727680921554565,-0.05639397352933884,0.4266780912876129,0.3662209212779999,-0.1497972011566162,0.22270913422107697,0.27792292833328247,-0.24430395662784576,0.25623399019241333,0.008706999011337757,0.037515755742788315,0.4349745810031891,-0.21495388448238373,-0.10679026693105698,0.5840775370597839,-0.3607995808124542,-0.22169505059719086,0.7139294147491455,-0.5011131167411804,-0.30199089646339417,0.0,0.0,0.0,0.1652674376964569,-0.043475523591041565,-0.17552538216114044,0.21513645350933075,0.18337517976760864,-0.26295289397239685,0.18835623562335968,0.2949517071247101,-0.2947864532470703,-0.21451090276241302,0.10360532999038696,-0.048249997198581696,-0.007928147912025452,0.15047311782836914,-0.2243584245443344,0.06971989572048187,0.3626539707183838,-0.22719530761241913,0.05041065439581871,0.44036832451820374,-0.1952836960554123,-0.3994480073451996,0.2821125388145447,-0.10538690537214279,-0.19567608833312988,0.3152301013469696,-0.2225387543439865,-0.08036229759454727,0.4746533930301666,-0.19541525840759277,-0.0615575835108757,0.5461426973342896,-0.14745399355888367
5,0.006437290925532579,0.9916913509368896,0.12847870588302612,0.2649728059768677,0.8227284550666809,0.037746917456388474,0.4762810170650482,0.5577250123023987,-0.043724335730075836,0.4238862991333008,0.3548264503479004,-0.13247452676296234,0.2166038304567337,0.2761324346065521,-0.22239507734775543,0.2510718107223511,0.010250230319797993,0.04467979073524475,0.419822633266449,-0.2083592563867569,-0.10007350146770477,0.5647072196006775,-0.3477914333343506,-0.21440567076206207,0.6976012587547302,-0.48193618655204773,-0.294310599565506,0.0,0.0,0.0,0.16256076097488403,-0.06356368213891983,-0.18007303774356842,0.21886761486530304,0.1738852560520172,-0.2662065029144287,0.1968972533941269,0.2983105480670929,-0.2947678864002228,-0.21374009549617767,0.10162440687417984,-0.05483092740178108,-0.016592910513281822,0.1213141456246376,-0.23446621000766754,0.07294587045907974,0.354122132062912,-0.22933825850486755,0.06141055002808571,0.4502502679824829,-0.18984225392341614,-0.3968891203403473,0.2813107967376709,-0.11778479814529419,-0.2021925151348114,0.31109166145324707,-0.23460978269577026,-0.08755946159362793,0.4759275019168854,-0.20300541818141937,-0.07181621342897415,0.546311616897583,-0.15256613492965698
6,0.010278492234647274,0.9914264678955078,0.1302609145641327,0.2685389816761017,0.8224956393241882,0.039719466120004654,0.4778135120868683,0.560627281665802,-0.042564135044813156,0.42825934290885925,0.3614785075187683,-0.13229386508464813,0.22332677245140076,0.2814633250236511,-0.22322174906730652,0.2511979937553406,0.009251730516552925,0.044523805379867554,0.4231680631637573,-0.20728527009487152,-0.0996648445725441,0.5719649195671082,-0.3443845510482788,-0.21456360816955566,0.707586407661438,-0.47751376032829285,-0.2957765758037567,0.0,0.0,0.0,0.1643386036157608,-0.04386703670024872,-0.17523401975631714,0.2181611955165863,0.19323039054870605,-0.26070475578308105,0.19111019372940063,0.30444154143333435,-0.29257500171661377,-0.2129291146993637,0.10520384460687637,-0.054589882493019104,-0.013691606931388378,0.13237155973911285,-0.23255561292171478,0.07294175028800964,0.36404967308044434,-0.22737395763397217,0.05626916512846947,0.4492754340171814,-0.19055816531181335,-0.3956661820411682,0.2872419059276581,-0.11712916940450668,-0.201542928814888,0.317117303609848,-0.23494823276996613,-0.08440297842025757,0.4813920855522156,-0.20268124341964722,-0.06837417930364609,0.5471802949905396,-0.15263120830059052
7,-0.031387947499752045,0.991081953048706,0.1295042186975479,0.21195480227470398,0.8556438684463501,0.008342240005731583,0.41979819536209106,0.6341037154197693,-0.09065046161413193,0.3691219091415405,0.45291411876678467,-0.1878734529018402,0.18713100254535675,0.3484315276145935,-0.2824573516845703,0.2602759897708893,0.03270920366048813,0.027553213760256767,0.4463767111301422,-0.12469477206468582,-0.12682850658893585,0.6059337258338928,-0.23589080572128296,-0.24865983426570892,0.7447026968002319,-0.3436106741428375,-0.3314177989959717,0.0,0.0,0.0,0.1790693700313568,0.0035990066826343536,-0.18606705963611603,0.21090051531791687,0.27889710664749146,-0.26734474301338196,0.17404857277870178,0.3999069929122925,-0.2876395583152771,-0.2207573801279068,0.08611684292554855,-0.042488496750593185,-0.02340252883732319,0.18691958487033844,-0.22472141683101654,0.030524058267474174,0.4187563955783844,-0.22221046686172485,-0.0010090855648741126,0.4821010231971741,-0.18243397772312164,-0.41359373927116394,0.2499849647283554,-0.09628484398126602,-0.22558842599391937,0.3432442843914032,-0.2176383137702942,-0.12487601488828659,0.5119604468345642,-0.19342273473739624,-0.11340279877185822,0.5579084753990173,-0.1454106718301773
