Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.03510516881942749,0.3418882489204407,0.022948145866394043,0.095924973487854,0.2855287790298462,-0.027151737362146378,0.21533334255218506,0.12177729606628418,-0.04090164601802826,0.24979954957962036,-0.0255013108253479,-0.05472608655691147,0.18616384267807007,-0.10925149917602539,-0.060925424098968506,0.08808672428131104,-0.010616928339004517,0.0019333306699991226,0.13166546821594238,-0.10892802476882935,-0.0782281756401062,0.13279086351394653,0.007127225399017334,-0.12172196805477142,0.12035298347473145,0.11282157897949219,-0.13297083973884583,0.0,0.0,0.0,0.0652504563331604,-0.08142924308776855,-0.09429015964269638,0.06422948837280273,0.06731295585632324,-0.11880199611186981,0.05033034086227417,0.18049728870391846,-0.10676036775112152,-0.08540987968444824,0.020510315895080566,-0.01421390101313591,-0.016411662101745605,-0.026303410530090332,-0.11229074001312256,-0.011169254779815674,0.12490338087081909,-0.10248495638370514,-0.018135905265808105,0.22482436895370483,-0.06355360895395279,-0.17558670043945312,0.049361467361450195,-0.03163754567503929,-0.09708625078201294,0.026092886924743652,-0.09956829249858856,-0.08063513040542603,0.14049237966537476,-0.08882564306259155,-0.0785822868347168,0.213936448097229,-0.05918164551258087
2,-0.04007518291473389,0.35470685362815857,0.01964392513036728,0.09246760606765747,0.27817925810813904,-0.030804088339209557,0.20980942249298096,0.11905708909034729,-0.04849333316087723,0.24502676725387573,-0.026447594165802002,-0.06678765267133713,0.17317301034927368,-0.10536345839500427,-0.07941358536481857,0.08651220798492432,-0.007428556680679321,-3.631971776485443e-05,0.1274111270904541,-0.11445644497871399,-0.08002477139234543,0.12905961275100708,-0.0014674961566925049,-0.1254349797964096,0.12041008472442627,0.10607090592384338,-0.13673649728298187,0.0,0.0,0.0,0.059246718883514404,-0.08291164040565491,-0.08997268229722977,0.05338352918624878,0.0650387704372406,-0.11184941977262497,0.04243701696395874,0.1792604625225067,-0.09748154878616333,-0.08716732263565063,0.022246867418289185,-0.012306859716773033,-0.022904634475708008,-0.0158977210521698,-0.10119453072547913,-0.02186870574951172,0.1297515332698822,-0.08845925331115723,-0.025742530822753906,0.22527799010276794,-0.048390425741672516,-0.17866301536560059,0.05473002791404724,-0.028196970000863075,-0.10450470447540283,0.02388221025466919,-0.08304045349359512,-0.09001415967941284,0.13757619261741638,-0.06358383595943451,-0.08886313438415527,0.21221283078193665,-0.028505461290478706
3,0.008846640586853027,0.3479398190975189,0.014317410066723824,0.1330680251121521,0.24756702780723572,-0.03479693830013275,0.21965491771697998,0.07249715924263,-0.050645701587200165,0.23031717538833618,-0.07538056373596191,-0.06828300654888153,0.15019726753234863,-0.14474919438362122,-0.07978613674640656,0.08228945732116699,-0.025517404079437256,0.0025318190455436707,0.10053974390029907,-0.1470836102962494,-0.07920153439044952,0.12540709972381592,-0.044405192136764526,-0.1260315626859665,0.13813674449920654,0.05794909596443176,-0.13854141533374786,0.0,0.0,0.0,0.04171830415725708,-0.10663768649101257,-0.0954655259847641,0.06338280439376831,0.038787394762039185,-0.12028419971466064,0.0737069845199585,0.15350410342216492,-0.10725987702608109,-0.07950669527053833,0.03599730134010315,-0.015588551759719849,-0.022647857666015625,-0.03239092230796814,-0.11475315690040588,-0.003215312957763672,0.11057552695274353,-0.10450183600187302,0.006856024265289307,0.20990142226219177,-0.06300200521945953,-0.16083532571792603,0.07935169339179993,-0.0342506542801857,-0.09452128410339355,0.021935760974884033,-0.09886038303375244,-0.06967663764953613,0.12902507185935974,-0.0827881321310997,-0.05886220932006836,0.20944973826408386,-0.04864390194416046
4,0.012341529130935669,0.3527693748474121,-0.00682138791307807,0.13143298029899597,0.23937159776687622,-0.04353632405400276,0.210330992937088,0.08000683784484863,-0.05641717091202736,0.2259192168712616,-0.05925983190536499,-0.07614100724458694,0.15632280707359314,-0.13338309526443481,-0.09139341861009598,0.07394185662269592,-0.023488730192184448,0.006867429707199335,0.10022202134132385,-0.1386682093143463,-0.06864366680383682,0.12410101294517517,-0.03889411687850952,-0.11786050349473953,0.13108840584754944,0.06289023160934448,-0.13161040842533112,0.0,0.0,0.0,0.05074450373649597,-0.10012272000312805,-0.08407186716794968,0.06975629925727844,0.03197377920150757,-0.11252927035093307,0.07531389594078064,0.1433238983154297,-0.10422123223543167,-0.07664540410041809,0.03128749132156372,-0.019932828843593597,-0.0037923455238342285,-0.03810995817184448,-0.10677862912416458,0.010895520448684692,0.10114598274230957,-0.10177209228277206,0.012886077165603638,0.20364058017730713,-0.06619444489479065,-0.15754619240760803,0.07212609052658081,-0.04276133328676224,-0.07680603861808777,0.010626494884490967,-0.09737855941057205,-0.04948979616165161,0.11132407188415527,-0.08175624161958694,-0.043262869119644165,0.19267511367797852,-0.049071818590164185
5,-0.011131763458251953,0.3441077172756195,0.011744090355932713,0.11566036939620972,0.24361398816108704,-0.028639327734708786,0.2063174843788147,0.09039446711540222,-0.043076302856206894,0.22248101234436035,-0.046089380979537964,-0.06164636090397835,0.1591557264328003,-0.11837512254714966,-0.07454010099172592,0.08277928829193115,-0.024005740880966187,0.0063177477568387985,0.10587221384048462,-0.13801458477973938,-0.06894230097532272,0.11463642120361328,-0.02754172682762146,-0.11362569779157639,0.1151742935180664,0.07323917746543884,-0.1267516016960144,0.0,0.0,0.0,0.02907121181488037,-0.10573962330818176,-0.08774001151323318,0.04401439428329468,0.031671732664108276,-0.11425607651472092,0.05489140748977661,0.1414491832256317,-0.10528071224689484,-0.08027058839797974,0.03491213917732239,-0.017662260681390762,-0.03924983739852905,-0.03399163484573364,-0.10471346974372864,-0.016516804695129395,0.10185089707374573,-0.09476254880428314,-0.004061639308929443,0.19723638892173767,-0.05824057385325432,-0.16137468814849854,0.0790586769580841,-0.03825668618083,-0.108489990234375,0.013066589832305908,-0.09377910941839218,-0.07987010478973389,0.11748048663139343,-0.0746951624751091,-0.06984031200408936,0.197344571352005,-0.04102784022688866
6,-0.025393187999725342,0.3284973204135895,0.005157776642590761,0.10383254289627075,0.2380833923816681,-0.037805210798978806,0.19141006469726562,0.08066639304161072,-0.04835927113890648,0.20143914222717285,-0.057684093713760376,-0.061928194016218185,0.14618319272994995,-0.14025738835334778,-0.06975066661834717,0.08286446332931519,-0.02360805869102478,0.00179760018363595,0.09274232387542725,-0.14626526832580566,-0.07307583093643188,0.09951680898666382,-0.040760338306427,-0.11599884927272797,0.10234594345092773,0.06363222002983093,-0.12641750276088715,0.0,0.0,0.0,0.02432352304458618,-0.10790669918060303,-0.0891171395778656,0.03081047534942627,0.031754106283187866,-0.11330095678567886,0.03719896078109741,0.14667049050331116,-0.10045096278190613,-0.08120894432067871,0.031144797801971436,-0.014206970110535622,-0.045104920864105225,-0.044266730546951294,-0.10630452632904053,-0.031445205211639404,0.09535375237464905,-0.09778831154108047,-0.021378695964813232,0.19580838084220886,-0.0588257722556591,-0.16523641347885132,0.07025060057640076,-0.03102530725300312,-0.11802393198013306,0.008167833089828491,-0.09283354878425598,-0.09591102600097656,0.11460229754447937,-0.07832393795251846,-0.08374470472335815,0.19573381543159485,-0.04537152871489525
7,-0.02775096893310547,0.3305792212486267,0.005016254261136055,0.10275143384933472,0.2438250184059143,-0.038304541260004044,0.19296884536743164,0.08500099182128906,-0.04787857085466385,0.2014256715774536,-0.0535891056060791,-0.060064755380153656,0.14839041233062744,-0.13512346148490906,-0.06643371284008026,0.08246362209320068,-0.022390276193618774,0.002286237198859453,0.0969998836517334,-0.1446562111377716,-0.07414233684539795,0.1042245626449585,-0.042147159576416016,-0.11784534901380539,0.10728681087493896,0.06436675786972046,-0.1284838765859604,0.0,0.0,0.0,0.026622891426086426,-0.11042022705078125,-0.09098197519779205,0.03374403715133667,0.028301924467086792,-0.11542069911956787,0.04099440574645996,0.14438408613204956,-0.10218928009271622,-0.08173632621765137,0.03135785460472107,-0.015025950968265533,-0.04227161407470703,-0.0437471866607666,-0.11077531427145004,-0.0287400484085083,0.09722530841827393,-0.10164594650268555,-0.019297480583190918,0.1980358362197876,-0.06114718317985535,-0.1677829921245575,0.07158899307250977,-0.03250955045223236,-0.11581099033355713,0.006356000900268555,-0.09713806957006454,-0.09500157833099365,0.11311233043670654,-0.08183211833238602,-0.0853608250617981,0.19348669052124023,-0.04775867238640785
