Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.05973255634307861,0.3411235809326172,0.03944142907857895,0.028899669647216797,0.2785630226135254,-0.009220536798238754,0.07741028070449829,0.1538432240486145,-0.02548987790942192,0.02187591791152954,0.06129002571105957,-0.038114193826913834,-0.06241971254348755,0.03886181116104126,-0.05096772685647011,0.06640911102294922,0.01277625560760498,0.0036741383373737335,0.07007807493209839,-0.12720510363578796,-0.02660219743847847,0.06467247009277344,-0.21664944291114807,-0.055143605917692184,0.05431783199310303,-0.29473575949668884,-0.0773671418428421,0.0,0.0,0.0,0.008045196533203125,-0.1460026502609253,-0.024887915700674057,0.008103609085083008,-0.24921372532844543,-0.05343497917056084,0.0022187232971191406,-0.33760538697242737,-0.07419371604919434,-0.059288203716278076,0.018072962760925293,-0.009598881006240845,-0.05505633354187012,-0.11576712131500244,-0.0329187773168087,-0.05126357078552246,-0.2039797306060791,-0.05787770822644234,-0.055505454540252686,-0.27943241596221924,-0.0752902626991272,-0.11985144019126892,0.0592423677444458,-0.024628538638353348,-0.1160808801651001,-0.038266390562057495,-0.0467984564602375,-0.11135420203208923,-0.1057630181312561,-0.058070529252290726,-0.11209529638290405,-0.16614997386932373,-0.06555977463722229
2,-0.05774235725402832,0.3557978868484497,0.032419390976428986,0.028460323810577393,0.28038787841796875,-0.017136577516794205,0.08077555894851685,0.14980220794677734,-0.03187454119324684,0.022455871105194092,0.05519378185272217,-0.043068964034318924,-0.061892569065093994,0.02474808692932129,-0.053916085511446,0.0654861330986023,0.009741425514221191,0.003815794363617897,0.06911522150039673,-0.1310599446296692,-0.02628224343061447,0.06268024444580078,-0.21992293000221252,-0.054439570754766464,0.05265527963638306,-0.29830828309059143,-0.07667180895805359,0.0,0.0,0.0,0.007884860038757324,-0.14729776978492737,-0.02528396248817444,0.005814492702484131,-0.250611275434494,-0.054607752710580826,0.0006009936332702637,-0.3410261869430542,-0.07679958641529083,-0.0589485764503479,0.021271228790283203,-0.01103927567601204,-0.05464285612106323,-0.11513200402259827,-0.03730611130595207,-0.052056849002838135,-0.20530346035957336,-0.06484977900981903,-0.05448150634765625,-0.28280600905418396,-0.08410242199897766,-0.11895507574081421,0.0641930103302002,-0.027758102864027023,-0.1198393702507019,-0.03832000494003296,-0.05356750264763832,-0.11681902408599854,-0.10833740234375,-0.06848913431167603,-0.11710977554321289,-0.1716342568397522,-0.07894882559776306
3,-0.08328807353973389,0.35330092906951904,0.03873777016997337,0.003269016742706299,0.28389763832092285,-0.027819931507110596,0.06299662590026855,0.16703712940216064,-0.053192660212516785,-0.00014728307723999023,0.06464314460754395,-0.0715446025133133,-0.084805428981781,0.02149444818496704,-0.08809559792280197,0.06926512718200684,0.01594531536102295,-0.003282606601715088,0.08441150188446045,-0.12499338388442993,-0.03850924223661423,0.08249115943908691,-0.21422317624092102,-0.07091011106967926,0.07865524291992188,-0.29488927125930786,-0.09605716913938522,0.0,0.0,0.0,0.021802663803100586,-0.14923816919326782,-0.02818392962217331,0.028302431106567383,-0.2493746280670166,-0.05873331427574158,0.032663822174072266,-0.3376818001270294,-0.08238837867975235,-0.06337541341781616,0.014393091201782227,-0.005416840314865112,-0.0490339994430542,-0.12132483720779419,-0.033886224031448364,-0.03713858127593994,-0.20947247743606567,-0.05988024175167084,-0.028931081295013428,-0.28552576899528503,-0.0785921961069107,-0.1300857663154602,0.05072730779647827,-0.018150564283132553,-0.12269327044487,-0.05239000916481018,-0.044457919895648956,-0.1121399998664856,-0.1187862753868103,-0.05786138027906418,-0.10381484031677246,-0.18093132972717285,-0.06747616827487946
4,-0.09283590316772461,0.367240846157074,0.02140042558312416,0.00700068473815918,0.2965100407600403,-0.025315269827842712,0.07357078790664673,0.16469871997833252,-0.038729097694158554,0.03137749433517456,0.058772504329681396,-0.05051703006029129,-0.053765952587127686,0.032078683376312256,-0.06129326671361923,0.06527453660964966,0.017519116401672363,0.005787945352494717,0.08270537853240967,-0.1189306378364563,-0.022311754524707794,0.08510470390319824,-0.20465582609176636,-0.05064113438129425,0.08120763301849365,-0.2816098928451538,-0.07383204996585846,0.0,0.0,0.0,0.02031731605529785,-0.14508092403411865,-0.022787678986787796,0.028389573097229004,-0.24254420399665833,-0.04931923747062683,0.029078304767608643,-0.32655325531959534,-0.07007168233394623,-0.06107616424560547,0.014854490756988525,-0.013848565518856049,-0.04452472925186157,-0.12009835243225098,-0.03566765412688255,-0.03459048271179199,-0.20488101243972778,-0.058153413236141205,-0.03242313861846924,-0.27935555577278137,-0.07525736093521118,-0.12358367443084717,0.0523717999458313,-0.03417635336518288,-0.11229813098907471,-0.0506264865398407,-0.05336233973503113,-0.10507369041442871,-0.11863431334495544,-0.06369732320308685,-0.1060364842414856,-0.18197429180145264,-0.07252208143472672
5,-0.07220590114593506,0.36567115783691406,0.022190675139427185,0.023574471473693848,0.2851221561431885,-0.02402915619313717,0.07742547988891602,0.14619994163513184,-0.03678403049707413,0.01935291290283203,0.04462075233459473,-0.046955302357673645,-0.07563132047653198,0.024482399225234985,-0.05627022683620453,0.06556046009063721,0.01435708999633789,0.00507652573287487,0.07514995336532593,-0.13136637210845947,-0.019978919997811317,0.07024741172790527,-0.21977582573890686,-0.046061836183071136,0.06126070022583008,-0.2986389100551605,-0.06751159578561783,0.0,0.0,0.0,0.009604275226593018,-0.15251493453979492,-0.02008468098938465,0.00805199146270752,-0.25503039360046387,-0.04599796235561371,0.0022352933883666992,-0.34457236528396606,-0.06677642464637756,-0.06103163957595825,0.01682344079017639,-0.012867080047726631,-0.056925415992736816,-0.12414509057998657,-0.033695660531520844,-0.054264068603515625,-0.2137276828289032,-0.058486878871917725,-0.05940431356430054,-0.2942497432231903,-0.0771947130560875,-0.12281924486160278,0.05326443910598755,-0.03159087151288986,-0.12221899628639221,-0.05570685863494873,-0.050994835793972015,-0.12111479043960571,-0.12619242072105408,-0.06264948844909668,-0.12630683183670044,-0.19236153364181519,-0.07237797230482101
6,-0.09361690282821655,0.3648133873939514,0.024927135556936264,0.006169438362121582,0.2926672101020813,-0.020247967913746834,0.06952935457229614,0.16002744436264038,-0.0337165892124176,0.029522240161895752,0.05904871225357056,-0.04603389650583267,-0.054660022258758545,0.037420451641082764,-0.058133967220783234,0.063912034034729,0.01686197519302368,0.006369676440954208,0.0819023847579956,-0.12337252497673035,-0.02252029813826084,0.08389616012573242,-0.20961597561836243,-0.05076397955417633,0.08201515674591064,-0.28589358925819397,-0.07362883538007736,0.0,0.0,0.0,0.022445380687713623,-0.1464076042175293,-0.024512728676199913,0.026930689811706543,-0.2466503381729126,-0.05259617418050766,0.026430249214172363,-0.3348786532878876,-0.07461435347795486,-0.060311079025268555,0.01519078016281128,-0.013811176642775536,-0.04579329490661621,-0.11926192045211792,-0.03589852154254913,-0.038436710834503174,-0.20607060194015503,-0.05993738770484924,-0.03660988807678223,-0.2836441397666931,-0.07878167182207108,-0.12174087762832642,0.051075756549835205,-0.03384018689393997,-0.11142420768737793,-0.0510714054107666,-0.052292726933956146,-0.10455536842346191,-0.11928790807723999,-0.06243988871574402,-0.1043972373008728,-0.18181857466697693,-0.0720488578081131
7,-0.08922058343887329,0.3671606779098511,0.024976778775453568,0.0037598013877868652,0.29604220390319824,-0.022959236055612564,0.07096683979034424,0.16450375318527222,-0.036561425775289536,0.039621174335479736,0.057356178760528564,-0.04710141569375992,-0.04129946231842041,0.017823755741119385,-0.056375861167907715,0.062046051025390625,0.015658557415008545,0.0036439765244722366,0.08072853088378906,-0.12474864721298218,-0.023695189505815506,0.08251011371612549,-0.21242403984069824,-0.05106540024280548,0.08043116331100464,-0.29058581590652466,-0.07339832186698914,0.0,0.0,0.0,0.02127927541732788,-0.14765018224716187,-0.021839197725057602,0.029883205890655518,-0.2482663094997406,-0.048166073858737946,0.032314181327819824,-0.3359360694885254,-0.06880072504281998,-0.0584140419960022,0.016217589378356934,-0.011164695024490356,-0.04106307029724121,-0.11972475051879883,-0.03346490114927292,-0.02901214361190796,-0.20744407176971436,-0.056940957903862,-0.025502443313598633,-0.2841443121433258,-0.07449444383382797,-0.11715441942214966,0.05508822202682495,-0.028524622321128845,-0.10872268676757812,-0.04662966728210449,-0.05113943666219711,-0.10042047500610352,-0.11621397733688354,-0.06405878812074661,-0.09840691089630127,-0.1802908182144165,-0.07380210608243942
