Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.025487661361694336,0.3904564380645752,0.04320814460515976,0.0918729305267334,0.3240549564361572,0.052754104137420654,0.17167788743972778,0.2088029384613037,0.037182241678237915,0.23796534538269043,0.13758158683776855,0.006026845425367355,0.266859769821167,0.05006909370422363,-0.025471217930316925,0.035791099071502686,-0.003205716609954834,0.045206502079963684,0.0364421010017395,-0.17611348628997803,-0.015859555453062057,0.12896299362182617,-0.2121889591217041,-0.06483599543571472,0.21650588512420654,-0.1952497959136963,-0.09048444777727127,0.0,0.0,0.0,-0.01711803674697876,-0.2101784646511078,-0.06309788674116135,0.1063050627708435,-0.24584773182868958,-0.11305881291627884,0.20425373315811157,-0.20211029052734375,-0.13676106929779053,-0.036656737327575684,0.023712724447250366,-0.04887766391038895,-0.054957062005996704,-0.1660839319229126,-0.0939321294426918,0.06219899654388428,-0.21021026372909546,-0.12230328470468521,0.15410155057907104,-0.1931944489479065,-0.13400143384933472,-0.06406864523887634,0.07261180877685547,-0.09890127927064896,-0.07320496439933777,-0.07208999991416931,-0.13752833008766174,-0.00028139352798461914,-0.13577347993850708,-0.15724623203277588,0.07014340162277222,-0.15308812260627747,-0.1647949516773224
2,-0.04570510983467102,0.4082320034503937,0.029729481786489487,0.08392000198364258,0.3283924162387848,0.04550253227353096,0.17007732391357422,0.20567378401756287,0.03496629372239113,0.23023688793182373,0.128854900598526,0.007342018187046051,0.25264739990234375,0.04056611657142639,-0.02141137421131134,0.038865506649017334,-0.006588578224182129,0.04798029363155365,0.03772836923599243,-0.17499509453773499,-0.00777304545044899,0.12605899572372437,-0.21275505423545837,-0.055789560079574585,0.21049803495407104,-0.2015136182308197,-0.08251291513442993,0.0,0.0,0.0,-0.015333175659179688,-0.20726755261421204,-0.05574008822441101,0.10258883237838745,-0.24931693077087402,-0.10436177253723145,0.19836312532424927,-0.22002500295639038,-0.13079938292503357,-0.03777581453323364,0.02744680643081665,-0.052260011434555054,-0.04809609055519104,-0.1649206578731537,-0.09606508910655975,0.06857746839523315,-0.2113628089427948,-0.12550407648086548,0.16150987148284912,-0.19760644435882568,-0.13985145092010498,-0.06481194496154785,0.07745137810707092,-0.10516427457332611,-0.06795644760131836,-0.06884142756462097,-0.14420980215072632,0.007058918476104736,-0.1331404149532318,-0.16424863040447235,0.07944822311401367,-0.15182888507843018,-0.17339251935482025
3,-0.04845881462097168,0.40980151295661926,0.03485067933797836,0.08811789751052856,0.32494524121284485,0.05445745959877968,0.1718350052833557,0.19813624024391174,0.04714229330420494,0.23344433307647705,0.12212780117988586,0.023210769519209862,0.2576836943626404,0.03984031081199646,-0.0008228570222854614,0.03947579860687256,-0.010509014129638672,0.04823850095272064,0.03220963478088379,-0.18394693732261658,-0.010580971837043762,0.12293821573257446,-0.22287899255752563,-0.06027349457144737,0.20930063724517822,-0.21096885204315186,-0.0880754292011261,0.0,0.0,0.0,-0.01517421007156372,-0.20923557877540588,-0.05876157060265541,0.10326111316680908,-0.2454259991645813,-0.10764732956886292,0.19819706678390503,-0.21424394845962524,-0.13421398401260376,-0.03614330291748047,0.029307514429092407,-0.0518464557826519,-0.04615128040313721,-0.1629873812198639,-0.09743823111057281,0.06678503751754761,-0.20791247487068176,-0.12879687547683716,0.1569177508354187,-0.19377657771110535,-0.14479219913482666,-0.05961483716964722,0.07829394936561584,-0.10393217206001282,-0.060099661350250244,-0.06355783343315125,-0.14662761986255646,0.009859561920166016,-0.13134297728538513,-0.1721256673336029,0.0787663459777832,-0.1578516662120819,-0.18548078835010529
4,-0.04807150363922119,0.41107040643692017,0.041227567940950394,0.0868750810623169,0.32810521125793457,0.06099017709493637,0.17211467027664185,0.2072320580482483,0.05038048326969147,0.23675578832626343,0.1345946192741394,0.02270117960870266,0.26831018924713135,0.05607706308364868,-0.0053232647478580475,0.04155200719833374,-0.00864797830581665,0.04949106276035309,0.03957772254943848,-0.1855112612247467,-0.009599793702363968,0.13340365886688232,-0.21613937616348267,-0.05790570005774498,0.21963012218475342,-0.1992139220237732,-0.08491550385951996,0.0,0.0,0.0,-0.004735112190246582,-0.21553367376327515,-0.05767355486750603,0.11688578128814697,-0.24699097871780396,-0.10373754799365997,0.21088051795959473,-0.2115216851234436,-0.12885701656341553,-0.03711569309234619,0.028251171112060547,-0.05280090495944023,-0.03509056568145752,-0.17121899127960205,-0.09811843931674957,0.08374202251434326,-0.21046525239944458,-0.12671785056591034,0.17576181888580322,-0.19138652086257935,-0.14091463387012482,-0.06098663806915283,0.0767982006072998,-0.10568410158157349,-0.04987454414367676,-0.07047474384307861,-0.14691035449504852,0.025083422660827637,-0.1316591501235962,-0.16829439997673035,0.09581112861633301,-0.14944398403167725,-0.17862790822982788
5,0.008950084447860718,0.4044233560562134,-0.007016794290393591,0.14611294865608215,0.29024529457092285,0.0496339276432991,0.21529796719551086,0.16760218143463135,0.059454500675201416,0.2744656503200531,0.09080308675765991,0.045628905296325684,0.32221636176109314,0.019844233989715576,0.03178492188453674,0.0344410240650177,-0.00915437936782837,0.058363378047943115,0.08277711272239685,-0.16968828439712524,0.025218183174729347,0.18235966563224792,-0.20811018347740173,-0.006270853336900473,0.264433890581131,-0.2027033567428589,-0.02373136579990387,0.0,0.0,0.0,0.06776663661003113,-0.19546908140182495,-0.04276927560567856,0.18706068396568298,-0.22280853986740112,-0.07591266185045242,0.2730163037776947,-0.19409769773483276,-0.09068550914525986,-0.012717962265014648,0.02059614658355713,-0.05943901836872101,0.05256667733192444,-0.16509750485420227,-0.08889071643352509,0.16981950402259827,-0.2018577754497528,-0.10576093941926956,0.257158488035202,-0.18592411279678345,-0.11157433688640594,0.0007549822330474854,0.05441629886627197,-0.11674755811691284,0.05034986138343811,-0.09926280379295349,-0.13426677882671356,0.12626811861991882,-0.15634411573410034,-0.13823111355304718,0.19485196471214294,-0.16837120056152344,-0.13738441467285156
6,0.01646745204925537,0.4000619649887085,-0.006740872282534838,0.15500164031982422,0.29748451709747314,0.04457741975784302,0.2236042022705078,0.17062830924987793,0.048837363719940186,0.2841784358024597,0.09152144193649292,0.031201863661408424,0.3331667184829712,0.021440207958221436,0.01416744478046894,0.03160214424133301,-0.008867502212524414,0.054936483502388,0.08723968267440796,-0.16617023944854736,0.02224392630159855,0.19202947616577148,-0.20803344249725342,-0.011471489444375038,0.2809557318687439,-0.20291242003440857,-0.030190439894795418,0.0,0.0,0.0,0.0690072774887085,-0.19698655605316162,-0.03302396833896637,0.19025057554244995,-0.23841968178749084,-0.061313387006521225,0.28005027770996094,-0.2160968780517578,-0.0750674158334732,-0.008234679698944092,0.01985222101211548,-0.056084245443344116,0.05687052011489868,-0.17104095220565796,-0.07907836884260178,0.17301785945892334,-0.21466058492660522,-0.0890863835811615,0.25761502981185913,-0.19935375452041626,-0.09193824231624603,0.014432907104492188,0.04958432912826538,-0.11067195981740952,0.07391899824142456,-0.10101455450057983,-0.12473993003368378,0.15537488460540771,-0.15185660123825073,-0.12245149910449982,0.22295677661895752,-0.15839210152626038,-0.11673258990049362
7,0.00938144326210022,0.39815473556518555,-0.007523457985371351,0.14532151818275452,0.2982891798019409,0.039579086005687714,0.21143808960914612,0.17366564273834229,0.04220278561115265,0.2697899043560028,0.09582197666168213,0.0226872768253088,0.3179594576358795,0.021989107131958008,0.0034884358756244183,0.03355845808982849,-0.008630514144897461,0.054328907281160355,0.07853725552558899,-0.16786521673202515,0.018883714452385902,0.17870798707008362,-0.20824497938156128,-0.01692931167781353,0.26343557238578796,-0.2009616494178772,-0.0366094671189785,0.0,0.0,0.0,0.05084064602851868,-0.19444569945335388,-0.03381801396608353,0.16956189274787903,-0.23748257756233215,-0.0636877566576004,0.2591906487941742,-0.21403709053993225,-0.07852814346551895,-0.015302687883377075,0.020231544971466064,-0.05664380267262459,0.037868648767471313,-0.16972285509109497,-0.0817238911986351,0.1505342423915863,-0.21410855650901794,-0.09288785606622696,0.232537180185318,-0.19887235760688782,-0.0959826409816742,-0.0032870471477508545,0.04927748441696167,-0.11220578849315643,0.05049702525138855,-0.09996271133422852,-0.13027654588222504,0.1284148395061493,-0.15186446905136108,-0.13011933863162994,0.19200143218040466,-0.15862321853637695,-0.12510599195957184
