Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.0830678939819336,0.36686503887176514,-0.003879802068695426,0.031298279762268066,0.3070904016494751,-0.0024585071951150894,0.11733138561248779,0.18913227319717407,-0.011233345605432987,0.19642382860183716,0.11074870824813843,-0.03577305004000664,0.24855494499206543,0.037871599197387695,-0.05648171901702881,0.031671106815338135,0.0060302019119262695,0.04034502059221268,0.08771318197250366,-0.10883274674415588,-0.015049542300403118,0.17767179012298584,-0.07394790649414062,-0.06189188361167908,0.24337023496627808,-0.011141747236251831,-0.08279462903738022,0.0,0.0,0.0,0.07212597131729126,-0.13579025864601135,-0.08055007457733154,0.17539876699447632,-0.06456756591796875,-0.137582466006279,0.23088359832763672,0.02647837996482849,-0.1550290435552597,-0.039970576763153076,0.0056397318840026855,-0.049064405262470245,0.055613934993743896,-0.12359750270843506,-0.12279070913791656,0.16441023349761963,-0.05221092700958252,-0.15518662333488464,0.21536976099014282,0.026727676391601562,-0.154129758477211,-0.08070811629295349,0.02757805585861206,-0.09893988817930222,-0.09043994545936584,-0.12043595314025879,-0.1379454880952835,-0.08393478393554688,-0.21735936403274536,-0.1566544473171234,-0.08612328767776489,-0.2947937548160553,-0.16311122477054596
2,-0.09389132261276245,0.3725907802581787,-0.017377572134137154,0.03858602046966553,0.29412710666656494,0.0020909421145915985,0.12519210577011108,0.18065518140792847,-0.002817511558532715,0.20741623640060425,0.10271257162094116,-0.02819899097084999,0.2627407908439636,0.02649015188217163,-0.04962681978940964,0.025238633155822754,0.005933225154876709,0.05032026767730713,0.08813697099685669,-0.11657720804214478,-0.0033108768984675407,0.17808270454406738,-0.07807451486587524,-0.052446503192186356,0.2412603497505188,-0.014581561088562012,-0.07609772682189941,0.0,0.0,0.0,0.08184176683425903,-0.14141002297401428,-0.07791708409786224,0.1853610873222351,-0.06562381982803345,-0.13429701328277588,0.23989337682724,0.026156604290008545,-0.152655690908432,-0.03370922803878784,0.004645317792892456,-0.059051863849163055,0.06152087450027466,-0.12917166948318481,-0.12406575679779053,0.16931933164596558,-0.061744511127471924,-0.15207314491271973,0.2191702127456665,0.014142215251922607,-0.15164771676063538,-0.07136672735214233,0.022491455078125,-0.11878295242786407,-0.07735580205917358,-0.12449747323989868,-0.1534416675567627,-0.07170164585113525,-0.22713053226470947,-0.17067894339561462,-0.0779227614402771,-0.3100355863571167,-0.17759808897972107
3,-0.09810501337051392,0.38465970754623413,-0.017668548971414566,0.03755098581314087,0.3010585904121399,0.0038796961307525635,0.12420433759689331,0.18405652046203613,-0.001330571249127388,0.20646202564239502,0.10991579294204712,-0.026922933757305145,0.26758670806884766,0.0336112380027771,-0.04757736623287201,0.026769518852233887,0.007124900817871094,0.050456829369068146,0.09616458415985107,-0.10655441880226135,0.000505911186337471,0.1858067512512207,-0.06238943338394165,-0.04491535574197769,0.24699217081069946,0.0030916929244995117,-0.06657256186008453,0.0,0.0,0.0,0.08468276262283325,-0.1392296850681305,-0.0745459720492363,0.19138020277023315,-0.059293150901794434,-0.1275520622730255,0.24847835302352905,0.036027997732162476,-0.14392274618148804,-0.033396244049072266,0.0054801106452941895,-0.05851603299379349,0.06610149145126343,-0.12784314155578613,-0.12272251397371292,0.17624974250793457,-0.053884029388427734,-0.14866715669631958,0.22767561674118042,0.0233534574508667,-0.14706826210021973,-0.06768983602523804,0.02507030963897705,-0.11711440235376358,-0.07321637868881226,-0.12097826600074768,-0.15112033486366272,-0.0657886266708374,-0.21889251470565796,-0.1661834418773651,-0.0696987509727478,-0.30261126160621643,-0.1716950535774231
4,-0.06698209047317505,0.39809808135032654,-0.01263627503067255,0.07496079802513123,0.3046381175518036,0.017572343349456787,0.16647860407829285,0.1851910650730133,0.013858018442988396,0.24799618124961853,0.10665127635002136,-0.011424844153225422,0.3103000819683075,0.031888365745544434,-0.03316051885485649,0.02546331286430359,-0.0005438029766082764,0.05664545297622681,0.1153281033039093,-0.11884978413581848,0.012368761003017426,0.21296098828315735,-0.07570216059684753,-0.027770409360527992,0.2850986421108246,-0.015593111515045166,-0.04901564121246338,0.0,0.0,0.0,0.1139884889125824,-0.14269664883613586,-0.07070755213499069,0.22389939427375793,-0.05825233459472656,-0.11899580806493759,0.284366637468338,0.0411338210105896,-0.1340465545654297,-0.017598062753677368,0.01715072989463806,-0.06299644708633423,0.10230395197868347,-0.11984413862228394,-0.11973441392183304,0.2188875377178192,-0.04915401339530945,-0.13814473152160645,0.2796291410923004,0.02791580557823181,-0.13533946871757507,-0.02534201741218567,0.04963773488998413,-0.12617750465869904,-0.011768728494644165,-0.09447041153907776,-0.1587553471326828,-0.009830772876739502,-0.1971689760684967,-0.17294105887413025,-0.023887455463409424,-0.28488224744796753,-0.1798042356967926
5,-0.042944908142089844,0.41227394342422485,-0.0150358397513628,0.10217726230621338,0.30410343408584595,0.02392476424574852,0.17948180437088013,0.17687147855758667,0.02492138370871544,0.25218504667282104,0.09459793567657471,0.001440298743546009,0.31134694814682007,0.01236259937286377,-0.019154196605086327,0.02682560682296753,0.002482891082763672,0.06127424165606499,0.12181246280670166,-0.11644032597541809,0.010986262001097202,0.22374284267425537,-0.08345049619674683,-0.03837334364652634,0.2992857098579407,-0.02744874358177185,-0.06511018425226212,0.0,0.0,0.0,0.11620759963989258,-0.14199918508529663,-0.06466200947761536,0.23978805541992188,-0.08806946873664856,-0.11263095587491989,0.3178598880767822,-0.005427002906799316,-0.1309913992881775,-0.019726455211639404,0.01565253734588623,-0.06785363703966141,0.10126686096191406,-0.13165056705474854,-0.11513311415910721,0.2161034345626831,-0.09056222438812256,-0.12828758358955383,0.28207600116729736,-0.03186863660812378,-0.1256243884563446,-0.02907496690750122,0.04407656192779541,-0.1368120312690735,-0.01886308193206787,-0.10495397448539734,-0.16332697868347168,-0.018946290016174316,-0.21293488144874573,-0.16936294734477997,-0.030858874320983887,-0.2967372536659241,-0.17076106369495392
6,-0.06143122911453247,0.4077379107475281,-0.03338087722659111,0.0750226378440857,0.3034917712211609,-0.0049235280603170395,0.16009140014648438,0.17194914817810059,-0.006745005026459694,0.23695909976959229,0.08670461177825928,-0.032190337777137756,0.29092729091644287,-0.0005171895027160645,-0.05282631516456604,0.022435367107391357,0.004580378532409668,0.05528462678194046,0.10125267505645752,-0.12111669778823853,0.005743198096752167,0.1988174319267273,-0.0828351378440857,-0.04393863305449486,0.2686779499053955,-0.02472442388534546,-0.06939590722322464,0.0,0.0,0.0,0.09248286485671997,-0.14246529340744019,-0.07182690501213074,0.20637112855911255,-0.07625865936279297,-0.12624700367450714,0.2786542773246765,0.010855436325073242,-0.14554840326309204,-0.02229750156402588,0.009797394275665283,-0.06412847340106964,0.07793408632278442,-0.13718366622924805,-0.1180574893951416,0.18483340740203857,-0.08505332469940186,-0.1377965807914734,0.24464762210845947,-0.0207369327545166,-0.1354864239692688,-0.0398135781288147,0.030056774616241455,-0.12986129522323608,-0.03731757402420044,-0.11645501852035522,-0.1529279351234436,-0.04152393341064453,-0.2175695300102234,-0.16044913232326508,-0.05735278129577637,-0.29957154393196106,-0.1625824123620987
7,-0.06210947036743164,0.4054287075996399,-0.02895038016140461,0.07245713472366333,0.30890607833862305,-0.0025113653391599655,0.15743768215179443,0.17480063438415527,-0.003692714497447014,0.23427844047546387,0.08865314722061157,-0.02720838412642479,0.2880591154098511,0.0034447908401489258,-0.04538840800523758,0.023302018642425537,0.003542184829711914,0.05423270910978317,0.0979425311088562,-0.12347358465194702,0.006034296005964279,0.19892781972885132,-0.08880570530891418,-0.04340682923793793,0.2751004099845886,-0.03109431266784668,-0.06970848888158798,0.0,0.0,0.0,0.08906888961791992,-0.14085769653320312,-0.07061309367418289,0.20131289958953857,-0.0756879448890686,-0.1240125373005867,0.27339547872543335,0.01135551929473877,-0.14326629042625427,-0.023589491844177246,0.010141611099243164,-0.06295791268348694,0.0737229585647583,-0.13275080919265747,-0.1144324466586113,0.1812548041343689,-0.08436712622642517,-0.13394257426261902,0.24262791872024536,-0.023566484451293945,-0.13316510617733002,-0.04206794500350952,0.030375957489013672,-0.12793031334877014,-0.04204583168029785,-0.11570918560028076,-0.1510407030582428,-0.048281848430633545,-0.21958330273628235,-0.15951824188232422,-0.06529295444488525,-0.30451250076293945,-0.16303971409797668
