Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.021786868572235107,0.3672497868537903,0.033673178404569626,0.12802928686141968,0.28228992223739624,-0.012240618467330933,0.15523368120193481,0.12011218070983887,-0.03364734724164009,0.048805564641952515,0.04480403661727905,-0.056350525468587875,-0.06474944949150085,0.026996374130249023,-0.07166466116905212,0.08673489093780518,0.000613480806350708,0.007792254909873009,0.11569374799728394,-0.14835910499095917,-0.05862751975655556,0.1331806182861328,-0.07047092914581299,-0.10055024921894073,0.12458032369613647,0.024283289909362793,-0.11522245407104492,0.0,0.0,0.0,0.0015119314193725586,-0.19755089282989502,-0.061044368892908096,0.037599265575408936,-0.11885583400726318,-0.08632443845272064,0.047560542821884155,-0.017579108476638794,-0.08539310097694397,-0.07666933536529541,0.0207938551902771,-0.017613917589187622,-0.10710754990577698,-0.165520578622818,-0.07164423167705536,-0.04839044809341431,-0.08625596761703491,-0.0750594437122345,-0.02285674214363098,0.00939476490020752,-0.0608842708170414,-0.1545068621635437,0.06417390704154968,-0.039440277963876724,-0.15700870752334595,-0.06573376059532166,-0.07513374090194702,-0.1001167893409729,-0.020321130752563477,-0.06811054050922394,-0.0729931890964508,0.053700029850006104,-0.05348758026957512
2,0.019933432340621948,0.38028866052627563,0.043283481150865555,0.1273452639579773,0.28147828578948975,-0.0023361779749393463,0.15906298160552979,0.117398202419281,-0.026882845908403397,0.04971536993980408,0.03659391403198242,-0.054373424500226974,-0.06271034479141235,0.02602362632751465,-0.07613040506839752,0.0872277021408081,-0.007182806730270386,0.012389281764626503,0.10286897420883179,-0.1624886691570282,-0.057784777134656906,0.12397348880767822,-0.0832604467868805,-0.10610739886760712,0.12129539251327515,0.013476133346557617,-0.12644752860069275,0.0,0.0,0.0,-0.009563565254211426,-0.20904485881328583,-0.06729182600975037,0.02859807014465332,-0.12413755059242249,-0.10374157130718231,0.042552798986434937,-0.018169820308685303,-0.1111355572938919,-0.0779537558555603,0.02728775143623352,-0.02144056186079979,-0.11367455124855042,-0.16390107572078705,-0.08059747517108917,-0.05351710319519043,-0.08297723531723022,-0.09447167813777924,-0.02469557523727417,0.01695859432220459,-0.0873858630657196,-0.15468043088912964,0.075996994972229,-0.04710068926215172,-0.1602628529071808,-0.056035131216049194,-0.08557756245136261,-0.10247215628623962,-0.014423906803131104,-0.0851457267999649,-0.0743621289730072,0.05839043855667114,-0.07634437084197998
3,0.027917057275772095,0.3788912892341614,0.04861747846007347,0.13187038898468018,0.2729347348213196,0.008653584867715836,0.16497844457626343,0.11681753396987915,-0.016877543181180954,0.0645495355129242,0.04205894470214844,-0.04668668285012245,-0.04253551363945007,0.034936755895614624,-0.07162337005138397,0.09044617414474487,-0.008155196905136108,0.015328790992498398,0.09981703758239746,-0.16674943268299103,-0.05583633854985237,0.11516928672790527,-0.09309551119804382,-0.10659922659397125,0.10981887578964233,0.00593915581703186,-0.12876921892166138,0.0,0.0,0.0,-0.020708084106445312,-0.20696347951889038,-0.061315786093473434,0.01525077223777771,-0.13217705488204956,-0.09474030137062073,0.03186142444610596,-0.031588226556777954,-0.10467399656772614,-0.07859215140342712,0.028213709592819214,-0.02396303042769432,-0.12234005331993103,-0.16367611289024353,-0.07547236979007721,-0.0632706880569458,-0.08876222372055054,-0.08584417402744293,-0.032918065786361694,0.009181767702102661,-0.08091434836387634,-0.15265986323356628,0.07812640070915222,-0.0524141825735569,-0.16150835156440735,-0.054194241762161255,-0.08320750296115875,-0.1049811840057373,-0.01871955394744873,-0.07923328876495361,-0.07624736428260803,0.05309748649597168,-0.07105313241481781
4,-0.003954797983169556,0.397662878036499,0.02272188477218151,0.11825999617576599,0.29502928256988525,-0.021721092984080315,0.15781423449516296,0.1243407130241394,-0.03907090425491333,0.05976992845535278,0.036247581243515015,-0.05975596606731415,-0.04834344983100891,0.03164908289909363,-0.07435930520296097,0.08949592709541321,0.003378063440322876,0.008884480223059654,0.10948950052261353,-0.1540095955133438,-0.054019927978515625,0.1255958378314972,-0.08113741874694824,-0.10306765884160995,0.11578571796417236,0.018586039543151855,-0.1256539523601532,0.0,0.0,0.0,-0.010910093784332275,-0.1984640210866928,-0.0531858429312706,0.02194836735725403,-0.13157016038894653,-0.08839986473321915,0.03550758957862854,-0.03310137987136841,-0.10148186981678009,-0.07949349284172058,0.019642949104309082,-0.019141415134072304,-0.10999405384063721,-0.1696586310863495,-0.06416243314743042,-0.05908888578414917,-0.10471725463867188,-0.07951950281858444,-0.03551730513572693,-0.005143105983734131,-0.07938210666179657,-0.1589832305908203,0.05895966291427612,-0.04352733492851257,-0.16470789909362793,-0.07533717155456543,-0.07205088436603546,-0.11465278267860413,-0.04562070965766907,-0.07330714166164398,-0.08937320113182068,0.02693989872932434,-0.06970246136188507
5,-0.03718891739845276,0.3771405816078186,0.009045486338436604,0.07425594329833984,0.2774401903152466,-0.014468120411038399,0.12073999643325806,0.13314199447631836,-0.027135508134961128,0.06618940830230713,0.03959167003631592,-0.048103176057338715,-0.02410680055618286,0.02172917127609253,-0.06550140678882599,0.0805051326751709,0.011080622673034668,0.017021596431732178,0.10047745704650879,-0.12211504578590393,-0.036211416125297546,0.11770135164260864,-0.08602318167686462,-0.07997041940689087,0.11791646480560303,-0.00981837511062622,-0.10079324245452881,0.0,0.0,0.0,-0.0006682872772216797,-0.17732712626457214,-0.04354700446128845,0.02895820140838623,-0.11834946274757385,-0.07078595459461212,0.03792053461074829,-0.03302127122879028,-0.0804743692278862,-0.07507240772247314,0.011827707290649414,-0.025410359725356102,-0.08863446116447449,-0.15292909741401672,-0.060223110020160675,-0.045794129371643066,-0.09163495898246765,-0.06592699885368347,-0.031115233898162842,-0.004557907581329346,-0.06258827447891235,-0.15032431483268738,0.04458492994308472,-0.055250801146030426,-0.14036312699317932,-0.07377398014068604,-0.07355029135942459,-0.09727489948272705,-0.041787147521972656,-0.06544380635023117,-0.08117908239364624,0.02506929636001587,-0.05747760087251663
6,-0.028219282627105713,0.3681674599647522,0.009967169724404812,0.0811585783958435,0.2816184163093567,-0.020348183810710907,0.13216865062713623,0.13038742542266846,-0.030140765011310577,0.07042670249938965,0.039305686950683594,-0.044671058654785156,-0.023012161254882812,0.016829848289489746,-0.053409844636917114,0.07792454957962036,0.009150207042694092,0.01122391875833273,0.0982559323310852,-0.12544956803321838,-0.03895553946495056,0.12465405464172363,-0.07827320694923401,-0.07906190305948257,0.12491405010223389,-0.0020913779735565186,-0.09689708799123764,0.0,0.0,0.0,-0.006589174270629883,-0.1714046597480774,-0.04216214641928673,0.02935737371444702,-0.11461102962493896,-0.07192494720220566,0.038677334785461426,-0.02982589602470398,-0.08250085264444351,-0.07313072681427002,0.014821887016296387,-0.01988128200173378,-0.09375125169754028,-0.14386343955993652,-0.05941706895828247,-0.04534831643104553,-0.09178382158279419,-0.07683651894330978,-0.028727471828460693,-0.011886030435562134,-0.07875972241163254,-0.14239567518234253,0.04733973741531372,-0.043484583497047424,-0.13102266192436218,-0.06898164749145508,-0.0685705617070198,-0.0866013765335083,-0.04464724659919739,-0.07144445925951004,-0.07051771879196167,0.01493006944656372,-0.06908366829156876
7,-0.02531343698501587,0.36151057481765747,0.011687984690070152,0.0859101414680481,0.2717704772949219,-0.018403062596917152,0.1342092752456665,0.12288802862167358,-0.0282573401927948,0.06290727853775024,0.029033184051513672,-0.042456887662410736,-0.03138858079910278,0.00623166561126709,-0.051173947751522064,0.07910025119781494,0.009419441223144531,0.010658420622348785,0.10011112689971924,-0.12383490800857544,-0.03966159746050835,0.12280493974685669,-0.07812756299972534,-0.0781361386179924,0.12180978059768677,-0.001963973045349121,-0.0943482518196106,0.0,0.0,0.0,-0.008370697498321533,-0.17194539308547974,-0.04105672985315323,0.02656787633895874,-0.12060850858688354,-0.06703260540962219,0.036613643169403076,-0.03531104326248169,-0.0745590478181839,-0.07280188798904419,0.014377176761627197,-0.019147071987390518,-0.09588193893432617,-0.14444273710250854,-0.05816459655761719,-0.048300862312316895,-0.09002730250358582,-0.07027071714401245,-0.03113532066345215,-0.007158398628234863,-0.06801696121692657,-0.14357221126556396,0.04763597249984741,-0.04201723262667656,-0.1370781660079956,-0.06559517979621887,-0.06764136999845505,-0.09174692630767822,-0.0391981303691864,-0.06766293197870255,-0.07334062457084656,0.022632837295532227,-0.062174417078495026
