Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.0036653876304626465,0.35574871301651,0.017688602209091187,0.08788496255874634,0.2725391983985901,0.016790317371487617,0.15448492765426636,0.15612608194351196,0.00013742968440055847,0.2160664200782776,0.06990653276443481,-0.028628915548324585,0.277505099773407,-0.012301325798034668,-0.056361157447099686,0.0325927734375,0.030143260955810547,0.03703262656927109,0.11485689878463745,-0.05670541524887085,-0.01886044442653656,0.1912999153137207,-0.06967508792877197,-0.0628853589296341,0.25852203369140625,-0.059179216623306274,-0.08538861572742462,0.0,0.0,0.0,0.032441556453704834,-0.1600896716117859,-0.030324380844831467,0.07248693704605103,-0.26510724425315857,-0.050635259598493576,0.10373860597610474,-0.34645918011665344,-0.06195194646716118,-0.034447431564331055,0.006284654140472412,-0.04688313230872154,-0.04364517331123352,-0.16056275367736816,-0.08078110218048096,-0.03599327802658081,-0.27995312213897705,-0.09677234292030334,-0.026784241199493408,-0.376028835773468,-0.10519790649414062,-0.062487274408340454,0.04206877946853638,-0.09609591960906982,-0.08731269836425781,-0.07587277889251709,-0.12904223799705505,-0.10121685266494751,-0.1652216911315918,-0.13441155850887299,-0.11211442947387695,-0.23907506465911865,-0.13437286019325256
2,-0.006609976291656494,0.36337220668792725,0.013047123327851295,0.09063118696212769,0.27361106872558594,0.018673527985811234,0.15396267175674438,0.15118926763534546,0.007310177199542522,0.21196365356445312,0.062097012996673584,-0.0164056234061718,0.27647507190704346,-0.019354581832885742,-0.03977589309215546,0.033893704414367676,0.028539299964904785,0.03880713880062103,0.11561357975006104,-0.057718127965927124,-0.016172828152775764,0.19154536724090576,-0.07145035266876221,-0.06351803988218307,0.2556706666946411,-0.0620875358581543,-0.0886649340391159,0.0,0.0,0.0,0.027708888053894043,-0.16739216446876526,-0.028907591477036476,0.06812268495559692,-0.27465468645095825,-0.052785634994506836,0.10418260097503662,-0.35505253076553345,-0.06849721074104309,-0.03515973687171936,0.007698535919189453,-0.04791472852230072,-0.04542279243469238,-0.1673123836517334,-0.08032718300819397,-0.037143826484680176,-0.286550372838974,-0.10139147937297821,-0.024097323417663574,-0.383078396320343,-0.11512798070907593,-0.06096082925796509,0.041882991790771484,-0.09711044281721115,-0.08459806442260742,-0.07678061723709106,-0.12671606242656708,-0.09857368469238281,-0.16491270065307617,-0.13225096464157104,-0.10914266109466553,-0.23765206336975098,-0.1347193717956543
3,-0.008410274982452393,0.3716360926628113,0.007275223266333342,0.08718562126159668,0.278298020362854,0.0163549967110157,0.15112262964248657,0.1506139636039734,0.007946817204356194,0.210271954536438,0.05902975797653198,-0.013674544170498848,0.271475613117218,-0.02336689829826355,-0.034641608595848083,0.03395545482635498,0.028787553310394287,0.039842188358306885,0.11415421962738037,-0.059112489223480225,-0.014216966927051544,0.19003570079803467,-0.07134175300598145,-0.06196381896734238,0.25187790393829346,-0.0600544810295105,-0.08705662935972214,0.0,0.0,0.0,0.021881103515625,-0.16608929634094238,-0.026511183008551598,0.0585363507270813,-0.2726641893386841,-0.05090590566396713,0.0896187424659729,-0.35170695185661316,-0.06811963021755219,-0.03524711728096008,0.007036089897155762,-0.049106575548648834,-0.04972708225250244,-0.16546660661697388,-0.07791175693273544,-0.04407072067260742,-0.2818687856197357,-0.09840771555900574,-0.03440672159194946,-0.3758179545402527,-0.11303193867206573,-0.06060212850570679,0.0393252968788147,-0.09958021342754364,-0.08527266979217529,-0.08034002780914307,-0.12500938773155212,-0.10098806023597717,-0.16659563779830933,-0.12895271182060242,-0.11426329612731934,-0.2378467321395874,-0.13137267529964447
4,-0.005038708448410034,0.38216155767440796,0.0036288946866989136,0.09181860089302063,0.28850775957107544,0.00022306013852357864,0.15625545382499695,0.15826797485351562,-0.010770467109978199,0.2144918143749237,0.06627762317657471,-0.03392033651471138,0.2730925977230072,-0.015210866928100586,-0.05583031103014946,0.037114232778549194,0.027007460594177246,0.033611960709095,0.11969360709190369,-0.05861806869506836,-0.02545478381216526,0.1990860402584076,-0.07206392288208008,-0.07737689465284348,0.2644485533237457,-0.06408289074897766,-0.10462935268878937,0.0,0.0,0.0,0.022549420595169067,-0.16002190113067627,-0.029855336993932724,0.059441953897476196,-0.26596567034721375,-0.05461422726511955,0.08967748284339905,-0.3477441966533661,-0.07003752887248993,-0.03655630350112915,0.009935140609741211,-0.0450156107544899,-0.053683727979660034,-0.15337902307510376,-0.07832392305135727,-0.0523398220539093,-0.26861733198165894,-0.09683390706777573,-0.04851272702217102,-0.36184465885162354,-0.10669707506895065,-0.06671449542045593,0.0474390983581543,-0.0932236909866333,-0.09781703352928162,-0.06639644503593445,-0.12287992984056473,-0.11871904134750366,-0.1506807804107666,-0.12719351053237915,-0.13500922918319702,-0.22204381227493286,-0.12675923109054565
5,-0.00847536325454712,0.36399781703948975,0.01334213837981224,0.08385235071182251,0.27726173400878906,-0.009846027940511703,0.15253996849060059,0.15330350399017334,-0.0265654269605875,0.20245897769927979,0.05682474374771118,-0.05144623667001724,0.23760420083999634,-0.029184579849243164,-0.07576978206634521,0.054893314838409424,0.028282225131988525,0.020664192736148834,0.11545485258102417,-0.05430218577384949,-0.03118991293013096,0.1759687066078186,-0.07786828279495239,-0.07351599633693695,0.2272275686264038,-0.08037111163139343,-0.0949852466583252,0.0,0.0,0.0,0.02631080150604248,-0.1422719657421112,-0.025431768968701363,0.0459362268447876,-0.23769024014472961,-0.04348360002040863,0.05537068843841553,-0.3251402974128723,-0.055108629167079926,-0.059921056032180786,0.005065023899078369,-0.032369114458560944,-0.06968820095062256,-0.14159220457077026,-0.06370051205158234,-0.07057344913482666,-0.23598867654800415,-0.07844002544879913,-0.0706954300403595,-0.31872671842575073,-0.08620107173919678,-0.12408977746963501,0.03915446996688843,-0.06925439834594727,-0.1775561273097992,-0.0647839903831482,-0.09899549931287766,-0.20963212847709656,-0.13805890083312988,-0.1026727706193924,-0.23467421531677246,-0.20558851957321167,-0.1021672710776329
6,-0.0034402012825012207,0.3556130528450012,0.012261510826647282,0.08874571323394775,0.2687583565711975,-0.015135052613914013,0.15900331735610962,0.1486114263534546,-0.03264831751585007,0.21059060096740723,0.04923677444458008,-0.05547605827450752,0.24431228637695312,-0.03585630655288696,-0.07743462920188904,0.05602818727493286,0.02891629934310913,0.016630876809358597,0.1187140941619873,-0.050986647605895996,-0.03050979971885681,0.17777687311172485,-0.08027401566505432,-0.06975194811820984,0.22832661867141724,-0.08698436617851257,-0.09042388945817947,0.0,0.0,0.0,0.028853654861450195,-0.1375914216041565,-0.02558775246143341,0.048216938972473145,-0.23378437757492065,-0.04648681730031967,0.06033271551132202,-0.32230767607688904,-0.060525860637426376,-0.06112790107727051,0.002095937728881836,-0.027554098516702652,-0.06511366367340088,-0.14270269870758057,-0.060936953872442245,-0.06419885158538818,-0.2368089258670807,-0.080238938331604,-0.06114780902862549,-0.3161453604698181,-0.09102198481559753,-0.12588271498680115,0.03362441062927246,-0.059095751494169235,-0.18051064014434814,-0.06686806678771973,-0.09094258397817612,-0.21242210268974304,-0.13983702659606934,-0.09875443577766418,-0.23498013615608215,-0.20629355311393738,-0.10119345784187317
7,-0.004718124866485596,0.35114312171936035,0.013533505611121655,0.08657336235046387,0.2654417157173157,-0.013890828005969524,0.1575690507888794,0.1492876410484314,-0.03245365247130394,0.20760637521743774,0.05025607347488403,-0.056178249418735504,0.2381201982498169,-0.03603971004486084,-0.07877029478549957,0.05651044845581055,0.029530346393585205,0.016395246610045433,0.12125968933105469,-0.052257657051086426,-0.03130437806248665,0.17732828855514526,-0.08168983459472656,-0.06999271363019943,0.2248619794845581,-0.0866733193397522,-0.08972430229187012,0.0,0.0,0.0,0.029240727424621582,-0.13773304224014282,-0.025942817330360413,0.04598414897918701,-0.23424601554870605,-0.046554841101169586,0.05499845743179321,-0.32305604219436646,-0.060028597712516785,-0.06158396601676941,0.0009412169456481934,-0.027229294180870056,-0.06587880849838257,-0.1442854404449463,-0.06141749024391174,-0.06624108552932739,-0.23803803324699402,-0.08106837421655655,-0.06468459963798523,-0.31628334522247314,-0.09171465039253235,-0.1271378993988037,0.03088897466659546,-0.05820522457361221,-0.18271636962890625,-0.06859844923019409,-0.09065534174442291,-0.2151086926460266,-0.1408451795578003,-0.09874280542135239,-0.2379046082496643,-0.20687320828437805,-0.10110059380531311
