Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.45088380575180054,0.8700056076049805,0.19948434829711914,0.6559374928474426,0.5549025535583496,0.014423451386392117,0.6335198283195496,0.06411367654800415,-0.053292710334062576,0.507182240486145,-0.3027357757091522,-0.11552200466394424,0.2837797999382019,-0.45717310905456543,-0.1746077686548233,0.18161557614803314,-0.18648286163806915,-1.16884293674957e-05,-0.16026240587234497,-0.5942595601081848,-0.16475637257099152,-0.3830511271953583,-0.8270700573921204,-0.24631138145923615,-0.579936146736145,-1.0198516845703125,-0.2972804605960846,0.0,0.0,0.0,-0.08476373553276062,-0.17438429594039917,-0.3139551877975464,0.1711433082818985,0.10485143214464188,-0.3713264763355255,0.3577675521373749,0.3051750957965851,-0.32892292737960815,-0.13664376735687256,0.20841281116008759,-0.018385663628578186,-0.11267711967229843,0.10875216126441956,-0.32554516196250916,0.15499347448349,0.36854466795921326,-0.2694360017776489,0.314860075712204,0.5343014597892761,-0.14166414737701416,-0.2571728825569153,0.432495653629303,-0.05188965052366257,-0.23481866717338562,0.3122190535068512,-0.25170016288757324,-0.015335973352193832,0.4710593521595001,-0.20142441987991333,0.1257011443376541,0.5845677852630615,-0.10611635446548462
2,0.44295862317085266,0.8734985589981079,0.2019602209329605,0.6694521307945251,0.5471970438957214,0.01909913681447506,0.6571289896965027,0.06848903745412827,-0.05709308013319969,0.5173665285110474,-0.28659945726394653,-0.12900197505950928,0.3062109649181366,-0.4372333288192749,-0.19636788964271545,0.18720872700214386,-0.19311492145061493,0.0049175843596458435,-0.1661144345998764,-0.5965849757194519,-0.16720886528491974,-0.388096421957016,-0.82416170835495,-0.2526775300502777,-0.6000468730926514,-1.0076349973678589,-0.3054022789001465,0.0,0.0,0.0,-0.07052481174468994,-0.1978158801794052,-0.32199931144714355,0.20548410713672638,0.07861335575580597,-0.3830616772174835,0.3693152368068695,0.2766268849372864,-0.34010809659957886,-0.14235195517539978,0.2158254235982895,-0.022807179018855095,-0.10219471901655197,0.12086765468120575,-0.3383432924747467,0.1843883991241455,0.3805493414402008,-0.2757171094417572,0.324180006980896,0.5371630191802979,-0.13988059759140015,-0.2680339813232422,0.44438436627388,-0.05909385159611702,-0.2346380352973938,0.30544528365135193,-0.2509148418903351,-0.007603534031659365,0.4648611545562744,-0.1814446896314621,0.10424485057592392,0.5812011361122131,-0.07242681086063385
3,0.5399608612060547,0.8217889070510864,0.1819484829902649,0.7291761636734009,0.4927172362804413,0.012073690071702003,0.6470385193824768,0.02457757666707039,-0.04588422179222107,0.489487886428833,-0.3161391317844391,-0.0994020476937294,0.2660914361476898,-0.451961874961853,-0.14743001759052277,0.1694004088640213,-0.20716492831707,0.0029352789279073477,-0.20838040113449097,-0.5609478950500488,-0.15577630698680878,-0.44542473554611206,-0.7602024674415588,-0.2366086095571518,-0.6544236540794373,-0.9246669411659241,-0.2866422235965729,0.0,0.0,0.0,-0.055305078625679016,-0.15893004834651947,-0.3139454424381256,0.2446727752685547,0.08818289637565613,-0.373556524515152,0.44509562849998474,0.26791778206825256,-0.3298005759716034,-0.1201678216457367,0.22114896774291992,-0.020600009709596634,-0.07262364774942398,0.14749662578105927,-0.32310381531715393,0.22237734496593475,0.36792925000190735,-0.2761025130748749,0.38483431935310364,0.5091003179550171,-0.15330058336257935,-0.21093174815177917,0.45409107208251953,-0.05478221923112869,-0.17082543671131134,0.3365013599395752,-0.2472096085548401,0.05873033031821251,0.4737103283405304,-0.2005411684513092,0.18852679431438446,0.5750943422317505,-0.108513742685318
4,0.4368565082550049,0.882699728012085,0.17319822311401367,0.6422510147094727,0.5404465794563293,-0.012777755036950111,0.6314420104026794,0.06441697478294373,-0.08226779103279114,0.5133718848228455,-0.31933197379112244,-0.14730647206306458,0.2719578146934509,-0.45054891705513,-0.21258080005645752,0.1708524525165558,-0.19093920290470123,-0.0035429371055215597,-0.18126630783081055,-0.5668525099754333,-0.15227751433849335,-0.4191628098487854,-0.7743968367576599,-0.2330811321735382,-0.6437241435050964,-0.9401410222053528,-0.28757405281066895,0.0,0.0,0.0,-0.1405969262123108,-0.15034747123718262,-0.2972298860549927,0.11923961341381073,0.09646899998188019,-0.3660362660884857,0.30423703789711,0.2851235866546631,-0.33542388677597046,-0.13087506592273712,0.21376237273216248,-0.014421631582081318,-0.1855754405260086,0.1377277374267578,-0.2988073527812958,0.10055693984031677,0.3566162586212158,-0.25414952635765076,0.2767573893070221,0.5027352571487427,-0.14095790684223175,-0.24150793254375458,0.44159796833992004,-0.04459521919488907,-0.2613052427768707,0.3509422242641449,-0.23104582726955414,-0.041443146765232086,0.48988577723503113,-0.18869121372699738,0.10418552160263062,0.5885488390922546,-0.10251188278198242
5,0.5641530156135559,0.8126178979873657,0.14623109996318817,0.7549999952316284,0.4444049000740051,0.012090698815882206,0.6671440601348877,-0.003562081139534712,-0.02635182812809944,0.47150447964668274,-0.28705108165740967,-0.0656706690788269,0.26320138573646545,-0.42968952655792236,-0.10023730993270874,0.1495746225118637,-0.19023574888706207,0.01812920905649662,-0.2402445375919342,-0.544302761554718,-0.1252695471048355,-0.47790661454200745,-0.7564206123352051,-0.20071525871753693,-0.6724593639373779,-0.9345866441726685,-0.24891284108161926,0.0,0.0,0.0,-0.10406973958015442,-0.2585650086402893,-0.28235843777656555,0.2122933268547058,-0.011421910487115383,-0.33695468306541443,0.4190014600753784,0.19635553658008575,-0.2980506718158722,-0.11756885051727295,0.21673865616321564,-0.034474968910217285,-0.15460775792598724,-0.003114564111456275,-0.31383267045021057,0.15928642451763153,0.21749772131443024,-0.25766271352767944,0.33485499024391174,0.3978929817676544,-0.1357150375843048,-0.23079408705234528,0.46907103061676025,-0.07924433052539825,-0.29694443941116333,0.23546528816223145,-0.2598493695259094,-0.06595266610383987,0.3227536082267761,-0.20393502712249756,0.08723322302103043,0.4387648105621338,-0.11073958873748779
6,0.5662381649017334,0.8105694651603699,0.149504154920578,0.7500764727592468,0.44909074902534485,-0.010115101002156734,0.6696467399597168,0.00011445592826930806,-0.0693221464753151,0.47067245841026306,-0.2733404338359833,-0.13234356045722961,0.2710839509963989,-0.43477559089660645,-0.19158115983009338,0.14254845678806305,-0.18235982954502106,0.010078370571136475,-0.24385884404182434,-0.5466129779815674,-0.1453959196805954,-0.47099801898002625,-0.7512195110321045,-0.22232277691364288,-0.6772628426551819,-0.917313814163208,-0.2691865563392639,0.0,0.0,0.0,-0.0862361416220665,-0.2555044889450073,-0.3136075437068939,0.22606854140758514,0.0010453147115185857,-0.3742169141769409,0.4078068435192108,0.2109586000442505,-0.3290673792362213,-0.11283406615257263,0.21745234727859497,-0.028963517397642136,-0.15145978331565857,0.00041719834553077817,-0.3343949615955353,0.15108413994312286,0.23853357136249542,-0.2729281485080719,0.3063131868839264,0.4189942181110382,-0.13684551417827606,-0.22393116354942322,0.46977129578590393,-0.06936611235141754,-0.2985787093639374,0.24609045684337616,-0.25871264934539795,-0.081523597240448,0.3353760838508606,-0.19728629291057587,0.052030887454748154,0.4446970820426941,-0.09487956017255783
7,0.5678877234458923,0.807993471622467,0.15700340270996094,0.748420000076294,0.45664748549461365,-0.005247307009994984,0.6705495119094849,0.014033257029950619,-0.0691853016614914,0.4793430268764496,-0.265957236289978,-0.13622832298278809,0.26612335443496704,-0.4214332699775696,-0.19958442449569702,0.14306758344173431,-0.18260541558265686,0.00996021181344986,-0.24326539039611816,-0.5420550107955933,-0.146607905626297,-0.4721071422100067,-0.7448071241378784,-0.22385765612125397,-0.6805624961853027,-0.9076008200645447,-0.27036747336387634,0.0,0.0,0.0,-0.08227229118347168,-0.2566513419151306,-0.3141695261001587,0.23039530217647552,0.00408953195437789,-0.37368687987327576,0.41604191064834595,0.21637290716171265,-0.32762274146080017,-0.114539735019207,0.21788305044174194,-0.028561903163790703,-0.15436509251594543,0.0011040957178920507,-0.33453720808029175,0.15031997859477997,0.23876404762268066,-0.27230867743492126,0.31292304396629333,0.419163316488266,-0.13567423820495605,-0.22646725177764893,0.46791955828666687,-0.06848049908876419,-0.2957324683666229,0.2400519698858261,-0.25857144594192505,-0.0736786350607872,0.33435699343681335,-0.1952555775642395,0.064843088388443,0.4478345513343811,-0.09091495722532272
