Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.19539213180541992,0.3326108455657959,0.07313304394483566,0.25796717405319214,0.22822827100753784,-0.008323878049850464,0.2112472653388977,0.07985460758209229,-0.03911387175321579,0.09781301021575928,0.02512192726135254,-0.06456615030765533,-0.0162469744682312,0.027816295623779297,-0.08509889245033264,0.07689708471298218,-0.062228113412857056,0.0016085803508758545,-0.042919009923934937,-0.19840839505195618,-0.0581149160861969,-0.1236860454082489,-0.2823275923728943,-0.08868232369422913,-0.19882160425186157,-0.3490414619445801,-0.10124997794628143,0.0,0.0,0.0,-0.1228407621383667,-0.14506393671035767,-0.07293958961963654,-0.21494609117507935,-0.24756962060928345,-0.11081536114215851,-0.2937307357788086,-0.3252551853656769,-0.11842820048332214,-0.045288532972335815,0.0856865644454956,-0.009783685207366943,-0.0489656925201416,0.043523967266082764,-0.12469859421253204,0.05919837951660156,0.0992313027381897,-0.14487622678279877,0.13553386926651,0.15006262063980103,-0.11724653840065002,-0.06902706623077393,0.18608933687210083,-0.0243784561753273,-0.02044159173965454,0.14913153648376465,-0.11886602640151978,0.08635038137435913,0.19253337383270264,-0.12326343357563019,0.1583307385444641,0.23365843296051025,-0.09716127812862396
2,0.19062209129333496,0.3616896867752075,0.053730349987745285,0.24842500686645508,0.24499821662902832,-0.022718165069818497,0.20092880725860596,0.08978015184402466,-0.04816519841551781,0.07873505353927612,0.0266646146774292,-0.07175421714782715,-0.039514392614364624,0.028094470500946045,-0.0899616926908493,0.07267802953720093,-0.061167776584625244,0.0055074989795684814,-0.05296808481216431,-0.20339375734329224,-0.047754328697919846,-0.13363617658615112,-0.28600090742111206,-0.07711783051490784,-0.20733624696731567,-0.35447537899017334,-0.09111528098583221,0.0,0.0,0.0,-0.13539892435073853,-0.1474749743938446,-0.0688234269618988,-0.22299912571907043,-0.2480669915676117,-0.10850174725055695,-0.29546216130256653,-0.3230578601360321,-0.11947476863861084,-0.040798693895339966,0.08712375164031982,-0.01497480645775795,-0.061532020568847656,0.042776405811309814,-0.12799744307994843,0.04107183218002319,0.09907209873199463,-0.15312497317790985,0.11081528663635254,0.15048271417617798,-0.13017679750919342,-0.06033092737197876,0.18597209453582764,-0.03454824164509773,-0.04239368438720703,0.14767581224441528,-0.1267457753419876,0.053756892681121826,0.18560314178466797,-0.13341809809207916,0.12124717235565186,0.22449517250061035,-0.11076201498508453
3,0.1947736144065857,0.3707064390182495,0.05433885008096695,0.24595296382904053,0.24507176876068115,-0.014306962490081787,0.1987801194190979,0.08863162994384766,-0.03855683654546738,0.07555252313613892,0.02800530195236206,-0.06329895555973053,-0.0399821400642395,0.033376455307006836,-0.08273959904909134,0.07201266288757324,-0.06054520606994629,0.010183144360780716,-0.051785945892333984,-0.2042996883392334,-0.04408085346221924,-0.1330662965774536,-0.2860462963581085,-0.07438413053750992,-0.20869874954223633,-0.35404273867607117,-0.08932191878557205,0.0,0.0,0.0,-0.135722815990448,-0.14907300472259521,-0.068304643034935,-0.22280055284500122,-0.2487870454788208,-0.10672477632761002,-0.2949216961860657,-0.3215683698654175,-0.11787930876016617,-0.04124131798744202,0.08818179368972778,-0.01942623406648636,-0.05854681134223938,0.04533183574676514,-0.1274833381175995,0.04448205232620239,0.09944808483123779,-0.1505081057548523,0.11442559957504272,0.1504760980606079,-0.1284235417842865,-0.06263852119445801,0.18911004066467285,-0.04356807470321655,-0.04089173674583435,0.15045678615570068,-0.12717419862747192,0.05360901355743408,0.18419313430786133,-0.131244957447052,0.12033069133758545,0.2202335000038147,-0.10951567441225052
4,0.22164124250411987,0.36454451084136963,0.05055653676390648,0.2641656994819641,0.23260068893432617,-0.009880498051643372,0.2237604260444641,0.07384508848190308,-0.03284823149442673,0.11234074831008911,0.021320581436157227,-0.05862894654273987,0.007004737854003906,0.040354788303375244,-0.07947276532649994,0.07248389720916748,-0.06147056818008423,0.01334935799241066,-0.058003008365631104,-0.20123982429504395,-0.04437638819217682,-0.13853120803833008,-0.2826380431652069,-0.07591751217842102,-0.2151985466480255,-0.3492465615272522,-0.08914543688297272,0.0,0.0,0.0,-0.13333219289779663,-0.1414315104484558,-0.07294444739818573,-0.2240360975265503,-0.2401268482208252,-0.11210492253303528,-0.3000563681125641,-0.3114711046218872,-0.11970490217208862,-0.03880620002746582,0.08588534593582153,-0.022378399968147278,-0.021582037210464478,0.06100738048553467,-0.13028763234615326,0.08843547105789185,0.11268776655197144,-0.15451334416866302,0.1617322564125061,0.161354660987854,-0.1299430876970291,-0.054408639669418335,0.18234652280807495,-0.049254707992076874,-0.004956454038619995,0.15922337770462036,-0.12234197556972504,0.08856815099716187,0.19599634408950806,-0.12269213795661926,0.15115153789520264,0.23286974430084229,-0.09776285290718079
5,0.2536647617816925,0.3252144455909729,0.06037526577711105,0.28511735796928406,0.18687671422958374,0.003915615379810333,0.24200090765953064,0.040259480476379395,-0.02106873318552971,0.14563623070716858,-0.015283465385437012,-0.049379002302885056,0.05669179558753967,0.011741459369659424,-0.07214857637882233,0.06452104449272156,-0.0670008659362793,0.014493696391582489,-0.06408080458641052,-0.17946451902389526,-0.039198603481054306,-0.14870259165763855,-0.23592549562454224,-0.06964334845542908,-0.22719857096672058,-0.2842582166194916,-0.08479446172714233,0.0,0.0,0.0,-0.1304478943347931,-0.11823904514312744,-0.06500609219074249,-0.2154366374015808,-0.20527172088623047,-0.10206325352191925,-0.2880215048789978,-0.26947271823883057,-0.11455993354320526,-0.02887171506881714,0.08231526613235474,-0.021989893168210983,0.000772327184677124,0.03270256519317627,-0.11449025571346283,0.10711899399757385,0.06410366296768188,-0.13802871108055115,0.17436560988426208,0.10504746437072754,-0.12197156250476837,-0.02876695990562439,0.16843539476394653,-0.049481477588415146,0.04068610072135925,0.1257656216621399,-0.11182950437068939,0.1280238926410675,0.14406108856201172,-0.11724741756916046,0.18677321076393127,0.17506808042526245,-0.10199996829032898
6,0.2501472234725952,0.3141469359397888,0.06309903413057327,0.28145426511764526,0.18117135763168335,0.002929575741291046,0.23074615001678467,0.0342555046081543,-0.021992146968841553,0.1302904486656189,-0.013632714748382568,-0.048694953322410583,0.036804139614105225,0.00656360387802124,-0.06935204565525055,0.06658607721328735,-0.06467688083648682,0.011969488114118576,-0.06537210941314697,-0.17569050192832947,-0.044038765132427216,-0.15223652124404907,-0.23687413334846497,-0.07219536602497101,-0.23366451263427734,-0.2877216041088104,-0.08446483314037323,0.0,0.0,0.0,-0.12902283668518066,-0.11929863691329956,-0.07139618694782257,-0.22004514932632446,-0.2058779001235962,-0.10720241069793701,-0.29538747668266296,-0.26862460374832153,-0.11532750725746155,-0.032935917377471924,0.08109301328659058,-0.019496530294418335,0.0035894811153411865,0.02227836847305298,-0.11999276280403137,0.10782730579376221,0.06324297189712524,-0.13844166696071625,0.17562609910964966,0.10689318180084229,-0.11520081758499146,-0.03818702697753906,0.1667603850364685,-0.04449930787086487,0.04005563259124756,0.12586313486099243,-0.1162709891796112,0.12983101606369019,0.1534140706062317,-0.12158471345901489,0.18900960683822632,0.18399453163146973,-0.10271936655044556
7,0.24955710768699646,0.309492290019989,0.06691138446331024,0.28324803709983826,0.1786455512046814,0.00474955141544342,0.23330280184745789,0.03214073181152344,-0.021358557045459747,0.1334792673587799,-0.016968131065368652,-0.04853661358356476,0.03917315602302551,0.003192722797393799,-0.06965679675340652,0.0671214759349823,-0.06471556425094604,0.01112537831068039,-0.06568220257759094,-0.17744630575180054,-0.046522095799446106,-0.15369057655334473,-0.23849260807037354,-0.0756726935505867,-0.2364182472229004,-0.2885953187942505,-0.08817338198423386,0.0,0.0,0.0,-0.12919709086418152,-0.11988106369972229,-0.07292184978723526,-0.22162875533103943,-0.20609021186828613,-0.10888571292161942,-0.29868149757385254,-0.26905083656311035,-0.11638503521680832,-0.03239881992340088,0.08137601613998413,-0.01863022893667221,0.004007667303085327,0.022385597229003906,-0.12053514271974564,0.11049208045005798,0.06196707487106323,-0.13740503787994385,0.18004140257835388,0.1048479676246643,-0.11201053112745285,-0.03654298186302185,0.16841864585876465,-0.042769089341163635,0.033563464879989624,0.12163406610488892,-0.11395586282014847,0.12273553013801575,0.1438586711883545,-0.11617503315210342,0.18274763226509094,0.1712779402732849,-0.09457846730947495
