Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.09706306457519531,0.3454708456993103,0.016237739473581314,0.1697215437889099,0.23112636804580688,-0.027412334457039833,0.19266277551651,0.06777042150497437,-0.04715050011873245,0.1437581181526184,-0.04219973087310791,-0.07168333232402802,0.04303550720214844,-0.03849869966506958,-0.08589916676282883,0.0657120943069458,-0.03318685293197632,0.008631924167275429,0.04997527599334717,-0.11912471055984497,-0.06145915389060974,0.08418059349060059,-0.022184938192367554,-0.0969451516866684,0.11271840333938599,0.0476168692111969,-0.10323116928339005,0.0,0.0,0.0,-0.02400791645050049,-0.0832870602607727,-0.0888747051358223,0.036855101585388184,0.028059780597686768,-0.11908963322639465,0.0797615647315979,0.09967651963233948,-0.11279113590717316,-0.061634361743927,0.04613006114959717,-0.020787058398127556,-0.06992444396018982,-0.007882386445999146,-0.11050330102443695,0.006717562675476074,0.09926721453666687,-0.12162348628044128,0.05425465106964111,0.17286568880081177,-0.097663015127182,-0.11427569389343262,0.09407782554626465,-0.044314831495285034,-0.19626247882843018,0.0007093548774719238,-0.08273235708475113,-0.2529441714286804,-0.05985832214355469,-0.08917298167943954,-0.308409720659256,-0.1270572543144226,-0.08290410041809082
2,0.09644454717636108,0.3452870845794678,0.008569549769163132,0.1690656542778015,0.22917139530181885,-0.03464602306485176,0.1934773325920105,0.07306137681007385,-0.05323714017868042,0.14311176538467407,-0.03849762678146362,-0.07617419213056564,0.045240819454193115,-0.04753318428993225,-0.08879263699054718,0.06853771209716797,-0.03417789936065674,0.0058882469311356544,0.054755985736846924,-0.10572904348373413,-0.06564073264598846,0.09378749132156372,-0.0033853352069854736,-0.10175126045942307,0.12338870763778687,0.07309973239898682,-0.10613798350095749,0.0,0.0,0.0,-0.021260201930999756,-0.074313223361969,-0.09133827686309814,0.04471993446350098,0.048539817333221436,-0.12070515751838684,0.08836632966995239,0.1332222819328308,-0.10995659977197647,-0.061692655086517334,0.046281278133392334,-0.01823851838707924,-0.06835687160491943,0.0023245811462402344,-0.10761930048465729,0.008794069290161133,0.10628631711006165,-0.11780932545661926,0.0553433895111084,0.18037080764770508,-0.09014514833688736,-0.11711496114730835,0.0976276695728302,-0.038900405168533325,-0.1992458701133728,0.002992868423461914,-0.07796069979667664,-0.2541387975215912,-0.05602222681045532,-0.0839298889040947,-0.30784422159194946,-0.11723989248275757,-0.07389431446790695
3,0.08657211065292358,0.33834564685821533,0.00411513727158308,0.16197532415390015,0.23129796981811523,-0.03625775873661041,0.1877000331878662,0.07323548197746277,-0.054003119468688965,0.1428689956665039,-0.04312250018119812,-0.0776599794626236,0.04596972465515137,-0.04753005504608154,-0.09186422824859619,0.07040804624557495,-0.030018925666809082,0.008544235490262508,0.06032377481460571,-0.10582190752029419,-0.05830199271440506,0.0923689603805542,-0.01670476794242859,-0.0905051976442337,0.11855357885360718,0.05145972967147827,-0.09340698271989822,0.0,0.0,0.0,-0.012249648571014404,-0.08495303988456726,-0.08919455856084824,0.04729658365249634,0.03218597173690796,-0.11668901145458221,0.08605378866195679,0.1111326813697815,-0.10402769595384598,-0.06323748826980591,0.04053625464439392,-0.02067667245864868,-0.0626446008682251,-0.02072814106941223,-0.10947096347808838,0.010532915592193604,0.08821311593055725,-0.11550550162792206,0.05231058597564697,0.166628897190094,-0.0844891145825386,-0.1205066442489624,0.08644020557403564,-0.0440228134393692,-0.19554924964904785,-0.007309973239898682,-0.08122818917036057,-0.24603325128555298,-0.06683999300003052,-0.08438746631145477,-0.2952788770198822,-0.1323089301586151,-0.07244875282049179
4,0.0987439751625061,0.33748626708984375,-0.003835472743958235,0.1756296157836914,0.2376735806465149,-0.05333052575588226,0.19190311431884766,0.05952093005180359,-0.065865159034729,0.12804752588272095,-0.06422436237335205,-0.08085167407989502,0.023934483528137207,-0.04739120602607727,-0.08466397970914841,0.06957507133483887,-0.032439738512039185,0.003200836945325136,0.045519888401031494,-0.1113937497138977,-0.05583749711513519,0.08081269264221191,-0.020000994205474854,-0.08219089359045029,0.10553514957427979,0.041105419397354126,-0.08388904482126236,0.0,0.0,0.0,-0.03201109170913696,-0.0746530294418335,-0.08555582165718079,0.034679532051086426,0.04047808051109314,-0.11156374961137772,0.07762908935546875,0.10812652111053467,-0.09917344897985458,-0.06260833144187927,0.044967204332351685,-0.017020994797348976,-0.08436983823776245,-0.009579330682754517,-0.10466156154870987,-0.0018056035041809082,0.08987009525299072,-0.11600730568170547,0.0501255989074707,0.16111838817596436,-0.08977449685335159,-0.12087970972061157,0.09282180666923523,-0.037442903965711594,-0.20472675561904907,0.006302177906036377,-0.07810095697641373,-0.2657710313796997,-0.05264461040496826,-0.09041939675807953,-0.3260821998119354,-0.11661309003829956,-0.0863189771771431
5,0.0923265814781189,0.3364127576351166,0.0005471849581226707,0.15827351808547974,0.24243786931037903,-0.04097070172429085,0.16148942708969116,0.0874113142490387,-0.053826864808797836,0.08118456602096558,-0.00797337293624878,-0.07028701156377792,-0.018042385578155518,-0.009365171194076538,-0.07624194771051407,0.07207036018371582,-0.024493813514709473,0.00793351512402296,0.05540746450424194,-0.09812977910041809,-0.0549764484167099,0.06965851783752441,-0.013199031352996826,-0.08737614005804062,0.08550292253494263,0.05465075373649597,-0.09103818237781525,0.0,0.0,0.0,-0.03635209798812866,-0.07870352268218994,-0.07892949134111404,0.0001443028450012207,0.006535142660140991,-0.10999938100576401,0.026202023029327393,0.06208905577659607,-0.1040920838713646,-0.06405556201934814,0.04013308882713318,-0.02033582329750061,-0.08845901489257812,0.007183045148849487,-0.10713477432727814,-0.014932453632354736,0.10293486714363098,-0.12302273511886597,0.031544625759124756,0.17109796404838562,-0.10063360631465912,-0.12348300218582153,0.084188312292099,-0.04268104210495949,-0.21017110347747803,-0.0017582476139068604,-0.08028779923915863,-0.2727895975112915,-0.057200491428375244,-0.08447772264480591,-0.3332962691783905,-0.11643561720848083,-0.07509537041187286
6,0.08525794744491577,0.3289770781993866,0.0027068888302892447,0.15513312816619873,0.23350539803504944,-0.04121033102273941,0.16240060329437256,0.08132049441337585,-0.054656438529491425,0.0868043303489685,-0.015308946371078491,-0.07024794816970825,-0.01012873649597168,-0.014119833707809448,-0.07465795427560806,0.0722760558128357,-0.02632194757461548,0.004885733127593994,0.05167597532272339,-0.10260424017906189,-0.05182642862200737,0.06285643577575684,-0.013654440641403198,-0.08010143786668777,0.0818290114402771,0.05499681830406189,-0.08442092686891556,0.0,0.0,0.0,-0.038378357887268066,-0.08074113726615906,-0.07584681361913681,0.0027854442596435547,0.015262097120285034,-0.10286831110715866,0.0383683443069458,0.07759931683540344,-0.0954202190041542,-0.06468057632446289,0.04131340980529785,-0.016852175816893578,-0.08836221694946289,0.0021338164806365967,-0.09767910838127136,-0.019067347049713135,0.09629777073860168,-0.11094927042722702,0.02654576301574707,0.1647597849369049,-0.08938392251729965,-0.12360489368438721,0.0856454074382782,-0.03617800399661064,-0.20810580253601074,0.00173225998878479,-0.07425031065940857,-0.2694604694843292,-0.05265578627586365,-0.08276397734880447,-0.3279605805873871,-0.11101815104484558,-0.07723972946405411
7,0.0864410400390625,0.32659685611724854,0.0021037464030086994,0.15440529584884644,0.23037904500961304,-0.04100716859102249,0.1596817970275879,0.07892626523971558,-0.053760021924972534,0.0838460922241211,-0.015588819980621338,-0.06878434121608734,-0.013488352298736572,-0.016164779663085938,-0.07231179624795914,0.07046478986740112,-0.026652365922927856,0.00528144184499979,0.051388323307037354,-0.10158169269561768,-0.05083565413951874,0.061706364154815674,-0.011510223150253296,-0.07760158181190491,0.07931333780288696,0.05491936206817627,-0.08090995997190475,0.0,0.0,0.0,-0.03616827726364136,-0.0801384449005127,-0.07613567262887955,0.001451253890991211,0.013864874839782715,-0.10293937474489212,0.03391939401626587,0.07326525449752808,-0.09530480206012726,-0.06410276889801025,0.04115220904350281,-0.017296921461820602,-0.08832722902297974,0.0023727715015411377,-0.09883656352758408,-0.019308388233184814,0.09735560417175293,-0.11240220069885254,0.02682119607925415,0.16598886251449585,-0.09085354954004288,-0.12211793661117554,0.08520740270614624,-0.03700730949640274,-0.206027090549469,0.0019324123859405518,-0.07588066160678864,-0.26798880100250244,-0.052581965923309326,-0.08534380793571472,-0.3268073797225952,-0.11082151532173157,-0.08042432367801666
