Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.005694091320037842,0.3543928265571594,0.06762377172708511,0.08302932977676392,0.2667090892791748,0.00878870114684105,0.09534913301467896,0.10635775327682495,-0.0152139812707901,0.02178865671157837,-0.0050386786460876465,-0.036933764815330505,-0.05881372094154358,-0.07238203287124634,-0.05554903298616409,0.08811020851135254,-0.004875600337982178,0.006785321980714798,0.1295696496963501,-0.17843285202980042,-0.0480053648352623,0.15159213542938232,-0.28285372257232666,-0.0797969400882721,0.1677677035331726,-0.37515026330947876,-0.09862752258777618,0.0,0.0,0.0,-0.0068666934967041016,-0.1859821081161499,-0.06211809813976288,-0.009309530258178711,-0.30576130747795105,-0.096254363656044,-0.01815742254257202,-0.41073718667030334,-0.11180061101913452,-0.08067262172698975,0.04760664701461792,-0.011824652552604675,-0.11355242133140564,-0.0662723183631897,-0.10572022199630737,-0.05098980665206909,0.027416527271270752,-0.11253109574317932,-0.009643137454986572,0.10179698467254639,-0.08975866436958313,-0.14473506808280945,0.12297648191452026,-0.026526086032390594,-0.13713091611862183,0.06497722864151001,-0.10858024656772614,-0.07925683259963989,0.12857002019882202,-0.10706573724746704,-0.04518193006515503,0.18306922912597656,-0.08575549721717834
2,-0.0015302300453186035,0.3598228096961975,0.06685581058263779,0.08425545692443848,0.26374608278274536,0.013782486319541931,0.10379898548126221,0.10011017322540283,-0.009595781564712524,0.03728342056274414,-0.013706207275390625,-0.03314674645662308,-0.04778352379798889,-0.07589346170425415,-0.05287507176399231,0.09030741453170776,-0.00390625,0.010742902755737305,0.13379520177841187,-0.18697217106819153,-0.04153478145599365,0.155262291431427,-0.2928679287433624,-0.06978417932987213,0.168066143989563,-0.38537612557411194,-0.08659584820270538,0.0,0.0,0.0,-0.004547238349914551,-0.19672781229019165,-0.06425879895687103,-0.005833268165588379,-0.3202227056026459,-0.09912538528442383,-0.015060484409332275,-0.42904770374298096,-0.11488749086856842,-0.08043277263641357,0.042571425437927246,-0.015150077641010284,-0.10859870910644531,-0.07543128728866577,-0.10896125435829163,-0.0436939001083374,0.02143961191177368,-0.11537580192089081,-0.002496480941772461,0.09777164459228516,-0.09210477769374847,-0.14216071367263794,0.11328858137130737,-0.03322906792163849,-0.12588298320770264,0.05590856075286865,-0.11270901560783386,-0.06847929954528809,0.11993885040283203,-0.11235414445400238,-0.037169039249420166,0.1745569109916687,-0.09255395829677582
3,0.008475422859191895,0.376778244972229,0.05587637424468994,0.09404647350311279,0.27772587537765503,0.00508292019367218,0.11363518238067627,0.11788707971572876,-0.01572747528553009,0.05240565538406372,0.007664740085601807,-0.03913822025060654,-0.034100890159606934,-0.05079692602157593,-0.05934593081474304,0.08968210220336914,-0.00833362340927124,0.014158681035041809,0.13226217031478882,-0.18156495690345764,-0.03832869976758957,0.15094375610351562,-0.28833717107772827,-0.0696595311164856,0.15946346521377563,-0.3824254870414734,-0.08874492347240448,0.0,0.0,0.0,-0.012194216251373291,-0.18892472982406616,-0.06411420553922653,-0.020713746547698975,-0.3104006350040436,-0.09984520077705383,-0.03541556000709534,-0.4143444299697876,-0.11540809273719788,-0.07741540670394897,0.05063349008560181,-0.019934028387069702,-0.11109548807144165,-0.05665522813796997,-0.11592927575111389,-0.042921751737594604,0.03963804244995117,-0.12325546145439148,0.00263822078704834,0.11511880159378052,-0.0988774299621582,-0.1355937123298645,0.1292325258255005,-0.04301881790161133,-0.12997722625732422,0.06956994533538818,-0.12254880368709564,-0.07300624251365662,0.13274604082107544,-0.12007614970207214,-0.037822991609573364,0.1870630383491516,-0.09796005487442017
4,-0.03458535671234131,0.378292441368103,0.04544271156191826,0.06034862995147705,0.2928587794303894,-0.005560208112001419,0.0946384072303772,0.13516676425933838,-0.022353943437337875,0.04709404706954956,0.016430437564849854,-0.04064374044537544,-0.02104818820953369,-0.059073418378829956,-0.05487193539738655,0.08638423681259155,0.004146933555603027,0.009454216808080673,0.14301854372024536,-0.17022705078125,-0.04213704541325569,0.17283320426940918,-0.2706526517868042,-0.07119433581829071,0.19124835729599,-0.35909655690193176,-0.08692753314971924,0.0,0.0,0.0,0.017427921295166016,-0.19393378496170044,-0.05965040996670723,0.03131777048110962,-0.31091299653053284,-0.08884738385677338,0.03407394886016846,-0.4108589291572571,-0.0988624095916748,-0.0793798565864563,0.03743743896484375,-0.016302239149808884,-0.0955914855003357,-0.08011096715927124,-0.10691510140895844,-0.0411679744720459,0.026135265827178955,-0.10950568318367004,-0.00573807954788208,0.10578489303588867,-0.08267049491405487,-0.1422305703163147,0.1030089259147644,-0.03604571893811226,-0.11958897113800049,0.05787104368209839,-0.11258949339389801,-0.07097762823104858,0.1280672550201416,-0.10993064939975739,-0.044493019580841064,0.1801866888999939,-0.08773557841777802
5,-0.0038085579872131348,0.38846951723098755,0.05432449281215668,0.079337477684021,0.2903757691383362,-0.006982520222663879,0.10032832622528076,0.12623894214630127,-0.0343252569437027,0.026319146156311035,0.005723357200622559,-0.0629735141992569,-0.0649459958076477,-0.06493622064590454,-0.08729594945907593,0.09250849485397339,-0.015222907066345215,0.011663567274808884,0.1474999189376831,-0.18423992395401,-0.04466640204191208,0.17748892307281494,-0.28970959782600403,-0.07740898430347443,0.1974928379058838,-0.3814048767089844,-0.09526106715202332,0.0,0.0,0.0,-0.037494957447052,-0.1930670142173767,-0.07898713648319244,-0.06431031227111816,-0.32029446959495544,-0.12545059621334076,-0.09220102429389954,-0.42802754044532776,-0.14361919462680817,-0.08123669028282166,0.05813872814178467,-0.01762200891971588,-0.0856703519821167,-0.023086905479431152,-0.1334007829427719,-0.022597908973693848,0.08948582410812378,-0.14520813524723053,0.009891808032989502,0.1720883846282959,-0.11521202325820923,-0.1449228823184967,0.1356101632118225,-0.03749734163284302,-0.1224549412727356,0.06570553779602051,-0.12559427320957184,-0.07025912404060364,0.14808863401412964,-0.11625929176807404,-0.048945844173431396,0.21508711576461792,-0.08409982919692993
6,0.005750060081481934,0.38983154296875,0.04856196418404579,0.08933556079864502,0.2888144254684448,-0.013134419918060303,0.11075365543365479,0.12497055530548096,-0.04022396355867386,0.032929420471191406,0.007099628448486328,-0.06885989755392075,-0.06288248300552368,-0.05918031930923462,-0.09316171705722809,0.09256035089492798,-0.014664828777313232,0.010689988732337952,0.14953935146331787,-0.1830882430076599,-0.04682786762714386,0.181199312210083,-0.28550779819488525,-0.0808543711900711,0.20138025283813477,-0.3739146590232849,-0.09852038323879242,0.0,0.0,0.0,-0.03996998071670532,-0.1951526403427124,-0.07617594301700592,-0.06269004940986633,-0.31694838404655457,-0.1190069317817688,-0.08864778280258179,-0.4209444224834442,-0.13405734300613403,-0.0789802074432373,0.057868897914886475,-0.017476633191108704,-0.07710903882980347,-0.027135998010635376,-0.13028301298618317,-0.010448932647705078,0.0842217206954956,-0.13906779885292053,0.01975351572036743,0.16477841138839722,-0.10727883875370026,-0.14060884714126587,0.1370704174041748,-0.0375373438000679,-0.10966214537620544,0.06469482183456421,-0.12215037643909454,-0.05708718299865723,0.14514672756195068,-0.10911469161510468,-0.03970372676849365,0.21190273761749268,-0.07441436499357224
7,-0.0017491579055786133,0.3942626118659973,0.042044512927532196,0.08371329307556152,0.29106396436691284,-0.018841847777366638,0.10676020383834839,0.12623369693756104,-0.04326794296503067,0.029283463954925537,0.00710529088973999,-0.06964707374572754,-0.06727969646453857,-0.057591259479522705,-0.09178196638822556,0.09348756074905396,-0.015818119049072266,0.010642003268003464,0.146561861038208,-0.18689554929733276,-0.04469667375087738,0.1750868558883667,-0.29055923223495483,-0.07770849764347076,0.19323480129241943,-0.3794851303100586,-0.09483488649129868,0.0,0.0,0.0,-0.04289165139198303,-0.19342190027236938,-0.07403819262981415,-0.06837242841720581,-0.31481197476387024,-0.11727883666753769,-0.09539797902107239,-0.41827183961868286,-0.13270950317382812,-0.07971760630607605,0.05958312749862671,-0.01773219183087349,-0.08403751254081726,-0.02266836166381836,-0.13003164529800415,-0.018049299716949463,0.08712834119796753,-0.14068233966827393,0.013688504695892334,0.16613322496414185,-0.11000087112188339,-0.14278975129127502,0.14000564813613892,-0.03793395310640335,-0.1170758306980133,0.06954681873321533,-0.12295245379209518,-0.06420189142227173,0.1488100290298462,-0.11125803738832474,-0.04402622580528259,0.21418142318725586,-0.07733362168073654
