Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.08988934755325317,0.2885911464691162,0.0540478453040123,0.03166738152503967,0.2755180597305298,-0.027042604982852936,0.14622461795806885,0.19565188884735107,-0.06609873473644257,0.24673950672149658,0.12213486433029175,-0.09740142524242401,0.33833712339401245,0.09223043918609619,-0.12505711615085602,0.08636689186096191,0.0013556480407714844,-0.009540818631649017,0.10045832395553589,-0.13967859745025635,-0.05725770443677902,0.1077226996421814,-0.23848170042037964,-0.07794106006622314,0.10614222288131714,-0.3204142451286316,-0.09244193136692047,0.0,0.0,0.0,0.025086253881454468,-0.07389143109321594,-0.06405128538608551,0.009711503982543945,0.042508602142333984,-0.06093209981918335,-0.0008989274501800537,0.06882143020629883,-0.04074011743068695,-0.08214503526687622,0.016726553440093994,-0.0016369819641113281,-0.06786304712295532,-0.012544333934783936,-0.07436783611774445,-0.067008376121521,0.09019351005554199,-0.04628525674343109,-0.07065826654434204,0.09525609016418457,-0.008478105068206787,-0.16475948691368103,0.04397881031036377,-0.010937541723251343,-0.151539146900177,0.00703275203704834,-0.055335529148578644,-0.1366272270679474,0.0803842544555664,-0.029088497161865234,-0.14284253120422363,0.09559893608093262,0.0010066963732242584
2,-0.09537190198898315,0.29705339670181274,0.053757429122924805,0.030652731657028198,0.27613312005996704,-0.024790402501821518,0.14427173137664795,0.19151318073272705,-0.06258067488670349,0.24376463890075684,0.11797916889190674,-0.09301431477069855,0.33770233392715454,0.08741122484207153,-0.12045812606811523,0.08132529258728027,-0.0010113716125488281,-0.008076447993516922,0.09627175331115723,-0.14449673891067505,-0.05625350400805473,0.09741377830505371,-0.24174124002456665,-0.08086436986923218,0.09617167711257935,-0.32321277260780334,-0.09918835759162903,0.0,0.0,0.0,0.01586097478866577,-0.08388283848762512,-0.0742136687040329,0.0037660598754882812,0.03101205825805664,-0.08024971187114716,-0.0006503164768218994,0.07732892036437988,-0.06387399137020111,-0.0821124017238617,0.018815457820892334,-0.0019948147237300873,-0.07323259115219116,-0.018807649612426758,-0.08393439650535583,-0.07361495494842529,0.08699226379394531,-0.0616244338452816,-0.07260248064994812,0.10578227043151855,-0.024088401347398758,-0.1646081805229187,0.04569745063781738,-0.010621827095746994,-0.1519656777381897,0.0019981861114501953,-0.06105940416455269,-0.1381763219833374,0.0801357626914978,-0.03739415481686592,-0.13915938138961792,0.10293829441070557,-0.007130537182092667
3,-0.09587717056274414,0.30429452657699585,0.04720653221011162,0.03339892625808716,0.2809995412826538,-0.01849813014268875,0.15022265911102295,0.1913154125213623,-0.04865054041147232,0.24393749237060547,0.11401087045669556,-0.07416373491287231,0.3367643356323242,0.091461181640625,-0.09821847826242447,0.07948851585388184,-0.0011472702026367188,-0.0020553916692733765,0.09510070085525513,-0.14859908819198608,-0.04463160037994385,0.09612810611724854,-0.24278101325035095,-0.06772968173027039,0.09592896699905396,-0.3246954679489136,-0.08651403337717056,0.0,0.0,0.0,0.019225358963012695,-0.09100073575973511,-0.07639282196760178,0.00863569974899292,0.02117025852203369,-0.08866214007139206,0.00017902255058288574,0.07550746202468872,-0.07614205777645111,-0.08161094784736633,0.021056056022644043,-0.005911089479923248,-0.07024529576301575,-0.01970493793487549,-0.08807360380887985,-0.07299765944480896,0.08425015211105347,-0.07158531248569489,-0.0778239369392395,0.11020362377166748,-0.03756967931985855,-0.16657468676567078,0.049157917499542236,-0.016828782856464386,-0.15329629182815552,0.005044758319854736,-0.06697981804609299,-0.14010685682296753,0.08138257265090942,-0.04697154462337494,-0.14019662141799927,0.10635995864868164,-0.019623562693595886
4,-0.06275609135627747,0.31404203176498413,0.05096873641014099,0.06732499599456787,0.27943557500839233,-0.006208404898643494,0.17492493987083435,0.18125003576278687,-0.03299470618367195,0.26592835783958435,0.1079525351524353,-0.056409645825624466,0.3542116582393646,0.08329653739929199,-0.07867351174354553,0.08424073457717896,-0.005399167537689209,0.002135753631591797,0.09310153126716614,-0.1599956452846527,-0.04027054086327553,0.09764191508293152,-0.2544567883014679,-0.0644388347864151,0.09447607398033142,-0.3385639786720276,-0.08360937237739563,0.0,0.0,0.0,0.0334811806678772,-0.0899696946144104,-0.07236155867576599,0.034015148878097534,0.026943325996398926,-0.08480970561504364,0.01655086874961853,0.0774163007736206,-0.07449837028980255,-0.0823090672492981,0.0260276198387146,-0.008548043668270111,-0.05318343639373779,-0.018382281064987183,-0.08857150375843048,-0.046376556158065796,0.0881618857383728,-0.07105891406536102,-0.05864498019218445,0.11409527063369751,-0.037546899169683456,-0.16592499613761902,0.062366604804992676,-0.020929787307977676,-0.14153245091438293,0.014282137155532837,-0.07108037173748016,-0.11951246857643127,0.08791226148605347,-0.04824681207537651,-0.12626692652702332,0.1151764988899231,-0.018934879451990128
5,-0.0933380126953125,0.3260413408279419,0.060636695474386215,0.04070889949798584,0.2978423833847046,-0.02626495063304901,0.1574518084526062,0.20773208141326904,-0.07229404896497726,0.2563202381134033,0.12289965152740479,-0.11139272898435593,0.3420947194099426,0.06697100400924683,-0.1458309292793274,0.08819526433944702,-0.006418585777282715,-0.01004597544670105,0.10161024332046509,-0.159944087266922,-0.06791599839925766,0.10762602090835571,-0.2656649947166443,-0.09329017251729965,0.10552322864532471,-0.35393285751342773,-0.10877630859613419,0.0,0.0,0.0,0.02026963233947754,-0.07044294476509094,-0.07547558099031448,0.013286292552947998,0.06084465980529785,-0.07173233479261398,0.0037366747856140137,0.08853083848953247,-0.04751025140285492,-0.0875120460987091,0.020611584186553955,-0.0023893192410469055,-0.07299122214317322,-0.01880776882171631,-0.08434843271970749,-0.06649801135063171,0.093994140625,-0.0506373792886734,-0.07109618186950684,0.09744375944137573,-0.0061048418283462524,-0.17456746101379395,0.04848426580429077,-0.012951306998729706,-0.15901565551757812,0.00418245792388916,-0.059645138680934906,-0.1381632685661316,0.08495640754699707,-0.026426739990711212,-0.14440739154815674,0.10453605651855469,0.010756056755781174
6,-0.09631863236427307,0.3407251834869385,0.047628097236156464,0.03797084093093872,0.3110731840133667,-0.0453469417989254,0.15370041131973267,0.21368789672851562,-0.08728395402431488,0.2519614100456238,0.12119024991989136,-0.11969661712646484,0.34667569398880005,0.0669640302658081,-0.1454300880432129,0.08859002590179443,-0.004090070724487305,-0.012367554008960724,0.09937632083892822,-0.15559238195419312,-0.06555771827697754,0.09956079721450806,-0.25955936312675476,-0.08692547678947449,0.0961756706237793,-0.3485381007194519,-0.10015124082565308,0.0,0.0,0.0,0.02255493402481079,-0.07731196284294128,-0.07637453079223633,0.010712683200836182,0.05602002143859863,-0.07385508716106415,0.005161583423614502,0.08583289384841919,-0.04853960499167442,-0.08877074718475342,0.018868327140808105,-0.0016866996884346008,-0.07269591093063354,-0.016391396522521973,-0.09313903748989105,-0.07192015647888184,0.10381793975830078,-0.06595942378044128,-0.07282665371894836,0.10586553812026978,-0.02193959429860115,-0.17979636788368225,0.04603761434555054,-0.011291220784187317,-0.16341257095336914,0.006047487258911133,-0.06806385517120361,-0.14433324337005615,0.095103919506073,-0.04137337580323219,-0.14794081449508667,0.11577922105789185,-0.0065103210508823395
7,-0.09705322980880737,0.342903733253479,0.04768231883645058,0.03735107183456421,0.3112252354621887,-0.043474938720464706,0.15176647901535034,0.2127782106399536,-0.08532615005970001,0.2492886185646057,0.11988621950149536,-0.11836276948451996,0.34411299228668213,0.06394964456558228,-0.1445172280073166,0.08908277750015259,-0.004872918128967285,-0.011094111949205399,0.09904736280441284,-0.15855997800827026,-0.06525103747844696,0.09881174564361572,-0.26299506425857544,-0.08632546663284302,0.09492349624633789,-0.3517713248729706,-0.098870649933815,0.0,0.0,0.0,0.021732568740844727,-0.0792107880115509,-0.07878600060939789,0.01115959882736206,0.05528867244720459,-0.07677383720874786,0.0058896541595458984,0.08535909652709961,-0.05103137716650963,-0.08877921104431152,0.01904207468032837,-0.002871386706829071,-0.07351565361022949,-0.016949951648712158,-0.09716914594173431,-0.07138374447822571,0.1046522855758667,-0.07062141597270966,-0.07234203815460205,0.10676473379135132,-0.026126902550458908,-0.17979088425636292,0.045547306537628174,-0.013340987265110016,-0.16419219970703125,0.006031990051269531,-0.07158294320106506,-0.14375543594360352,0.09565216302871704,-0.04518507793545723,-0.1471220850944519,0.11630380153656006,-0.010149050503969193
