Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.06756866723299026,0.7933325171470642,0.6050273180007935,0.19768095016479492,0.8491038680076599,0.24946048855781555,0.30568018555641174,0.927855908870697,-0.04930786043405533,0.20694886147975922,1.1097441911697388,-0.3055872321128845,0.09458908438682556,1.331238031387329,-0.5696726441383362,0.2500576674938202,0.049118854105472565,-0.04055377095937729,0.2887728214263916,0.6654500365257263,-0.36562082171440125,0.21755121648311615,1.2384625673294067,-0.6038117408752441,0.14386790990829468,1.7106990814208984,-0.7293857932090759,0.0,0.0,0.0,0.002140460070222616,0.6144983768463135,-0.25195151567459106,-0.05834360048174858,1.1131330728530884,-0.3544195890426636,-0.1265488862991333,1.5547963380813599,-0.4137895107269287,-0.24494780600070953,0.10539640486240387,0.02856346033513546,-0.2186736911535263,0.7062764167785645,-0.1980954110622406,-0.20953665673732758,1.1448179483413696,-0.20869171619415283,-0.21208617091178894,1.509342908859253,-0.1868276596069336,-0.44530439376831055,0.2942444682121277,0.027498098090291023,-0.3421424329280853,0.760819137096405,-0.11523560434579849,-0.274007648229599,1.1369292736053467,-0.0709933489561081,-0.24216271936893463,1.4463962316513062,-0.013732636347413063
2,-0.061499133706092834,0.780398964881897,0.6222502589225769,0.0994560569524765,0.8467742204666138,0.2522713840007782,0.13602200150489807,0.9436098337173462,-0.0575537383556366,0.050713878124952316,1.134811282157898,-0.3207424283027649,-0.009056434035301208,1.3620882034301758,-0.5900558233261108,0.1434454321861267,0.04429168999195099,-0.043844521045684814,0.18016792833805084,0.6761784553527832,-0.3717028498649597,0.1036989763379097,1.2424463033676147,-0.605185329914093,0.02684502862393856,1.7105364799499512,-0.7265322804450989,0.0,0.0,0.0,0.008487769402563572,0.6294947266578674,-0.2633745074272156,-0.06219569966197014,1.1284059286117554,-0.36508095264434814,-0.13989047706127167,1.5696704387664795,-0.4204239249229431,-0.14593498408794403,0.11335712671279907,0.03107529506087303,-0.10274746268987656,0.7390375733375549,-0.2166561335325241,-0.11972752958536148,1.1864601373672485,-0.23464266955852509,-0.1392063945531845,1.5500296354293823,-0.21291513741016388,-0.2553104758262634,0.3131575584411621,0.03286445513367653,-0.13652241230010986,0.809049665927887,-0.1310587227344513,-0.11053910106420517,1.203777551651001,-0.09484057873487473,-0.11177375912666321,1.517316222190857,-0.040104273706674576
3,-0.16450034081935883,0.8699048161506653,0.46497872471809387,0.1497148871421814,0.920513391494751,0.1699301153421402,0.3331242501735687,1.003370761871338,-0.08841291815042496,0.2756061851978302,1.1874079704284668,-0.3223910331726074,0.16193759441375732,1.347352385520935,-0.5572967529296875,0.3219878375530243,0.0821843296289444,-0.004919538274407387,0.4658659100532532,0.6200332641601562,-0.39082640409469604,0.41509106755256653,1.133337378501892,-0.6456347107887268,0.3558039665222168,1.5368086099624634,-0.7626919746398926,0.0,0.0,0.0,0.07059003412723541,0.5918487310409546,-0.3449530303478241,-0.001530237845145166,1.1088446378707886,-0.47106024622917175,-0.10364415496587753,1.5071884393692017,-0.49607035517692566,-0.3045816123485565,0.11152757704257965,-0.023857515305280685,-0.20771437883377075,0.828062117099762,-0.35836559534072876,-0.15385273098945618,1.2800391912460327,-0.38825562596321106,-0.14857345819473267,1.5886479616165161,-0.321974515914917,-0.5422593951225281,0.3223024308681488,-0.06706976890563965,-0.46708500385284424,0.8498677611351013,-0.30051299929618835,-0.40873196721076965,1.1993552446365356,-0.2850286066532135,-0.39023029804229736,1.4451178312301636,-0.2021733522415161
4,-0.06532863527536392,0.8057901263237,0.5885868072509766,0.20971862971782684,0.870857834815979,0.24333064258098602,0.42209991812705994,0.9672555327415466,-0.06708525121212006,0.5306598544120789,1.196953535079956,-0.3430333137512207,0.6077508330345154,1.467403531074524,-0.6199023127555847,0.30436059832572937,0.06882131099700928,-0.013814497739076614,0.4257969558238983,0.5731033682823181,-0.4097478687763214,0.4367367625236511,1.076805591583252,-0.6719743013381958,0.4133971035480499,1.4926447868347168,-0.8064612150192261,0.0,0.0,0.0,-0.0008125213207677007,0.3499683141708374,-0.34460946917533875,-0.009639439173042774,0.857914388179779,-0.4561200737953186,-0.024038691073656082,1.2792649269104004,-0.4945267140865326,-0.2760852873325348,0.09380235522985458,-0.011365178041160107,-0.30602529644966125,0.41374316811561584,-0.3547590374946594,-0.2629733383655548,0.9079905152320862,-0.3678811490535736,-0.221824049949646,1.2746580839157104,-0.30877307057380676,-0.4603841006755829,0.28904250264167786,-0.04683861508965492,-0.5022375583648682,0.6104212403297424,-0.288543164730072,-0.46078965067863464,0.9741813540458679,-0.2835051715373993,-0.42099910974502563,1.2317792177200317,-0.2327500432729721
5,0.08916464447975159,-0.0014745190273970366,0.9960157871246338,0.2996283769607544,0.19105936586856842,0.6141508221626282,0.36642682552337646,0.49866363406181335,0.3060643672943115,0.32184135913848877,0.782084584236145,0.09780809283256531,0.24068689346313477,1.0306891202926636,-0.12128375470638275,0.2829485535621643,0.05975387617945671,-0.09264583140611649,0.28218913078308105,0.6064944863319397,-0.4359883964061737,0.29102468490600586,0.9891847968101501,-0.5922702550888062,0.2721083164215088,1.27212393283844,-0.6863287091255188,0.0,0.0,0.0,-0.06507955491542816,0.5810627937316895,-0.34460654854774475,-0.0803738608956337,0.9783986806869507,-0.45148563385009766,-0.08778821676969528,1.281309723854065,-0.5412499308586121,-0.24930649995803833,0.05280318111181259,0.1124788224697113,-0.35513755679130554,0.5823763608932495,-0.2001143991947174,-0.40029311180114746,0.9507539868354797,-0.29781457781791687,-0.40546029806137085,1.2498486042022705,-0.3612573742866516,-0.4448559284210205,0.15833501517772675,0.22265827655792236,-0.5131850242614746,0.5589231252670288,-0.0010976806515827775,-0.4985223412513733,0.8249691724777222,-0.07315533608198166,-0.4652556777000427,1.0479472875595093,-0.12944835424423218
6,0.21719487011432648,0.0510638989508152,0.9747917056083679,0.3466282784938812,0.19209688901901245,0.5352910757064819,0.35695913434028625,0.5008324384689331,0.22457054257392883,0.2972124516963959,0.8171022534370422,0.03865797445178032,0.19339008629322052,1.1045992374420166,-0.15100233256816864,0.1999962478876114,0.03081434965133667,-0.1407400518655777,0.1691025197505951,0.4482036232948303,-0.4151422679424286,0.16232480108737946,0.7913883328437805,-0.514953076839447,0.1337384581565857,1.0869861841201782,-0.5870347023010254,0.0,0.0,0.0,-0.035850606858730316,0.5371253490447998,-0.3035140931606293,-0.041602738201618195,0.9284689426422119,-0.3891877233982086,-0.044523514807224274,1.2480597496032715,-0.4704722762107849,-0.13634538650512695,0.09019523113965988,0.1620178520679474,-0.1634059101343155,0.6412938833236694,-0.10626669228076935,-0.1724754422903061,0.9704562425613403,-0.16779404878616333,-0.15509407222270966,1.238571047782898,-0.21714068949222565,-0.22207030653953552,0.2301931530237198,0.3154662847518921,-0.20657679438591003,0.6636489629745483,0.09699565172195435,-0.17058338224887848,0.9080343246459961,0.026972541585564613,-0.1301811784505844,1.0995715856552124,-0.02551008015871048
7,0.47598788142204285,0.04643312841653824,0.8782252073287964,0.32934048771858215,0.12689068913459778,0.6542285680770874,0.16144143044948578,0.4046414792537689,0.4074278473854065,0.09605665504932404,0.8380684852600098,0.23032008111476898,0.04903293773531914,1.2217170000076294,0.022070592269301414,-0.08501280844211578,0.011284572072327137,0.004760135430842638,-0.32355234026908875,0.6362084150314331,-0.2356594204902649,-0.37549927830696106,1.0642683506011963,-0.3346240222454071,-0.369661420583725,1.4261032342910767,-0.3998382091522217,0.0,0.0,0.0,-0.1984119564294815,0.7117905616760254,-0.24286220967769623,-0.21166886389255524,1.2090619802474976,-0.33391058444976807,-0.18324637413024902,1.6059952974319458,-0.4258345365524292,0.16399794816970825,0.11777067929506302,0.02927878312766552,0.1262035071849823,0.8719542622566223,-0.15995554625988007,0.1497303694486618,1.293726921081543,-0.20208460092544556,0.1747327297925949,1.5776983499526978,-0.262305349111557,0.3607911169528961,0.3107784390449524,0.05988706648349762,0.43591049313545227,0.8827106356620789,-0.1203007698059082,0.4644303023815155,1.1988694667816162,-0.15327511727809906,0.47759926319122314,1.4066855907440186,-0.18679580092430115
