Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.23225992918014526,0.40957486629486084,0.8822152614593506,0.4681939482688904,0.4798566699028015,0.3815597891807556,0.46762916445732117,0.5994159579277039,0.08325455337762833,0.34472671151161194,0.7534641623497009,-0.09288471192121506,0.13275711238384247,0.8735645413398743,-0.2621449828147888,0.35912075638771057,0.019764339551329613,-0.15558966994285583,0.3312291204929352,0.47376397252082825,-0.4505474865436554,0.36781376600265503,0.9624341726303101,-0.5574946403503418,0.370818167924881,1.319968581199646,-0.6146008372306824,0.0,0.0,0.0,-0.15875858068466187,0.564731240272522,-0.27615487575531006,-0.16666080057621002,1.1005940437316895,-0.32582128047943115,-0.1573728322982788,1.4681391716003418,-0.36677974462509155,-0.29642295837402344,0.12868094444274902,0.15881413221359253,-0.41916319727897644,0.6941409707069397,-0.10284388065338135,-0.3722046911716461,1.0948330163955688,-0.10038064420223236,-0.3193866014480591,1.3459054231643677,-0.09584441781044006,-0.5030410885810852,0.3302012085914612,0.2945842146873474,-0.5290713906288147,0.7950979471206665,0.07419642060995102,-0.392870157957077,1.0392100811004639,0.0739334300160408,-0.26527291536331177,1.1537456512451172,0.08993914723396301
2,0.12940369546413422,0.7157981991767883,0.6862125396728516,0.3899793028831482,0.7414373755455017,0.24111850559711456,0.38803979754447937,0.6866637468338013,-0.023535707965493202,0.11199110746383667,0.783549427986145,-0.1931311935186386,-0.1918620616197586,0.8449539542198181,-0.3538088798522949,0.3269588053226471,0.04462568089365959,-0.10096777975559235,0.4408422112464905,0.3661317527294159,-0.42051708698272705,0.4817745089530945,0.6913778781890869,-0.6152268648147583,0.4730897545814514,1.0064361095428467,-0.7201359868049622,0.0,0.0,0.0,-0.16345183551311493,0.5879859924316406,-0.3691730797290802,-0.22035086154937744,1.0708762407302856,-0.5185841917991638,-0.22084970772266388,1.4894866943359375,-0.5714225769042969,-0.26882269978523254,0.11557892709970474,0.09474791586399078,-0.28166618943214417,0.783226490020752,-0.22703392803668976,-0.1120385080575943,1.1635982990264893,-0.2437121570110321,0.014103323221206665,1.4225845336914062,-0.19520631432533264,-0.45878028869628906,0.3116866648197174,0.16374413669109344,-0.4039502441883087,0.7797019481658936,-0.08002808690071106,-0.23053821921348572,1.0349745750427246,-0.06308814883232117,-0.1119047999382019,1.1634408235549927,0.004894257057458162
3,0.03389337658882141,0.4550389349460602,0.8898262977600098,0.3870296776294708,0.5237425565719604,0.4813656508922577,0.4009784758090973,0.6631790995597839,0.17758987843990326,0.1465732455253601,0.92317134141922,-0.0321999229490757,-0.08440868556499481,1.1202057600021362,-0.22480988502502441,0.3958908021450043,0.08214087784290314,-0.1031573936343193,0.4474523365497589,0.7858031988143921,-0.4480302035808563,0.3997776210308075,1.3315223455429077,-0.6177918910980225,0.339674711227417,1.7299110889434814,-0.6877647042274475,0.0,0.0,0.0,-0.037926189601421356,0.9425750970840454,-0.28309857845306396,-0.09578507393598557,1.4043617248535156,-0.30303922295570374,-0.09794420748949051,1.6878300905227661,-0.2870953679084778,-0.3766404986381531,0.06030523031949997,0.11686036735773087,-0.40425390005111694,0.9425181746482849,-0.04350558668375015,-0.31646740436553955,1.0286736488342285,0.06426790356636047,-0.2523564100265503,0.9665070176124573,0.15268683433532715,-0.7203910946846008,0.21149864792823792,0.19935159385204315,-0.6694104671478271,0.8139281272888184,0.11508108675479889,-0.5175570249557495,0.8745002746582031,0.2316763997077942,-0.424740731716156,0.8072704672813416,0.34718090295791626
4,-0.03735120967030525,0.7668198347091675,0.640774667263031,0.20473206043243408,0.898413360118866,0.25091952085494995,0.3457163870334625,1.006148338317871,-0.07382209599018097,0.18035876750946045,1.1727826595306396,-0.35370346903800964,-0.027844499796628952,1.2005424499511719,-0.6287699341773987,0.33083733916282654,0.15095654129981995,-0.031529705971479416,0.46024852991104126,0.3131416440010071,-0.49881380796432495,0.49171364307403564,0.46855252981185913,-0.8369652032852173,0.48365965485572815,0.6547178626060486,-1.0356031656265259,0.0,0.0,0.0,0.019368965178728104,0.73117995262146,-0.4867948293685913,0.034090444445610046,1.3209037780761719,-0.6502347588539124,0.07425572723150253,1.6876438856124878,-0.6919509768486023,-0.30200400948524475,0.09852207452058792,-0.001305681187659502,-0.25831398367881775,0.855434000492096,-0.38252562284469604,-0.17466527223587036,1.207887053489685,-0.32926300168037415,-0.12652015686035156,1.3516181707382202,-0.22346672415733337,-0.5579274296760559,0.3021908104419708,-0.038095783442258835,-0.49054211378097534,0.8367176651954651,-0.28866609930992126,-0.3747154474258423,1.0910041332244873,-0.22029194235801697,-0.3044239580631256,1.1652419567108154,-0.11082097887992859
5,-0.14312605559825897,0.730961799621582,0.6672403812408447,0.2117607146501541,0.8548303246498108,0.29984578490257263,0.4300649166107178,0.9871472716331482,-0.029426362365484238,0.3534276783466339,1.1354870796203613,-0.3198983073234558,0.19469523429870605,1.2291394472122192,-0.6021878719329834,0.4155537486076355,0.10958332568407059,-0.03157486021518707,0.5302316546440125,0.7015377879142761,-0.49825602769851685,0.5139989256858826,1.1869522333145142,-0.79539954662323,0.4601646065711975,1.5478435754776,-0.939143180847168,0.0,0.0,0.0,-0.08302334696054459,0.825466513633728,-0.47592633962631226,-0.15320947766304016,1.398301124572754,-0.6050682067871094,-0.23721709847450256,1.7511957883834839,-0.6057145595550537,-0.38932299613952637,0.10798996686935425,0.006955349817872047,-0.37776055932044983,0.8833147287368774,-0.359170526266098,-0.22725164890289307,1.164776086807251,-0.3264882266521454,-0.1229524165391922,1.2391239404678345,-0.2155000865459442,-0.6971335411071777,0.2978856563568115,-0.012394892051815987,-0.6416295766830444,0.8194298148155212,-0.20462779700756073,-0.5027998089790344,1.0119684934616089,-0.13357320427894592,-0.40484267473220825,1.0293549299240112,-0.01815839298069477
6,-0.19752447307109833,0.7394276261329651,0.6436076760292053,0.12951578199863434,0.8716855049133301,0.26018252968788147,0.331617534160614,0.9878204464912415,-0.07168872654438019,0.25421226024627686,1.1279594898223877,-0.3631705939769745,0.07506106793880463,1.2176933288574219,-0.6366688013076782,0.3988969326019287,0.11767704039812088,-0.03306350111961365,0.505988359451294,0.6661067605018616,-0.5308563113212585,0.4815596640110016,1.1516433954238892,-0.8409056663513184,0.42173248529434204,1.5122746229171753,-0.9820402264595032,0.0,0.0,0.0,-0.12125415354967117,0.787392795085907,-0.5018473863601685,-0.17719542980194092,1.36874258518219,-0.6136097311973572,-0.2531989514827728,1.725217342376709,-0.5852836966514587,-0.3813990354537964,0.091238833963871,-0.002999034244567156,-0.4087565541267395,0.8664215803146362,-0.38743966817855835,-0.2664196193218231,1.1972906589508057,-0.31554532051086426,-0.16992557048797607,1.2910817861557007,-0.16181446611881256,-0.6781341433525085,0.266320139169693,-0.039304181933403015,-0.6526356935501099,0.7892522811889648,-0.24858583509922028,-0.5259531140327454,0.9788084030151367,-0.16902203857898712,-0.4296432435512543,0.976896345615387,-0.03425266221165657
7,-0.19463825225830078,0.7298412919044495,0.6553225517272949,0.11361557990312576,0.8802743554115295,0.2793189585208893,0.32956355810165405,1.0406854152679443,-0.06052801385521889,0.33966273069381714,1.2410916090011597,-0.36364829540252686,0.22090022265911102,1.3843119144439697,-0.6455796360969543,0.4221465289592743,0.12467672675848007,-0.022649509832262993,0.5083407759666443,0.7185500264167786,-0.5389884114265442,0.46965283155441284,1.220047116279602,-0.8625364899635315,0.40853992104530334,1.5995254516601562,-1.0082018375396729,0.0,0.0,0.0,-0.16987639665603638,0.8122720122337341,-0.4958820939064026,-0.24671368300914764,1.3567626476287842,-0.6102465987205505,-0.3266708552837372,1.6754052639007568,-0.592093288898468,-0.3926840126514435,0.0847398117184639,-0.013942153193056583,-0.4395202398300171,0.9252594113349915,-0.37762075662612915,-0.30966365337371826,1.2201042175292969,-0.30440473556518555,-0.2069808691740036,1.2731255292892456,-0.16051457822322845,-0.6913161277770996,0.26799890398979187,-0.06483498215675354,-0.6607652306556702,0.8288866877555847,-0.2526865601539612,-0.535891592502594,1.0127254724502563,-0.16477327048778534,-0.4270360469818115,1.0079638957977295,-0.030750522390007973
