Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.1319606602191925,0.37191396951675415,0.003934989217668772,0.25248855352401733,0.23871570825576782,0.04233890026807785,0.2890801429748535,0.09191042184829712,0.03494580090045929,0.34415072202682495,-0.006287038326263428,0.0026160716079175472,0.3586816191673279,-0.09550479054450989,-0.028139755129814148,0.027342289686203003,-0.014363378286361694,0.057872626930475235,0.11357712745666504,-0.19580191373825073,-0.004610778763890266,0.2413696050643921,-0.219046488404274,-0.06609503924846649,0.32561033964157104,-0.17640280723571777,-0.09894309192895889,0.0,0.0,0.0,0.11035776138305664,-0.21904627978801727,-0.059844907373189926,0.26466548442840576,-0.225798100233078,-0.11061444133520126,0.3469902276992798,-0.16130715608596802,-0.13609598577022552,0.008153289556503296,0.018273204565048218,-0.06112122908234596,0.0990457534790039,-0.20170028507709503,-0.10794760286808014,0.2496437430381775,-0.20254921913146973,-0.12040872871875763,0.32569068670272827,-0.13871139287948608,-0.11873625963926315,0.05540311336517334,0.04327660799026489,-0.12142758816480637,0.13931462168693542,-0.13123074173927307,-0.1493329405784607,0.24429821968078613,-0.14578014612197876,-0.1407703310251236,0.3065861463546753,-0.10178214311599731,-0.12810036540031433
2,0.12182867527008057,0.39495718479156494,0.0026145903393626213,0.24949955940246582,0.24560832977294922,0.0344712920486927,0.28977513313293457,0.09248805046081543,0.024661364033818245,0.3393203020095825,-0.006755232810974121,-0.008507683873176575,0.3536387085914612,-0.09606823325157166,-0.03888808190822601,0.03049302101135254,-0.013636499643325806,0.05324968323111534,0.1105603575706482,-0.19196155667304993,-0.00934202503412962,0.237682044506073,-0.21727974712848663,-0.06862320005893707,0.32610613107681274,-0.17728044092655182,-0.09858353435993195,0.0,0.0,0.0,0.11414647102355957,-0.213823601603508,-0.05805463343858719,0.2610687017440796,-0.2156330943107605,-0.103973388671875,0.3391404151916504,-0.1524064540863037,-0.12460179626941681,0.006156325340270996,0.020429909229278564,-0.05730452761054039,0.09927317500114441,-0.1944255232810974,-0.10375599563121796,0.2425905466079712,-0.19372226297855377,-0.11224275082349777,0.3169165253639221,-0.1331547498703003,-0.10594098269939423,0.051345646381378174,0.047574788331985474,-0.11446080356836319,0.13191288709640503,-0.12319338321685791,-0.141868457198143,0.23509985208511353,-0.1414039134979248,-0.13108716905117035,0.3003200888633728,-0.10388267040252686,-0.11434672772884369
3,0.13090798258781433,0.39977920055389404,-0.0028594282921403646,0.251583993434906,0.251706600189209,0.02489742450416088,0.29682618379592896,0.098446786403656,0.015595482662320137,0.34777265787124634,-0.004594773054122925,-0.014802009798586369,0.3543716073036194,-0.09541550278663635,-0.04095635935664177,0.029749751091003418,-0.011285841464996338,0.04832190275192261,0.11169379949569702,-0.19141602516174316,-0.013900680467486382,0.24301409721374512,-0.2169509381055832,-0.07486992329359055,0.3356132507324219,-0.17810791730880737,-0.10549133270978928,0.0,0.0,0.0,0.11355209350585938,-0.21422626078128815,-0.05614970624446869,0.26251035928726196,-0.22121061384677887,-0.10383601486682892,0.3447902202606201,-0.16017651557922363,-0.12628737092018127,0.007456749677658081,0.01969495415687561,-0.05249146744608879,0.1025669276714325,-0.1943478286266327,-0.09673193842172623,0.24545609951019287,-0.19731749594211578,-0.10876104980707169,0.3214244246482849,-0.137910395860672,-0.10538019984960556,0.05225658416748047,0.04624134302139282,-0.10507222265005112,0.13769420981407166,-0.12229612469673157,-0.13047006726264954,0.2405489683151245,-0.13807323575019836,-0.12109620124101639,0.30552589893341064,-0.09810152649879456,-0.10546628385782242
4,0.10843765735626221,0.40300536155700684,0.0005044117569923401,0.23714953660964966,0.25357675552368164,0.03604595735669136,0.2848169803619385,0.10241150856018066,0.02827880159020424,0.3375507593154907,0.004015684127807617,-0.00396359246224165,0.3562045097351074,-0.09103149175643921,-0.033522289246320724,0.03588366508483887,-0.013734370470046997,0.055296801030635834,0.10919269919395447,-0.1995936781167984,-0.006029745098203421,0.23931258916854858,-0.21955056488513947,-0.06329286843538284,0.329571008682251,-0.17820200324058533,-0.09205282479524612,0.0,0.0,0.0,0.10634589195251465,-0.21541744470596313,-0.052968449890613556,0.25616455078125,-0.2185133844614029,-0.09509237110614777,0.3368019461631775,-0.16011589765548706,-0.11575218290090561,0.0008796453475952148,0.02198466658592224,-0.06005287542939186,0.09056013822555542,-0.20361943542957306,-0.10570748895406723,0.23756474256515503,-0.20224414765834808,-0.11354165524244308,0.3147937059402466,-0.14141058921813965,-0.10845617949962616,0.04120379686355591,0.05013680458068848,-0.11963126808404922,0.12198266386985779,-0.12855350971221924,-0.1489333212375641,0.2277812957763672,-0.14215677976608276,-0.13885225355625153,0.2930867671966553,-0.09943434596061707,-0.12356337159872055
5,0.09700030088424683,0.4220346212387085,0.012631031684577465,0.24534070491790771,0.2640336751937866,0.04466281458735466,0.2912319302558899,0.10738861560821533,0.036589935421943665,0.34419047832489014,0.006094515323638916,0.005338863003998995,0.37474071979522705,-0.08663266897201538,-0.022873185575008392,0.030173420906066895,-0.012081563472747803,0.054698873311281204,0.14524757862091064,-0.18667232990264893,-0.006351331248879433,0.2822420597076416,-0.20158177614212036,-0.06345389783382416,0.3731391429901123,-0.16316503286361694,-0.09523361921310425,0.0,0.0,0.0,0.1391448974609375,-0.20615597069263458,-0.056048326194286346,0.297787070274353,-0.20865164697170258,-0.0970463678240776,0.38578224182128906,-0.1517464518547058,-0.11815209686756134,0.011219054460525513,0.0206243097782135,-0.05892689526081085,0.13401329517364502,-0.194859579205513,-0.10555620491504669,0.28709864616394043,-0.19318586587905884,-0.11609458923339844,0.3688160181045532,-0.13489371538162231,-0.1148056834936142,0.06365704536437988,0.04843369126319885,-0.11801590025424957,0.16665732860565186,-0.12049403786659241,-0.14645817875862122,0.2721758484840393,-0.12988916039466858,-0.13886018097400665,0.33772480487823486,-0.08744549751281738,-0.12760302424430847
6,0.0980876088142395,0.4248233437538147,0.0013890003319829702,0.23865652084350586,0.2703213095664978,0.033637601882219315,0.29419904947280884,0.11072438955307007,0.025592535734176636,0.3562542200088501,0.00350382924079895,-0.005630887113511562,0.3865373730659485,-0.08692651987075806,-0.03329909220337868,0.029130637645721436,-0.01039654016494751,0.05387672781944275,0.1423519253730774,-0.18659107387065887,-0.009874554350972176,0.2813114523887634,-0.19985392689704895,-0.07178658992052078,0.3743440508842468,-0.1581675410270691,-0.10478784888982773,0.0,0.0,0.0,0.14797085523605347,-0.2099284529685974,-0.060033515095710754,0.3049278259277344,-0.20087473094463348,-0.10867916792631149,0.38880014419555664,-0.13644999265670776,-0.13165953755378723,0.011153697967529297,0.021319985389709473,-0.05782383307814598,0.13884425163269043,-0.1888962835073471,-0.10641494393348694,0.2884286046028137,-0.17675873637199402,-0.11892712861299515,0.3658021092414856,-0.11329036951065063,-0.11561763286590576,0.06102931499481201,0.05164960026741028,-0.11565414071083069,0.1672419309616089,-0.11251446604728699,-0.14312586188316345,0.27392029762268066,-0.11591130495071411,-0.13354159891605377,0.3400586247444153,-0.07103511691093445,-0.11831807345151901
7,0.10142844915390015,0.42386582493782043,0.0014646570198237896,0.2400364875793457,0.2650716006755829,0.03359277918934822,0.2954482436180115,0.10523650050163269,0.024425603449344635,0.35398513078689575,-0.00018137693405151367,-0.007884151302278042,0.38338422775268555,-0.09227359294891357,-0.0364961102604866,0.030389070510864258,-0.012082338333129883,0.05378515645861626,0.14226412773132324,-0.1893724799156189,-0.00986576359719038,0.2795742154121399,-0.20324982702732086,-0.07128489017486572,0.37115544080734253,-0.16182199120521545,-0.1039639413356781,0.0,0.0,0.0,0.1465764045715332,-0.21242308616638184,-0.06104644015431404,0.30254220962524414,-0.20353859663009644,-0.11022376269102097,0.3856930136680603,-0.1403384506702423,-0.13323147594928741,0.010563641786575317,0.021762996912002563,-0.05766258016228676,0.13461512327194214,-0.19128961861133575,-0.10653440654277802,0.28432410955429077,-0.1809121072292328,-0.11914761364459991,0.3629041910171509,-0.11872881650924683,-0.11584268510341644,0.059805333614349365,0.05186489224433899,-0.11537177115678787,0.16272783279418945,-0.11250481009483337,-0.1437215656042099,0.2706897258758545,-0.121680349111557,-0.1356814205646515,0.3391427993774414,-0.08209589123725891,-0.12147293984889984
