Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.26712435483932495,-0.06810331344604492,0.23118960857391357,0.2316022515296936,-0.014686942100524902,0.09774079918861389,0.15886276960372925,0.07467859983444214,0.002482175827026367,0.10388821363449097,0.20028156042099,-0.06713594496250153,0.04290473461151123,0.31120431423187256,-0.14173279702663422,-0.019774138927459717,-0.03144872188568115,-0.029394283890724182,-0.20552194118499756,-0.006415069103240967,-0.14522941410541534,-0.323108434677124,-0.005748867988586426,-0.2309061735868454,-0.41147422790527344,-0.0035671591758728027,-0.2871858477592468,0.0,0.0,0.0,-0.16431421041488647,0.11355602741241455,-0.10810266435146332,-0.2077818512916565,0.23731297254562378,-0.1739053875207901,-0.20904821157455444,0.33779406547546387,-0.215654656291008,0.06042736768722534,0.0367964506149292,0.0272434800863266,-0.07636195421218872,0.14766818284988403,-0.06847546994686127,-0.13430669903755188,0.26392853260040283,-0.12799860537052155,-0.15371662378311157,0.3530770540237427,-0.16261900961399078,0.14537090063095093,0.07393169403076172,0.05026622116565704,0.08094924688339233,0.17761647701263428,-0.03835932910442352,0.04254150390625,0.2653146982192993,-0.08414734899997711,0.02914029359817505,0.33109474182128906,-0.10966421663761139
2,0.31342729926109314,-0.048667967319488525,0.16031596064567566,0.28423210978507996,0.0072479248046875,0.02848324179649353,0.19899657368659973,0.09759300947189331,-0.04348428547382355,0.12844786047935486,0.20706218481063843,-0.08886255323886871,0.06605163216590881,0.3018922805786133,-0.13209164142608643,-0.0008144676685333252,-0.03172856569290161,-0.043928056955337524,-0.1854201853275299,-0.01738661527633667,-0.1296176016330719,-0.30581948161125183,-0.017581939697265625,-0.19324776530265808,-0.4052252769470215,-0.0109061598777771,-0.23422500491142273,0.0,0.0,0.0,-0.15073469281196594,0.09618914127349854,-0.0845852941274643,-0.18123015761375427,0.21023648977279663,-0.1343688666820526,-0.17676004767417908,0.3008492588996887,-0.16243496537208557,0.028753608465194702,0.03910094499588013,0.039139024913311005,-0.10889452695846558,0.12875735759735107,-0.03466731309890747,-0.15599915385246277,0.23161828517913818,-0.07676403224468231,-0.17132148146629333,0.3090323805809021,-0.09566166996955872,0.07682660222053528,0.07587850093841553,0.07176590710878372,-0.028549402952194214,0.15527939796447754,0.013775721192359924,-0.07963636517524719,0.2273673415184021,-0.01592649519443512,-0.09998437762260437,0.27831441164016724,-0.030019134283065796
3,0.3352263867855072,-0.018584907054901123,0.12750832736492157,0.3039073646068573,0.01731717586517334,-0.01823827624320984,0.2105797827243805,0.08819174766540527,-0.08637136220932007,0.12297114729881287,0.18429291248321533,-0.12881769239902496,0.05095133185386658,0.27750885486602783,-0.1675969511270523,0.01130327582359314,-0.04998403787612915,-0.05056813359260559,-0.17480584979057312,-0.05435025691986084,-0.1190212219953537,-0.28910523653030396,-0.06631141901016235,-0.17214272916316986,-0.3869054913520813,-0.06698721647262573,-0.20865295827388763,0.0,0.0,0.0,-0.1549273431301117,0.06810426712036133,-0.08537168800830841,-0.1903238594532013,0.17334282398223877,-0.1457451730966568,-0.1880122721195221,0.2631670832633972,-0.17871831357479095,0.010761350393295288,0.048387110233306885,0.04410923272371292,-0.12648645043373108,0.10635054111480713,-0.0314483642578125,-0.17236670851707458,0.19659757614135742,-0.08393226563930511,-0.18525847792625427,0.27142053842544556,-0.10845412313938141,0.03570541739463806,0.08332103490829468,0.07982642948627472,-0.0757530927658081,0.131597101688385,0.023048922419548035,-0.12358865141868591,0.1818610429763794,-0.010764926671981812,-0.14201173186302185,0.2203507423400879,-0.028129130601882935
4,0.3340073823928833,-0.01086801290512085,0.11587797850370407,0.30390554666519165,0.014113187789916992,-0.03273197263479233,0.21552985906600952,0.07678371667861938,-0.09805835038423538,0.13267922401428223,0.16915833950042725,-0.137004554271698,0.057474762201309204,0.26079368591308594,-0.17195230722427368,0.01243501901626587,-0.05792105197906494,-0.0505199059844017,-0.17281034588813782,-0.06648731231689453,-0.11708886176347733,-0.28992897272109985,-0.07768845558166504,-0.16995909810066223,-0.3892110586166382,-0.0791240930557251,-0.20713555812835693,0.0,0.0,0.0,-0.14427229762077332,0.07300788164138794,-0.08442459255456924,-0.17880317568778992,0.17725682258605957,-0.14557531476020813,-0.17563208937644958,0.2578160762786865,-0.1792086660861969,0.011531949043273926,0.05492466688156128,0.04189427196979523,-0.11742222309112549,0.11626511812210083,-0.03944564610719681,-0.1566278040409088,0.20320016145706177,-0.09596147388219833,-0.16444799304008484,0.26751476526260376,-0.1222187802195549,0.04178544878959656,0.09147167205810547,0.07494235038757324,-0.054248154163360596,0.14215654134750366,0.005548954010009766,-0.08546239137649536,0.1911224126815796,-0.03475264459848404,-0.08720773458480835,0.22708702087402344,-0.05421770364046097
5,0.2984367609024048,-0.023166030645370483,0.1415148824453354,0.28982383012771606,-0.01146504282951355,0.0006674528121948242,0.22120577096939087,0.05358734726905823,-0.07267661392688751,0.15475964546203613,0.15596070885658264,-0.12008032202720642,0.13374793529510498,0.2585473358631134,-0.16590657830238342,0.01767665147781372,-0.05400720238685608,-0.04624781012535095,-0.14957064390182495,-0.023062020540237427,-0.11802080273628235,-0.261940062046051,-0.0074481964111328125,-0.17406350374221802,-0.3514311611652374,0.018643558025360107,-0.2122272253036499,0.0,0.0,0.0,-0.13941428065299988,0.0655231773853302,-0.07727092504501343,-0.18981581926345825,0.16269555687904358,-0.12622973322868347,-0.20260196924209595,0.24678674340248108,-0.15328776836395264,0.01106637716293335,0.05196717381477356,0.039985597133636475,-0.11548256874084473,0.11182418465614319,-0.02694384753704071,-0.1686221957206726,0.19336268305778503,-0.06551101803779602,-0.1902245283126831,0.26103731989860535,-0.08308441936969757,0.03894972801208496,0.09083178639411926,0.07097195088863373,-0.05854916572570801,0.14755842089653015,0.018828585743904114,-0.11194002628326416,0.20295533537864685,-0.005347952246665955,-0.1397562325000763,0.24606236815452576,-0.016098737716674805
6,0.29908841848373413,-0.02855849266052246,0.13837109506130219,0.28064095973968506,-0.0005442500114440918,-0.008261069655418396,0.21175140142440796,0.060262709856033325,-0.0819564163684845,0.15308815240859985,0.16219937801361084,-0.1279020458459854,0.1317722201347351,0.26038020849227905,-0.1717960685491562,0.01775228977203369,-0.05633878707885742,-0.052360743284225464,-0.1569051742553711,-0.019351840019226074,-0.11591242253780365,-0.26838523149490356,-0.0017767548561096191,-0.16453824937343597,-0.36021777987480164,0.02289089560508728,-0.19899849593639374,0.0,0.0,0.0,-0.14780959486961365,0.0851028561592102,-0.07457803189754486,-0.19565433263778687,0.17869508266448975,-0.12405942380428314,-0.20519840717315674,0.2580130696296692,-0.15081651508808136,0.010727465152740479,0.05640026926994324,0.04688608646392822,-0.11481821537017822,0.12982869148254395,-0.01676732301712036,-0.1655552089214325,0.20854514837265015,-0.05783407390117645,-0.1869264841079712,0.2723539471626282,-0.07782541215419769,0.03890502452850342,0.10232073068618774,0.08456525206565857,-0.05074727535247803,0.1581527590751648,0.033743180334568024,-0.0918387770652771,0.20821654796600342,0.007420212030410767,-0.11157000064849854,0.24792146682739258,-0.00555872917175293
7,0.3105650544166565,-0.03489196300506592,0.13006043434143066,0.2994503974914551,-0.006530493497848511,-0.015428110957145691,0.23062115907669067,0.061553955078125,-0.08427107334136963,0.165397047996521,0.16207081079483032,-0.12557202577590942,0.14392966032028198,0.26323556900024414,-0.16282182931900024,0.021371006965637207,-0.056039959192276,-0.04880449175834656,-0.15356439352035522,-0.011756300926208496,-0.1135183572769165,-0.2657510042190552,0.008964478969573975,-0.1640373170375824,-0.36046767234802246,0.037832826375961304,-0.1992064118385315,0.0,0.0,0.0,-0.1405501365661621,0.07951921224594116,-0.07362346351146698,-0.18991613388061523,0.17756116390228271,-0.11981773376464844,-0.2011823058128357,0.25930094718933105,-0.14450380206108093,0.009557247161865234,0.05657181143760681,0.04097680747509003,-0.11432915925979614,0.12748008966445923,-0.027173325419425964,-0.1629365086555481,0.20718258619308472,-0.06890195608139038,-0.18302780389785767,0.2708631753921509,-0.08761826157569885,0.03561455011367798,0.09951794147491455,0.07241322100162506,-0.056456029415130615,0.15712392330169678,0.018658138811588287,-0.10214266180992126,0.21016567945480347,-0.008696824312210083,-0.12531864643096924,0.255279004573822,-0.021647050976753235
