Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.06800168752670288,0.2892557978630066,0.044887565076351166,0.01338350772857666,0.24706918001174927,-0.013435792177915573,0.06817001104354858,0.12429940700531006,-0.03606163337826729,0.03754568099975586,0.025276601314544678,-0.05440477654337883,-0.026942908763885498,-0.04011443257331848,-0.06773124635219574,0.060362815856933594,0.002834141254425049,0.0007952377200126648,0.051102519035339355,-0.1346532106399536,-0.03818165138363838,0.03310537338256836,-0.23114514350891113,-0.06439656019210815,0.011572599411010742,-0.31410324573516846,-0.0818503350019455,0.0,0.0,0.0,0.02958446741104126,-0.15962368249893188,-0.041370462626218796,0.06500577926635742,-0.25451111793518066,-0.06127465143799782,0.08779513835906982,-0.3302895724773407,-0.06882379949092865,-0.06152695417404175,0.024253368377685547,-0.008025035262107849,-0.0425487756729126,-0.0897868275642395,-0.08032454550266266,-0.019614875316619873,-0.009326457977294922,-0.08206625282764435,-0.01497340202331543,0.05755317211151123,-0.06160934641957283,-0.11588543653488159,0.06995028257369995,-0.02037407085299492,-0.07301697134971619,0.015253007411956787,-0.08606976270675659,-0.04912877082824707,0.07898187637329102,-0.08377593755722046,-0.050692617893218994,0.1327589750289917,-0.06647530198097229
2,-0.07454925775527954,0.30966275930404663,0.04480338469147682,0.00873875617980957,0.25138330459594727,-0.012505967170000076,0.06528604030609131,0.1312861442565918,-0.03732151910662651,0.0353890061378479,0.03071814775466919,-0.05950331315398216,-0.029277443885803223,-0.04064565896987915,-0.07695591449737549,0.06252795457839966,-0.0016040205955505371,0.0029889121651649475,0.05062586069107056,-0.14123043417930603,-0.03723731264472008,0.032530128955841064,-0.23907235264778137,-0.06540204584598541,0.01397782564163208,-0.32264214754104614,-0.08387595415115356,0.0,0.0,0.0,0.02127605676651001,-0.1616472601890564,-0.042046647518873215,0.04854375123977661,-0.2537343502044678,-0.06267301738262177,0.06452536582946777,-0.3257068693637848,-0.0711229145526886,-0.06259512901306152,0.028197646141052246,-0.010796260088682175,-0.05289721488952637,-0.07920423150062561,-0.08448344469070435,-0.025682389736175537,-0.00019419193267822266,-0.0898684412240982,-0.018071234226226807,0.06709510087966919,-0.07165664434432983,-0.11869606375694275,0.07707053422927856,-0.025781799107789993,-0.08441361784934998,0.009714841842651367,-0.08978971838951111,-0.05497288703918457,0.07150876522064209,-0.08788283169269562,-0.050670087337493896,0.12835711240768433,-0.07147103548049927
3,-0.09374251961708069,0.31883037090301514,0.03032882697880268,-0.018610000610351562,0.26128363609313965,-0.03309265151619911,0.03138238191604614,0.13799583911895752,-0.05612281337380409,0.00528562068939209,0.03056347370147705,-0.07567611336708069,-0.057712674140930176,-0.05126413702964783,-0.08967380225658417,0.061881959438323975,0.0030854344367980957,6.854534149169922e-07,0.042709290981292725,-0.1342918872833252,-0.041394319385290146,0.017816543579101562,-0.22837823629379272,-0.07057200372219086,-0.00836557149887085,-0.31116241216659546,-0.08972106873989105,0.0,0.0,0.0,0.029844045639038086,-0.16323626041412354,-0.046994831413030624,0.057822585105895996,-0.2488631308078766,-0.07119825482368469,0.07556015253067017,-0.32240384817123413,-0.07923834025859833,-0.06673958897590637,0.02741706371307373,-0.009532634168863297,-0.07032042741775513,-0.07445093989372253,-0.0936628133058548,-0.051016807556152344,0.02074110507965088,-0.10241305828094482,-0.04140520095825195,0.08983927965164185,-0.08196727931499481,-0.12555691599845886,0.07772386074066162,-0.023137222975492477,-0.10468962788581848,0.023129940032958984,-0.09559790790081024,-0.0840539038181305,0.09695935249328613,-0.09550224244594574,-0.07934710383415222,0.1501220464706421,-0.07774507999420166
4,-0.06074437499046326,0.32648301124572754,0.04745136946439743,0.02823483943939209,0.25909650325775146,-0.0029168426990509033,0.08355623483657837,0.12940651178359985,-0.024602990597486496,0.052814602851867676,0.029497146606445312,-0.045302193611860275,-0.010632514953613281,-0.034262657165527344,-0.06118673458695412,0.06411600112915039,-0.0012000799179077148,0.007989514619112015,0.05064380168914795,-0.14330703020095825,-0.033254992216825485,0.02836710214614868,-0.23919954895973206,-0.0639769583940506,0.005268871784210205,-0.3240458369255066,-0.08579231798648834,0.0,0.0,0.0,0.021101772785186768,-0.1693536639213562,-0.04221486672759056,0.05133253335952759,-0.26142603158950806,-0.06421858072280884,0.06860435009002686,-0.33345964550971985,-0.0758935809135437,-0.06235048174858093,0.02774149179458618,-0.015572633594274521,-0.03855317831039429,-0.08809643983840942,-0.08597615361213684,-0.00829780101776123,-0.008572578430175781,-0.09305967390537262,-0.0022133588790893555,0.060867249965667725,-0.0794505774974823,-0.11227694153785706,0.0767441987991333,-0.03568088635802269,-0.05802235007286072,0.019579589366912842,-0.0966610312461853,-0.027332663536071777,0.08102571964263916,-0.09830601513385773,-0.025502502918243408,0.13628584146499634,-0.08750705420970917
5,-0.031683504581451416,0.36643579602241516,0.04602482542395592,0.06823092699050903,0.31440070271492004,-0.014998704195022583,0.13997912406921387,0.1511135995388031,-0.03749584034085274,0.12468332052230835,0.02010980248451233,-0.059248413890600204,0.03745841979980469,-0.042553722858428955,-0.07381941378116608,0.07660835981369019,0.006975084543228149,0.006072983145713806,0.06704944372177124,-0.16077664494514465,-0.03906631097197533,0.046740174293518066,-0.2678205668926239,-0.06861850619316101,0.019819915294647217,-0.3589510917663574,-0.08921295404434204,0.0,0.0,0.0,0.017255425453186035,-0.19581657648086548,-0.05601087585091591,0.06286638975143433,-0.3151865601539612,-0.08557917177677155,0.09051918983459473,-0.40416058897972107,-0.09932541847229004,-0.07444977760314941,0.021922558546066284,-0.014458216726779938,-0.031536638736724854,-0.13153952360153198,-0.1020483672618866,0.012776196002960205,-0.032776057720184326,-0.10288023948669434,0.02370244264602661,0.052014440298080444,-0.07910430431365967,-0.12721794843673706,0.07035627961158752,-0.034752871841192245,-0.03636309504508972,0.014353185892105103,-0.116000235080719,-0.0005657672882080078,0.09623101353645325,-0.121519535779953,-0.006103485822677612,0.163042813539505,-0.10768917202949524
6,-0.03961488604545593,0.3842340111732483,0.05482787266373634,0.06597486138343811,0.3198675513267517,-0.002584148198366165,0.13284733891487122,0.1498294472694397,-0.02679920569062233,0.12041172385215759,0.016489028930664062,-0.05187064781785011,0.03519198298454285,-0.04509782791137695,-0.06974145770072937,0.07371726632118225,0.005732893943786621,0.006082553416490555,0.05873486399650574,-0.17533594369888306,-0.036929551512002945,0.04139050841331482,-0.28657329082489014,-0.05966449901461601,0.01885545253753662,-0.37910977005958557,-0.07592612504959106,0.0,0.0,0.0,0.01487615704536438,-0.19862017035484314,-0.05683324858546257,0.058456867933273315,-0.3071529269218445,-0.07906125485897064,0.08783230185508728,-0.3983093798160553,-0.08763003349304199,-0.07530653476715088,0.02136814594268799,-0.013437870889902115,-0.027325451374053955,-0.13501113653182983,-0.09967690706253052,0.025938421487808228,-0.01793941855430603,-0.09187930822372437,0.041780441999435425,0.0774390697479248,-0.06250078976154327,-0.12910062074661255,0.06801509857177734,-0.032595742493867874,-0.0358065664768219,0.011093378067016602,-0.1112879067659378,0.005192667245864868,0.09470456838607788,-0.11499404907226562,0.0017641186714172363,0.16371417045593262,-0.10050815343856812
7,-0.0373816192150116,0.3882954716682434,0.05941324681043625,0.07022631168365479,0.3183181881904602,0.004609379917383194,0.1346943974494934,0.1434992551803589,-0.019200541079044342,0.12294268608093262,0.00962364673614502,-0.04433777928352356,0.03726613521575928,-0.049649715423583984,-0.06258378177881241,0.07573872804641724,0.0061476826667785645,0.007729243487119675,0.06283217668533325,-0.17854756116867065,-0.03594386577606201,0.0449863076210022,-0.28952205181121826,-0.06039981544017792,0.021840006113052368,-0.3828921914100647,-0.07886894047260284,0.0,0.0,0.0,0.01611068844795227,-0.20032405853271484,-0.057065077126026154,0.06182175874710083,-0.30841946601867676,-0.08133012056350708,0.09262698888778687,-0.40100765228271484,-0.09296214580535889,-0.07645437121391296,0.021264195442199707,-0.014258727431297302,-0.022831588983535767,-0.13671022653579712,-0.09688109159469604,0.03087705373764038,-0.023332804441452026,-0.0889558345079422,0.0458073616027832,0.06911218166351318,-0.06208973377943039,-0.1286296844482422,0.06915587186813354,-0.034383855760097504,-0.031006574630737305,0.008223533630371094,-0.1088765561580658,0.009513646364212036,0.0894213318824768,-0.11138495802879333,0.004279494285583496,0.15731489658355713,-0.09813134372234344
